elapsed_s,RB_STALL_CYCLES_CCU_COLOR_READ,RB_STALL_CYCLES_CCU_COLOR_WRITE,RB_STALL_CYCLES_CCU_DEPTH_READ,RB_STALL_CYCLES_CCU_DEPTH_WRITE,RB_STALL_CYCLES_VPC_BE,RB_BLENDED_FP32_COMPONENTS,RB_COLOR_PIX_TILES,RB_STALL_CYCLES_CCU
0.001097,0,0,0,0,0,0,0,0
0.002582,0,0,0,0,0,0,0,0
0.004038,0,0,0,0,0,0,0,0
0.005491,0,0,0,0,0,0,0,0
0.007040,0,0,0,0,0,0,0,0
0.008491,0,0,0,0,0,0,0,0
0.009991,0,0,0,0,0,0,0,0
0.011443,0,0,0,0,0,0,0,0
0.012895,0,0,0,0,0,0,0,0
0.014416,0,0,0,0,0,0,0,0
0.015845,0,0,0,0,0,0,0,0
0.017294,0,0,0,0,0,0,0,0
0.018760,0,0,0,0,0,0,0,0
0.020175,0,0,0,0,0,0,0,0
0.021553,0,0,0,0,0,0,0,0
0.023011,0,0,0,0,0,0,0,0
0.024395,0,0,0,0,0,0,0,0
0.025779,0,0,0,0,0,0,0,0
0.027313,0,0,0,0,0,0,0,0
0.028725,0,0,0,0,0,0,0,0
0.030113,0,0,0,0,0,0,0,0
0.031484,0,0,0,0,0,0,0,0
0.032804,0,0,0,0,0,0,0,0
0.034124,0,0,0,0,0,0,0,0
0.035445,0,0,0,0,0,0,0,0
0.036764,0,0,0,0,0,0,0,0
0.038244,0,0,0,0,0,0,0,0
0.039517,0,0,0,0,0,0,0,0
0.040790,0,0,0,0,0,0,0,0
0.042066,0,0,0,0,0,0,0,0
0.043446,0,0,0,0,0,0,0,0
0.044719,0,0,0,0,0,0,0,0
0.045993,0,0,0,0,0,0,0,0
0.047284,0,0,0,0,0,0,0,0
0.048557,0,0,0,0,0,0,0,0
0.049830,0,0,0,0,0,0,0,0
0.051204,0,0,0,0,0,0,0,0
0.052600,0,0,0,0,0,0,0,0
0.053981,0,0,0,0,0,0,0,0
0.055344,0,0,0,0,0,0,0,0
0.056707,0,0,0,0,0,0,0,0
0.058072,0,0,0,0,0,0,0,0
0.059437,0,0,0,0,0,0,0,0
0.060811,0,0,0,0,0,0,0,0
0.062176,0,0,0,0,0,0,0,0
0.063636,0,0,0,0,0,0,0,0
0.065074,0,0,0,0,0,0,0,0
0.066945,0,0,0,0,0,0,0,0
0.069569,0,0,0,0,0,0,0,0
0.071412,0,0,0,0,0,0,0,0
0.072777,0,0,0,0,0,0,0,0
0.075026,0,0,0,0,0,0,0,0
0.076498,0,0,0,0,0,0,0,0
0.077762,0,0,0,0,0,0,0,0
0.079192,0,0,0,0,0,0,0,0
0.080462,0,0,0,0,0,0,0,0
0.081684,0,0,0,0,0,0,0,0
0.082910,0,0,0,0,0,0,0,0
0.084127,0,0,0,0,0,0,0,0
0.085343,0,0,0,0,0,0,0,0
0.086562,0,0,0,0,0,0,0,0
0.087780,0,0,0,0,0,0,0,0
0.088997,0,0,0,0,0,0,0,0
0.090219,0,0,0,0,0,0,0,0
0.091436,0,0,0,0,0,0,0,0
0.092654,0,0,0,0,0,0,0,0
0.093869,0,0,0,0,0,0,0,0
0.095106,0,0,0,0,0,0,0,0
0.096371,0,0,0,0,0,0,0,0
0.097631,0,0,0,0,0,0,0,0
0.098820,0,0,0,0,0,0,0,0
0.100215,0,0,0,0,0,0,0,0
0.101640,0,0,0,0,0,0,0,0
0.103037,0,0,0,0,0,0,0,0
0.104307,0,0,0,0,0,0,0,0
0.105574,0,0,0,0,0,0,0,0
0.106843,0,0,0,0,0,0,0,0
0.108108,0,0,0,0,0,0,0,0
0.109372,0,0,0,0,0,0,0,0
0.110681,0,0,0,0,0,0,0,0
0.111946,0,0,0,0,0,0,0,0
0.113209,0,0,0,0,0,0,0,0
0.114475,0,0,0,0,0,0,0,0
0.115738,0,0,0,0,0,0,0,0
0.117146,0,0,0,0,0,0,0,0
0.118589,0,0,0,0,0,0,0,0
0.119999,0,0,0,0,0,0,0,0
0.121410,0,0,0,0,0,0,0,0
0.122819,0,0,0,0,0,0,0,0
0.124226,0,0,0,0,0,0,0,0
0.125631,0,0,0,0,0,0,0,0
0.127133,0,0,0,0,0,0,0,0
0.128546,0,0,0,0,0,0,0,0
0.129960,0,0,0,0,0,0,0,0
0.131364,0,0,0,0,0,0,0,0
0.132768,0,0,0,0,0,0,0,0
0.136112,0,0,0,0,0,0,0,0
0.137528,0,0,0,0,0,0,0,0
0.139008,0,0,0,0,0,0,0,0
0.140411,0,0,0,0,0,0,0,0
0.141881,0,0,0,0,0,0,0,0
0.143286,0,0,0,0,0,0,0,0
0.144685,0,0,0,0,0,0,0,0
0.146580,0,0,0,0,0,0,0,0
0.152477,0,0,0,0,0,0,0,0
0.154012,0,0,0,0,0,0,0,0
0.155416,0,0,0,0,0,0,0,0
0.156993,0,0,0,0,0,0,0,0
0.158496,0,0,0,0,0,0,0,0
0.159876,0,0,0,0,0,0,0,0
0.161252,0,0,0,0,0,0,0,0
0.162611,0,0,0,0,0,0,0,0
0.163970,0,0,0,0,0,0,0,0
0.165329,0,0,0,0,0,0,0,0
0.166687,0,0,0,0,0,0,0,0
0.168044,0,0,0,0,0,0,0,0
0.169401,0,0,0,0,0,0,0,0
0.170758,0,0,0,0,0,0,0,0
0.172126,0,0,0,0,0,0,0,0
0.173483,0,0,0,0,0,0,0,0
0.175020,0,0,0,0,0,0,0,0
0.176481,0,0,0,0,0,0,0,0
0.178022,0,0,0,0,0,0,0,0
0.179593,0,0,0,0,0,0,0,0
0.181161,0,0,0,0,0,0,0,0
0.182618,0,0,0,0,0,0,0,0
0.184160,0,0,0,0,0,0,0,0
0.185729,0,0,0,0,0,0,0,0
0.187303,0,0,0,0,0,0,0,0
0.188871,0,0,0,0,0,0,0,0
0.190487,0,0,0,0,0,0,0,0
0.192058,0,0,0,0,0,0,0,0
0.193641,0,0,0,0,0,0,0,0
0.195211,0,0,0,0,0,0,0,0
0.196780,0,0,0,0,0,0,0,0
0.198351,0,0,0,0,0,0,0,0
0.199922,0,0,0,0,0,0,0,0
0.201491,0,0,0,0,0,0,0,0
0.203023,0,0,0,0,0,0,0,0
0.204572,0,0,0,0,0,0,0,0
0.206143,0,0,0,0,0,0,0,0
0.207751,0,0,0,0,0,0,0,0
0.209194,0,0,0,0,0,0,0,0
0.210610,0,0,0,0,0,0,0,0
0.212150,0,0,0,0,0,0,0,0
0.213722,0,0,0,0,0,0,0,0
0.215313,0,0,0,0,0,0,0,0
0.216884,0,0,0,0,0,0,0,0
0.218458,0,0,0,0,0,0,0,0
0.220030,0,0,0,0,0,0,0,0
0.221602,0,0,0,0,0,0,0,0
0.223180,0,0,0,0,0,0,0,0
0.224751,0,0,0,0,0,0,0,0
0.226339,0,0,0,0,0,0,0,0
0.227911,0,0,0,0,0,0,0,0
0.229483,0,0,0,0,0,0,0,0
0.231115,0,0,0,0,0,0,0,0
0.232686,0,0,0,0,0,0,0,0
0.234261,0,0,0,0,0,0,0,0
0.235834,0,0,0,0,0,0,0,0
0.237596,0,0,0,0,0,0,0,0
0.239176,0,0,0,0,0,0,0,0
0.240593,0,0,0,0,0,0,0,0
0.242163,0,0,0,0,0,0,0,0
0.243622,0,0,0,0,0,0,0,0
0.245030,0,0,0,0,0,0,0,0
0.246442,0,0,0,0,0,0,0,0
0.248042,0,0,0,0,0,0,0,0
0.249612,0,0,0,0,0,0,0,0
0.251188,0,0,0,0,0,0,0,0
0.252759,0,0,0,0,0,0,0,0
0.254378,0,0,0,0,0,0,0,0
0.255951,0,0,0,0,0,0,0,0
0.257523,0,0,0,0,0,0,0,0
0.259187,0,0,0,0,0,0,0,0
0.260758,0,0,0,0,0,0,0,0
0.262333,0,0,0,0,0,0,0,0
0.263905,0,0,0,0,0,0,0,0
0.265475,0,0,0,0,0,0,0,0
0.267100,0,0,0,0,0,0,0,0
0.268673,0,0,0,0,0,0,0,0
0.270305,0,0,0,0,0,0,0,0
0.271879,0,0,0,0,0,0,0,0
0.273449,0,0,0,0,0,0,0,0
0.275080,0,0,0,0,0,0,0,0
0.276653,0,0,0,0,0,0,0,0
0.278227,0,0,0,0,0,0,0,0
0.279798,0,0,0,0,0,0,0,0
0.281381,0,0,0,0,0,0,0,0
0.282952,0,0,0,0,0,0,0,0
0.284523,0,0,0,0,0,0,0,0
0.286095,0,0,0,0,0,0,0,0
0.287711,0,0,0,0,0,0,0,0
0.289281,0,0,0,0,0,0,0,0
0.290852,0,0,0,0,0,0,0,0
0.292437,0,0,0,0,0,0,0,0
0.294010,0,0,0,0,0,0,0,0
0.295582,0,0,0,0,0,0,0,0
0.297152,0,0,0,0,0,0,0,0
0.298724,0,0,0,0,0,0,0,0
0.300295,0,0,0,0,0,0,0,0
0.301868,0,0,0,0,0,0,0,0
0.303493,0,0,0,0,0,0,0,0
0.305063,0,0,0,0,0,0,0,0
0.306635,0,0,0,0,0,0,0,0
0.308206,0,0,0,0,0,0,0,0
0.309776,0,0,0,0,0,0,0,0
0.311208,0,0,0,0,0,0,0,0
0.312630,0,0,0,0,0,0,0,0
0.314275,0,0,0,0,0,0,0,0
0.315851,0,0,0,0,0,0,0,0
0.317421,0,0,0,0,0,0,0,0
0.319043,0,0,0,0,0,0,0,0
0.320615,0,0,0,0,0,0,0,0
0.322190,0,0,0,0,0,0,0,0
0.323758,0,0,0,0,0,0,0,0
0.325342,0,0,0,0,0,0,0,0
0.326913,0,0,0,0,0,0,0,0
0.328484,0,0,0,0,0,0,0,0
0.330057,0,0,0,0,0,0,0,0
0.331628,0,0,0,0,0,0,0,0
0.333199,0,0,0,0,0,0,0,0
0.334813,0,0,0,0,0,0,0,0
0.336398,0,0,0,0,0,0,0,0
0.337970,0,0,0,0,0,0,0,0
0.339541,0,0,0,0,0,0,0,0
0.341110,0,0,0,0,0,0,0,0
0.342681,0,0,0,0,0,0,0,0
0.344253,0,0,0,0,0,0,0,0
0.345890,0,0,0,0,0,0,0,0
0.347536,0,0,0,0,0,0,0,0
0.350149,0,0,0,0,0,0,0,0
0.351581,0,0,0,0,0,0,0,0
0.353084,0,0,0,0,0,0,0,0
0.354491,0,0,0,0,0,0,0,0
0.355977,0,0,0,0,0,0,0,0
0.358053,0,0,0,0,0,0,0,0
0.359688,0,0,0,0,0,0,0,0
0.361162,0,0,0,0,0,0,0,0
0.362644,0,0,0,0,0,0,0,0
0.364056,0,0,0,0,0,0,0,0
0.365460,0,0,0,0,0,0,0,0
0.366903,0,0,0,0,0,0,0,0
0.368316,0,0,0,0,0,0,0,0
0.369717,0,0,0,0,0,0,0,0
0.371170,0,0,0,0,0,0,0,0
0.372704,0,0,0,0,0,0,0,0
0.374276,0,0,0,0,0,0,0,0
0.375847,0,0,0,0,0,0,0,0
0.377416,0,0,0,0,0,0,0,0
0.378873,0,0,0,0,0,0,0,0
0.380414,0,0,0,0,0,0,0,0
0.381986,0,0,0,0,0,0,0,0
0.383600,0,0,0,0,0,0,0,0
0.385169,0,0,0,0,0,0,0,0
0.386739,0,0,0,0,0,0,0,0
0.388309,0,0,0,0,0,0,0,0
0.389893,0,0,0,0,0,0,0,0
0.391463,0,0,0,0,0,0,0,0
0.393033,0,0,0,0,0,0,0,0
0.394605,0,0,0,0,0,0,0,0
0.396175,0,0,0,0,0,0,0,0
0.397744,0,0,0,0,0,0,0,0
0.399320,0,0,0,0,0,0,0,0
0.400902,0,0,0,0,0,0,0,0
0.402473,0,0,0,0,0,0,0,0
0.404045,0,0,0,0,0,0,0,0
0.405614,0,0,0,0,0,0,0,0
0.407189,0,0,0,0,0,0,0,0
0.408758,0,0,0,0,0,0,0,0
0.410331,0,0,0,0,0,0,0,0
0.411905,0,0,0,0,0,0,0,0
0.413321,0,0,0,0,0,0,0,0
0.414903,0,0,0,0,0,0,0,0
0.416474,0,0,0,0,0,0,0,0
0.418046,0,0,0,0,0,0,0,0
0.419616,0,0,0,0,0,0,0,0
0.421185,0,0,0,0,0,0,0,0
0.422770,0,0,0,0,0,0,0,0
0.424340,0,0,0,0,0,0,0,0
0.425913,0,0,0,0,0,0,0,0
0.427483,0,0,0,0,0,0,0,0
0.429053,0,0,0,0,0,0,0,0
0.430667,0,0,0,0,0,0,0,0
0.432239,0,0,0,0,0,0,0,0
0.433903,0,0,0,0,0,0,0,0
0.435458,0,0,0,0,0,0,0,0
0.436870,0,0,0,0,0,0,0,0
0.438431,0,0,0,0,0,0,0,0
0.439970,0,0,0,0,0,0,0,0
0.441392,0,0,0,0,0,0,0,0
0.442932,0,0,0,0,0,0,0,0
0.444517,0,0,0,0,0,0,0,0
0.446091,0,0,0,0,0,0,0,0
0.447709,0,0,0,0,0,0,0,0
0.449280,0,0,0,0,0,0,0,0
0.450850,0,0,0,0,0,0,0,0
0.452420,0,0,0,0,0,0,0,0
0.453993,0,0,0,0,0,0,0,0
0.455579,0,0,0,0,0,0,0,0
0.457149,0,0,0,0,0,0,0,0
0.458722,0,0,0,0,0,0,0,0
