elapsed_s,RB_EARLY_Z_ARB3_GRANT,RB_LATE_Z_ARB3_GRANT,RB_EARLY_Z_SKIP_GRANT,RB_VRS_1X1_QUADS,RB_VRS_2X1_QUADS,RB_VRS_1X2_QUADS,RB_VRS_2X2_QUADS,RB_VRS_2X4_QUADS
0.002922,0,0,0,0,0,0,0,0
0.004536,0,0,0,0,0,0,0,0
0.006200,0,0,0,0,0,0,0,0
0.007764,0,0,0,0,0,0,0,0
0.009389,0,0,0,0,0,0,0,0
0.010931,0,0,0,0,0,0,0,0
0.012474,0,0,0,0,0,0,0,0
0.014015,0,0,0,0,0,0,0,0
0.015555,0,0,0,0,0,0,0,0
0.017177,0,0,0,0,0,0,0,0
0.018722,0,0,0,0,0,0,0,0
0.020303,0,0,0,0,0,0,0,0
0.022029,0,0,0,0,0,0,0,0
0.023577,0,0,0,0,0,0,0,0
0.025206,0,0,0,0,0,0,0,0
0.026757,0,0,0,0,0,0,0,0
0.028298,0,0,0,0,0,0,0,0
0.029841,0,0,0,0,0,0,0,0
0.031393,0,0,0,0,0,0,0,0
0.033121,0,0,0,0,0,0,0,0
0.034681,0,0,0,0,0,0,0,0
0.036222,0,0,0,0,0,0,0,0
0.037763,0,0,0,0,0,0,0,0
0.039303,0,0,0,0,0,0,0,0
0.041056,0,0,0,0,0,0,0,0
0.042583,0,0,0,0,0,0,0,0
0.044097,0,0,0,0,0,0,0,0
0.045627,0,0,0,0,0,0,0,0
0.047231,0,0,0,0,0,0,0,0
0.048748,0,0,0,0,0,0,0,0
0.050269,0,0,0,0,0,0,0,0
0.051877,0,0,0,0,0,0,0,0
0.053421,0,0,0,0,0,0,0,0
0.054940,0,0,0,0,0,0,0,0
0.056524,0,0,0,0,0,0,0,0
0.058029,0,0,0,0,0,0,0,0
0.059532,0,0,0,0,0,0,0,0
0.061107,0,0,0,0,0,0,0,0
0.062645,0,0,0,0,0,0,0,0
0.064155,0,0,0,0,0,0,0,0
0.065656,0,0,0,0,0,0,0,0
0.067156,0,0,0,0,0,0,0,0
0.068658,0,0,0,0,0,0,0,0
0.070160,0,0,0,0,0,0,0,0
0.071662,0,0,0,0,0,0,0,0
0.073250,0,0,0,0,0,0,0,0
0.074846,0,0,0,0,0,0,0,0
0.076307,0,0,0,0,0,0,0,0
0.077767,0,0,0,0,0,0,0,0
0.079343,0,0,0,0,0,0,0,0
0.080803,0,0,0,0,0,0,0,0
0.082263,0,0,0,0,0,0,0,0
0.083861,0,0,0,0,0,0,0,0
0.085330,0,0,0,0,0,0,0,0
0.086759,0,0,0,0,0,0,0,0
0.088206,0,0,0,0,0,0,0,0
0.089614,0,0,0,0,0,0,0,0
0.090945,0,0,0,0,0,0,0,0
0.092376,0,0,0,0,0,0,0,0
0.093805,0,0,0,0,0,0,0,0
0.095233,0,0,0,0,0,0,0,0
0.096668,0,0,0,0,0,0,0,0
0.097992,0,0,0,0,0,0,0,0
0.099422,0,0,0,0,0,0,0,0
0.100891,0,0,0,0,0,0,0,0
0.102376,0,0,0,0,0,0,0,0
0.103639,0,0,0,0,0,0,0,0
0.105129,0,0,0,0,0,0,0,0
0.106500,0,0,0,0,0,0,0,0
0.107945,0,0,0,0,0,0,0,0
0.109383,0,0,0,0,0,0,0,0
0.110816,0,0,0,0,0,0,0,0
0.112251,0,0,0,0,0,0,0,0
0.113685,0,0,0,0,0,0,0,0
0.115118,0,0,0,0,0,0,0,0
0.116549,0,0,0,0,0,0,0,0
0.117931,0,0,0,0,0,0,0,0
0.119364,0,0,0,0,0,0,0,0
0.120516,0,0,0,0,0,0,0,0
0.121666,0,0,0,0,0,0,0,0
0.122818,0,0,0,0,0,0,0,0
0.123968,0,0,0,0,0,0,0,0
0.125120,0,0,0,0,0,0,0,0
0.126271,0,0,0,0,0,0,0,0
0.127424,0,0,0,0,0,0,0,0
0.128575,0,0,0,0,0,0,0,0
0.129726,0,0,0,0,0,0,0,0
0.130877,0,0,0,0,0,0,0,0
0.132029,0,0,0,0,0,0,0,0
0.133180,0,0,0,0,0,0,0,0
0.134331,0,0,0,0,0,0,0,0
0.135482,0,0,0,0,0,0,0,0
0.136656,0,0,0,0,0,0,0,0
0.137873,0,0,0,0,0,0,0,0
0.139091,0,0,0,0,0,0,0,0
0.140310,0,0,0,0,0,0,0,0
0.141527,0,0,0,0,0,0,0,0
0.142744,0,0,0,0,0,0,0,0
0.143964,0,0,0,0,0,0,0,0
0.145181,0,0,0,0,0,0,0,0
0.146399,0,0,0,0,0,0,0,0
0.147617,0,0,0,0,0,0,0,0
0.148981,0,0,0,0,0,0,0,0
0.150200,0,0,0,0,0,0,0,0
0.151417,0,0,0,0,0,0,0,0
0.152679,0,0,0,0,0,0,0,0
0.153897,0,0,0,0,0,0,0,0
0.155115,0,0,0,0,0,0,0,0
0.156334,0,0,0,0,0,0,0,0
0.157551,0,0,0,0,0,0,0,0
0.158772,0,0,0,0,0,0,0,0
0.160132,0,0,0,0,0,0,0,0
0.161504,0,0,0,0,0,0,0,0
0.162862,0,0,0,0,0,0,0,0
0.164222,0,0,0,0,0,0,0,0
0.165581,0,0,0,0,0,0,0,0
0.166938,0,0,0,0,0,0,0,0
0.168317,0,0,0,0,0,0,0,0
0.169773,0,0,0,0,0,0,0,0
0.171182,0,0,0,0,0,0,0,0
0.172588,0,0,0,0,0,0,0,0
0.173993,0,0,0,0,0,0,0,0
0.175397,0,0,0,0,0,0,0,0
0.176800,0,0,0,0,0,0,0,0
0.178204,0,0,0,0,0,0,0,0
0.179606,0,0,0,0,0,0,0,0
0.181006,0,0,0,0,0,0,0,0
0.182407,0,0,0,0,0,0,0,0
0.183833,0,0,0,0,0,0,0,0
0.185230,0,0,0,0,0,0,0,0
0.186606,0,0,0,0,0,0,0,0
0.188792,0,0,0,0,0,0,0,0
0.190173,0,0,0,0,0,0,0,0
0.191561,0,0,0,0,0,0,0,0
0.192949,0,0,0,0,0,0,0,0
0.194324,0,0,0,0,0,0,0,0
0.195699,0,0,0,0,0,0,0,0
0.197131,0,0,0,0,0,0,0,0
0.198513,0,0,0,0,0,0,0,0
0.199919,0,0,0,0,0,0,0,0
0.201321,0,0,0,0,0,0,0,0
0.202784,0,0,0,0,0,0,0,0
0.204125,0,0,0,0,0,0,0,0
0.205467,0,0,0,0,0,0,0,0
0.206814,0,0,0,0,0,0,0,0
0.208780,0,0,0,0,0,0,0,0
0.210122,0,0,0,0,0,0,0,0
0.211465,0,0,0,0,0,0,0,0
0.212812,0,0,0,0,0,0,0,0
0.214155,0,0,0,0,0,0,0,0
0.215497,0,0,0,0,0,0,0,0
0.216911,0,0,0,0,0,0,0,0
0.218288,0,0,0,0,0,0,0,0
0.219664,0,0,0,0,0,0,0,0
0.221083,0,0,0,0,0,0,0,0
0.222461,0,0,0,0,0,0,0,0
0.223955,0,0,0,0,0,0,0,0
0.225525,0,0,0,0,0,0,0,0
0.226901,0,0,0,0,0,0,0,0
0.228278,0,0,0,0,0,0,0,0
0.229664,0,0,0,0,0,0,0,0
0.231043,0,0,0,0,0,0,0,0
0.232453,0,0,0,0,0,0,0,0
0.233984,0,0,0,0,0,0,0,0
0.235609,0,0,0,0,0,0,0,0
0.237062,0,0,0,0,0,0,0,0
0.238474,0,0,0,0,0,0,0,0
0.240014,0,0,0,0,0,0,0,0
0.241588,0,0,0,0,0,0,0,0
0.243161,0,0,0,0,0,0,0,0
0.244735,0,0,0,0,0,0,0,0
0.246321,0,0,0,0,0,0,0,0
0.247897,0,0,0,0,0,0,0,0
0.249516,0,0,0,0,0,0,0,0
0.251089,0,0,0,0,0,0,0,0
0.252663,0,0,0,0,0,0,0,0
0.254236,0,0,0,0,0,0,0,0
0.255812,0,0,0,0,0,0,0,0
0.257301,0,0,0,0,0,0,0,0
0.258719,0,0,0,0,0,0,0,0
0.260131,0,0,0,0,0,0,0,0
0.261539,0,0,0,0,0,0,0,0
0.262946,0,0,0,0,0,0,0,0
0.265435,0,0,0,0,0,0,0,0
0.266869,0,0,0,0,0,0,0,0
0.268296,0,0,0,0,0,0,0,0
0.269704,0,0,0,0,0,0,0,0
0.271112,0,0,0,0,0,0,0,0
0.272519,0,0,0,0,0,0,0,0
0.273926,0,0,0,0,0,0,0,0
0.275463,0,0,0,0,0,0,0,0
0.277002,0,0,0,0,0,0,0,0
0.278552,0,0,0,0,0,0,0,0
0.280125,0,0,0,0,0,0,0,0
0.281698,0,0,0,0,0,0,0,0
0.283269,0,0,0,0,0,0,0,0
0.284843,0,0,0,0,0,0,0,0
0.286417,0,0,0,0,0,0,0,0
0.287991,0,0,0,0,0,0,0,0
0.289455,0,0,0,0,0,0,0,0
0.291000,0,0,0,0,0,0,0,0
0.292574,0,0,0,0,0,0,0,0
0.294145,0,0,0,0,0,0,0,0
0.295716,0,0,0,0,0,0,0,0
0.297295,0,0,0,0,0,0,0,0
0.298867,0,0,0,0,0,0,0,0
0.300456,0,0,0,0,0,0,0,0
0.302030,0,0,0,0,0,0,0,0
0.303729,0,0,0,0,0,0,0,0
0.305307,0,0,0,0,0,0,0,0
0.306881,0,0,0,0,0,0,0,0
0.308352,0,0,0,0,0,0,0,0
0.309924,0,0,0,0,0,0,0,0
0.311509,0,0,0,0,0,0,0,0
0.313087,0,0,0,0,0,0,0,0
0.314659,0,0,0,0,0,0,0,0
0.316234,0,0,0,0,0,0,0,0
0.317809,0,0,0,0,0,0,0,0
0.319601,0,0,0,0,0,0,0,0
0.321233,0,0,0,0,0,0,0,0
0.322659,0,0,0,0,0,0,0,0
0.324072,0,0,0,0,0,0,0,0
0.325481,0,0,0,0,0,0,0,0
0.326888,0,0,0,0,0,0,0,0
0.328337,0,0,0,0,0,0,0,0
0.329875,0,0,0,0,0,0,0,0
0.331446,0,0,0,0,0,0,0,0
0.332997,0,0,0,0,0,0,0,0
0.334539,0,0,0,0,0,0,0,0
0.336115,0,0,0,0,0,0,0,0
0.337689,0,0,0,0,0,0,0,0
0.339261,0,0,0,0,0,0,0,0
0.340835,0,0,0,0,0,0,0,0
0.342409,0,0,0,0,0,0,0,0
0.343998,0,0,0,0,0,0,0,0
0.345574,0,0,0,0,0,0,0,0
0.347147,0,0,0,0,0,0,0,0
0.348720,0,0,0,0,0,0,0,0
0.350295,0,0,0,0,0,0,0,0
0.351870,0,0,0,0,0,0,0,0
0.353444,0,0,0,0,0,0,0,0
0.355029,0,0,0,0,0,0,0,0
0.356605,0,0,0,0,0,0,0,0
0.358179,0,0,0,0,0,0,0,0
0.359752,0,0,0,0,0,0,0,0
0.361189,0,0,0,0,0,0,0,0
0.362601,0,0,0,0,0,0,0,0
0.364141,0,0,0,0,0,0,0,0
0.365726,0,0,0,0,0,0,0,0
0.367298,0,0,0,0,0,0,0,0
0.368872,0,0,0,0,0,0,0,0
0.370447,0,0,0,0,0,0,0,0
0.372021,0,0,0,0,0,0,0,0
0.373595,0,0,0,0,0,0,0,0
0.375166,0,0,0,0,0,0,0,0
0.376797,0,0,0,0,0,0,0,0
0.378371,0,0,0,0,0,0,0,0
0.379947,0,0,0,0,0,0,0,0
0.381521,0,0,0,0,0,0,0,0
0.383093,0,0,0,0,0,0,0,0
0.384542,0,0,0,0,0,0,0,0
0.386090,0,0,0,0,0,0,0,0
0.387676,0,0,0,0,0,0,0,0
0.389253,0,0,0,0,0,0,0,0
0.390754,0,0,0,0,0,0,0,0
0.392222,0,0,0,0,0,0,0,0
0.393765,0,0,0,0,0,0,0,0
0.395340,0,0,0,0,0,0,0,0
0.396917,0,0,0,0,0,0,0,0
0.398381,0,0,0,0,0,0,0,0
0.399944,0,0,0,0,0,0,0,0
0.401384,0,0,0,0,0,0,0,0
0.402799,0,0,0,0,0,0,0,0
0.404342,0,0,0,0,0,0,0,0
0.405918,0,0,0,0,0,0,0,0
0.407492,0,0,0,0,0,0,0,0
0.409144,0,0,0,0,0,0,0,0
0.410718,0,0,0,0,0,0,0,0
0.412296,0,0,0,0,0,0,0,0
0.413874,0,0,0,0,0,0,0,0
0.415449,0,0,0,0,0,0,0,0
0.417086,0,0,0,0,0,0,0,0
0.418662,0,0,0,0,0,0,0,0
0.420253,0,0,0,0,0,0,0,0
0.421829,0,0,0,0,0,0,0,0
0.423404,0,0,0,0,0,0,0,0
0.424980,0,0,0,0,0,0,0,0
0.426557,0,0,0,0,0,0,0,0
0.428134,0,0,0,0,0,0,0,0
0.429709,0,0,0,0,0,0,0,0
0.431299,0,0,0,0,0,0,0,0
0.432876,0,0,0,0,0,0,0,0
0.434452,0,0,0,0,0,0,0,0
0.436030,0,0,0,0,0,0,0,0
0.437607,0,0,0,0,0,0,0,0
0.439181,0,0,0,0,0,0,0,0
0.440801,0,0,0,0,0,0,0,0
0.442392,0,0,0,0,0,0,0,0
0.443970,0,0,0,0,0,0,0,0
0.445546,0,0,0,0,0,0,0,0
0.447120,0,0,0,0,0,0,0,0
0.448697,0,0,0,0,0,0,0,0
0.450273,0,0,0,0,0,0,0,0
0.451850,0,0,0,0,0,0,0,0
0.453439,0,0,0,0,0,0,0,0
0.455014,0,0,0,0,0,0,0,0
0.456636,0,0,0,0,0,0,0,0
