elapsed_s,CP_LONG_PREEMPTIONS,CP_SQE_I_CACHE_STARVE,CP_SQE_IDLE,CP_SQE_PM4_STARVE_RB,CP_SQE_PM4_STARVE_IB1,CP_SQE_PM4_STARVE_IB2,CP_SQE_PM4_STARVE_IB3,CP_SQE_PM4_STARVE_FSDT,CP_SQE_PM4_STARVE_SDS,CP_SQE_MRB_STARVE,CP_SQE_RRB_STARVE,CP_SQE_VSD_STARVE,CP_VSD_DECODE_STARVE,CP_SQE_PIPE_OUT_STALL
0.001109,0,975,90993,47,0,0,0,0,0,0,52,0,0,0
0.002897,0,928,119986,47,0,0,0,0,0,0,52,0,0,0
0.004643,0,922,89549,47,0,0,0,0,0,0,51,0,0,0
0.006288,0,994,89737,47,0,0,0,0,0,0,51,0,0,0
0.007982,0,946,92782,47,0,0,0,0,0,0,52,0,0,0
0.009696,0,951,98848,47,0,0,0,0,0,0,52,0,0,0
0.011435,0,837,90103,47,0,0,0,0,0,0,52,0,0,0
0.013052,0,880,87122,47,0,0,0,0,0,0,52,0,0,0
0.014799,0,898,91267,47,0,0,0,0,0,0,52,0,0,0
0.016445,0,1013,88994,48,0,0,0,0,0,0,52,0,0,0
0.018022,0,944,87517,47,0,0,0,0,0,0,52,0,0,0
0.019709,0,1044,86822,47,0,0,0,0,0,0,52,0,0,0
0.021306,0,973,86332,47,0,0,0,0,0,0,52,0,0,0
0.022870,0,999,90330,47,0,0,0,0,0,0,52,0,0,0
0.024551,0,948,98769,48,0,0,0,0,0,0,52,0,0,0
0.026154,0,840,88994,47,0,0,0,0,0,0,52,0,0,0
0.027795,0,818,103640,47,0,0,0,0,0,0,51,0,0,0
0.029440,0,850,101386,47,0,0,0,0,0,0,51,0,0,0
0.031066,0,717,84308,47,0,0,0,0,0,0,52,0,0,0
0.032468,0,620,74393,47,0,0,0,0,0,0,51,0,0,0
0.033898,0,603,74458,44,0,0,0,0,0,0,52,0,0,0
0.035380,0,609,73859,45,0,0,0,0,0,0,52,0,0,0
0.036794,0,614,73974,47,0,0,0,0,0,0,51,0,0,0
0.038208,0,621,73895,47,0,0,0,0,0,0,52,0,0,0
0.039671,0,583,75020,47,0,0,0,0,0,0,52,0,0,0
0.041097,0,599,75211,47,0,0,0,0,0,0,52,0,0,0
0.042510,0,581,73519,43,0,0,0,0,0,0,52,0,0,0
0.043948,0,581,73294,47,0,0,0,0,0,0,52,0,0,0
0.045356,0,594,73493,47,0,0,0,0,0,0,52,0,0,0
0.046766,0,570,82413,47,0,0,0,0,0,0,52,0,0,0
0.048294,0,582,67486,46,0,0,0,0,0,0,51,0,0,0
0.049723,0,548,73630,41,0,0,0,0,0,0,52,0,0,0
0.051206,0,579,77801,47,0,0,0,0,0,0,52,0,0,0
0.052739,0,585,76160,47,0,0,0,0,0,0,51,0,0,0
0.054209,0,600,74334,47,0,0,0,0,0,0,52,0,0,0
0.055670,0,614,73673,47,0,0,0,0,0,0,52,0,0,0
0.057140,0,763,73701,48,0,0,0,0,0,0,52,0,0,0
0.058605,0,764,74404,47,0,0,0,0,0,0,52,0,0,0
0.060089,0,767,75961,47,0,0,0,0,0,0,52,0,0,0
0.061556,0,768,73241,47,0,0,0,0,0,0,51,0,0,0
0.063031,0,700,75534,47,0,0,0,0,0,0,52,0,0,0
0.064564,0,688,84461,47,0,0,0,0,0,0,52,0,0,0
0.066111,1,16995,86831,109,126,0,0,0,0,417,7773,0,0,0
0.067418,0,768,82860,1,0,0,0,0,0,0,51,0,0,0
0.068961,0,721,82637,47,0,0,0,0,0,0,52,0,0,0
0.070494,0,708,82817,47,0,0,0,0,0,0,52,0,0,0
0.072135,0,582,94471,46,0,0,0,0,0,0,51,0,0,0
0.073600,0,582,73610,47,0,0,0,0,0,0,52,0,0,0
0.075060,0,566,75834,48,0,0,0,0,0,0,51,0,0,0
0.076536,0,564,73561,47,0,0,0,0,0,0,52,0,0,0
0.077995,0,634,73192,47,0,0,0,0,0,0,52,0,0,0
0.079491,0,702,65065,47,0,0,0,0,0,0,51,0,0,0
0.080969,0,706,72789,47,0,0,0,0,0,0,52,0,0,0
0.082416,0,713,71616,47,0,0,0,0,0,0,52,0,0,0
0.083909,0,16571,89284,47,20,493,51,0,0,0,111,0,0,0
0.085164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.086427,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.087679,0,0,0,0,0,4,0,0,0,0,0,0,0,0
0.088928,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.090177,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.091478,0,0,0,0,0,4,0,0,0,0,0,0,0,0
0.092730,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.093980,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.095232,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.096481,0,0,0,0,0,4,0,0,0,0,0,0,0,0
0.097731,0,1217,0,0,0,1,0,0,0,0,0,0,0,0
0.099048,0,2731,477062,183,0,0,0,0,0,224,123,0,0,0
0.100562,0,1806,473665,219,0,0,0,0,0,0,88,0,0,0
0.101961,0,1660,472266,219,0,0,0,0,0,0,87,0,0,0
0.103357,0,1656,467917,139,0,0,0,0,0,0,85,0,0,0
0.104750,0,1649,465655,138,0,0,0,0,0,0,88,0,0,0
0.106142,0,1651,465285,137,0,0,0,0,0,0,89,0,0,0
0.107584,0,1657,439694,138,0,0,0,0,0,0,87,0,0,0
0.108947,0,1650,442068,139,0,0,0,0,0,0,87,0,0,0
0.110367,0,1703,448280,138,0,0,0,0,0,0,87,0,0,0
0.111778,0,1649,460369,138,0,0,0,0,0,0,85,0,0,0
0.113140,0,1647,443212,138,0,0,0,0,0,0,85,0,0,0
0.114501,0,1655,442084,138,0,0,0,0,0,0,87,0,0,0
0.115872,0,1648,446654,138,0,0,0,0,0,0,87,0,0,0
0.117290,0,1652,437279,139,0,0,0,0,0,0,86,0,0,0
0.118686,0,1659,446802,138,0,0,0,0,0,0,89,0,0,0
0.120143,0,1653,435963,138,0,0,0,0,0,0,88,0,0,0
0.121544,0,1653,432359,139,0,0,0,0,0,0,89,0,0,0
0.122961,0,1664,428211,137,0,0,0,0,0,0,88,0,0,0
0.124384,0,1649,422677,137,0,0,0,0,0,0,86,0,0,0
0.125754,0,1666,417001,138,0,0,0,0,0,0,88,0,0,0
0.127336,0,1659,533685,138,0,0,0,0,0,0,89,0,0,0
0.128819,0,1655,418840,136,0,0,0,0,0,0,88,0,0,0
0.130188,0,1735,416868,204,0,0,0,0,0,0,86,0,0,0
0.131588,0,1676,529667,138,0,0,0,0,0,0,86,0,0,0
0.133019,0,1732,534498,137,0,0,0,0,0,0,89,0,0,0
0.134457,0,1654,534800,137,0,0,0,0,0,0,85,0,0,0
0.135978,0,1644,414962,151,0,0,0,0,0,0,87,0,0,0
0.137396,0,1653,422846,136,0,0,0,0,0,0,90,0,0,0
0.138813,0,1655,438103,136,0,0,0,0,0,0,87,0,0,0
0.140226,0,1653,446823,137,0,0,0,0,0,0,87,0,0,0
0.141606,0,1640,444108,136,0,0,0,0,0,0,88,0,0,0
0.142976,0,1657,444345,137,0,0,0,0,0,0,86,0,0,0
0.144340,0,1656,445999,159,0,0,0,0,0,0,90,0,0,0
0.145704,0,1653,455382,137,0,0,0,0,0,0,89,0,0,0
0.147066,0,1654,534204,137,0,0,0,0,0,0,86,0,0,0
0.148705,0,1652,566278,137,0,0,0,0,0,0,88,0,0,0
0.150236,0,1649,448178,138,0,0,0,0,0,0,90,0,0,0
0.151688,0,1648,468113,137,0,0,0,0,0,0,89,0,0,0
0.153132,0,1652,451615,137,0,0,0,0,0,0,86,0,0,0
0.154572,0,1651,451954,138,0,0,0,0,0,0,86,0,0,0
0.156100,0,1652,530190,136,0,0,0,0,0,0,85,0,0,0
0.157536,0,1649,462526,137,0,0,0,0,0,0,85,0,0,0
0.159144,0,1651,466960,136,0,0,0,0,0,0,85,0,0,0
0.160744,0,1656,476609,137,0,0,0,0,0,0,89,0,0,0
0.162232,0,1675,475420,136,0,0,0,0,0,0,88,0,0,0
0.163717,0,1655,467085,137,0,0,0,0,0,0,85,0,0,0
0.165163,0,1647,448968,137,0,0,0,0,0,0,90,0,0,0
0.166604,0,1650,448711,137,0,0,0,0,0,0,86,0,0,0
0.168091,0,1639,500739,137,0,0,0,0,0,0,87,0,0,0
0.169530,0,1657,451935,137,0,0,0,0,0,0,86,0,0,0
0.170973,0,1659,454673,138,0,0,0,0,0,0,88,0,0,0
0.172457,0,1748,476384,137,0,0,0,0,0,0,88,0,0,0
0.174026,0,1646,478882,138,0,0,0,0,0,0,85,0,0,0
0.175637,0,1646,476880,137,0,0,0,0,0,0,85,0,0,0
0.177242,0,1750,478650,137,0,0,0,0,0,0,87,0,0,0
0.178845,0,1658,485821,137,0,0,0,0,0,0,87,0,0,0
0.180457,0,1656,472698,137,0,0,0,0,0,0,88,0,0,0
0.182061,0,1647,477219,138,0,0,0,0,0,0,89,0,0,0
0.183682,0,1652,477528,137,0,0,0,0,0,0,89,0,0,0
0.185287,0,1648,478745,137,0,0,0,0,0,0,85,0,0,0
0.186892,0,1647,611153,137,0,0,0,0,0,0,89,0,0,0
0.188580,0,1659,470670,137,0,0,0,0,0,0,89,0,0,0
0.190027,0,1637,475744,138,0,0,0,0,0,0,88,0,0,0
0.191599,0,1657,478130,136,0,0,0,0,0,0,86,0,0,0
0.193206,0,1656,478261,137,0,0,0,0,0,0,89,0,0,0
0.194823,0,1647,483390,137,0,0,0,0,0,0,90,0,0,0
0.196435,0,1658,476898,136,0,0,0,0,0,0,86,0,0,0
0.198040,0,1652,478136,138,0,0,0,0,0,0,85,0,0,0
0.199647,0,1670,494068,136,0,0,0,0,0,0,85,0,0,0
0.201253,0,1651,479655,136,0,0,0,0,0,0,86,0,0,0
0.202857,0,1661,491234,137,0,0,0,0,0,0,85,0,0,0
0.204466,0,1642,479368,137,0,0,0,0,0,0,88,0,0,0
0.206085,0,1649,478160,138,0,0,0,0,0,0,85,0,0,0
0.207692,0,1655,478558,138,0,0,0,0,0,0,85,0,0,0
0.209298,0,1650,480094,157,0,0,0,0,0,0,89,0,0,0
0.210902,0,1659,616087,137,0,0,0,0,0,0,88,0,0,0
0.212701,0,1655,478021,136,0,0,0,0,0,0,86,0,0,0
0.214305,0,1649,479076,137,0,0,0,0,0,0,89,0,0,0
0.215829,0,1641,467462,136,0,0,0,0,0,0,86,0,0,0
0.217414,0,1649,474955,137,0,0,0,0,0,0,90,0,0,0
0.219146,0,1702,530803,137,0,0,0,0,0,0,90,0,0,0
0.220672,0,1655,467077,137,0,0,0,0,0,0,85,0,0,0
0.222118,0,1652,455748,137,0,0,0,0,0,0,90,0,0,0
0.223564,0,1647,456081,136,0,0,0,0,0,0,88,0,0,0
0.225007,0,1656,452924,136,0,0,0,0,0,0,86,0,0,0
0.226449,0,1653,451082,137,0,0,0,0,0,0,87,0,0,0
0.227903,0,1644,477345,142,0,0,0,0,0,0,86,0,0,0
0.229473,0,1699,480353,136,0,0,0,0,0,0,88,0,0,0
0.231081,0,1652,479007,137,0,0,0,0,0,0,86,0,0,0
0.232688,0,1654,479418,136,0,0,0,0,0,0,88,0,0,0
0.234293,0,1663,481240,137,0,0,0,0,0,0,89,0,0,0
0.235943,0,1643,480392,137,0,0,0,0,0,0,86,0,0,0
0.237551,0,1647,479862,138,0,0,0,0,0,0,90,0,0,0
0.239173,0,1653,481284,180,0,0,0,0,0,0,85,0,0,0
0.240780,0,1648,490431,136,0,0,0,0,0,0,87,0,0,0
0.242385,0,1647,480004,137,0,0,0,0,0,0,85,0,0,0
0.243905,0,1758,469003,138,0,0,0,0,0,0,87,0,0,0
0.245482,0,1813,479193,151,0,0,0,0,0,0,89,0,0,0
0.247091,0,1651,481572,137,0,0,0,0,0,0,86,0,0,0
0.248698,0,1660,478895,137,0,0,0,0,0,0,89,0,0,0
0.250318,0,1650,489655,136,0,0,0,0,0,0,86,0,0,0
0.251968,0,1651,480097,137,0,0,0,0,0,0,89,0,0,0
0.253575,0,1647,490280,137,0,0,0,0,0,0,87,0,0,0
0.255183,0,1646,480716,137,0,0,0,0,0,0,86,0,0,0
0.256791,0,1649,480340,137,0,0,0,0,0,0,87,0,0,0
0.258397,0,1651,479584,138,0,0,0,0,0,0,86,0,0,0
0.260046,0,1656,480001,136,0,0,0,0,0,0,86,0,0,0
0.261667,0,1649,480052,138,0,0,0,0,0,0,88,0,0,0
0.263276,0,1648,481401,138,0,0,0,0,0,0,86,0,0,0
0.264883,0,1649,482549,136,0,0,0,0,0,0,85,0,0,0
0.266488,0,1665,480254,138,0,0,0,0,0,0,87,0,0,0
0.268107,0,1811,467992,137,0,0,0,0,0,0,86,0,0,0
0.269683,0,1654,483930,137,0,0,0,0,0,0,87,0,0,0
0.271291,0,1655,480824,157,0,0,0,0,0,0,90,0,0,0
0.272911,0,1649,480372,137,0,0,0,0,0,0,85,0,0,0
0.274517,0,1650,490322,137,0,0,0,0,0,0,89,0,0,0
0.276187,0,1655,481622,137,0,0,0,0,0,0,90,0,0,0
0.277794,0,1654,478222,137,0,0,0,0,0,0,90,0,0,0
0.279402,0,1650,486481,137,0,0,0,0,0,0,88,0,0,0
0.280999,0,1655,474805,137,0,0,0,0,0,0,86,0,0,0
0.282595,0,1644,479111,137,0,0,0,0,0,0,86,0,0,0
0.284216,0,1653,579972,137,0,0,0,0,0,0,89,0,0,0
0.285665,0,1659,468276,137,0,0,0,0,0,0,86,0,0,0
0.287111,0,1655,456230,137,0,0,0,0,0,0,85,0,0,0
0.288555,0,1647,451148,136,0,0,0,0,0,0,86,0,0,0
0.289996,0,1652,450581,137,0,0,0,0,0,0,87,0,0,0
0.291476,0,1650,468294,137,0,0,0,0,0,0,88,0,0,0
0.293046,0,1657,483472,136,0,0,0,0,0,0,87,0,0,0
0.294666,0,1643,495824,137,0,0,0,0,0,0,87,0,0,0
0.296277,0,1647,480741,138,0,0,0,0,0,0,87,0,0,0
0.297883,0,1650,479651,137,0,0,0,0,0,0,87,0,0,0
0.299536,0,1702,481536,137,0,0,0,0,0,0,88,0,0,0
0.301145,0,1764,478970,137,0,0,0,0,0,0,86,0,0,0
0.302751,0,1656,525255,136,0,0,0,0,0,0,85,0,0,0
0.304401,0,1658,482288,136,0,0,0,0,0,0,86,0,0,0
0.306020,0,1654,480095,137,0,0,0,0,0,0,85,0,0,0
0.307672,0,1652,482256,136,0,0,0,0,0,0,85,0,0,0
0.309280,0,1638,478718,137,0,0,0,0,0,0,89,0,0,0
0.310886,0,1650,487409,138,0,0,0,0,0,0,90,0,0,0
0.312363,0,1644,469670,137,0,0,0,0,0,0,85,0,0,0
0.313811,0,1673,478824,136,0,0,0,0,0,0,88,0,0,0
0.315428,0,1733,491228,137,0,0,0,0,0,0,85,0,0,0
0.316927,0,1729,442545,132,0,0,0,0,0,0,83,0,0,0
0.318502,0,1593,458606,132,0,0,0,0,0,0,86,0,0,0
0.319981,0,1584,448353,132,0,0,0,0,0,0,84,0,0,0
0.321556,0,1579,460991,131,0,0,0,0,0,0,87,0,0,0
0.323165,0,1632,506241,132,0,0,0,0,0,0,85,0,0,0
0.324815,0,1632,459015,132,0,0,0,0,0,0,87,0,0,0
0.326422,0,1631,458219,131,0,0,0,0,0,0,83,0,0,0
0.328043,0,1592,458751,132,0,0,0,0,0,0,84,0,0,0
0.329650,0,1631,458354,132,0,0,0,0,0,0,86,0,0,0
0.331260,0,1777,506987,131,0,0,0,0,0,0,88,0,0,0
0.332912,0,1632,459338,131,0,0,0,0,0,0,87,0,0,0
0.334518,0,1630,458644,132,0,0,0,0,0,0,88,0,0,0
0.336185,0,1634,458370,131,0,0,0,0,0,0,88,0,0,0
0.337792,0,1594,459465,132,0,0,0,0,0,0,84,0,0,0
0.339457,0,1627,460304,131,0,0,0,0,0,0,86,0,0,0
0.341064,0,1629,458616,131,0,0,0,0,0,0,87,0,0,0
0.342669,0,1630,463097,145,0,0,0,0,0,0,87,0,0,0
0.344276,0,1589,453221,132,0,0,0,0,0,0,85,0,0,0
0.345872,0,1632,452744,132,0,0,0,0,0,0,87,0,0,0
0.347388,0,1582,446674,132,0,0,0,0,0,0,83,0,0,0
0.348961,0,1593,457259,132,0,0,0,0,0,0,86,0,0,0
0.350579,0,1590,460495,131,0,0,0,0,0,0,86,0,0,0
0.352251,0,1586,526768,132,0,0,0,0,0,0,86,0,0,0
0.353854,0,1582,456972,131,0,0,0,0,0,0,88,0,0,0
0.355503,0,1629,458228,132,0,0,0,0,0,0,85,0,0,0
