elapsed_s,RBBM_S_PC_BUSY,RBBM_S_TESS_BUSY,RBBM_S_TSEFE_BUSY,RBBM_S_TSEBE_BUSY
0.001095,0,0,0,0
0.002543,0,0,0,0
0.003963,0,0,0,0
0.005383,0,0,0,0
0.006857,0,0,0,0
0.008274,0,0,0,0
0.011239,0,0,0,0
0.012649,0,0,0,0
0.014101,0,0,0,0
0.015454,0,0,0,0
0.016847,0,0,0,0
0.018212,0,0,0,0
0.019572,0,0,0,0
0.020920,0,0,0,0
0.022330,0,0,0,0
0.023679,0,0,0,0
0.025027,0,0,0,0
0.026374,0,0,0,0
0.027724,0,0,0,0
0.029072,0,0,0,0
0.030520,0,0,0,0
0.031815,0,0,0,0
0.033110,0,0,0,0
0.034560,0,0,0,0
0.035849,0,0,0,0
0.037140,0,0,0,0
0.038449,0,0,0,0
0.039739,0,0,0,0
0.041028,0,0,0,0
0.042364,0,0,0,0
0.043623,0,0,0,0
0.044878,0,0,0,0
0.046146,0,0,0,0
0.047409,0,0,0,0
0.048663,0,0,0,0
0.049987,0,0,0,0
0.051326,0,0,0,0
0.052664,0,0,0,0
0.054031,0,0,0,0
0.055427,0,0,0,0
0.056733,0,0,0,0
0.058043,0,0,0,0
0.059311,0,0,0,0
0.060570,0,0,0,0
0.061829,0,0,0,0
0.063106,0,0,0,0
0.064478,0,0,0,0
0.065895,0,0,0,0
0.067311,0,0,0,0
0.068725,0,0,0,0
0.070182,0,0,0,0
0.071604,0,0,0,0
0.073023,0,0,0,0
0.074645,0,0,0,0
0.076048,0,0,0,0
0.077432,0,0,0,0
0.078870,0,0,0,0
0.080271,0,0,0,0
0.081511,0,0,0,0
0.082932,0,0,0,0
0.084172,0,0,0,0
0.085410,0,0,0,0
0.086760,0,0,0,0
0.087999,0,0,0,0
0.089239,0,0,0,0
0.090482,0,0,0,0
0.091722,0,0,0,0
0.092961,0,0,0,0
0.094314,0,0,0,0
0.095572,0,0,0,0
0.096953,0,0,0,0
0.098332,0,0,0,0
0.099714,0,0,0,0
0.101092,0,0,0,0
0.102515,0,0,0,0
0.103874,0,0,0,0
0.105239,0,0,0,0
0.106662,0,0,0,0
0.108018,0,0,0,0
0.109374,0,0,0,0
0.110767,0,0,0,0
0.112108,0,0,0,0
0.113449,0,0,0,0
0.114865,0,0,0,0
0.116211,0,0,0,0
0.117582,0,0,0,0
0.119676,0,0,0,0
0.121086,0,0,0,0
0.122501,0,0,0,0
0.123762,0,0,0,0
0.125206,0,0,0,0
0.126681,0,0,0,0
0.128057,0,0,0,0
0.129427,0,0,0,0
0.130797,0,0,0,0
0.132166,0,0,0,0
0.133534,0,0,0,0
0.135052,0,0,0,0
0.136610,0,0,0,0
0.140418,0,0,0,0
0.142315,0,0,0,0
0.143710,0,0,0,0
0.145097,0,0,0,0
0.146485,0,0,0,0
0.147871,0,0,0,0
0.149277,0,0,0,0
0.150699,0,0,0,0
0.152080,0,0,0,0
0.153460,0,0,0,0
0.154863,0,0,0,0
0.156248,0,0,0,0
0.157643,0,0,0,0
0.159124,0,0,0,0
0.160521,0,0,0,0
0.161905,0,0,0,0
0.163290,0,0,0,0
0.164674,0,0,0,0
0.166094,0,0,0,0
0.167477,0,0,0,0
0.168859,0,0,0,0
0.170372,0,0,0,0
0.171809,0,0,0,0
0.173201,0,0,0,0
0.174631,0,0,0,0
0.176017,0,0,0,0
0.177403,0,0,0,0
0.178790,0,0,0,0
0.180174,0,0,0,0
0.181689,0,0,0,0
0.183296,0,0,0,0
0.184843,0,0,0,0
0.186392,0,0,0,0
0.187941,0,0,0,0
0.189488,0,0,0,0
0.190982,0,0,0,0
0.192458,0,0,0,0
0.193867,0,0,0,0
0.195258,0,0,0,0
0.196645,0,0,0,0
0.198081,0,0,0,0
0.199468,0,0,0,0
0.200983,0,0,0,0
0.202535,0,0,0,0
0.204104,0,0,0,0
0.205655,0,0,0,0
0.207249,0,0,0,0
0.208797,0,0,0,0
0.210349,0,0,0,0
0.211900,0,0,0,0
0.213448,0,0,0,0
0.215006,0,0,0,0
0.216555,0,0,0,0
0.218105,0,0,0,0
0.219656,0,0,0,0
0.221203,0,0,0,0
0.222826,0,0,0,0
0.224374,0,0,0,0
0.225819,0,0,0,0
0.227341,0,0,0,0
0.228889,0,0,0,0
0.230482,0,0,0,0
0.232034,0,0,0,0
0.233586,0,0,0,0
0.235136,0,0,0,0
0.236699,0,0,0,0
0.238216,0,0,0,0
0.239767,0,0,0,0
0.241317,0,0,0,0
0.242872,0,0,0,0
0.244421,0,0,0,0
0.246017,0,0,0,0
0.247580,0,0,0,0
0.249129,0,0,0,0
0.250679,0,0,0,0
0.252229,0,0,0,0
0.253781,0,0,0,0
0.255376,0,0,0,0
0.256925,0,0,0,0
0.258489,0,0,0,0
0.260039,0,0,0,0
0.261591,0,0,0,0
0.263141,0,0,0,0
0.264690,0,0,0,0
0.266242,0,0,0,0
0.267793,0,0,0,0
0.269355,0,0,0,0
0.270933,0,0,0,0
0.272482,0,0,0,0
0.274035,0,0,0,0
0.275577,0,0,0,0
0.277116,0,0,0,0
0.278576,0,0,0,0
0.280107,0,0,0,0
0.281659,0,0,0,0
0.283210,0,0,0,0
0.284760,0,0,0,0
0.286356,0,0,0,0
0.287909,0,0,0,0
0.289459,0,0,0,0
0.291028,0,0,0,0
0.292578,0,0,0,0
0.294175,0,0,0,0
0.295726,0,0,0,0
0.297274,0,0,0,0
0.298825,0,0,0,0
0.300373,0,0,0,0
0.301982,0,0,0,0
0.303532,0,0,0,0
0.305080,0,0,0,0
0.306631,0,0,0,0
0.308172,0,0,0,0
0.309752,0,0,0,0
0.311345,0,0,0,0
0.312945,0,0,0,0
0.314496,0,0,0,0
0.316047,0,0,0,0
0.317600,0,0,0,0
0.319150,0,0,0,0
0.320700,0,0,0,0
0.322252,0,0,0,0
0.323818,0,0,0,0
0.325368,0,0,0,0
0.326866,0,0,0,0
0.328259,0,0,0,0
0.329778,0,0,0,0
0.331329,0,0,0,0
0.332879,0,0,0,0
0.334487,0,0,0,0
0.336039,0,0,0,0
0.337592,0,0,0,0
0.339134,0,0,0,0
0.340675,0,0,0,0
0.342135,0,0,0,0
0.343657,0,0,0,0
0.345220,0,0,0,0
0.346824,0,0,0,0
0.348374,0,0,0,0
0.349971,0,0,0,0
0.351524,0,0,0,0
0.353073,0,0,0,0
0.354624,0,0,0,0
0.356232,0,0,0,0
0.357786,0,0,0,0
0.359260,0,0,0,0
0.360787,0,0,0,0
0.362340,0,0,0,0
0.363891,0,0,0,0
0.365441,0,0,0,0
0.367013,0,0,0,0
0.368563,0,0,0,0
0.370115,0,0,0,0
0.371667,0,0,0,0
0.373218,0,0,0,0
0.374738,0,0,0,0
0.376259,0,0,0,0
0.377824,0,0,0,0
0.379375,0,0,0,0
0.380924,0,0,0,0
0.382518,0,0,0,0
0.384070,0,0,0,0
0.385622,0,0,0,0
0.387173,0,0,0,0
0.388737,0,0,0,0
0.390334,0,0,0,0
0.391886,0,0,0,0
0.393436,0,0,0,0
0.394992,0,0,0,0
0.396542,0,0,0,0
0.398138,0,0,0,0
0.399704,0,0,0,0
0.401254,0,0,0,0
0.402803,0,0,0,0
0.404343,0,0,0,0
0.405767,0,0,0,0
0.407335,0,0,0,0
0.408885,0,0,0,0
0.410450,0,0,0,0
0.412002,0,0,0,0
0.413556,0,0,0,0
0.415108,0,0,0,0
0.416657,0,0,0,0
0.418210,0,0,0,0
0.419762,0,0,0,0
0.421325,0,0,0,0
0.422880,0,0,0,0
0.424429,0,0,0,0
0.425982,0,0,0,0
0.427533,0,0,0,0
0.429083,0,0,0,0
0.430678,0,0,0,0
0.432244,0,0,0,0
0.433797,0,0,0,0
0.435349,0,0,0,0
0.436899,0,0,0,0
0.438494,0,0,0,0
0.440046,0,0,0,0
0.441598,0,0,0,0
0.443153,0,0,0,0
0.444692,0,0,0,0
0.446154,0,0,0,0
0.447675,0,0,0,0
0.449225,0,0,0,0
0.450830,0,0,0,0
0.452379,0,0,0,0
0.453989,0,0,0,0
0.455540,0,0,0,0
0.457089,0,0,0,0
0.458641,0,0,0,0
0.460193,0,0,0,0
0.461746,0,0,0,0
0.463299,0,0,0,0
0.464863,0,0,0,0
0.466414,0,0,0,0
0.467955,0,0,0,0
0.469496,0,0,0,0
0.471541,0,0,0,0
0.472937,0,0,0,0
0.474324,0,0,0,0
0.475724,0,0,0,0
0.477112,0,0,0,0
0.478501,0,0,0,0
0.480016,0,0,0,0
0.481568,0,0,0,0
0.483120,0,0,0,0
0.484670,0,0,0,0
0.486278,0,0,0,0
0.487828,0,0,0,0
0.489378,0,0,0,0
0.490933,0,0,0,0
0.492482,0,0,0,0
0.494077,0,0,0,0
0.495628,0,0,0,0
0.497191,0,0,0,0
0.498688,0,0,0,0
0.500208,0,0,0,0
0.501760,0,0,0,0
0.503356,0,0,0,0
0.504904,0,0,0,0
0.506455,0,0,0,0
0.508019,0,0,0,0
0.509572,0,0,0,0
0.511123,0,0,0,0
0.512672,0,0,0,0
0.514223,0,0,0,0
0.515774,0,0,0,0
0.517323,0,0,0,0
0.518893,0,0,0,0
0.520442,0,0,0,0
0.521994,0,0,0,0
0.523545,0,0,0,0
0.525094,0,0,0,0
0.526688,0,0,0,0
0.528240,0,0,0,0
0.529806,0,0,0,0
0.531356,0,0,0,0
0.532906,0,0,0,0
0.534500,0,0,0,0
0.536052,0,0,0,0
0.537603,0,0,0,0
0.539154,0,0,0,0
0.540717,0,0,0,0
0.542312,0,0,0,0
0.543863,0,0,0,0
0.545413,0,0,0,0
0.546961,0,0,0,0
0.548501,0,0,0,0
0.549961,0,0,0,0
0.551365,0,0,0,0
0.552880,0,0,0,0
0.554428,0,0,0,0
0.555976,0,0,0,0
0.557590,0,0,0,0
0.559119,0,0,0,0
0.560642,0,0,0,0
0.562205,0,0,0,0
0.563755,0,0,0,0
0.565302,0,0,0,0
0.566854,0,0,0,0
0.568401,0,0,0,0
0.569951,0,0,0,0
0.571497,0,0,0,0
0.573057,0,0,0,0
0.574649,0,0,0,0
0.576199,0,0,0,0
0.577748,0,0,0,0
0.579298,0,0,0,0
0.580845,0,0,0,0
0.582436,0,0,0,0
0.584000,0,0,0,0
0.585550,0,0,0,0
0.587125,0,0,0,0
0.588675,0,0,0,0
0.590272,0,0,0,0
0.591824,0,0,0,0
0.593372,0,0,0,0
0.594942,0,0,0,0
0.596491,0,0,0,0
0.598087,0,0,0,0
0.599638,0,0,0,0
0.601187,0,0,0,0
0.602687,0,0,0,0
0.604208,0,0,0,0
0.605771,0,0,0,0
0.607366,0,0,0,0
0.608916,0,0,0,0
0.610468,0,0,0,0
0.612019,0,0,0,0
0.613572,0,0,0,0
0.615123,0,0,0,0
0.616685,0,0,0,0
0.618237,0,0,0,0
0.619789,0,0,0,0
0.621339,0,0,0,0
0.622894,0,0,0,0
0.624442,0,0,0,0
0.625995,0,0,0,0
0.627559,0,0,0,0
0.629108,0,0,0,0
0.630702,0,0,0,0
0.632253,0,0,0,0
0.633805,0,0,0,0
0.635356,0,0,0,0
0.636808,0,0,0,0
0.638183,0,0,0,0
0.639597,0,0,0,0
0.640988,0,0,0,0
0.642481,0,0,0,0
0.643869,0,0,0,0
0.645255,0,0,0,0
0.646825,0,0,0,0
0.648387,0,0,0,0
0.649940,0,0,0,0
0.651357,0,0,0,0
0.652867,0,0,0,0
0.654329,0,0,0,0
0.655848,0,0,0,0
0.657397,0,0,0,0
0.658966,0,0,0,0
0.660515,0,0,0,0
0.661983,0,0,0,0
0.663384,0,0,0,0
0.664772,0,0,0,0
0.666162,0,0,0,0
0.667549,0,0,0,0
0.668948,0,0,0,0
0.670372,0,0,0,0
0.671887,0,0,0,0
0.673435,0,0,0,0
0.674992,0,0,0,0
0.676541,0,0,0,0
0.678136,0,0,0,0
0.679701,0,0,0,0
0.681250,0,0,0,0
0.682803,0,0,0,0
0.684351,0,0,0,0
0.685904,0,0,0,0
0.687455,0,0,0,0
0.689003,0,0,0,0
0.690564,0,0,0,0
0.692112,0,0,0,0
0.693664,0,0,0,0
0.695258,0,0,0,0
0.696807,0,0,0,0
0.698358,0,0,0,0
0.699909,0,0,0,0
0.701470,0,0,0,0
0.703021,0,0,0,0
0.704569,0,0,0,0
0.706121,0,0,0,0
0.707672,0,0,0,0
0.709221,0,0,0,0
0.710736,0,0,0,0
0.712266,0,0,0,0
0.713818,0,0,0,0
0.715369,0,0,0,0
0.716919,0,0,0,0
0.718513,0,0,0,0
0.720066,0,0,0,0
0.721618,0,0,0,0
0.723182,0,0,0,0
0.724732,0,0,0,0
0.726179,0,0,0,0
0.727764,0,0,0,0
0.729313,0,0,0,0
0.730868,0,0,0,0
0.732417,0,0,0,0
0.734027,0,0,0,0
0.735578,0,0,0,0
0.737127,0,0,0,0
0.738678,0,0,0,0
0.740229,0,0,0,0
0.741781,0,0,0,0
0.743378,0,0,0,0
0.744940,0,0,0,0
0.746491,0,0,0,0
0.748042,0,0,0,0
0.749594,0,0,0,0
0.751146,0,0,0,0
0.752695,0,0,0,0
0.754248,0,0,0,0
0.755804,0,0,0,0
0.757344,0,0,0,0
0.758927,0,0,0,0
0.760302,0,0,0,0
0.761829,0,0,0,0
0.763380,0,0,0,0
0.764928,0,0,0,0
0.766535,0,0,0,0
0.769401,0,0,0,0
0.770843,0,0,0,0
0.772237,0,0,0,0
0.773628,0,0,0,0
0.775018,0,0,0,0
0.776418,0,0,0,0
0.777808,0,0,0,0
0.779194,0,0,0,0
0.780580,0,0,0,0
0.782006,0,0,0,0
0.783393,0,0,0,0
0.784780,0,0,0,0
0.786167,0,0,0,0
0.787567,0,0,0,0
0.788948,0,0,0,0
0.790364,0,0,0,0
0.791879,0,0,0,0
0.793429,0,0,0,0
0.794984,0,0,0,0
0.796533,0,0,0,0
0.798143,0,0,0,0
0.799693,0,0,0,0
0.801242,0,0,0,0
0.802796,0,0,0,0
0.804345,0,0,0,0
0.805897,0,0,0,0
0.807448,0,0,0,0
