elapsed_s,PC_NEVER_COUNT,PC_US_BUSY_CYCLES,PC_US_WORKING_CYCLES,PC_US_UCHE_OUTSTANDING_TRANS,PC_US_PASS1_TF_STALL_CYCLES,PC_US_STARVE_CYCLES_FOR_INDEX,PC_US_STARVE_CYCLES_FOR_TF,PC_US_STARVE_CYCLES_FOR_VIZ_STREAM
0.001096,0,0,0,0,0,0,0,0
0.002575,0,0,0,0,0,0,0,0
0.004175,0,0,0,0,0,0,0,0
0.005630,0,0,0,0,0,0,0,0
0.007081,0,0,0,0,0,0,0,0
0.008531,0,0,0,0,0,0,0,0
0.009991,0,0,0,0,0,0,0,0
0.011443,0,0,0,0,0,0,0,0
0.012894,0,0,0,0,0,0,0,0
0.014344,0,0,0,0,0,0,0,0
0.015794,0,0,0,0,0,0,0,0
0.017326,0,0,0,0,0,0,0,0
0.018746,0,0,0,0,0,0,0,0
0.020201,0,0,0,0,0,0,0,0
0.021588,0,0,0,0,0,0,0,0
0.022971,0,0,0,0,0,0,0,0
0.024353,0,0,0,0,0,0,0,0
0.025737,0,0,0,0,0,0,0,0
0.027118,0,0,0,0,0,0,0,0
0.028547,0,0,0,0,0,0,0,0
0.029932,0,0,0,0,0,0,0,0
0.031371,0,0,0,0,0,0,0,0
0.032774,0,0,0,0,0,0,0,0
0.034208,0,0,0,0,0,0,0,0
0.035527,0,0,0,0,0,0,0,0
0.036901,0,0,0,0,0,0,0,0
0.038222,0,0,0,0,0,0,0,0
0.039541,0,0,0,0,0,0,0,0
0.040863,0,0,0,0,0,0,0,0
0.042188,0,0,0,0,0,0,0,0
0.043618,0,0,0,0,0,0,0,0
0.044937,0,0,0,0,0,0,0,0
0.046258,0,0,0,0,0,0,0,0
0.047578,0,0,0,0,0,0,0,0
0.048892,0,0,0,0,0,0,0,0
0.050163,0,0,0,0,0,0,0,0
0.051435,0,0,0,0,0,0,0,0
0.052847,0,0,0,0,0,0,0,0
0.054207,0,0,0,0,0,0,0,0
0.055635,0,0,0,0,0,0,0,0
0.057041,0,0,0,0,0,0,0,0
0.058419,0,0,0,0,0,0,0,0
0.059801,0,0,0,0,0,0,0,0
0.061171,0,0,0,0,0,0,0,0
0.062549,0,0,0,0,0,0,0,0
0.063931,0,0,0,0,0,0,0,0
0.065391,0,0,0,0,0,0,0,0
0.066863,0,268,357,0,0,0,0,0
0.068277,0,0,0,0,0,0,0,0
0.069684,0,0,0,0,0,0,0,0
0.071090,0,0,0,0,0,0,0,0
0.072497,0,0,0,0,0,0,0,0
0.073907,0,0,0,0,0,0,0,0
0.075326,0,0,0,0,0,0,0,0
0.076849,0,417243,1235,0,0,0,0,0
0.078111,0,1003739,2162,0,0,0,0,0
0.079372,0,1003611,2162,0,0,0,0,0
0.082121,0,2195625,4700,0,0,0,0,0
0.083390,0,1011784,2162,0,0,0,0,0
0.084733,0,1075267,2256,0,0,0,0,0
0.085997,0,1005513,2162,0,0,0,0,0
0.087259,0,1002051,2162,0,0,0,0,0
0.088523,0,1010145,2162,0,0,0,0,0
0.089789,0,1009919,2162,0,0,0,0,0
0.091056,0,528003,1160,0,0,0,0,0
0.092468,0,0,0,0,0,0,0,0
0.093920,0,0,0,0,0,0,0,0
0.095329,0,0,0,0,0,0,0,0
0.096889,0,0,0,0,0,0,0,0
0.098293,0,0,0,0,0,0,0,0
0.099696,0,0,0,0,0,0,0,0
0.101104,0,0,0,0,0,0,0,0
0.102764,0,0,0,0,0,0,0,0
0.104170,0,0,0,0,0,0,0,0
0.105577,0,0,0,0,0,0,0,0
0.106980,0,0,0,0,0,0,0,0
0.108382,0,0,0,0,0,0,0,0
0.109787,0,0,0,0,0,0,0,0
0.111190,0,0,0,0,0,0,0,0
0.112644,0,0,0,0,0,0,0,0
0.114057,0,0,0,0,0,0,0,0
0.119665,0,0,0,0,0,0,0,0
