elapsed_s,PC_S_TESS_SETUP_ACTIVE,PC_S_TESS_PID_ACTIVE,PC_S_TESS_PRIM_GEN_ACTIVE,PC_S_TESS_FACTOR_TRANS,PC_S_TESS_PC_UV_TRANS,PC_S_TESS_PC_UV_PATCHES,PC_S_MESH_VS_WAVES
0.003259,0,0,0,0,0,0,0
0.004850,0,0,0,0,0,0,0
0.006447,0,0,0,0,0,0,0
0.008074,0,0,0,0,0,0,0
0.009615,0,0,0,0,0,0,0
0.011144,0,0,0,0,0,0,0
0.012769,0,0,0,0,0,0,0
0.014370,0,0,0,0,0,0,0
0.015873,0,0,0,0,0,0,0
0.017399,0,0,0,0,0,0,0
0.018897,0,0,0,0,0,0,0
0.020445,0,0,0,0,0,0,0
0.021989,0,0,0,0,0,0,0
0.023463,0,0,0,0,0,0,0
0.024921,0,0,0,0,0,0,0
0.026380,0,0,0,0,0,0,0
0.027838,0,0,0,0,0,0,0
0.029321,0,0,0,0,0,0,0
0.030840,0,0,0,0,0,0,0
0.032343,0,0,0,0,0,0,0
0.034012,0,0,0,0,0,0,0
0.035663,0,0,0,0,0,0,0
0.037721,0,0,0,0,0,0,0
0.039255,0,0,0,0,0,0,0
0.040785,0,0,0,0,0,0,0
0.042309,0,0,0,0,0,0,0
0.043829,0,0,0,0,0,0,0
0.045343,0,0,0,0,0,0,0
0.046796,0,0,0,0,0,0,0
0.048360,0,0,0,0,0,0,0
0.050022,0,0,0,0,0,0,0
0.051421,0,0,0,0,0,0,0
0.052886,0,0,0,0,0,0,0
0.054299,0,0,0,0,0,0,0
0.055699,0,0,0,0,0,0,0
0.057147,0,0,0,0,0,0,0
0.058544,0,0,0,0,0,0,0
0.059942,0,0,0,0,0,0,0
0.061512,0,0,0,0,0,0,0
0.062891,0,0,0,0,0,0,0
0.064275,0,0,0,0,0,0,0
0.065719,0,0,0,0,0,0,0
0.067069,0,0,0,0,0,0,0
0.068420,0,0,0,0,0,0,0
0.069818,0,0,0,0,0,0,0
0.071175,0,0,0,0,0,0,0
0.072535,0,0,0,0,0,0,0
0.073959,0,0,0,0,0,0,0
0.075316,0,0,0,0,0,0,0
0.076674,0,0,0,0,0,0,0
0.078077,0,0,0,0,0,0,0
0.079796,0,0,0,0,0,0,0
0.081203,0,0,0,0,0,0,0
0.082605,0,0,0,0,0,0,0
0.084022,0,0,0,0,0,0,0
0.085428,0,0,0,0,0,0,0
