elapsed_s,VFD_ATTR_INFO_FIFO_FULL,VFD_DECODED_ATTRIBUTE_BYTES,VFD_NUM_ATTRIBUTES,VFD_UPPER_SHADER_FIBERS,VFD_LOWER_SHADER_FIBERS,VFD_MODE_0_FIBERS,VFD_MODE_1_FIBERS,VFD_MODE_2_FIBERS
0.001111,0,0,0,0,0,0,0,0
0.002588,0,0,0,0,0,0,0,0
0.004044,0,0,0,0,0,0,0,0
0.005497,0,0,0,0,0,0,0,0
0.006949,0,0,0,0,0,0,0,0
0.008401,0,0,0,0,0,0,0,0
0.009864,0,0,0,0,0,0,0,0
0.011400,0,0,0,0,0,0,0,0
0.012851,0,0,0,0,0,0,0,0
0.014305,0,0,0,0,0,0,0,0
0.015803,0,0,0,0,0,0,0,0
0.017229,0,0,0,0,0,0,0,0
0.018654,0,0,0,0,0,0,0,0
0.020088,0,0,0,0,0,0,0,0
0.021515,0,0,0,0,0,0,0,0
0.022943,0,0,0,0,0,0,0,0
0.024371,0,0,0,0,0,0,0,0
0.025797,0,0,0,0,0,0,0,0
0.027218,0,0,0,0,0,0,0,0
0.028643,0,0,0,0,0,0,0,0
0.030083,0,0,0,0,0,0,0,0
0.031551,0,0,0,0,0,0,0,0
0.032960,0,0,0,0,0,0,0,0
0.034370,0,0,0,0,0,0,0,0
0.035780,0,0,0,0,0,0,0,0
0.037190,0,0,0,0,0,0,0,0
0.038600,0,0,0,0,0,0,0,0
0.040012,0,0,0,0,0,0,0,0
0.041424,0,0,0,0,0,0,0,0
0.042840,0,0,0,0,0,0,0,0
0.044252,0,0,0,0,0,0,0,0
0.045664,0,0,0,0,0,0,0,0
0.047204,0,0,0,0,0,0,0,0
0.048686,0,0,0,0,0,0,0,0
0.050095,0,0,0,0,0,0,0,0
0.051426,0,0,0,0,0,0,0,0
0.052749,0,0,0,0,0,0,0,0
0.054076,0,0,0,0,0,0,0,0
0.055405,0,0,0,0,0,0,0,0
0.056726,0,0,0,0,0,0,0,0
0.058047,0,0,0,0,0,0,0,0
0.059368,0,0,0,0,0,0,0,0
0.060751,0,0,0,0,0,0,0,0
0.062076,0,0,0,0,0,0,0,0
0.063399,0,0,0,0,0,0,0,0
0.064725,0,0,0,0,0,0,0,0
0.066004,0,0,0,0,0,0,0,0
0.067276,0,0,0,0,0,0,0,0
0.068656,0,0,0,0,0,0,0,0
0.069926,0,0,0,0,0,0,0,0
0.071198,0,0,0,0,0,0,0,0
0.072470,0,0,0,0,0,0,0,0
0.073851,0,0,0,0,0,0,0,0
0.075124,0,0,0,0,0,0,0,0
0.076451,0,0,0,0,0,0,0,0
0.077837,0,0,0,0,0,0,0,0
0.079249,0,0,0,0,0,0,0,0
0.080583,0,0,0,0,0,0,0,0
0.081903,0,0,0,0,0,0,0,0
0.083290,0,0,0,0,0,0,0,0
0.084702,0,0,0,0,0,0,0,0
0.086142,0,0,0,0,0,0,0,0
0.087639,0,0,0,0,0,0,0,0
