elapsed_s,VFD_MODE_3_FIBERS,VFD_MODE_4_FIBERS,VFD_TOTAL_VERTICES,VFDP_STALL_CYCLES_VFD,VFDP_STALL_CYCLES_VFD_INDEX,VFDP_STALL_CYCLES_VFD_PROG,VFDP_STARVE_CYCLES_PC,VFDP_VS_STAGE_WAVES
0.001142,0,0,0,0,0,0,0,0
0.002622,0,0,0,0,0,0,0,0
0.004059,0,0,0,0,0,0,0,0
0.005604,0,0,0,0,0,0,0,0
0.007054,0,0,0,0,0,0,0,0
0.008505,0,0,0,0,0,0,0,0
0.010024,0,0,0,0,0,0,0,0
0.011548,0,0,0,0,0,0,0,0
0.013011,0,0,0,0,0,0,0,0
0.015346,0,0,0,0,0,0,0,0
0.017957,0,0,0,0,0,0,0,0
0.019423,0,0,0,0,0,0,0,0
0.020913,0,0,0,0,0,0,0,0
0.022360,0,0,0,0,0,0,0,0
0.023774,0,0,0,0,0,0,0,0
0.025278,0,0,0,0,0,0,0,0
0.026683,0,0,0,0,0,0,0,0
0.028084,0,0,0,0,0,0,0,0
0.029510,0,0,0,0,0,0,0,0
0.030937,0,0,0,0,0,0,0,0
0.032423,0,0,0,0,0,0,0,0
0.033833,0,0,0,0,0,0,0,0
0.035240,0,0,0,0,0,0,0,0
0.036647,0,0,0,0,0,0,0,0
0.038055,0,0,0,0,0,0,0,0
0.039461,0,0,0,0,0,0,0,0
0.040977,0,0,0,0,0,0,0,0
0.042376,0,0,0,0,0,0,0,0
0.043757,0,0,0,0,0,0,0,0
0.045186,0,0,0,0,0,0,0,0
0.046568,0,0,0,0,0,0,0,0
0.047949,0,0,0,0,0,0,0,0
0.049379,0,0,0,0,0,0,0,0
0.050758,0,0,0,0,0,0,0,0
0.052133,0,0,0,0,0,0,0,0
0.053537,0,0,0,0,0,0,0,0
0.054921,0,0,0,0,0,0,0,0
0.056305,0,0,0,0,0,0,0,0
0.057685,0,0,0,0,0,0,0,0
0.059007,0,0,0,0,0,0,0,0
0.060327,0,0,0,0,0,0,0,0
0.061657,0,0,0,0,0,0,0,0
0.062977,0,0,0,0,0,0,0,0
0.064301,0,0,0,0,0,0,0,0
0.065613,0,0,0,0,0,0,0,0
0.066886,0,0,0,0,0,0,0,0
0.068159,0,0,0,0,0,0,0,0
0.069442,0,0,0,0,0,0,0,0
0.070716,0,0,0,0,0,0,0,0
0.072038,0,0,0,0,0,0,0,0
0.073331,0,0,0,0,0,0,0,0
0.074660,0,0,0,0,0,0,0,0
0.075936,0,0,0,0,0,0,0,0
0.077260,0,0,0,0,0,0,0,0
0.078642,0,0,0,0,0,0,0,0
0.080027,0,0,0,0,0,0,0,0
0.081435,0,0,0,0,0,0,0,0
0.082816,0,0,0,0,0,0,0,0
0.084199,0,0,0,0,0,0,0,0
0.085529,0,0,0,30,30,0,1281,0
0.087026,0,0,0,0,0,0,0,0
0.088458,0,0,0,0,0,0,0,0
0.089732,0,0,0,0,0,0,0,0
0.091006,0,0,0,0,0,0,0,0
0.092279,0,0,0,0,0,0,0,0
0.093648,0,0,0,0,0,0,0,0
0.095006,0,0,0,0,0,0,0,0
0.096588,0,0,0,0,0,0,0,0
0.098103,0,0,0,0,0,0,0,0
0.099523,0,0,0,0,0,0,0,0
0.100942,0,0,0,0,0,0,0,0
0.102376,0,0,0,168,168,0,1421793,0
0.103595,0,0,0,264,264,0,2920095,0
0.104914,0,0,0,288,288,0,3179934,0
0.106199,0,0,0,276,276,0,3032811,0
0.107465,0,0,0,276,276,0,3032802,0
0.108729,0,0,0,276,276,0,3025266,0
0.109990,0,0,0,276,276,0,3007869,0
0.111252,0,0,0,276,276,0,3010566,0
0.112528,0,0,0,276,276,0,3063507,0
0.113794,0,0,0,276,276,0,3012852,0
0.115187,0,0,0,306,306,0,3370587,0
0.116513,0,0,0,180,180,0,1684647,0
0.117997,0,0,0,0,0,0,0,0
0.119428,0,0,0,0,0,0,0,0
0.120871,0,0,0,0,0,0,0,0
0.122225,0,0,0,0,0,0,0,0
0.123578,0,0,0,0,0,0,0,0
0.124930,0,0,0,0,0,0,0,0
0.126281,0,0,0,0,0,0,0,0
0.127839,0,0,0,0,0,0,0,0
0.129432,0,0,0,0,0,0,0,0
0.130782,0,0,0,0,0,0,0,0
0.132132,0,0,0,0,0,0,0,0
0.133488,0,0,0,0,0,0,0,0
0.134837,0,0,0,0,0,0,0,0
0.136185,0,0,0,0,0,0,0,0
0.138592,0,0,0,0,0,0,0,0
0.139929,0,0,0,0,0,0,0,0
0.141267,0,0,0,0,0,0,0,0
0.142605,0,0,0,0,0,0,0,0
0.143942,0,0,0,0,0,0,0,0
0.145393,0,0,0,0,0,0,0,0
0.146731,0,0,0,0,0,0,0,0
0.148068,0,0,0,0,0,0,0,0
0.149488,0,0,0,0,0,0,0,0
0.150826,0,0,0,0,0,0,0,0
0.152277,0,0,0,0,0,0,0,0
0.153735,0,0,0,0,0,0,0,0
0.155136,0,0,0,0,0,0,0,0
0.156688,0,0,0,0,0,0,0,0
0.158100,0,0,0,0,0,0,0,0
0.159482,0,0,0,0,0,0,0,0
0.160847,0,0,0,0,0,0,0,0
0.162209,0,0,0,0,0,0,0,0
0.163570,0,0,0,0,0,0,0,0
0.164933,0,0,0,0,0,0,0,0
0.166293,0,0,0,0,0,0,0,0
0.167653,0,0,0,0,0,0,0,0
0.169147,0,0,0,0,0,0,0,0
0.170746,0,0,0,0,0,0,0,0
0.172317,0,0,0,0,0,0,0,0
0.173953,0,0,0,0,0,0,0,0
0.175514,0,0,0,0,0,0,0,0
0.176953,0,0,0,0,0,0,0,0
0.178493,0,0,0,0,0,0,0,0
0.180063,0,0,0,0,0,0,0,0
0.181527,0,0,0,0,0,0,0,0
0.183068,0,0,0,0,0,0,0,0
0.184640,0,0,0,0,0,0,0,0
0.186256,0,0,0,0,0,0,0,0
0.187826,0,0,0,0,0,0,0,0
0.189397,0,0,0,0,0,0,0,0
0.190969,0,0,0,0,0,0,0,0
0.192555,0,0,0,0,0,0,0,0
0.194127,0,0,0,0,0,0,0,0
0.195696,0,0,0,0,0,0,0,0
0.197266,0,0,0,0,0,0,0,0
0.198862,0,0,0,0,0,0,0,0
0.200439,0,0,0,0,0,0,0,0
0.202054,0,0,0,0,0,0,0,0
0.203639,0,0,0,0,0,0,0,0
0.205213,0,0,0,0,0,0,0,0
0.206776,0,0,0,0,0,0,0,0
0.208447,0,0,0,0,0,0,0,0
0.209858,0,0,0,0,0,0,0,0
0.211303,0,0,0,0,0,0,0,0
0.212718,0,0,0,0,0,0,0,0
0.214144,0,0,0,0,0,0,0,0
0.215554,0,0,0,0,0,0,0,0
0.216987,0,0,0,0,0,0,0,0
0.218525,0,0,0,0,0,0,0,0
0.220096,0,0,0,0,0,0,0,0
0.221674,0,0,0,0,0,0,0,0
0.223246,0,0,0,0,0,0,0,0
