elapsed_s,VFD_STALL_CYCLES_PRG_END_FE,VFD_STALL_CYCLES_CBSYNC,VFD_BOTTLENECK_CYCLES,VFD_WORKING_CYCLES
0.001100,0,0,0,0
0.002681,0,0,0,0
0.004167,0,0,0,0
0.005649,0,0,0,0
0.007129,0,0,0,0
0.008621,0,0,0,0
0.010101,0,0,0,0
0.011665,0,0,0,0
0.013145,0,0,0,0
0.014692,0,0,0,0
0.016212,0,0,0,0
0.017693,0,0,0,0
0.019174,0,0,0,0
0.020591,0,0,0,0
0.022065,0,0,0,0
0.023494,0,0,0,0
0.024942,0,0,0,0
0.026357,0,0,0,0
0.027842,0,0,0,0
0.029271,0,0,0,0
0.030698,0,0,0,0
0.032257,0,0,0,0
0.033637,0,0,0,0
0.034993,0,0,0,0
0.036350,0,0,0,0
0.037821,0,0,0,0
0.039177,0,0,0,0
0.040540,0,0,0,0
0.041900,0,0,0,0
0.043253,0,0,0,0
0.044626,0,0,0,0
0.045982,0,0,0,0
0.047331,0,0,0,0
0.048694,0,0,0,0
0.050057,0,0,0,0
0.051444,0,0,0,0
0.052784,0,0,0,0
0.054118,0,0,0,0
0.055952,0,0,0,0
0.057366,0,0,0,0
0.058721,0,0,0,0
0.060077,0,0,0,0
0.061424,0,0,0,0
0.062792,0,0,0,0
0.064187,0,0,0,0
0.065532,0,0,0,0
0.066877,0,0,0,0
0.068222,0,0,0,0
0.069562,0,0,0,0
0.070901,0,0,0,0
0.072239,0,0,0,0
0.073595,0,0,0,0
0.074937,0,0,0,0
0.076278,0,0,0,0
0.077748,0,0,0,0
0.079278,0,0,0,0
0.080542,0,0,0,0
0.081785,0,0,0,0
0.084052,0,0,0,0
0.085293,0,0,0,0
0.086572,0,0,0,0
0.088250,0,0,0,0
0.089491,0,0,0,0
0.090733,0,0,0,0
0.092097,0,0,0,0
0.093527,0,0,0,0
0.095048,0,0,0,0
0.096486,0,0,0,0
0.097870,0,0,0,0
0.099253,0,0,0,0
0.100636,0,0,0,0
0.102018,0,0,0,0
0.103639,0,0,0,0
0.105088,0,0,0,0
0.106470,0,0,0,0
0.107849,0,0,0,0
0.109238,0,0,0,0
0.110653,0,0,0,0
0.112096,0,0,0,0
0.113500,0,0,0,0
0.114943,0,0,0,0
0.116381,0,0,0,0
0.117758,0,0,0,0
0.120784,0,0,0,0
0.122165,0,0,0,0
0.125347,0,0,0,0
0.126856,0,0,0,0
0.128245,0,0,0,0
0.129592,0,0,0,0
0.130931,0,0,0,0
0.132270,0,0,0,0
0.133626,0,0,0,0
0.134965,0,0,0,0
0.136302,0,0,0,0
0.137641,0,0,0,0
0.138979,0,0,0,0
0.140317,0,0,0,0
0.141654,0,0,0,0
0.143127,0,0,0,0
0.144704,0,0,0,0
0.146252,0,0,0,0
0.147806,0,0,0,0
0.149355,0,0,0,0
0.150907,0,0,0,0
0.152448,0,0,0,0
0.153987,0,0,0,0
0.155418,0,0,0,0
0.156938,0,0,0,0
0.158486,0,0,0,0
0.159985,0,0,0,0
0.161503,0,0,0,0
0.162919,0,0,0,0
0.164430,0,0,0,0
