elapsed_s,HLSQ_STALL_CYCLES_UCHE,HLSQ_RESERVED_7,HLSQ_RESERVED_8,HLSQ_RESERVED_9,HLSQ_COMPUTE_DRAWCALLS,HLSQ_FS_DATA_WAIT_PROGRAMMING
0.001330,0,0,0,0,0,0
0.002814,0,0,0,0,0,0
0.004254,0,0,0,0,0,0
0.005761,0,0,0,0,0,0
0.007205,0,0,0,0,0,0
0.008638,0,0,0,0,0,0
0.010163,0,0,0,0,0,0
0.011596,0,0,0,0,0,0
0.013051,0,0,0,0,0,0
0.014539,0,0,0,0,0,0
0.015975,0,0,0,0,0,0
0.017420,0,0,0,0,0,0
0.018806,0,0,0,0,0,0
0.020249,0,0,0,0,0,0
0.021630,0,0,0,0,0,0
0.023000,0,0,0,0,0,0
0.024366,0,0,0,0,0,0
0.025782,0,0,0,0,0,0
0.027158,0,0,0,0,0,0
0.028522,0,0,0,0,0,0
0.029940,0,0,0,0,0,0
0.031305,0,0,0,0,0,0
0.032675,0,0,0,0,0,0
0.034064,0,0,0,0,0,0
0.035429,0,0,0,0,0,0
0.036778,0,0,0,0,0,0
0.038148,0,0,0,0,0,0
0.039497,0,0,0,0,0,0
0.040899,0,0,0,0,0,0
0.042270,0,0,0,0,0,0
0.043673,0,0,0,0,0,0
0.045026,0,0,0,0,0,0
0.046363,0,0,0,0,0,0
0.047779,0,0,0,0,0,0
0.049131,0,0,0,0,0,0
0.050437,0,0,0,0,0,0
0.051753,0,0,0,0,0,0
0.053113,0,0,0,0,0,0
0.054426,0,0,0,0,0,0
0.055731,0,0,0,0,0,0
0.057085,0,0,0,0,0,0
0.058391,0,0,0,0,0,0
0.059709,0,0,0,0,0,0
0.061062,0,0,0,0,0,0
0.062507,0,0,0,0,0,0
0.063889,0,0,0,0,0,0
0.065256,0,0,0,0,0,0
0.066610,0,0,0,0,0,0
0.067986,0,0,0,0,0,0
0.069342,0,0,0,0,0,0
0.070690,0,0,0,0,0,0
0.072045,0,0,0,0,0,0
0.073396,0,0,0,0,0,0
0.074772,0,0,0,0,0,0
0.076294,0,0,0,0,0,0
0.077744,0,0,0,0,0,0
0.079165,0,0,0,0,0,0
0.080562,0,0,0,0,0,0
0.081963,0,0,0,0,0,0
0.083361,0,0,0,0,0,0
0.085232,4,0,0,0,2,276
0.087091,0,0,0,0,28,6822
0.088350,0,0,0,0,23,5769
0.089604,0,0,0,0,23,5757
0.090854,0,0,0,0,22,5520
0.092104,0,0,0,0,23,5757
0.095005,0,0,0,0,53,13269
0.096260,0,0,0,0,22,5514
0.097514,0,0,0,0,23,5769
0.098770,0,0,0,0,23,5763
0.100093,0,0,0,0,14,3528
0.101532,0,0,0,0,0,0
0.102907,0,0,0,0,0,0
0.104173,0,0,0,0,0,0
0.105547,0,0,0,0,0,0
0.106921,0,0,0,0,0,0
0.108185,0,0,0,0,0,0
0.109579,0,0,0,0,0,0
0.111016,0,0,0,0,0,0
0.112396,0,0,0,0,0,0
0.113826,0,0,0,0,0,0
0.115115,0,0,0,0,0,0
0.116385,0,0,0,0,0,0
0.117764,0,0,0,0,0,0
0.119144,0,0,0,0,0,0
0.120524,0,0,0,0,0,0
0.121908,0,0,0,0,0,0
0.123288,0,0,0,0,0,0
0.124669,0,0,0,0,0,0
0.126259,0,0,0,0,0,0
0.127763,0,0,0,0,0,0
0.129249,0,0,0,0,0,0
0.130704,0,0,0,0,0,0
0.132083,0,0,0,0,0,0
0.133453,0,0,0,0,0,0
0.135029,0,0,0,0,0,0
0.136397,0,0,0,0,0,0
0.137767,0,0,0,0,0,0
0.139230,0,0,0,0,0,0
0.141043,0,0,0,0,0,0
0.143364,0,0,0,0,0,0
0.144755,0,0,0,0,0,0
0.146197,0,0,0,0,0,0
0.147605,0,0,0,0,0,0
0.149083,0,0,0,0,0,0
0.150482,0,0,0,0,0,0
0.151875,0,0,0,0,0,0
0.153267,0,0,0,0,0,0
0.154801,0,0,0,0,0,0
0.156353,0,0,0,0,0,0
0.157829,0,0,0,0,0,0
0.159362,0,0,0,0,0,0
0.160978,0,0,0,0,0,0
0.162537,0,0,0,0,0,0
0.164097,0,0,0,0,0,0
0.165552,0,0,0,0,0,0
0.167095,0,0,0,0,0,0
0.168655,0,0,0,0,0,0
0.170221,0,0,0,0,0,0
0.171782,0,0,0,0,0,0
0.173389,0,0,0,0,0,0
0.174952,0,0,0,0,0,0
0.176525,0,0,0,0,0,0
0.178100,0,0,0,0,0,0
0.179652,0,0,0,0,0,0
0.181091,0,0,0,0,0,0
0.182482,0,0,0,0,0,0
0.183920,0,0,0,0,0,0
0.185320,0,0,0,0,0,0
0.186727,0,0,0,0,0,0
0.188123,0,0,0,0,0,0
0.189562,0,0,0,0,0,0
0.191148,0,0,0,0,0,0
0.192706,0,0,0,0,0,0
0.194270,0,0,0,0,0,0
0.195828,0,0,0,0,0,0
0.197403,0,0,0,0,0,0
0.198963,0,0,0,0,0,0
0.200522,0,0,0,0,0,0
0.202081,0,0,0,0,0,0
0.203642,0,0,0,0,0,0
0.205204,0,0,0,0,0,0
0.206807,0,0,0,0,0,0
0.208379,0,0,0,0,0,0
0.210005,0,0,0,0,0,0
0.211566,0,0,0,0,0,0
0.213126,0,0,0,0,0,0
0.214684,0,0,0,0,0,0
0.216242,0,0,0,0,0,0
0.217801,0,0,0,0,0,0
0.219250,0,0,0,0,0,0
0.220780,0,0,0,0,0,0
0.222257,0,0,0,0,0,0
0.223816,0,0,0,0,0,0
0.225264,0,0,0,0,0,0
0.226665,0,0,0,0,0,0
0.228073,0,0,0,0,0,0
0.229483,0,0,0,0,0,0
0.231002,0,0,0,0,0,0
0.232552,0,0,0,0,0,0
0.234108,0,0,0,0,0,0
0.235669,0,0,0,0,0,0
0.237233,0,0,0,0,0,0
0.238838,0,0,0,0,0,0
0.240411,0,0,0,0,0,0
0.241972,0,0,0,0,0,0
0.243535,0,0,0,0,0,0
0.245097,0,0,0,0,0,0
0.246658,0,0,0,0,0,0
0.248218,0,0,0,0,0,0
0.249779,0,0,0,0,0,0
0.251352,0,0,0,0,0,0
0.252978,0,0,0,0,0,0
0.254764,0,0,0,0,0,0
0.256273,0,0,0,0,0,0
0.257802,0,0,0,0,0,0
0.259362,0,0,0,0,0,0
0.260977,0,0,0,0,0,0
0.262550,0,0,0,0,0,0
0.264109,0,0,0,0,0,0
0.265672,0,0,0,0,0,0
0.267232,0,0,0,0,0,0
0.268792,0,0,0,0,0,0
0.270359,0,0,0,0,0,0
0.271920,0,0,0,0,0,0
0.273496,0,0,0,0,0,0
0.275049,0,0,0,0,0,0
0.276599,0,0,0,0,0,0
0.278218,0,0,0,0,0,0
0.279748,0,0,0,0,0,0
0.281308,0,0,0,0,0,0
0.282867,0,0,0,0,0,0
0.284436,0,0,0,0,0,0
0.286039,0,0,0,0,0,0
0.287647,0,0,0,0,0,0
0.289208,0,0,0,0,0,0
0.290767,0,0,0,0,0,0
0.292324,0,0,0,0,0,0
0.293882,0,0,0,0,0,0
0.295455,0,0,0,0,0,0
0.297016,0,0,0,0,0,0
0.298575,0,0,0,0,0,0
0.300132,0,0,0,0,0,0
0.301737,0,0,0,0,0,0
0.303298,0,0,0,0,0,0
0.304855,0,0,0,0,0,0
0.306433,0,0,0,0,0,0
0.307991,0,0,0,0,0,0
0.309551,0,0,0,0,0,0
0.311110,0,0,0,0,0,0
0.312667,0,0,0,0,0,0
0.314229,0,0,0,0,0,0
0.315787,0,0,0,0,0,0
0.317402,0,0,0,0,0,0
0.318962,0,0,0,0,0,0
0.320519,0,0,0,0,0,0
0.322079,0,0,0,0,0,0
0.323638,0,0,0,0,0,0
0.325198,0,0,0,0,0,0
0.326757,0,0,0,0,0,0
0.328328,0,0,0,0,0,0
0.330129,0,0,0,0,0,0
0.331986,0,0,0,0,0,0
0.333485,0,0,0,0,0,0
0.335015,0,0,0,0,0,0
0.336574,0,0,0,0,0,0
0.338185,0,0,0,0,0,0
0.339759,0,0,0,0,0,0
0.341321,0,0,0,0,0,0
0.342884,0,0,0,0,0,0
0.344445,0,0,0,0,0,0
0.346007,0,0,0,0,0,0
0.347568,0,0,0,0,0,0
0.349132,0,0,0,0,0,0
0.350709,0,0,0,0,0,0
0.352268,0,0,0,0,0,0
0.353829,0,0,0,0,0,0
0.355391,0,0,0,0,0,0
0.356954,0,0,0,0,0,0
0.358515,0,0,0,0,0,0
0.360074,0,0,0,0,0,0
0.361649,0,0,0,0,0,0
0.363209,0,0,0,0,0,0
0.364767,0,0,0,0,0,0
0.366333,0,0,0,0,0,0
0.367892,0,0,0,0,0,0
0.369453,0,0,0,0,0,0
0.371012,0,0,0,0,0,0
0.372584,0,0,0,0,0,0
0.374092,0,0,0,0,0,0
0.375621,0,0,0,0,0,0
0.377183,0,0,0,0,0,0
0.378743,0,0,0,0,0,0
0.380301,0,0,0,0,0,0
0.381904,0,0,0,0,0,0
0.383478,0,0,0,0,0,0
0.385039,0,0,0,0,0,0
0.386599,0,0,0,0,0,0
0.388158,0,0,0,0,0,0
0.389719,0,0,0,0,0,0
0.391279,0,0,0,0,0,0
0.392838,0,0,0,0,0,0
0.394414,0,0,0,0,0,0
0.395973,0,0,0,0,0,0
0.397578,0,0,0,0,0,0
0.399136,0,0,0,0,0,0
0.400690,0,0,0,0,0,0
0.402253,0,0,0,0,0,0
0.403811,0,0,0,0,0,0
0.405387,0,0,0,0,0,0
0.406946,0,0,0,0,0,0
0.408505,0,0,0,0,0,0
0.410064,0,0,0,0,0,0
0.411624,0,0,0,0,0,0
0.413185,0,0,0,0,0,0
0.414789,0,0,0,0,0,0
0.416360,0,0,0,0,0,0
0.417920,0,0,0,0,0,0
0.419479,0,0,0,0,0,0
0.421040,0,0,0,0,0,0
0.422599,0,0,0,0,0,0
0.424158,0,0,0,0,0,0
0.425717,0,0,0,0,0,0
0.427290,0,0,0,0,0,0
0.428848,0,0,0,0,0,0
0.430413,0,0,0,0,0,0
0.431970,0,0,0,0,0,0
0.433556,0,0,0,0,0,0
0.435111,0,0,0,0,0,0
0.436662,0,0,0,0,0,0
0.438314,0,0,0,0,0,0
0.439872,0,0,0,0,0,0
0.441326,0,0,0,0,0,0
0.442886,0,0,0,0,0,0
0.444443,0,0,0,0,0,0
0.446045,0,0,0,0,0,0
0.447604,0,0,0,0,0,0
0.449179,0,0,0,0,0,0
0.450737,0,0,0,0,0,0
0.452296,0,0,0,0,0,0
0.453855,0,0,0,0,0,0
0.455393,0,0,0,0,0,0
0.456999,0,0,0,0,0,0
0.458622,0,0,0,0,0,0
0.460193,0,0,0,0,0,0
0.461798,0,0,0,0,0,0
0.463357,0,0,0,0,0,0
0.464970,0,0,0,0,0,0
0.466527,0,0,0,0,0,0
0.468085,0,0,0,0,0,0
0.469645,0,0,0,0,0,0
0.471219,0,0,0,0,0,0
0.472778,0,0,0,0,0,0
0.474342,0,0,0,0,0,0
0.475900,0,0,0,0,0,0
0.477505,0,0,0,0,0,0
0.479065,0,0,0,0,0,0
