elapsed_s,HLSQ_STPROC_WAVE_CONTEXTS_VS,HLSQ_STPROC_WAVE_CONTEXT_CYCLES_VS,HLSQ_STPROC_WAVE_CONTEXTS_FS,HLSQ_STPROC_WAVE_CONTEXT_CYCLES_FS,HLSQ_STPROC_WAVE_CONTEXTS_BV,HLSQ_STPROC_WAVE_CONTEXT_CYCLES_BV
0.001111,0,0,0,0,0,0
0.002656,0,0,0,0,0,0
0.004264,0,0,0,0,0,0
0.005778,0,0,0,0,0,0
0.007290,0,0,0,0,0,0
0.008803,0,0,0,0,0,0
0.010328,0,0,0,0,0,0
0.011921,0,0,0,0,0,0
0.013408,0,0,0,0,0,0
0.015111,0,0,0,0,0,0
0.016670,0,0,0,0,0,0
0.018177,0,0,0,0,0,0
0.019712,0,0,0,0,0,0
0.021209,0,0,0,0,0,0
0.022697,0,0,0,0,0,0
0.024232,0,0,0,0,0,0
0.025720,0,0,0,0,0,0
0.027269,0,0,0,0,0,0
0.028703,0,0,0,0,0,0
0.030135,0,0,0,0,0,0
0.031574,0,0,0,0,0,0
0.032997,0,0,0,0,0,0
0.034420,0,0,0,0,0,0
0.035856,0,0,0,0,0,0
0.037280,0,0,0,0,0,0
0.038703,0,0,0,0,0,0
0.040090,0,0,0,0,0,0
0.041484,0,0,0,0,0,0
0.042914,0,0,0,0,0,0
0.045162,0,0,0,0,0,0
0.046561,0,0,0,0,0,0
0.047975,0,0,0,0,0,0
0.049593,0,0,0,0,0,0
0.051281,0,0,0,0,0,0
0.052737,0,0,0,0,0,0
0.054158,0,0,0,0,0,0
0.055960,0,0,0,0,0,0
0.057502,0,0,0,0,0,0
0.059142,0,0,0,0,0,0
0.060772,0,0,0,0,0,0
0.062172,0,0,0,0,0,0
0.063574,0,0,0,0,0,0
0.065044,0,0,0,0,0,0
0.066347,0,0,0,0,0,0
0.067788,0,0,0,0,0,0
0.069228,0,0,0,0,0,0
0.070664,0,0,0,0,0,0
0.072285,0,0,0,0,0,0
0.073724,0,0,0,0,0,0
0.075186,0,0,0,0,0,0
0.076622,0,0,0,0,0,0
0.078053,0,0,114,114,0,0
0.079738,0,0,2134,2134,0,0
0.080934,0,0,2134,2134,0,0
0.082128,0,0,2037,2037,0,0
0.083341,0,0,2134,2134,0,0
0.084536,0,0,2134,2134,0,0
0.085730,0,0,2134,2134,0,0
0.086922,0,0,2037,2037,0,0
0.088116,0,0,2134,2134,0,0
0.089311,0,0,2134,2134,0,0
0.090504,0,0,2037,2037,0,0
0.091698,0,0,2134,2134,0,0
0.092890,0,0,1552,1552,0,0
0.094103,0,0,0,0,0,0
0.095522,0,0,0,0,0,0
0.096940,0,0,0,0,0,0
0.098359,0,0,0,0,0,0
0.099794,0,0,0,0,0,0
0.101233,0,0,0,0,0,0
0.102672,0,0,0,0,0,0
0.104122,0,0,0,0,0,0
0.105557,0,0,0,0,0,0
0.106992,0,0,0,0,0,0
0.108429,0,0,0,0,0,0
0.109867,0,0,0,0,0,0
0.111194,0,0,0,0,0,0
0.112633,0,0,0,0,0,0
0.114072,0,0,0,0,0,0
0.115519,0,0,0,0,0,0
0.116861,0,0,0,0,0,0
0.118219,0,0,0,0,0,0
0.119561,0,0,0,0,0,0
0.120902,0,0,0,0,0,0
0.122242,0,0,0,0,0,0
0.123582,0,0,0,0,0,0
0.124992,0,0,0,0,0,0
0.126428,0,0,0,0,0,0
0.127786,0,0,0,0,0,0
0.129130,0,0,0,0,0,0
0.130472,0,0,0,0,0,0
0.131855,0,0,0,0,0,0
0.133254,0,0,0,0,0,0
0.134651,0,0,0,0,0,0
0.136062,0,0,0,0,0,0
0.137587,0,0,0,0,0,0
0.139050,0,0,0,0,0,0
0.140615,0,0,0,0,0,0
0.142173,0,0,0,0,0,0
0.143732,0,0,0,0,0,0
0.145292,0,0,0,0,0,0
0.146853,0,0,0,0,0,0
0.148467,0,0,0,0,0,0
0.150025,0,0,0,0,0,0
0.151585,0,0,0,0,0,0
0.153142,0,0,0,0,0,0
0.154576,0,0,0,0,0,0
0.156214,0,0,0,0,0,0
0.157773,0,0,0,0,0,0
0.159226,0,0,0,0,0,0
0.160759,0,0,0,0,0,0
0.162318,0,0,0,0,0,0
0.163922,0,0,0,0,0,0
0.165484,0,0,0,0,0,0
0.167047,0,0,0,0,0,0
0.168608,0,0,0,0,0,0
