elapsed_s,HLSQ_SPTROC_STCHE_MISS_INC_VS,HLSQ_SPTROC_STCHE_MISS_INC_FS,HLSQ_SPTROC_STCHE_MISS_INC_BV,HLSQ_SPTROC_STCHE_MISS_INC_LPAC,HLSQ_VSBR_S2W_CYCLES_SP,HLSQ_FS_S2W_CYCLES_SP
0.001093,0,0,0,0,0,0
0.002561,0,0,0,0,0,0
0.004021,0,0,0,0,0,0
0.005455,0,0,0,0,0,0
0.006917,0,0,0,0,0,0
0.008408,0,0,0,0,0,0
0.009837,0,0,0,0,0,0
0.011278,0,0,0,0,0,0
0.012666,0,0,0,0,0,0
0.014050,0,0,0,0,0,0
0.015486,0,0,0,0,0,0
0.016877,0,0,0,0,0,0
0.018350,0,0,0,0,0,0
0.020025,0,0,0,0,0,0
0.021461,0,0,0,0,0,0
0.022896,0,0,0,0,0,0
0.024379,0,0,0,0,0,0
0.025812,0,0,0,0,0,0
0.027314,0,0,0,0,0,0
0.029083,0,0,0,0,0,0
0.030536,0,0,0,0,0,0
0.031987,0,0,0,0,0,0
0.033419,0,0,0,0,0,0
0.035070,0,0,0,0,0,0
0.036503,0,0,0,0,0,0
0.037934,0,0,0,0,0,0
0.039443,0,0,0,0,0,0
0.040880,0,0,0,0,0,0
0.042292,0,0,0,0,0,0
0.043703,0,0,0,0,0,0
0.045113,0,0,0,0,0,0
0.046522,0,0,0,0,0,0
0.048015,0,0,0,0,0,0
0.049425,0,0,0,0,0,0
0.050839,0,0,0,0,0,0
0.052256,0,0,0,0,0,0
0.053669,0,0,0,0,0,0
0.055249,0,0,0,0,0,0
0.056655,0,0,0,0,0,0
0.058050,0,0,0,0,0,0
0.059446,0,0,0,0,0,0
0.060840,0,0,0,0,0,0
0.062233,0,0,0,0,0,0
0.063632,0,0,0,0,0,0
0.065032,0,0,0,0,0,0
0.066425,0,0,0,0,0,0
0.068038,0,0,0,0,0,0
0.069434,0,0,0,0,0,0
0.071450,0,0,0,0,0,0
0.072807,0,0,0,0,0,0
0.074170,0,0,0,0,0,0
0.075525,0,0,0,0,0,0
0.076879,0,0,0,0,0,0
0.078234,0,0,0,0,0,0
0.079589,0,0,0,0,0,0
0.080945,0,0,0,0,0,0
0.082332,0,0,0,0,0,0
0.083696,0,0,0,0,0,0
0.084979,0,0,0,0,0,0
0.086247,0,0,0,0,0,0
0.087687,0,0,0,0,0,0
0.089063,0,0,0,0,0,0
0.090439,0,0,0,0,0,0
0.091814,0,0,0,0,0,0
0.093189,0,0,0,0,0,0
0.094612,0,0,0,0,0,0
0.095922,0,0,0,0,0,0
