elapsed_s,HLSQ_BV_CTXT_BUF_FULL_BLOCK_CPI,HLSQ_VS_CONST_BUF_FULL_BLOCK_CPI,HLSQ_FS_CONST_BUF_FULL_BLOCK_CPI,HLSQ_BV_CONST_BUF_FULL_BLOCK_CPI,HLSQ_VS_INS_BUF_FULL_BLOCK_CPI,HLSQ_FS_INS_BUF_FULL_BLOCK_CPI
0.001098,0,0,0,0,0,0
0.002570,0,0,0,0,0,0
0.004008,0,0,0,0,0,0
0.005444,0,0,0,0,0,0
0.006941,0,0,0,0,0,0
0.008352,0,0,0,0,0,0
0.009782,0,0,0,0,0,0
0.011195,0,0,0,0,0,0
0.012604,0,0,0,0,0,0
0.014013,0,0,0,0,0,0
0.015412,0,0,0,0,0,0
0.016810,0,0,0,0,0,0
0.018209,0,0,0,0,0,0
0.019649,0,0,0,0,0,0
0.021421,0,0,0,0,0,0
0.022863,0,0,0,0,0,0
0.024218,0,0,0,0,0,0
0.025572,0,0,0,0,0,0
0.026923,0,0,0,0,0,0
0.028347,0,0,0,0,0,0
0.029662,0,0,0,0,0,0
0.031104,0,0,0,0,0,0
0.032417,0,0,0,0,0,0
0.033730,0,0,0,0,0,0
0.035174,0,0,0,0,0,0
0.036567,0,0,0,0,0,0
0.037962,0,0,0,0,0,0
0.039421,0,0,0,0,0,0
0.040816,0,0,0,0,0,0
0.042412,0,0,0,0,0,0
0.043824,0,0,0,0,0,0
0.045249,0,0,0,0,0,0
0.046717,0,0,0,0,0,0
0.048172,0,0,0,0,0,0
0.049577,0,0,0,0,0,0
0.050971,0,0,0,0,0,0
0.052383,0,0,0,0,0,0
0.053778,0,0,0,0,0,0
0.055207,0,0,0,0,0,0
0.056667,0,0,0,0,0,0
0.058061,0,0,0,0,0,0
0.059483,0,0,0,0,0,0
0.060878,0,0,0,0,0,0
0.062307,0,0,0,0,0,0
0.063750,0,0,0,0,0,0
0.065209,0,0,0,0,0,0
0.066606,0,0,150,0,0,2
0.069352,0,0,69,0,0,0
0.070735,0,0,78,0,0,0
0.071998,0,0,66,0,0,0
0.073212,0,0,66,0,0,0
0.074602,0,0,78,0,0,0
0.075862,0,0,66,0,0,0
0.077075,0,0,66,0,0,0
0.078284,0,0,66,0,0,0
0.079529,0,0,63,0,0,0
0.081352,0,0,0,0,0,0
0.082759,0,0,0,0,0,0
0.084159,0,0,0,0,0,0
0.085556,0,0,0,0,0,0
0.087000,0,0,0,0,0,0
0.088398,0,0,0,0,0,0
0.089794,0,0,0,0,0,0
0.091199,0,0,0,0,0,0
0.092594,0,0,0,0,0,0
0.093984,0,0,0,0,0,0
0.095615,0,0,0,0,0,0
0.098307,0,0,0,0,0,0
0.099751,0,0,0,0,0,0
0.101142,0,0,0,0,0,0
0.102552,0,0,0,0,0,0
0.103974,0,0,0,0,0,0
0.105348,0,0,0,0,0,0
0.106835,0,0,0,0,0,0
0.108197,0,0,0,0,0,0
0.109524,0,0,0,0,0,0
0.110897,0,0,0,0,0,0
0.112684,0,0,0,0,0,0
0.114085,0,0,0,0,0,0
0.115570,0,0,0,0,0,0
0.116961,0,0,0,0,0,0
0.118358,0,0,0,0,0,0
0.119785,0,0,0,0,0,0
0.121511,0,0,0,0,0,0
0.122957,0,0,0,0,0,0
0.124490,0,0,0,0,0,0
0.126052,0,0,0,0,0,0
0.127672,0,0,0,0,0,0
0.129233,0,0,0,0,0,0
0.130798,0,0,0,0,0,0
0.132361,0,0,0,0,0,0
0.133937,0,0,0,0,0,0
0.135504,0,0,0,0,0,0
0.137066,0,0,0,0,0,0
0.138632,0,0,0,0,0,0
0.140195,0,0,0,0,0,0
0.141756,0,0,0,0,0,0
0.143362,0,0,0,0,0,0
0.144816,0,0,0,0,0,0
0.146349,0,0,0,0,0,0
0.147913,0,0,0,0,0,0
0.149475,0,0,0,0,0,0
0.151083,0,0,0,0,0,0
0.152646,0,0,0,0,0,0
0.154288,0,0,0,0,0,0
0.155781,0,0,0,0,0,0
0.157314,0,0,0,0,0,0
0.158922,0,0,0,0,0,0
0.160488,0,0,0,0,0,0
0.162049,0,0,0,0,0,0
0.163688,0,0,0,0,0,0
0.165091,0,0,0,0,0,0
0.166674,0,0,0,0,0,0
0.168238,0,0,0,0,0,0
0.169800,0,0,0,0,0,0
0.171362,0,0,0,0,0,0
0.172916,0,0,0,0,0,0
0.174546,0,0,0,0,0,0
0.176114,0,0,0,0,0,0
0.177687,0,0,0,0,0,0
0.179249,0,0,0,0,0,0
0.180813,0,0,0,0,0,0
0.182376,0,0,0,0,0,0
0.183981,0,0,0,0,0,0
0.185541,0,0,0,0,0,0
0.187102,0,0,0,0,0,0
0.188552,0,0,0,0,0,0
0.189956,0,0,0,0,0,0
0.191403,0,0,0,0,0,0
0.192803,0,0,0,0,0,0
0.194200,0,0,0,0,0,0
0.195729,0,0,0,0,0,0
0.197126,0,0,0,0,0,0
0.198762,0,0,0,0,0,0
0.200208,0,0,0,0,0,0
0.201739,0,0,0,0,0,0
0.203300,0,0,0,0,0,0
0.204865,0,0,0,0,0,0
0.206429,0,0,0,0,0,0
0.207992,0,0,0,0,0,0
0.209554,0,0,0,0,0,0
0.211131,0,0,0,0,0,0
0.212694,0,0,0,0,0,0
0.214260,0,0,0,0,0,0
0.215824,0,0,0,0,0,0
0.217385,0,0,0,0,0,0
0.218949,0,0,0,0,0,0
0.220513,0,0,0,0,0,0
0.222089,0,0,0,0,0,0
0.223657,0,0,0,0,0,0
0.225220,0,0,0,0,0,0
0.226784,0,0,0,0,0,0
0.228347,0,0,0,0,0,0
