elapsed_s,HLSQ_BV_SP_CTX_ALIVE_CYCLE,HLSQ_STPROC_WAVE_NUM_FS,HLSQ_STPROC_WAVE_NUM_VS,HLSQ_STPROC_WAVE_NUM_BV,HLSQ_STPROC_WAVE_NUM_LPAC,HLSQ_VS_SP_CCTX_NUM
0.001096,0,0,0,0,0,0
0.002566,0,0,0,0,0,0
0.004011,0,0,0,0,0,0
0.005454,0,0,0,0,0,0
0.006911,0,0,0,0,0,0
0.008344,0,0,0,0,0,0
0.009790,0,0,0,0,0,0
0.011224,0,0,0,0,0,0
0.012656,0,0,0,0,0,0
0.014090,0,0,0,0,0,0
0.015528,0,0,0,0,0,0
0.017000,0,0,0,0,0,0
0.018486,0,0,0,0,0,0
0.019925,0,0,0,0,0,0
0.021311,0,0,0,0,0,0
0.022834,0,0,0,0,0,0
0.024227,0,0,0,0,0,0
0.025618,0,0,0,0,0,0
0.027009,0,0,0,0,0,0
0.028399,0,0,0,0,0,0
0.029788,0,0,0,0,0,0
0.031195,0,0,0,0,0,0
0.032579,0,0,0,0,0,0
0.034012,0,0,0,0,0,0
0.035397,0,0,0,0,0,0
0.036780,0,0,0,0,0,0
0.038205,0,0,0,0,0,0
0.039565,0,0,0,0,0,0
0.040923,0,0,0,0,0,0
0.042342,0,0,0,0,0,0
0.043708,0,0,0,0,0,0
0.045072,0,0,0,0,0,0
0.046515,0,0,0,0,0,0
0.048213,0,0,0,0,0,0
0.049646,0,0,0,0,0,0
0.051075,0,0,0,0,0,0
0.052808,0,0,0,0,0,0
0.054309,0,0,0,0,0,0
0.055767,0,0,0,0,0,0
0.057225,0,0,0,0,0,0
0.058736,0,0,0,0,0,0
0.060205,0,0,0,0,0,0
0.061680,0,0,0,0,0,0
0.063198,0,0,0,0,0,0
0.064579,0,0,0,0,0,0
0.065958,0,0,0,0,0,0
0.067337,0,0,0,0,0,0
0.068714,0,0,0,0,0,0
0.070177,0,0,0,0,0,0
0.071611,0,0,0,0,0,0
0.073031,0,0,0,0,0,0
0.074454,0,0,0,0,0,0
0.075874,0,0,0,0,0,0
0.077301,0,0,0,0,0,0
0.078794,0,0,0,0,0,0
0.080173,0,0,0,0,0,0
0.081640,0,0,0,0,0,0
0.083024,0,0,0,0,0,0
0.084402,0,0,0,0,0,0
0.085833,0,0,0,0,0,0
0.087116,0,0,0,0,0,0
0.088492,0,0,0,0,0,0
0.089868,0,0,0,0,0,0
0.091242,0,0,0,0,0,0
0.092617,0,0,0,0,0,0
0.093865,0,0,0,0,0,0
0.095333,0,0,0,0,0,0
0.096808,0,0,0,0,0,0
0.098273,0,0,0,0,0,0
0.099740,0,0,0,0,0,0
0.101208,0,0,0,0,0,0
0.102734,0,0,0,0,0,0
0.104202,0,0,0,0,0,0
0.105690,0,0,0,0,0,0
0.107136,0,0,0,0,0,0
0.108603,0,0,0,0,0,0
0.110059,0,0,0,0,0,0
0.111623,0,0,0,0,0,0
0.113028,0,0,0,0,0,0
0.114256,0,0,0,0,0,0
0.115468,0,0,0,0,0,0
0.116677,0,0,0,0,0,0
0.117885,0,0,0,0,0,0
0.119152,0,0,0,0,0,0
0.120359,0,0,0,0,0,0
0.121565,0,0,0,0,0,0
0.122779,0,0,0,0,0,0
0.123985,0,0,0,0,0,0
0.125231,0,0,0,0,0,0
0.126573,0,0,0,0,0,0
0.127961,0,0,0,0,0,0
0.129347,0,0,0,0,0,0
0.130647,0,0,0,0,0,0
0.132031,0,0,0,0,0,0
0.133416,0,0,0,0,0,0
0.134769,0,0,0,0,0,0
0.136226,0,0,0,0,0,0
0.137557,0,0,0,0,0,0
0.138887,0,0,0,0,0,0
0.140215,0,0,0,0,0,0
0.141545,0,0,0,0,0,0
0.142933,0,0,0,0,0,0
0.144222,0,0,0,0,0,0
0.145507,0,0,0,0,0,0
0.146796,0,0,0,0,0,0
0.148080,0,0,0,0,0,0
0.149362,0,0,0,0,0,0
0.150659,0,0,0,0,0,0
0.151994,0,0,0,0,0,0
0.153329,0,0,0,0,0,0
0.154713,0,0,0,0,0,0
0.156050,0,0,0,0,0,0
0.157395,0,0,0,0,0,0
0.158751,0,0,0,0,0,0
0.160085,0,0,0,0,0,0
0.161419,0,0,0,0,0,0
0.162817,0,0,0,0,0,0
0.164154,0,0,0,0,0,0
0.165490,0,0,0,0,0,0
0.166856,0,0,0,0,0,0
0.168257,0,0,0,0,0,0
0.169791,0,0,0,0,0,0
0.171273,0,0,0,0,0,0
0.172664,0,0,0,0,0,0
0.174058,0,0,0,0,0,0
0.175455,0,0,0,0,0,0
0.176851,0,0,0,0,0,0
0.178249,0,0,0,0,0,0
0.179858,0,0,0,0,0,0
0.181418,0,0,0,0,0,0
0.182980,0,0,0,0,0,0
0.184508,0,0,0,0,0,0
0.186042,0,0,0,0,0,0
0.187601,0,0,0,0,0,0
0.189159,0,0,0,0,0,0
0.190734,0,0,0,0,0,0
0.192172,0,0,0,0,0,0
0.193707,0,0,0,0,0,0
0.195267,0,0,0,0,0,0
0.196825,0,0,0,0,0,0
0.198433,0,0,0,0,0,0
0.199993,0,0,0,0,0,0
0.201567,0,0,0,0,0,0
0.203174,0,0,0,0,0,0
0.204723,0,0,0,0,0,0
0.206151,0,0,0,0,0,0
0.207679,0,0,0,0,0,0
0.209236,0,0,0,0,0,0
0.210734,0,0,0,0,0,0
0.212146,0,0,0,0,0,0
0.213675,0,0,0,0,0,0
0.215233,0,0,0,0,0,0
0.216791,0,0,0,0,0,0
0.218351,0,0,0,0,0,0
0.219910,0,0,0,0,0,0
0.221466,0,0,0,0,0,0
0.223042,0,0,0,0,0,0
0.224601,0,0,0,0,0,0
0.226160,0,0,0,0,0,0
0.227718,0,0,0,0,0,0
0.229276,0,0,0,0,0,0
0.230896,0,0,0,0,0,0
0.232452,0,0,0,0,0,0
0.234027,0,0,0,0,0,0
0.235584,0,0,0,0,0,0
0.237141,0,0,0,0,0,0
0.238699,0,0,0,0,0,0
0.240258,0,0,0,0,0,0
0.241818,0,0,0,0,0,0
0.243377,0,0,0,0,0,0
0.244823,0,0,0,0,0,0
0.246399,0,0,0,0,0,0
0.247957,0,0,0,0,0,0
0.249514,0,0,0,0,0,0
0.251077,0,0,0,0,0,0
0.252633,0,0,0,0,0,0
0.254194,0,0,0,0,0,0
