elapsed_s,TSE_FE_STARVE_CYCLES_PC,TSE_FE_INPUT_PRIM,TSE_FE_INPUT_NULL_PRIM,TSE_FE_TRIVAL_REJ_PRIM
0.001097,0,0,0,0
0.002544,0,0,0,0
0.003975,0,0,0,0
0.005393,0,0,0,0
0.006809,0,0,0,0
0.008225,0,0,0,0
0.009653,0,0,0,0
0.011067,0,0,0,0
0.012483,0,0,0,0
0.013895,0,0,0,0
0.015376,0,0,0,0
0.016797,0,0,0,0
0.018178,0,0,0,0
0.019577,0,0,0,0
0.020998,0,0,0,0
0.022354,0,0,0,0
0.023808,0,0,0,0
0.025156,0,0,0,0
0.026503,0,0,0,0
0.027852,0,0,0,0
0.029201,0,0,0,0
0.030548,0,0,0,0
0.031980,0,0,0,0
0.033323,0,0,0,0
0.034656,0,0,0,0
0.036001,0,0,0,0
0.037330,0,0,0,0
0.038723,0,0,0,0
0.040052,0,0,0,0
0.041383,0,0,0,0
0.042768,0,0,0,0
0.044099,0,0,0,0
0.045429,0,0,0,0
0.046806,0,0,0,0
0.048177,0,0,0,0
0.049466,0,0,0,0
0.050846,0,0,0,0
0.052135,0,0,0,0
0.053488,0,0,0,0
0.054938,0,0,0,0
0.056228,0,0,0,0
0.057517,0,0,0,0
0.058855,0,0,0,0
0.060149,0,0,0,0
0.061452,0,0,0,0
0.062791,0,0,0,0
0.064188,0,0,0,0
0.065559,0,0,0,0
0.066944,0,0,0,0
0.068460,0,0,0,0
0.069833,0,0,0,0
0.071183,0,0,0,0
0.072525,0,0,0,0
0.073871,0,0,0,0
0.075228,0,0,0,0
0.076587,63,0,0,0
0.077987,0,0,0,0
0.080315,0,0,0,0
0.081728,0,0,0,0
0.083118,0,0,0,0
0.084502,0,0,0,0
0.085899,0,0,0,0
0.087311,288,0,0,0
0.088680,4659,0,0,0
0.089920,4656,0,0,0
0.093484,13353,0,0,0
0.095585,7866,0,0,0
0.096826,4761,0,0,0
0.098067,4554,0,0,0
0.099309,4761,0,0,0
0.100550,4554,0,0,0
0.101957,3942,0,0,0
0.103151,0,0,0,0
0.104519,0,0,0,0
0.105885,0,0,0,0
0.107250,0,0,0,0
0.108506,0,0,0,0
0.109872,0,0,0,0
0.111307,0,0,0,0
0.112681,0,0,0,0
0.114107,0,0,0,0
0.115531,0,0,0,0
0.116957,0,0,0,0
0.118422,0,0,0,0
0.119905,0,0,0,0
0.121373,0,0,0,0
0.122802,0,0,0,0
0.124180,0,0,0,0
0.125641,0,0,0,0
0.127127,0,0,0,0
0.128559,0,0,0,0
0.129923,0,0,0,0
0.131283,0,0,0,0
0.132641,0,0,0,0
0.133998,0,0,0,0
0.135362,0,0,0,0
0.136719,0,0,0,0
0.138075,0,0,0,0
0.139432,0,0,0,0
0.140789,0,0,0,0
0.142144,0,0,0,0
0.143547,0,0,0,0
0.144931,0,0,0,0
0.146326,0,0,0,0
0.147765,0,0,0,0
