elapsed_s,TSE_FE_ZERO_AREA_PRIM,TSE_FE_FACENESS_CULLED_PRIM,TSE_FE_ZERO_PIXEL_PRIM,TSE_FE_OUTPUT_NULL_PRIM
0.001080,0,0,0,0
0.002635,0,0,0,0
0.004052,0,0,0,0
0.005468,0,0,0,0
0.006887,0,0,0,0
0.008302,0,0,0,0
0.009756,0,0,0,0
0.011582,0,0,0,0
0.013252,0,0,0,0
0.014637,0,0,0,0
0.016048,0,0,0,0
0.017551,0,0,0,0
0.018913,0,0,0,0
0.020269,0,0,0,0
0.021662,0,0,0,0
0.023010,0,0,0,0
0.024358,0,0,0,0
0.025801,0,0,0,0
0.027101,0,0,0,0
0.028390,0,0,0,0
0.029731,0,0,0,0
0.031024,0,0,0,0
0.032314,0,0,0,0
0.033601,0,0,0,0
0.034869,0,0,0,0
0.036123,0,0,0,0
0.037399,0,0,0,0
0.038740,0,0,0,0
0.040081,0,0,0,0
0.041443,0,0,0,0
0.042888,0,0,0,0
0.044294,0,0,0,0
0.046997,0,0,0,0
0.048390,0,0,0,0
0.050238,0,0,0,0
0.051813,0,0,0,0
0.053477,0,0,0,0
0.054925,0,0,0,0
0.056327,0,0,0,0
0.057762,0,0,0,0
0.059376,0,0,0,0
0.060820,0,0,0,0
0.062108,0,0,0,0
0.063488,0,0,0,0
0.064845,0,0,0,0
0.066306,0,0,0,0
0.067723,0,0,0,0
0.069112,0,0,0,0
0.070519,0,0,0,0
0.071918,0,0,0,0
0.073159,0,0,0,0
0.074408,0,0,0,0
0.075646,0,0,0,0
0.076884,0,0,0,0
0.078123,0,0,0,0
0.079362,0,0,0,0
0.080601,0,0,0,0
0.081921,0,0,0,0
0.083164,0,0,0,0
0.084406,0,0,0,0
0.085651,0,0,0,0
0.087043,0,0,0,0
0.088439,0,0,0,0
0.089830,0,0,0,0
0.091218,0,0,0,0
0.092603,0,0,0,0
0.093988,0,0,0,0
0.095626,0,0,0,0
0.097011,0,0,0,0
0.098457,0,0,0,0
0.099841,0,0,0,0
0.101222,0,0,0,0
0.106523,0,0,0,0
0.107904,0,0,0,0
0.109317,0,0,0,0
0.110763,0,0,0,0
0.112139,0,0,0,0
0.113519,0,0,0,0
0.114942,0,0,0,0
0.116322,0,0,0,0
0.117713,0,0,0,0
0.119099,0,0,0,0
