elapsed_s,TSE_FE_BR_STALLS_DUETO_BV_CLIP,TSE_FE_BR_STALLS_DUETO_BV_POLY,TSE_FE_BV_STALLS_DUETO_BR_CLIP,TSE_FE_BV_STALLS_DUETO_BR_POLY
0.001633,0,0,0,0
0.003122,0,0,0,0
0.004668,0,0,0,0
0.006132,0,0,0,0
0.007612,0,0,0,0
0.009018,0,0,0,0
0.010402,0,0,0,0
0.011777,0,0,0,0
0.013152,0,0,0,0
0.014544,0,0,0,0
0.015939,0,0,0,0
0.017474,0,0,0,0
0.018846,0,0,0,0
0.020206,0,0,0,0
0.021630,0,0,0,0
0.023037,0,0,0,0
0.024465,0,0,0,0
0.025863,0,0,0,0
0.027257,0,0,0,0
0.028650,0,0,0,0
0.030090,0,0,0,0
0.031450,0,0,0,0
0.032747,0,0,0,0
0.034087,0,0,0,0
0.035387,0,0,0,0
0.036728,0,0,0,0
0.038177,0,0,0,0
0.039432,0,0,0,0
0.040687,0,0,0,0
0.041944,0,0,0,0
0.043306,0,0,0,0
0.044561,0,0,0,0
0.045830,0,0,0,0
0.047084,0,0,0,0
0.048340,0,0,0,0
0.049676,0,0,0,0
0.051066,0,0,0,0
0.052499,0,0,0,0
0.054380,0,0,0,0
0.056013,0,0,0,0
0.057437,0,0,0,0
0.058811,0,0,0,0
0.060177,0,0,0,0
0.061620,0,0,0,0
0.063034,0,0,0,0
0.064436,0,0,0,0
0.065915,0,0,0,0
0.067451,0,0,0,0
0.068925,0,0,0,0
0.070365,0,0,0,0
0.071755,0,0,0,0
0.073193,0,0,0,0
0.074591,0,0,0,0
0.075943,0,0,0,0
0.077290,0,0,0,0
0.078701,0,0,0,0
0.080099,0,0,0,0
0.081407,0,0,0,0
0.082519,0,0,0,0
0.083759,0,0,0,0
0.084998,0,0,0,0
0.086985,0,0,0,0
0.088224,0,0,0,0
0.089545,0,0,0,0
0.090785,0,0,0,0
0.092024,0,0,0,0
0.093296,0,0,0,0
0.094782,0,0,0,0
0.096175,0,0,0,0
0.097554,0,0,0,0
0.098933,0,0,0,0
0.100312,0,0,0,0
0.101741,0,0,0,0
0.103097,0,0,0,0
0.104453,0,0,0,0
0.105817,0,0,0,0
0.107190,0,0,0,0
0.108544,0,0,0,0
0.109935,0,0,0,0
0.111277,0,0,0,0
0.112617,0,0,0,0
0.113957,0,0,0,0
0.115297,0,0,0,0
0.116643,0,0,0,0
0.118013,0,0,0,0
0.119424,0,0,0,0
0.120834,0,0,0,0
0.122242,0,0,0,0
0.123611,0,0,0,0
0.125054,0,0,0,0
0.126475,0,0,0,0
0.127897,0,0,0,0
0.129314,0,0,0,0
0.130731,0,0,0,0
0.132149,0,0,0,0
0.133585,0,0,0,0
0.134969,0,0,0,0
0.136355,0,0,0,0
0.137742,0,0,0,0
0.139132,0,0,0,0
0.140512,0,0,0,0
0.141893,0,0,0,0
0.143273,0,0,0,0
0.144653,0,0,0,0
0.146033,0,0,0,0
0.147413,0,0,0,0
0.148792,0,0,0,0
0.150187,0,0,0,0
0.151692,0,0,0,0
0.153330,0,0,0,0
0.154882,0,0,0,0
0.156432,0,0,0,0
0.158029,0,0,0,0
0.159581,0,0,0,0
0.161020,0,0,0,0
0.162547,0,0,0,0
0.164095,0,0,0,0
0.165691,0,0,0,0
0.167243,0,0,0,0
0.168792,0,0,0,0
0.170409,0,0,0,0
0.171972,0,0,0,0
0.173524,0,0,0,0
0.175075,0,0,0,0
0.176624,0,0,0,0
0.178176,0,0,0,0
0.179727,0,0,0,0
0.181278,0,0,0,0
0.182890,0,0,0,0
0.184438,0,0,0,0
0.185986,0,0,0,0
0.187537,0,0,0,0
0.189085,0,0,0,0
0.190501,0,0,0,0
0.191893,0,0,0,0
0.193420,0,0,0,0
0.194972,0,0,0,0
0.196521,0,0,0,0
0.198114,0,0,0,0
0.199666,0,0,0,0
0.201219,0,0,0,0
0.202769,0,0,0,0
0.204330,0,0,0,0
0.205927,0,0,0,0
0.207479,0,0,0,0
0.209029,0,0,0,0
0.210583,0,0,0,0
0.212134,0,0,0,0
0.213730,0,0,0,0
0.215296,0,0,0,0
0.216846,0,0,0,0
0.218401,0,0,0,0
0.219950,0,0,0,0
0.221503,0,0,0,0
0.223054,0,0,0,0
0.224604,0,0,0,0
0.226168,0,0,0,0
0.227720,0,0,0,0
