elapsed_s,TSE_REG_PROGRAMMING_ONLY_CYCLE_L0,TSE_COMMON_RAM_WORKING_CYCLE_L2,TSE_COMMON_RAM_RD_WORKING_CYCLE_L3,TSE_COMMON_RAM_WR_WORKING_CYCLE_L3
0.001095,0,0,0,0
0.002544,0,0,0,0
0.004007,0,0,0,0
0.005424,0,0,0,0
0.006839,0,0,0,0
0.008337,0,0,0,0
0.009752,0,0,0,0
0.011166,0,0,0,0
0.012582,0,0,0,0
0.013996,0,0,0,0
0.015407,0,0,0,0
0.016965,0,0,0,0
0.018397,0,0,0,0
0.019825,0,0,0,0
0.021229,0,0,0,0
0.022602,0,0,0,0
0.023975,0,0,0,0
0.025348,0,0,0,0
0.026720,0,0,0,0
0.028093,0,0,0,0
0.029468,0,0,0,0
0.030840,0,0,0,0
0.032318,0,0,0,0
0.033756,0,0,0,0
0.035136,0,0,0,0
0.036637,0,0,0,0
0.038168,0,0,0,0
0.040665,0,0,0,0
0.042041,0,0,0,0
0.043519,0,0,0,0
0.044938,0,0,0,0
0.046287,0,0,0,0
0.047683,0,0,0,0
0.049030,0,0,0,0
0.050375,0,0,0,0
0.051827,0,0,0,0
0.053122,0,0,0,0
0.054471,0,0,0,0
0.056001,0,0,0,0
0.057382,0,0,0,0
0.058736,0,0,0,0
0.060142,0,0,0,0
0.061497,0,0,0,0
0.062855,0,0,0,0
0.064406,0,0,0,0
0.065772,0,0,0,0
0.067134,0,0,0,0
0.068522,0,0,0,0
0.069863,0,0,0,0
0.071203,0,0,0,0
0.072564,0,0,0,0
0.073959,0,0,0,0
0.075309,0,0,0,0
0.076670,0,0,0,0
0.078011,0,0,0,0
0.079353,0,0,0,0
0.080691,0,0,0,0
0.082072,0,0,0,0
0.083550,0,0,0,0
0.084973,0,0,0,0
0.086361,0,0,0,0
0.087767,0,0,0,0
0.089151,0,0,0,0
0.090540,0,0,0,0
0.091924,0,0,0,0
0.093310,0,0,0,0
0.094883,0,0,0,0
0.096291,0,0,0,0
0.097532,0,0,0,0
0.098772,0,0,0,0
0.100294,0,0,0,0
