elapsed_s,TSE_SETUP_FDP3_2_WORKING_CYCLE_L3,TSE_SETUP_FDP3_3_WORKING_CYCLE_L3,TSE_SETUP_FDP3_4_WORKING_CYCLE_L3,TSE_SETUP_FDP3_5_WORKING_CYCLE_L3
0.001122,0,0,0,0
0.002570,0,0,0,0
0.003987,0,0,0,0
0.005540,0,0,0,0
0.007138,0,0,0,0
0.009474,0,0,0,0
0.011061,0,0,0,0
0.012501,0,0,0,0
0.014045,0,0,0,0
0.015525,0,0,0,0
0.017041,0,0,0,0
0.018547,0,0,0,0
0.019999,0,0,0,0
0.021615,0,0,0,0
0.023071,0,0,0,0
0.024647,0,0,0,0
0.026152,0,0,0,0
0.027608,0,0,0,0
0.029071,0,0,0,0
0.030560,0,0,0,0
0.032052,0,0,0,0
0.033615,0,0,0,0
0.035097,0,0,0,0
0.036576,0,0,0,0
0.038053,0,0,0,0
0.039529,0,0,0,0
0.041007,0,0,0,0
0.042497,0,0,0,0
0.043977,0,0,0,0
0.045617,0,0,0,0
0.047072,0,0,0,0
0.048528,0,0,0,0
0.049984,0,0,0,0
0.051443,0,0,0,0
0.052997,0,0,0,0
0.054455,0,0,0,0
0.055912,0,0,0,0
0.057373,0,0,0,0
0.058832,0,0,0,0
0.060289,0,0,0,0
0.062026,0,0,0,0
0.063445,0,0,0,0
0.064965,0,0,0,0
0.066523,0,0,0,0
0.067930,0,0,0,0
0.069553,0,0,0,0
0.071074,0,0,0,0
0.072477,0,0,0,0
0.073900,0,0,0,0
0.075312,0,0,0,0
0.076722,0,0,0,0
0.078096,0,0,0,0
0.079456,0,0,0,0
0.080804,0,0,0,0
0.082154,0,0,0,0
0.083594,0,0,0,0
0.084998,0,0,0,0
0.086347,0,0,0,0
0.087695,0,0,0,0
0.089086,0,0,0,0
0.090460,0,0,0,0
0.091934,273,273,273,273
0.093448,0,0,0,0
0.094882,0,0,0,0
0.096396,0,0,0,0
0.097844,0,0,0,0
0.099260,0,0,0,0
0.100681,0,0,0,0
0.102101,0,0,0,0
0.103518,0,0,0,0
0.105652,1512,1512,1575,1575
0.106893,1449,1449,1386,1386
0.108133,1386,1386,1386,1449
0.110657,2898,2898,2898,2835
0.111899,1449,1449,1449,1449
0.113140,1386,1386,1386,1386
0.114386,1449,1449,1449,1449
0.115627,1386,1386,1386,1386
0.116874,1449,1449,1449,1449
0.118118,1386,1386,1449,1449
0.119362,861,861,798,798
0.120748,0,0,0,0
0.122174,0,0,0,0
0.123561,0,0,0,0
0.124988,0,0,0,0
0.126372,0,0,0,0
0.127755,0,0,0,0
0.129138,0,0,0,0
