elapsed_s,TSE_NON_CLIP_WORKING_CYCLES,TSE_NULL_WORKING_CYCLES,TSE_OUT_PRIM_WORKING_CYCLES,TSE_INPUT_VERTEX_WORKING_CYCLES
0.001146,0,0,0,0
0.002601,0,0,0,0
0.004025,0,0,0,0
0.005448,0,0,0,0
0.006871,0,0,0,0
0.008287,0,0,0,0
0.009735,0,0,0,0
0.011127,0,0,0,0
0.012661,0,0,0,0
0.014054,0,0,0,0
0.015472,0,0,0,0
0.017023,0,0,0,0
0.018378,0,0,0,0
0.019730,0,0,0,0
0.021111,0,0,0,0
0.022444,0,0,0,0
0.023775,0,0,0,0
0.025151,0,0,0,0
0.026443,0,0,0,0
0.027732,0,0,0,0
0.029070,0,0,0,0
0.030334,0,0,0,0
0.031592,0,0,0,0
0.032863,0,0,0,0
0.034120,0,0,0,0
0.035485,0,0,0,0
0.036764,0,0,0,0
0.038103,0,0,0,0
0.039442,0,0,0,0
0.040829,0,0,0,0
0.042598,0,0,0,0
0.043985,0,0,0,0
0.045367,0,0,0,0
0.046784,0,0,0,0
0.048274,0,0,0,0
0.049628,0,0,0,0
0.051040,0,0,0,0
0.052539,0,0,0,0
0.054246,0,0,0,0
0.055669,0,0,0,0
0.057056,0,0,0,0
0.058317,0,0,0,0
0.059707,0,0,0,0
0.061609,0,0,0,0
0.062996,0,0,0,0
0.064456,0,0,0,0
0.065841,0,0,0,0
0.067225,0,0,0,0
0.068538,0,0,0,0
0.069777,0,0,0,0
0.071014,0,0,0,0
0.072254,0,0,0,0
0.073625,0,0,0,0
0.074912,0,0,0,0
0.076908,0,0,0,0
0.078151,0,0,0,0
0.079393,0,0,0,0
0.080637,0,0,0,0
0.082513,0,0,0,0
0.083901,0,0,0,0
0.085289,0,0,0,0
0.086674,0,0,0,0
0.088059,0,0,0,0
0.089493,0,0,0,0
0.090877,0,0,0,0
0.092263,0,0,0,0
0.093813,0,0,0,0
0.095194,0,0,0,0
0.100544,0,0,0,0
0.102015,0,0,0,0
0.103393,0,0,0,0
0.104835,0,0,0,0
0.106192,0,0,0,0
0.107548,0,0,0,0
0.108904,0,0,0,0
0.110260,0,0,0,0
0.111616,0,0,0,0
0.113008,0,0,0,0
0.114387,0,0,0,0
0.115776,0,0,0,0
0.117191,0,0,0,0
0.118571,0,0,0,0
0.119951,0,0,0,0
0.121365,0,0,0,0
0.122745,0,0,0,0
0.124124,0,0,0,0
0.125606,0,0,0,0
0.127000,0,0,0,0
0.128422,0,0,0,0
0.129807,0,0,0,0
0.131191,0,0,0,0
0.132577,0,0,0,0
0.133961,0,0,0,0
0.135470,0,0,0,0
0.137059,0,0,0,0
0.138618,0,0,0,0
0.140162,0,0,0,0
0.141711,0,0,0,0
0.143256,0,0,0,0
0.144847,0,0,0,0
0.146396,0,0,0,0
0.147940,0,0,0,0
0.149373,0,0,0,0
0.150889,0,0,0,0
0.152437,0,0,0,0
0.153983,0,0,0,0
