elapsed_s,RAS_LRZ_INTF_WORKING_CYCLES,RAS_BLOCKS,RAS_FALSE_PARTIAL_STILE,RAS_SLICE_BLOCK_NONEMTPY
0.001094,0,0,0,0
0.002542,0,0,0,0
0.003962,0,0,0,0
0.005380,0,0,0,0
0.006841,0,0,0,0
0.008256,0,0,0,0
0.009682,0,0,0,0
0.011099,0,0,0,0
0.012514,0,0,0,0
0.013927,0,0,0,0
0.015342,0,0,0,0
0.016763,0,0,0,0
0.018290,0,0,0,0
0.019710,0,0,0,0
0.021079,0,0,0,0
0.022494,0,0,0,0
0.023860,0,0,0,0
0.025226,0,0,0,0
0.026691,0,0,0,0
0.028059,0,0,0,0
0.029424,0,0,0,0
0.030777,0,0,0,0
0.032152,0,0,0,0
0.033523,0,0,0,0
0.034904,0,0,0,0
0.036273,0,0,0,0
0.037643,0,0,0,0
0.039028,0,0,0,0
0.040397,0,0,0,0
0.041781,0,0,0,0
0.043220,0,0,0,0
0.044566,0,0,0,0
0.045911,0,0,0,0
0.047258,0,0,0,0
0.048605,0,0,0,0
0.049953,0,0,0,0
0.051302,0,0,0,0
0.052659,0,0,0,0
0.054008,0,0,0,0
0.055360,0,0,0,0
0.056708,0,0,0,0
0.058097,0,0,0,0
0.059391,0,0,0,0
0.060680,0,0,0,0
0.061969,0,0,0,0
0.063313,0,0,0,0
0.064602,0,0,0,0
0.065892,0,0,0,0
0.067183,0,0,0,0
0.068473,0,0,0,0
0.069763,0,0,0,0
0.071063,0,0,0,0
0.072354,0,0,0,0
0.073712,0,0,0,0
0.075032,0,0,0,0
0.076411,0,0,0,0
0.077794,0,0,0,0
0.079134,0,0,0,0
0.080475,0,0,0,0
0.081879,0,0,0,0
0.083298,0,0,0,0
0.084719,0,0,0,0
0.086112,0,0,0,0
0.087501,0,0,0,0
0.088912,66,0,0,0
0.090353,0,0,0,0
0.091743,0,0,0,0
0.093130,0,0,0,0
0.094514,0,0,0,0
0.095911,0,0,0,0
0.097293,0,0,0,0
0.099370,246,0,0,0
0.100613,462,0,0,0
0.101903,501,0,0,0
