elapsed_s,TP_DIVERGENT_QUADS_RECEIVED,TP_PRT_NON_RESIDENT_EVENTS,TP_OUTPUT_PIXELS_POINT,TP_OUTPUT_PIXELS_BILINEAR,TP_OUTPUT_PIXELS_MIP,TP_OUTPUT_PIXELS_ANISO,TP_OUTPUT_PIXELS_ZERO_LOD,TP_FLAG_CACHE_REQUESTS,TP_FLAG_CACHE_MISSES,TP_L1_5_L2_REQUESTS,TP_2D_OUTPUT_PIXELS,TP_2D_OUTPUT_PIXELS_POINT
0.001094,0,0,0,0,0,0,0,0,0,0,0,0
0.002616,0,0,0,0,0,0,0,0,0,0,0,0
0.004156,0,0,0,0,0,0,0,0,0,0,0,0
0.005647,0,0,0,0,0,0,0,0,0,0,0,0
0.007135,0,0,0,0,0,0,0,0,0,0,0,0
0.008624,0,0,0,0,0,0,0,0,0,0,0,0
0.010122,0,0,0,0,0,0,0,0,0,0,0,0
0.011700,0,0,0,0,0,0,0,0,0,0,0,0
0.013188,0,0,0,0,0,0,0,0,0,0,0,0
0.014677,0,0,0,0,0,0,0,0,0,0,0,0
0.016165,0,0,0,0,0,0,0,0,0,0,0,0
0.017690,0,0,0,0,0,0,0,0,0,0,0,0
0.019255,0,0,0,0,0,0,0,0,0,0,0,0
0.020707,0,0,0,0,0,0,0,0,0,0,0,0
0.022122,0,0,0,0,0,0,0,0,0,0,0,0
0.023692,0,0,0,0,0,0,0,0,0,0,0,0
0.025108,0,0,0,0,0,0,0,0,0,0,0,0
0.026583,0,0,0,0,0,0,0,0,0,0,0,0
0.028002,0,0,0,0,0,0,0,0,0,0,0,0
0.029414,0,0,0,0,0,0,0,0,0,0,0,0
0.030885,0,0,0,0,0,0,0,0,0,0,0,0
0.032298,0,0,0,0,0,0,0,0,0,0,0,0
0.033709,0,0,0,0,0,0,0,0,0,0,0,0
0.035158,0,0,0,0,0,0,0,0,0,0,0,0
0.036509,0,0,0,0,0,0,0,0,0,0,0,0
0.037971,0,0,0,0,0,0,0,0,0,0,0,0
0.039370,0,0,0,0,0,0,0,0,0,0,0,0
0.040741,0,0,0,0,0,0,0,0,0,0,0,0
0.042095,0,0,0,0,0,0,0,0,0,0,0,0
0.043497,0,0,0,0,0,0,0,0,0,0,0,0
0.044847,0,0,0,0,0,0,0,0,0,0,0,0
0.046197,0,0,0,0,0,0,0,0,0,0,0,0
0.047644,0,0,0,0,0,0,0,0,0,0,0,0
0.048994,0,0,0,0,0,0,0,0,0,0,0,0
0.050345,0,0,0,0,0,0,0,0,0,0,0,0
0.051696,0,0,0,0,0,0,0,0,0,0,0,0
0.053050,0,0,0,0,0,0,0,0,0,0,0,0
0.054400,0,0,0,0,0,0,0,0,0,0,0,0
0.055874,0,0,0,0,0,0,0,0,0,0,0,0
0.057264,0,0,0,0,0,0,0,0,0,0,0,0
0.058677,0,0,0,0,0,0,0,0,0,0,0,0
0.060070,0,0,0,0,0,0,0,0,0,0,0,0
0.061500,0,0,0,0,0,0,0,0,0,0,0,0
0.062923,0,0,0,0,0,0,0,0,0,0,0,0
0.064340,0,0,0,0,0,0,0,0,0,0,0,0
0.065729,0,0,0,0,0,0,0,0,0,0,0,0
0.067185,0,0,0,0,0,0,0,0,0,0,0,0
0.068633,0,0,0,0,0,0,0,0,0,0,0,0
0.070025,0,0,0,0,0,0,0,0,0,0,0,0
0.071416,0,0,0,0,0,0,0,0,0,0,0,0
0.072806,0,0,0,0,0,0,0,0,0,0,0,0
0.074192,0,0,0,0,0,0,0,0,0,0,0,0
0.075698,0,0,0,0,0,0,0,0,0,0,0,0
0.077086,0,0,0,0,0,0,0,0,0,0,0,0
0.078472,0,0,0,0,0,0,0,0,0,0,0,0
0.079859,0,0,130048,0,0,0,149504,0,0,20992,0,0
0.081228,0,0,1470464,0,0,0,1475584,0,0,183808,0,0
0.082471,0,0,1478656,0,0,0,1473536,0,0,184832,0,0
0.083753,0,0,1508352,0,0,0,1525760,0,0,190720,0,0
0.084992,0,0,1487872,0,0,0,1470464,0,0,183808,0,0
0.086232,0,0,1461248,0,0,0,1475584,0,0,184832,0,0
0.087470,0,0,1481728,0,0,0,1473536,0,0,183040,0,0
0.088711,0,0,1467392,0,0,0,1472512,0,0,184832,0,0
0.089951,0,0,1484800,0,0,0,1476608,0,0,185728,0,0
0.091200,0,0,1476608,0,0,0,1481728,0,0,184064,0,0
0.092440,0,0,1475584,0,0,0,1467392,0,0,183424,0,0
0.093679,0,0,1461248,0,0,0,1475584,0,0,184448,0,0
0.094916,0,0,393216,0,0,0,359424,0,0,42624,0,0
0.096410,0,0,0,0,0,0,0,0,0,0,0,0
0.097860,0,0,0,0,0,0,0,0,0,0,0,0
0.099248,0,0,0,0,0,0,0,0,0,0,0,0
0.100634,0,0,0,0,0,0,0,0,0,0,0,0
0.102019,0,0,0,0,0,0,0,0,0,0,0,0
0.103450,0,0,0,0,0,0,0,0,0,0,0,0
0.104830,0,0,0,0,0,0,0,0,0,0,0,0
0.106221,0,0,0,0,0,0,0,0,0,0,0,0
0.107648,0,0,0,0,0,0,0,0,0,0,0,0
0.109033,0,0,0,0,0,0,0,0,0,0,0,0
0.110418,0,0,0,0,0,0,0,0,0,0,0,0
0.111890,0,0,0,0,0,0,0,0,0,0,0,0
0.113330,0,0,0,0,0,0,0,0,0,0,0,0
0.114760,0,0,0,0,0,0,0,0,0,0,0,0
0.116250,0,0,0,0,0,0,0,0,0,0,0,0
0.117695,0,0,0,0,0,0,0,0,0,0,0,0
0.119208,0,0,0,0,0,0,0,0,0,0,0,0
0.120735,0,0,0,0,0,0,0,0,0,0,0,0
0.122157,0,0,0,0,0,0,0,0,0,0,0,0
0.123820,0,0,0,0,0,0,0,0,0,0,0,0
0.125244,0,0,0,0,0,0,0,0,0,0,0,0
0.128099,0,0,0,0,0,0,0,0,0,0,0,0
0.129539,0,0,0,0,0,0,0,0,0,0,0,0
0.131180,0,0,0,0,0,0,0,0,0,0,0,0
0.132605,0,0,0,0,0,0,0,0,0,0,0,0
0.134028,0,0,0,0,0,0,0,0,0,0,0,0
0.135451,0,0,0,0,0,0,0,0,0,0,0,0
0.136875,0,0,0,0,0,0,0,0,0,0,0,0
0.138298,0,0,0,0,0,0,0,0,0,0,0,0
0.139723,0,0,0,0,0,0,0,0,0,0,0,0
0.141152,0,0,0,0,0,0,0,0,0,0,0,0
0.142585,0,0,0,0,0,0,0,0,0,0,0,0
0.144014,0,0,0,0,0,0,0,0,0,0,0,0
0.145442,0,0,0,0,0,0,0,0,0,0,0,0
0.146912,0,0,0,0,0,0,0,0,0,0,0,0
0.148468,0,0,0,0,0,0,0,0,0,0,0,0
0.150079,0,0,0,0,0,0,0,0,0,0,0,0
0.151622,0,0,0,0,0,0,0,0,0,0,0,0
0.153185,0,0,0,0,0,0,0,0,0,0,0,0
0.154778,0,0,0,0,0,0,0,0,0,0,0,0
0.156370,0,0,0,0,0,0,0,0,0,0,0,0
0.157961,0,0,0,0,0,0,0,0,0,0,0,0
0.159553,0,0,0,0,0,0,0,0,0,0,0,0
0.161035,0,0,0,0,0,0,0,0,0,0,0,0
0.162601,0,0,0,0,0,0,0,0,0,0,0,0
0.164239,0,0,0,0,0,0,0,0,0,0,0,0
0.165830,0,0,0,0,0,0,0,0,0,0,0,0
0.167422,0,0,0,0,0,0,0,0,0,0,0,0
0.169014,0,0,0,0,0,0,0,0,0,0,0,0
0.170608,0,0,0,0,0,0,0,0,0,0,0,0
0.172261,0,0,0,0,0,0,0,0,0,0,0,0
0.173852,0,0,0,0,0,0,0,0,0,0,0,0
0.175445,0,0,0,0,0,0,0,0,0,0,0,0
0.177037,0,0,0,0,0,0,0,0,0,0,0,0
0.178631,0,0,0,0,0,0,0,0,0,0,0,0
0.180267,0,0,0,0,0,0,0,0,0,0,0,0
0.181858,0,0,0,0,0,0,0,0,0,0,0,0
0.183463,0,0,0,0,0,0,0,0,0,0,0,0
0.185055,0,0,0,0,0,0,0,0,0,0,0,0
0.186649,0,0,0,0,0,0,0,0,0,0,0,0
0.188242,0,0,0,0,0,0,0,0,0,0,0,0
0.189834,0,0,0,0,0,0,0,0,0,0,0,0
0.191426,0,0,0,0,0,0,0,0,0,0,0,0
0.193018,0,0,0,0,0,0,0,0,0,0,0,0
0.194624,0,0,0,0,0,0,0,0,0,0,0,0
0.196261,0,0,0,0,0,0,0,0,0,0,0,0
0.197852,0,0,0,0,0,0,0,0,0,0,0,0
0.199444,0,0,0,0,0,0,0,0,0,0,0,0
0.201036,0,0,0,0,0,0,0,0,0,0,0,0
0.202630,0,0,0,0,0,0,0,0,0,0,0,0
0.204222,0,0,0,0,0,0,0,0,0,0,0,0
0.205826,0,0,0,0,0,0,0,0,0,0,0,0
0.207418,0,0,0,0,0,0,0,0,0,0,0,0
0.209011,0,0,0,0,0,0,0,0,0,0,0,0
0.210606,0,0,0,0,0,0,0,0,0,0,0,0
0.212243,0,0,0,0,0,0,0,0,0,0,0,0
0.213833,0,0,0,0,0,0,0,0,0,0,0,0
0.215425,0,0,0,0,0,0,0,0,0,0,0,0
0.217032,0,0,0,0,0,0,0,0,0,0,0,0
0.218626,0,0,0,0,0,0,0,0,0,0,0,0
0.220218,0,0,0,0,0,0,0,0,0,0,0,0
0.221809,0,0,0,0,0,0,0,0,0,0,0,0
0.223401,0,0,0,0,0,0,0,0,0,0,0,0
0.224993,0,0,0,0,0,0,0,0,0,0,0,0
0.226587,0,0,0,0,0,0,0,0,0,0,0,0
0.228132,0,0,0,0,0,0,0,0,0,0,0,0
0.229692,0,0,0,0,0,0,0,0,0,0,0,0
0.231156,0,0,0,0,0,0,0,0,0,0,0,0
0.232720,0,0,0,0,0,0,0,0,0,0,0,0
0.234310,0,0,0,0,0,0,0,0,0,0,0,0
0.235907,0,0,0,0,0,0,0,0,0,0,0,0
0.237498,0,0,0,0,0,0,0,0,0,0,0,0
0.239104,0,0,0,0,0,0,0,0,0,0,0,0
0.240697,0,0,0,0,0,0,0,0,0,0,0,0
0.242288,0,0,0,0,0,0,0,0,0,0,0,0
0.243883,0,0,0,0,0,0,0,0,0,0,0,0
0.245473,0,0,0,0,0,0,0,0,0,0,0,0
0.247067,0,0,0,0,0,0,0,0,0,0,0,0
0.248660,0,0,0,0,0,0,0,0,0,0,0,0
0.250265,0,0,0,0,0,0,0,0,0,0,0,0
0.251861,0,0,0,0,0,0,0,0,0,0,0,0
0.253452,0,0,0,0,0,0,0,0,0,0,0,0
0.255046,0,0,0,0,0,0,0,0,0,0,0,0
0.256639,0,0,0,0,0,0,0,0,0,0,0,0
0.258229,0,0,0,0,0,0,0,0,0,0,0,0
0.259825,0,0,0,0,0,0,0,0,0,0,0,0
0.261427,0,0,0,0,0,0,0,0,0,0,0,0
0.263019,0,0,0,0,0,0,0,0,0,0,0,0
0.264609,0,0,0,0,0,0,0,0,0,0,0,0
0.266198,0,0,0,0,0,0,0,0,0,0,0,0
0.267792,0,0,0,0,0,0,0,0,0,0,0,0
0.269380,0,0,0,0,0,0,0,0,0,0,0,0
0.270972,0,0,0,0,0,0,0,0,0,0,0,0
0.272574,0,0,0,0,0,0,0,0,0,0,0,0
0.274164,0,0,0,0,0,0,0,0,0,0,0,0
0.275738,0,0,0,0,0,0,0,0,0,0,0,0
0.277299,0,0,0,0,0,0,0,0,0,0,0,0
0.278892,0,0,0,0,0,0,0,0,0,0,0,0
0.280483,0,0,0,0,0,0,0,0,0,0,0,0
0.282073,0,0,0,0,0,0,0,0,0,0,0,0
0.283726,0,0,0,0,0,0,0,0,0,0,0,0
0.285316,0,0,0,0,0,0,0,0,0,0,0,0
0.286907,0,0,0,0,0,0,0,0,0,0,0,0
0.288497,0,0,0,0,0,0,0,0,0,0,0,0
0.290087,0,0,0,0,0,0,0,0,0,0,0,0
0.291734,0,0,0,0,0,0,0,0,0,0,0,0
0.293325,0,0,0,0,0,0,0,0,0,0,0,0
0.294931,0,0,0,0,0,0,0,0,0,0,0,0
0.296522,0,0,0,0,0,0,0,0,0,0,0,0
0.298110,0,0,0,0,0,0,0,0,0,0,0,0
0.299753,0,0,0,0,0,0,0,0,0,0,0,0
0.301344,0,0,0,0,0,0,0,0,0,0,0,0
0.302936,0,0,0,0,0,0,0,0,0,0,0,0
