elapsed_s,CP_PM4_DATA,CP_PM4_HEADERS,CP_VBIF_READ_BEATS,CP_VBIF_WRITE_BEATS,CP_SQE_INSTR_COUNTER,CP_CLUSTER_FE_US_FULL,CP_CLUSTER_FE_S_FULL,CP_CLUSTER_SP_VS_FULL,CP_CLUSTER_VPC_US_FULL,CP_CLUSTER_VPC_VS_FULL,CP_CLUSTER_GRAS_FULL,CP_CLUSTER_SP_PS_FULL,CP_CLUSTER_VPC_PS_FULL,CP_CLUSTER_PS_FULL
0.001100,0,0,34,1,323,0,0,0,0,0,0,0,0,0
0.002770,0,0,34,1,379,0,0,0,0,0,0,0,0,0
0.004554,0,0,34,1,341,0,0,0,0,0,0,0,0,0
0.006679,0,0,34,1,287,0,0,0,0,0,0,0,0,0
0.008646,0,0,34,1,289,0,0,0,0,0,0,0,0,0
0.010308,0,0,34,1,381,0,0,0,0,0,0,0,0,0
0.011885,0,0,34,1,349,0,0,0,0,0,0,0,0,0
0.013451,0,0,34,1,363,0,0,0,0,0,0,0,0,0
0.015019,0,0,34,1,291,0,0,0,0,0,0,0,0,0
0.016642,0,0,34,1,369,0,0,0,0,0,0,0,0,0
0.018258,0,0,34,1,275,0,0,0,0,0,0,0,0,0
0.019836,0,0,34,1,371,0,0,0,0,0,0,0,0,0
0.021347,0,0,34,1,281,0,0,0,0,0,0,0,0,0
0.022949,0,0,34,1,383,0,0,0,0,0,0,0,0,0
0.024571,0,0,34,1,379,0,0,0,0,0,0,0,0,0
0.026068,0,0,34,1,291,0,0,0,0,0,0,0,0,0
0.027569,0,0,34,1,307,0,0,0,0,0,0,0,0,0
0.028917,0,0,36,1,225,0,0,0,0,0,0,0,0,0
0.030271,0,0,36,1,227,0,0,0,0,0,0,0,0,0
0.031657,0,0,34,1,221,0,0,0,0,0,0,0,0,0
0.033052,0,0,36,1,223,0,0,0,0,0,0,0,0,0
0.034452,0,0,36,1,225,0,0,0,0,0,0,0,0,0
0.035852,0,0,36,1,221,0,0,0,0,0,0,0,0,0
0.037254,0,0,36,1,225,0,0,0,0,0,0,0,0,0
0.038648,0,0,36,1,225,0,0,0,0,0,0,0,0,0
0.040119,0,0,36,1,221,0,0,0,0,0,0,0,0,0
0.041536,0,0,36,1,225,0,0,0,0,0,0,0,0,0
0.042947,0,0,36,1,225,0,0,0,0,0,0,0,0,0
0.044448,0,0,36,1,221,0,0,0,0,0,0,0,0,0
0.045902,0,0,36,1,225,0,0,0,0,0,0,0,0,0
0.047305,0,0,36,1,225,0,0,0,0,0,0,0,0,0
0.048751,0,0,36,1,225,0,0,0,0,0,0,0,0,0
0.050142,0,0,36,1,221,0,0,0,0,0,0,0,0,0
0.051547,54,41,1223,284,21822,0,0,0,0,0,0,0,0,0
0.053045,0,0,36,1,227,0,0,0,0,0,0,0,0,0
0.054438,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.055879,0,0,36,1,225,0,0,0,0,0,0,0,0,0
0.057275,0,0,36,1,221,0,0,0,0,0,0,0,0,0
0.058671,0,0,36,1,225,0,0,0,0,0,0,0,0,0
0.060122,0,0,36,1,225,0,0,0,0,0,0,0,0,0
0.061521,13,21,304,12,2414,0,0,0,0,0,0,0,0,0
0.063350,263,283,499,0,863586,0,0,0,0,0,0,0,0,0
0.064686,135,160,136,0,874062,0,0,0,0,0,0,0,0,0
0.065992,129,152,128,0,861379,0,0,0,0,0,0,0,0,0
0.067295,128,153,128,0,859859,0,0,0,0,0,0,0,0,0
0.068589,128,160,136,0,855309,0,0,0,0,0,0,0,0,0
0.069881,135,152,128,0,854419,0,0,0,0,0,0,0,0,0
0.071173,129,152,128,0,854360,0,0,0,0,0,0,0,0,0
0.072466,128,153,128,0,855362,0,0,0,0,0,0,0,0,0
0.073758,128,152,128,0,855406,0,0,0,0,0,0,0,0,0
0.075292,162,192,168,0,1053438,0,0,0,0,0,0,0,0,0
0.076651,129,152,128,0,861009,0,0,0,0,0,0,0,0,0
