elapsed_s,PC_RESERVED_56,PC_RESERVED_57,PC_RESERVED_58,PC_RESERVED_59,PC_S_BUSY_CYCLES,PC_S_WORKING_CYCLES,PC_S_STALL_CYCLES_VFD,PC_S_STALL_CYCLES_VPC_FE
0.001094,0,0,0,0,0,0,0,0
0.002570,0,0,0,0,0,0,0,0
0.004023,0,0,0,0,0,0,0,0
0.005478,0,0,0,0,0,0,0,0
0.007002,0,0,0,0,0,0,0,0
0.008500,0,0,0,0,0,0,0,0
0.010049,0,0,0,0,0,0,0,0
0.011456,0,0,0,0,0,0,0,0
0.012844,0,0,0,0,0,0,0,0
0.014229,0,0,0,0,0,0,0,0
0.015721,0,0,0,0,0,0,0,0
0.017135,0,0,0,0,0,0,0,0
0.018598,0,0,0,0,0,0,0,0
0.020012,0,0,0,0,0,0,0,0
0.021428,0,0,0,0,0,0,0,0
0.022876,0,0,0,0,0,0,0,0
0.024247,0,0,0,0,0,0,0,0
0.025615,0,0,0,0,0,0,0,0
0.026984,0,0,0,0,0,0,0,0
0.028357,0,0,0,0,0,0,0,0
0.029731,0,0,0,0,0,0,0,0
0.031149,0,0,0,0,0,0,0,0
0.032468,0,0,0,0,0,0,0,0
0.033788,0,0,0,0,0,0,0,0
0.035131,0,0,0,0,0,0,0,0
0.036451,0,0,0,0,0,0,0,0
0.037772,0,0,0,0,0,0,0,0
0.039106,0,0,0,0,0,0,0,0
0.040430,0,0,0,0,0,0,0,0
0.041752,0,0,0,0,0,0,0,0
0.043122,0,0,0,0,0,0,0,0
0.044656,0,0,0,0,0,0,0,0
0.046123,0,0,0,0,0,0,0,0
0.047615,0,0,0,0,0,0,0,0
0.048939,0,0,0,0,0,0,0,0
0.050312,0,0,0,0,0,0,0,0
0.051647,0,0,0,0,0,0,0,0
0.053032,0,0,0,0,0,0,0,0
0.054489,0,0,0,0,0,0,0,0
0.055811,0,0,0,0,0,0,0,0
0.057132,0,0,0,0,0,0,0,0
0.058629,0,0,0,0,0,0,0,0
0.059947,0,0,0,0,0,0,0,0
0.061277,0,0,0,0,885,1083,0,0
0.062855,0,0,0,0,0,0,0,0
0.064298,0,0,0,0,0,0,0,0
0.065618,0,0,0,0,0,0,0,0
0.066987,0,0,0,0,0,0,0,0
0.068309,0,0,0,0,0,0,0,0
0.069629,0,0,0,0,0,0,0,0
0.071010,0,0,0,0,0,0,0,0
0.072288,0,0,0,0,0,0,0,0
0.073562,0,0,0,0,0,0,0,0
0.074916,0,0,0,0,0,0,0,0
0.076284,0,0,0,0,0,0,0,0
0.077630,0,0,0,0,0,0,0,0
0.079031,0,0,0,0,2028,2529,54,0
0.080251,0,0,0,0,2646,3294,108,0
0.081473,0,0,0,0,2646,3372,108,0
0.082689,0,0,0,0,2694,3294,108,0
0.083905,0,0,0,0,2646,3294,108,0
0.085121,0,0,0,0,2646,3294,108,0
0.086337,0,0,0,0,2646,3294,108,0
0.087556,0,0,0,0,2646,3294,108,0
0.088773,0,0,0,0,2646,3294,108,0
0.089992,0,0,0,0,2646,3294,108,0
0.091208,0,0,0,0,2646,3294,108,0
0.092422,0,0,0,0,2646,3294,108,0
0.093637,0,0,0,0,2646,3294,108,0
0.094893,0,0,0,0,2793,3477,114,0
0.096108,0,0,0,0,2067,2550,72,0
0.097347,0,0,0,0,0,0,0,0
0.098708,0,0,0,0,0,0,0,0
0.100088,0,0,0,0,0,0,0,0
0.101451,0,0,0,0,0,0,0,0
0.102829,0,0,0,0,0,0,0,0
0.104270,0,0,0,0,0,0,0,0
0.105683,0,0,0,0,0,0,0,0
0.107244,0,0,0,0,0,0,0,0
0.108663,0,0,0,0,0,0,0,0
0.110075,0,0,0,0,0,0,0,0
0.111484,0,0,0,0,0,0,0,0
0.112895,0,0,0,0,0,0,0,0
0.114379,0,0,0,0,0,0,0,0
0.115805,0,0,0,0,0,0,0,0
0.117213,0,0,0,0,0,0,0,0
0.118655,0,0,0,0,0,0,0,0
0.120066,0,0,0,0,0,0,0,0
0.121467,0,0,0,0,0,0,0,0
0.126034,0,0,0,0,0,0,0,0
0.127547,0,0,0,0,0,0,0,0
0.128923,0,0,0,0,0,0,0,0
0.130365,0,0,0,0,0,0,0,0
0.131765,0,0,0,0,0,0,0,0
0.133166,0,0,0,0,0,0,0,0
0.134604,0,0,0,0,0,0,0,0
0.136008,0,0,0,0,0,0,0,0
0.137409,0,0,0,0,0,0,0,0
0.138814,0,0,0,0,0,0,0,0
0.140224,0,0,0,0,0,0,0,0
0.141641,0,0,0,0,0,0,0,0
0.143079,0,0,0,0,0,0,0,0
0.144605,0,0,0,0,0,0,0,0
0.146303,0,0,0,0,0,0,0,0
0.147828,0,0,0,0,0,0,0,0
0.149246,0,0,0,0,0,0,0,0
0.150692,0,0,0,0,0,0,0,0
0.152255,0,0,0,0,0,0,0,0
0.154407,0,0,0,0,0,0,0,0
0.155819,0,0,0,0,0,0,0,0
0.157227,0,0,0,0,0,0,0,0
0.158673,0,0,0,0,0,0,0,0
0.160081,0,0,0,0,0,0,0,0
0.161489,0,0,0,0,0,0,0,0
