elapsed_s,HLSQ_NEVER_COUNT,HLSQ_BUSY_CYCLES,HLSQ_STALL_CYCLES_SP_STATE,HLSQ_STALL_CYCLES_SP_FS_STAGE,HLSQ_UCHE_LATENCY_CYCLES,HLSQ_UCHE_LATENCY_COUNT
0.001101,0,104,0,0,0,0
0.002621,0,104,0,0,0,0
0.004061,0,104,0,0,0,0
0.005498,0,104,0,0,0,0
0.006931,0,104,0,0,0,0
0.008368,0,104,0,0,0,0
0.009817,0,104,0,0,0,0
0.011332,0,104,0,0,0,0
0.012768,0,104,0,0,0,0
0.014202,0,104,0,0,0,0
0.015637,0,104,0,0,0,0
0.017109,0,104,0,0,0,0
0.018660,0,104,0,0,0,0
0.020055,0,104,0,0,0,0
0.021417,0,104,0,0,0,0
0.022827,0,104,0,0,0,0
0.024201,0,104,0,0,0,0
0.025562,0,104,0,0,0,0
0.026980,0,104,0,0,0,0
0.028343,0,104,0,0,0,0
0.029708,0,104,0,0,0,0
0.031104,0,104,0,0,0,0
0.032468,0,104,0,0,0,0
0.033830,0,104,0,0,0,0
0.035203,0,104,0,0,0,0
0.036550,0,104,0,0,0,0
0.037898,0,104,0,0,0,0
0.039254,0,104,0,0,0,0
0.040599,0,104,0,0,0,0
0.042003,0,104,0,0,0,0
0.043353,0,104,0,0,0,0
0.044700,0,104,0,0,0,0
0.046096,0,104,0,0,0,0
0.047442,0,104,0,0,0,0
0.048786,0,104,0,0,0,0
0.050178,0,104,0,0,0,0
0.051531,0,104,0,0,0,0
0.052839,0,104,0,0,0,0
0.054191,0,104,0,0,0,0
0.055493,0,104,0,0,0,0
0.056796,0,104,0,0,0,0
0.058149,0,104,0,0,0,0
0.059454,0,104,0,0,0,0
0.060757,0,104,0,0,0,0
0.062108,0,104,0,0,0,0
0.063373,0,104,0,0,0,0
0.064642,0,104,0,0,0,0
0.066005,0,104,0,0,0,0
0.067340,0,104,0,0,0,0
0.068689,0,104,0,0,0,0
0.070036,0,104,0,0,0,0
0.071399,0,104,0,0,0,0
0.072779,0,104,0,0,0,0
0.074157,0,104,0,0,0,0
0.075506,0,104,0,0,0,0
0.076860,0,104,0,0,0,0
0.078298,0,104,0,0,0,0
0.079735,0,1323,0,0,0,0
0.081093,0,104,0,0,0,0
0.082474,0,104,0,0,0,0
0.084061,0,104,0,0,0,0
0.085566,0,104,0,0,0,0
0.087144,0,104,0,0,0,0
0.088587,0,104,0,0,0,0
0.090022,0,104,0,0,0,0
0.091459,0,104,0,0,0,0
0.092894,0,468962,0,0,1059,6
0.094178,0,1910783,0,0,0,0
0.096664,0,966553,0,0,0,0
0.097943,0,976357,0,0,0,0
0.099196,0,948379,0,0,0,0
0.100447,0,952777,0,0,0,0
0.101697,0,956819,0,0,0,0
0.103047,0,1030180,0,0,0,0
0.104298,0,943470,0,0,0,0
0.105547,0,965348,0,0,0,0
0.107033,0,1137163,0,0,0,0
0.108288,0,947026,0,0,0,0
0.109541,0,956808,0,0,0,0
0.111021,0,579,0,0,0,0
0.112441,0,104,0,0,0,0
0.113862,0,104,0,0,0,0
0.115290,0,104,0,0,0,0
0.116741,0,104,0,0,0,0
0.118075,0,104,0,0,0,0
0.119410,0,104,0,0,0,0
0.120743,0,104,0,0,0,0
0.122085,0,104,0,0,0,0
0.123419,0,104,0,0,0,0
0.124752,0,104,0,0,0,0
0.126745,0,104,0,0,0,0
0.128094,0,104,0,0,0,0
0.129428,0,104,0,0,0,0
0.130759,0,104,0,0,0,0
0.132204,0,104,0,0,0,0
0.133641,0,104,0,0,0,0
0.134986,0,104,0,0,0,0
0.136311,0,104,0,0,0,0
0.137751,0,104,0,0,0,0
0.139095,0,104,0,0,0,0
0.140533,0,104,0,0,0,0
0.141883,0,104,0,0,0,0
0.143306,0,104,0,0,0,0
0.144745,0,104,0,0,0,0
0.146184,0,104,0,0,0,0
0.147588,0,104,0,0,0,0
0.148992,0,104,0,0,0,0
0.150506,0,104,0,0,0,0
0.151905,0,104,0,0,0,0
0.153301,0,104,0,0,0,0
0.154711,0,104,0,0,0,0
0.156103,0,104,0,0,0,0
0.157493,0,104,0,0,0,0
0.158886,0,104,0,0,0,0
0.160410,0,104,0,0,0,0
0.161972,0,104,0,0,0,0
0.163577,0,104,0,0,0,0
0.165027,0,104,0,0,0,0
0.166560,0,104,0,0,0,0
0.168121,0,104,0,0,0,0
0.169681,0,104,0,0,0,0
0.171244,0,104,0,0,0,0
0.172803,0,104,0,0,0,0
0.174364,0,104,0,0,0,0
0.175937,0,104,0,0,0,0
0.177496,0,104,0,0,0,0
0.178972,0,104,0,0,0,0
0.180501,0,104,0,0,0,0
0.182062,0,104,0,0,0,0
0.183622,0,104,0,0,0,0
0.185181,0,104,0,0,0,0
0.186756,0,104,0,0,0,0
0.188317,0,104,0,0,0,0
0.189944,0,104,0,0,0,0
0.191502,0,104,0,0,0,0
0.193061,0,104,0,0,0,0
0.194667,0,104,0,0,0,0
0.196227,0,104,0,0,0,0
0.197799,0,104,0,0,0,0
0.199364,0,104,0,0,0,0
0.200923,0,104,0,0,0,0
0.202485,0,104,0,0,0,0
0.204047,0,104,0,0,0,0
0.205608,0,104,0,0,0,0
0.207173,0,104,0,0,0,0
0.208795,0,104,0,0,0,0
0.210401,0,104,0,0,0,0
0.211962,0,104,0,0,0,0
0.213521,0,104,0,0,0,0
0.215031,0,104,0,0,0,0
0.216436,0,104,0,0,0,0
0.218070,0,104,0,0,0,0
0.219493,0,104,0,0,0,0
0.220892,0,104,0,0,0,0
0.222288,0,104,0,0,0,0
0.223679,0,104,0,0,0,0
