elapsed_s,HLSQ_STALL_CYCLES_VPC_BE,HLSQ_RESERVED_19,HLSQ_RESERVED_20,HLSQ_VSBR_STALL_CYCLES,HLSQ_FS_STALL_CYCLES,HLSQ_LPAC_STALL_CYCLES
0.001097,0,0,0,0,0,0
0.002571,0,0,0,0,0,0
0.004008,0,0,0,0,0,0
0.005444,0,0,0,0,0,0
0.006877,0,0,0,0,0,0
0.008310,0,0,0,0,0,0
0.009755,0,0,0,0,0,0
0.011188,0,0,0,0,0,0
0.012621,0,0,0,0,0,0
0.014055,0,0,0,0,0,0
0.015490,0,0,0,0,0,0
0.016988,0,0,0,0,0,0
0.018396,0,0,0,0,0,0
0.019785,0,0,0,0,0,0
0.021153,0,0,0,0,0,0
0.022519,0,0,0,0,0,0
0.023883,0,0,0,0,0,0
0.025248,0,0,0,0,0,0
0.026611,0,0,0,0,0,0
0.028023,0,0,0,0,0,0
0.029388,0,0,0,0,0,0
0.030763,0,0,0,0,0,0
0.032176,0,0,0,0,0,0
0.033520,0,0,0,0,0,0
0.034863,0,0,0,0,0,0
0.036258,0,0,0,0,0,0
0.037606,0,0,0,0,0,0
0.038954,0,0,0,0,0,0
0.040303,0,0,0,0,0,0
0.041657,0,0,0,0,0,0
0.043002,0,0,0,0,0,0
0.044397,0,0,0,0,0,0
0.045749,0,0,0,0,0,0
0.047098,0,0,0,0,0,0
0.048484,0,0,0,0,0,0
0.049790,0,0,0,0,0,0
0.051095,0,0,0,0,0,0
0.052453,0,0,0,0,0,0
0.053758,0,0,0,0,0,0
0.055114,0,0,0,0,0,0
0.056419,0,0,0,0,0,0
0.057723,0,0,0,0,0,0
0.059028,0,0,0,0,0,0
0.060384,0,0,0,0,0,0
0.061689,0,0,0,0,0,0
0.063063,0,0,0,0,0,0
0.064434,0,0,0,0,0,0
0.065837,0,0,0,0,0,0
0.067244,0,0,0,0,0,0
0.068641,0,0,0,0,0,0
0.070083,0,0,0,0,0,0
0.071490,0,0,0,0,0,0
0.072853,0,0,0,0,0,0
0.074226,0,0,0,0,0,0
0.075582,0,0,0,0,0,0
0.077083,0,0,0,0,0,0
0.078476,0,0,0,28,34,0
0.080055,0,0,0,0,0,0
0.081503,0,0,0,0,0,0
0.082907,0,0,0,0,0,0
0.084315,0,0,0,0,0,0
0.085713,0,0,0,0,0,0
0.087111,0,0,0,0,0,0
0.088506,0,0,0,0,0,0
0.089900,0,0,0,145,183,0
0.091152,0,0,0,360,660,0
0.093746,0,0,0,518,1292,0
0.094998,0,0,0,260,646,0
0.097381,0,0,0,476,1190,0
0.098632,0,0,0,259,646,0
0.099940,0,0,0,259,646,0
0.101204,0,0,0,258,646,0
0.102459,0,0,0,246,646,0
0.103716,0,0,0,259,612,0
0.104970,0,0,0,258,646,0
0.106223,0,0,0,246,612,0
0.107542,0,0,0,208,456,0
0.109108,0,0,0,0,0,0
0.110478,0,0,0,0,0,0
0.111897,0,0,0,0,0,0
0.113202,0,0,0,0,0,0
0.114548,0,0,0,0,0,0
0.115891,0,0,0,0,0,0
0.117353,0,0,0,0,0,0
0.118699,0,0,0,0,0,0
0.120735,0,0,0,0,0,0
0.122076,0,0,0,0,0,0
0.123682,0,0,0,0,0,0
0.125023,0,0,0,0,0,0
0.126363,0,0,0,0,0,0
0.127720,0,0,0,0,0,0
0.129930,0,0,0,0,0,0
0.131351,0,0,0,0,0,0
0.132801,0,0,0,0,0,0
0.134221,0,0,0,0,0,0
0.135639,0,0,0,0,0,0
0.137029,0,0,0,0,0,0
0.138448,0,0,0,0,0,0
0.139870,0,0,0,0,0,0
0.141250,0,0,0,0,0,0
0.142621,0,0,0,0,0,0
0.143992,0,0,0,0,0,0
0.145335,0,0,0,0,0,0
0.146684,0,0,0,0,0,0
0.148032,0,0,0,0,0,0
0.149386,0,0,0,0,0,0
0.150733,0,0,0,0,0,0
0.152095,0,0,0,0,0,0
0.153444,0,0,0,0,0,0
0.154791,0,0,0,0,0,0
0.156141,0,0,0,0,0,0
0.157489,0,0,0,0,0,0
0.158837,0,0,0,0,0,0
0.160205,0,0,0,0,0,0
0.161730,0,0,0,0,0,0
0.163179,0,0,0,0,0,0
0.164712,0,0,0,0,0,0
0.166271,0,0,0,0,0,0
0.167833,0,0,0,0,0,0
0.170223,0,0,0,0,0,0
0.171682,0,0,0,0,0,0
0.173115,0,0,0,0,0,0
0.174527,0,0,0,0,0,0
0.175928,0,0,0,0,0,0
0.177368,0,0,0,0,0,0
0.178765,0,0,0,0,0,0
0.180293,0,0,0,0,0,0
0.181854,0,0,0,0,0,0
0.183414,0,0,0,0,0,0
0.185044,0,0,0,0,0,0
0.186605,0,0,0,0,0,0
0.188168,0,0,0,0,0,0
0.189720,0,0,0,0,0,0
0.191272,0,0,0,0,0,0
0.192702,0,0,0,0,0,0
0.194232,0,0,0,0,0,0
0.195805,0,0,0,0,0,0
0.197365,0,0,0,0,0,0
0.198922,0,0,0,0,0,0
0.200482,0,0,0,0,0,0
0.201909,0,0,0,0,0,0
0.203438,0,0,0,0,0,0
0.205354,0,0,0,0,0,0
0.207814,0,0,0,0,0,0
0.209268,0,0,0,0,0,0
0.210875,0,0,0,0,0,0
0.212280,0,0,0,0,0,0
0.213672,0,0,0,0,0,0
0.215062,0,0,0,0,0,0
0.216456,0,0,0,0,0,0
0.217895,0,0,0,0,0,0
0.219292,0,0,0,0,0,0
0.220692,0,0,0,0,0,0
0.222089,0,0,0,0,0,0
0.223486,0,0,0,0,0,0
0.224922,0,0,0,0,0,0
0.226539,0,0,0,0,0,0
0.228115,0,0,0,0,0,0
0.229676,0,0,0,0,0,0
0.231237,0,0,0,0,0,0
0.232798,0,0,0,0,0,0
0.234360,0,0,0,0,0,0
0.235923,0,0,0,0,0,0
0.237485,0,0,0,0,0,0
0.239056,0,0,0,0,0,0
0.240661,0,0,0,0,0,0
0.242223,0,0,0,0,0,0
0.243785,0,0,0,0,0,0
0.245347,0,0,0,0,0,0
0.246906,0,0,0,0,0,0
0.248469,0,0,0,0,0,0
0.250045,0,0,0,0,0,0
0.251604,0,0,0,0,0,0
0.253170,0,0,0,0,0,0
0.254729,0,0,0,0,0,0
0.256335,0,0,0,0,0,0
0.257887,0,0,0,0,0,0
0.259439,0,0,0,0,0,0
0.260936,0,0,0,0,0,0
0.262467,0,0,0,0,0,0
0.264030,0,0,0,0,0,0
0.265591,0,0,0,0,0,0
0.267151,0,0,0,0,0,0
0.268712,0,0,0,0,0,0
0.270273,0,0,0,0,0,0
0.271848,0,0,0,0,0,0
0.273454,0,0,0,0,0,0
0.275014,0,0,0,0,0,0
0.276575,0,0,0,0,0,0
0.278136,0,0,0,0,0,0
0.279696,0,0,0,0,0,0
0.281281,0,0,0,0,0,0
0.282853,0,0,0,0,0,0
0.284458,0,0,0,0,0,0
0.286021,0,0,0,0,0,0
0.287581,0,0,0,0,0,0
0.289147,0,0,0,0,0,0
0.290707,0,0,0,0,0,0
0.292270,0,0,0,0,0,0
0.293836,0,0,0,0,0,0
0.295388,0,0,0,0,0,0
0.297084,0,0,0,0,0,0
0.298645,0,0,0,0,0,0
0.300207,0,0,0,0,0,0
0.301769,0,0,0,0,0,0
0.303976,0,0,0,0,0,0
0.309069,0,0,0,0,0,0
0.310483,0,0,0,0,0,0
0.311872,0,0,0,0,0,0
0.313266,0,0,0,0,0,0
0.314657,0,0,0,0,0,0
0.316049,0,0,0,0,0,0
0.317442,0,0,0,0,0,0
0.318831,0,0,0,0,0,0
0.320280,0,0,0,0,0,0
0.321679,0,0,0,0,0,0
0.323076,0,0,0,0,0,0
0.324476,0,0,0,0,0,0
0.325874,0,0,0,0,0,0
0.327272,0,0,0,0,0,0
0.328671,0,0,0,0,0,0
0.330066,0,0,0,0,0,0
0.331480,0,0,0,0,0,0
0.332879,0,0,0,0,0,0
0.334276,0,0,0,0,0,0
0.335673,0,0,0,0,0,0
0.337107,0,0,0,0,0,0
0.338504,0,0,0,0,0,0
0.339903,0,0,0,0,0,0
0.341301,0,0,0,0,0,0
0.342712,0,0,0,0,0,0
0.344111,0,0,0,0,0,0
0.345636,0,0,0,0,0,0
0.347195,0,0,0,0,0,0
0.348757,0,0,0,0,0,0
0.350319,0,0,0,0,0,0
0.351879,0,0,0,0,0,0
0.353376,0,0,0,0,0,0
0.354907,0,0,0,0,0,0
0.356470,0,0,0,0,0,0
0.358031,0,0,0,0,0,0
0.359592,0,0,0,0,0,0
0.361158,0,0,0,0,0,0
0.362718,0,0,0,0,0,0
0.364293,0,0,0,0,0,0
0.365855,0,0,0,0,0,0
0.367414,0,0,0,0,0,0
0.368936,0,0,0,0,0,0
0.370467,0,0,0,0,0,0
0.372031,0,0,0,0,0,0
0.373583,0,0,0,0,0,0
0.375147,0,0,0,0,0,0
0.376576,0,0,0,0,0,0
0.378105,0,0,0,0,0,0
0.379662,0,0,0,0,0,0
0.381293,0,0,0,0,0,0
0.382850,0,0,0,0,0,0
0.384455,0,0,0,0,0,0
0.386027,0,0,0,0,0,0
0.387585,0,0,0,0,0,0
0.389149,0,0,0,0,0,0
0.390707,0,0,0,0,0,0
0.393065,0,0,0,0,0,0
0.394475,0,0,0,0,0,0
0.396081,0,0,0,0,0,0
0.397476,0,0,0,0,0,0
0.398867,0,0,0,0,0,0
0.400301,0,0,0,0,0,0
0.401769,0,0,0,0,0,0
0.403289,0,0,0,0,0,0
0.404722,0,0,0,0,0,0
0.406267,0,0,0,0,0,0
0.407830,0,0,0,0,0,0
0.409392,0,0,0,0,0,0
0.410952,0,0,0,0,0,0
0.412515,0,0,0,0,0,0
0.414076,0,0,0,0,0,0
0.415635,0,0,0,0,0,0
0.417090,0,0,0,0,0,0
0.418619,0,0,0,0,0,0
0.420180,0,0,0,0,0,0
0.421739,0,0,0,0,0,0
0.423298,0,0,0,0,0,0
0.424856,0,0,0,0,0,0
0.426416,0,0,0,0,0,0
0.427990,0,0,0,0,0,0
0.429550,0,0,0,0,0,0
0.431108,0,0,0,0,0,0
0.432711,0,0,0,0,0,0
0.434271,0,0,0,0,0,0
0.435832,0,0,0,0,0,0
0.437391,0,0,0,0,0,0
0.438964,0,0,0,0,0,0
0.440525,0,0,0,0,0,0
0.442083,0,0,0,0,0,0
0.443641,0,0,0,0,0,0
0.445206,0,0,0,0,0,0
0.446732,0,0,0,0,0,0
0.448196,0,0,0,0,0,0
0.449734,0,0,0,0,0,0
0.451292,0,0,0,0,0,0
0.452851,0,0,0,0,0,0
0.454411,0,0,0,0,0,0
0.455973,0,0,0,0,0,0
0.457532,0,0,0,0,0,0
0.459091,0,0,0,0,0,0
0.460663,0,0,0,0,0,0
0.462223,0,0,0,0,0,0
0.463784,0,0,0,0,0,0
0.465344,0,0,0,0,0,0
0.466902,0,0,0,0,0,0
0.468463,0,0,0,0,0,0
0.470023,0,0,0,0,0,0
0.471596,0,0,0,0,0,0
0.473161,0,0,0,0,0,0
0.474720,0,0,0,0,0,0
0.476281,0,0,0,0,0,0
0.477841,0,0,0,0,0,0
0.479399,0,0,0,0,0,0
0.481049,0,0,0,0,0,0
0.482621,0,0,0,0,0,0
0.484182,0,0,0,0,0,0
0.485743,0,0,0,0,0,0
0.487301,0,0,0,0,0,0
0.488860,0,0,0,0,0,0
0.490419,0,0,0,0,0,0
0.491979,0,0,0,0,0,0
0.493453,0,0,0,0,0,0
0.495129,0,0,0,0,0,0
0.496585,0,0,0,0,0,0
0.498338,0,0,0,0,0,0
0.499900,0,0,0,0,0,0
0.501858,0,0,0,0,0,0
0.503868,0,0,0,0,0,0
0.506698,0,0,0,0,0,0
0.508102,0,0,0,0,0,0
0.509630,0,0,0,0,0,0
0.511188,0,0,0,0,0,0
0.512792,0,0,0,0,0,0
0.514229,0,0,0,0,0,0
0.515630,0,0,0,0,0,0
0.517057,0,0,0,0,0,0
0.518453,0,0,0,0,0,0
0.519852,0,0,0,0,0,0
0.521248,0,0,0,0,0,0
0.522644,0,0,0,0,0,0
0.524042,0,0,0,0,0,0
0.525439,0,0,0,0,0,0
0.526834,0,0,0,0,0,0
0.528278,0,0,0,0,0,0
0.529675,0,0,0,0,0,0
0.531070,0,0,0,0,0,0
0.532468,0,0,0,0,0,0
0.533864,0,0,0,0,0,0
0.535259,0,0,0,0,0,0
0.536785,0,0,0,0,0,0
0.538345,0,0,0,0,0,0
0.539927,0,0,0,0,0,0
0.541488,0,0,0,0,0,0
0.543049,0,0,0,0,0,0
0.544653,0,0,0,0,0,0
0.546213,0,0,0,0,0,0
0.547774,0,0,0,0,0,0
0.549335,0,0,0,0,0,0
0.550909,0,0,0,0,0,0
0.552471,0,0,0,0,0,0
0.554032,0,0,0,0,0,0
0.555591,0,0,0,0,0,0
0.557156,0,0,0,0,0,0
0.558716,0,0,0,0,0,0
0.560320,0,0,0,0,0,0
0.561923,0,0,0,0,0,0
0.563483,0,0,0,0,0,0
0.565044,0,0,0,0,0,0
0.566596,0,0,0,0,0,0
0.568026,0,0,0,0,0,0
0.569555,0,0,0,0,0,0
0.571114,0,0,0,0,0,0
0.572686,0,0,0,0,0,0
0.574246,0,0,0,0,0,0
0.575776,0,0,0,0,0,0
0.577338,0,0,0,0,0,0
0.578896,0,0,0,0,0,0
0.580457,0,0,0,0,0,0
0.582018,0,0,0,0,0,0
0.583590,0,0,0,0,0,0
0.585155,0,0,0,0,0,0
0.586712,0,0,0,0,0,0
0.588310,0,0,0,0,0,0
0.589869,0,0,0,0,0,0
0.591428,0,0,0,0,0,0
0.592993,0,0,0,0,0,0
0.594563,0,0,0,0,0,0
0.596124,0,0,0,0,0,0
0.597685,0,0,0,0,0,0
0.599243,0,0,0,0,0,0
0.600803,0,0,0,0,0,0
0.602241,0,0,0,0,0,0
0.603780,0,0,0,0,0,0
0.605344,0,0,0,0,0,0
0.606896,0,0,0,0,0,0
0.608329,0,0,0,0,0,0
0.609861,0,0,0,0,0,0
0.611423,0,0,0,0,0,0
0.612988,0,0,0,0,0,0
0.614548,0,0,0,0,0,0
0.616124,0,0,0,0,0,0
0.617686,0,0,0,0,0,0
0.619247,0,0,0,0,0,0
0.620807,0,0,0,0,0,0
0.622369,0,0,0,0,0,0
0.623932,0,0,0,0,0,0
0.625539,0,0,0,0,0,0
0.627113,0,0,0,0,0,0
0.628675,0,0,0,0,0,0
0.630236,0,0,0,0,0,0
0.631799,0,0,0,0,0,0
0.633361,0,0,0,0,0,0
0.634921,0,0,0,0,0,0
0.636485,0,0,0,0,0,0
0.638059,0,0,0,0,0,0
0.639619,0,0,0,0,0,0
0.641187,0,0,0,0,0,0
0.642748,0,0,0,0,0,0
0.644311,0,0,0,0,0,0
0.645873,0,0,0,0,0,0
0.647434,0,0,0,0,0,0
0.649013,0,0,0,0,0,0
0.650573,0,0,0,0,0,0
0.652137,0,0,0,0,0,0
0.653698,0,0,0,0,0,0
0.655258,0,0,0,0,0,0
0.656863,0,0,0,0,0,0
0.658425,0,0,0,0,0,0
0.660002,0,0,0,0,0,0
0.661564,0,0,0,0,0,0
0.663124,0,0,0,0,0,0
0.664686,0,0,0,0,0,0
0.666248,0,0,0,0,0,0
0.667811,0,0,0,0,0,0
0.669372,0,0,0,0,0,0
0.670821,0,0,0,0,0,0
0.672399,0,0,0,0,0,0
0.673961,0,0,0,0,0,0
0.675522,0,0,0,0,0,0
0.677088,0,0,0,0,0,0
0.678648,0,0,0,0,0,0
0.680211,0,0,0,0,0,0
0.681786,0,0,0,0,0,0
0.683347,0,0,0,0,0,0
0.684985,0,0,0,0,0,0
0.686546,0,0,0,0,0,0
0.688153,0,0,0,0,0,0
0.689716,0,0,0,0,0,0
0.691276,0,0,0,0,0,0
0.692850,0,0,0,0,0,0
0.694412,0,0,0,0,0,0
0.695975,0,0,0,0,0,0
0.697537,0,0,0,0,0,0
0.699098,0,0,0,0,0,0
0.700660,0,0,0,0,0,0
0.702221,0,0,0,0,0,0
0.703796,0,0,0,0,0,0
0.705401,0,0,0,0,0,0
0.706961,0,0,0,0,0,0
0.708524,0,0,0,0,0,0
0.710077,0,0,0,0,0,0
0.711627,0,0,0,0,0,0
0.713208,0,0,0,0,0,0
0.714781,0,0,0,0,0,0
0.716344,0,0,0,0,0,0
0.717906,0,0,0,0,0,0
0.719466,0,0,0,0,0,0
0.721034,0,0,0,0,0,0
0.722594,0,0,0,0,0,0
0.724157,0,0,0,0,0,0
0.725723,0,0,0,0,0,0
0.727274,0,0,0,0,0,0
0.728705,0,0,0,0,0,0
0.730302,0,0,0,0,0,0
0.731863,0,0,0,0,0,0
0.733423,0,0,0,0,0,0
0.734976,0,0,0,0,0,0
0.736591,0,0,0,0,0,0
0.738150,0,0,0,0,0,0
0.739762,0,0,0,0,0,0
0.741319,0,0,0,0,0,0
0.742877,0,0,0,0,0,0
0.744438,0,0,0,0,0,0
0.745995,0,0,0,0,0,0
0.747565,0,0,0,0,0,0
0.749129,0,0,0,0,0,0
0.750688,0,0,0,0,0,0
0.752293,0,0,0,0,0,0
0.753853,0,0,0,0,0,0
0.755411,0,0,0,0,0,0
0.757388,0,0,0,0,0,0
0.758899,0,0,0,0,0,0
0.760454,0,0,0,0,0,0
0.761863,0,0,0,0,0,0
0.763260,0,0,0,0,0,0
