elapsed_s,HLSQ_BV_SP_CCTX_ACTIVE_CNT,HLSQ_VS_SP_SCTX_ACTIVE_CNT,HLSQ_FS_SP_SCTX_ACTIVE_CNT,HLSQ_BV_SP_SCTX_ACTIVE_CNT,HLSQ_VS_SP_CTX_ALIVE_CYCLE,HLSQ_FS_SP_CTX_ALIVE_CYCLE
0.001166,0,0,0,0,0,0
0.002639,0,0,0,0,0,0
0.004075,0,0,0,0,0,0
0.005647,0,0,0,0,0,0
0.007242,0,0,0,0,0,0
0.008824,0,0,0,0,0,0
0.010260,0,0,0,0,0,0
0.011660,0,0,0,0,0,0
0.013078,0,0,0,0,0,0
0.014503,0,0,0,0,0,0
0.015912,0,0,0,0,0,0
0.017327,0,0,0,0,0,0
0.018713,0,0,0,0,0,0
0.020077,0,0,0,0,0,0
0.021559,0,0,0,0,0,0
0.022925,0,0,0,0,0,0
0.024289,0,0,0,0,0,0
0.025676,0,0,0,0,0,0
0.027048,0,0,0,0,0,0
0.028415,0,0,0,0,0,0
0.029763,0,0,0,0,0,0
0.031067,0,0,0,0,0,0
0.032375,0,0,0,0,0,0
0.033778,0,0,0,0,0,0
0.035085,0,0,0,0,0,0
0.036419,0,0,0,0,0,0
0.037725,0,0,0,0,0,0
0.039031,0,0,0,0,0,0
0.040336,0,0,0,0,0,0
0.041714,0,0,0,0,0,0
0.042984,0,0,0,0,0,0
0.044247,0,0,0,0,0,0
0.045525,0,0,0,0,0,0
0.046786,0,0,0,0,0,0
0.048049,0,0,0,0,0,0
0.049331,0,0,0,0,0,0
0.050679,0,0,0,0,0,0
0.052025,0,0,0,0,0,0
0.053444,0,0,0,0,0,0
0.054792,0,0,0,0,0,0
0.056115,0,0,0,0,0,0
0.057436,0,0,0,0,0,0
0.058755,0,0,0,0,0,0
0.060174,0,0,0,0,0,0
0.061516,0,0,0,0,0,0
0.062935,0,0,0,0,0,0
0.064357,0,0,0,0,0,0
0.065732,0,0,0,0,0,0
0.067049,0,0,0,0,0,0
0.068517,0,0,0,0,0,0
0.069934,0,0,0,0,0,0
0.071239,0,0,0,0,0,0
0.072543,0,0,0,0,0,0
0.073807,0,0,0,0,0,0
0.075074,0,0,0,0,0,0
0.076337,0,0,0,0,0,0
0.077709,0,0,0,0,0,0
0.079079,0,0,0,0,0,0
0.080343,0,0,0,0,0,0
0.081872,0,0,0,0,0,0
0.083311,0,0,0,0,0,0
0.084714,0,0,0,0,0,0
0.086159,0,0,0,0,0,0
0.087385,0,0,0,0,0,0
0.088595,0,0,0,0,0,0
0.089804,0,0,0,0,0,0
0.091012,0,0,0,0,0,0
0.092218,0,0,0,0,0,0
0.093501,0,0,0,0,0,0
0.094785,0,0,0,0,0,0
0.096022,0,0,0,0,0,0
0.097295,0,0,0,0,0,0
0.098569,0,0,0,0,0,0
0.099822,0,0,0,0,0,0
0.101113,0,0,0,0,0,0
0.102430,0,0,0,0,0,0
0.103825,0,0,0,0,0,0
0.105217,0,0,0,0,0,0
0.106646,0,0,0,0,0,0
0.108042,0,0,0,0,0,0
0.109437,0,0,0,0,0,0
0.110831,0,0,0,0,0,0
0.112223,0,0,0,0,0,0
0.113623,0,0,0,0,0,0
0.115014,0,0,0,0,0,0
0.116495,0,0,0,0,0,0
0.117892,0,0,0,0,0,0
0.119290,0,0,0,0,0,0
0.120893,0,0,0,0,0,0
0.122334,0,0,0,0,0,0
0.123734,0,0,0,0,0,0
0.125913,0,0,0,0,0,0
0.127306,0,0,0,0,0,0
0.128699,0,0,0,0,0,0
0.130097,0,0,0,0,0,0
0.131488,0,0,0,0,0,0
0.133917,0,0,0,0,0,0
0.135359,0,0,0,0,0,0
0.136791,0,0,0,0,0,0
0.138159,0,0,0,0,0,0
0.139524,0,0,0,0,0,0
0.140930,0,0,0,0,0,0
0.142321,0,0,0,0,0,0
0.143710,0,0,0,0,0,0
0.145100,0,0,0,0,0,0
0.146510,0,0,0,0,0,0
0.147901,0,0,0,0,0,0
0.149328,0,0,0,0,0,0
0.150725,0,0,0,0,0,0
0.152120,0,0,0,0,0,0
0.153570,0,0,0,0,0,0
0.154966,0,0,0,0,0,0
0.156357,0,0,0,0,0,0
0.157750,0,0,0,0,0,0
0.159273,0,0,0,0,0,0
0.160833,0,0,0,0,0,0
0.162403,0,0,0,0,0,0
0.163962,0,0,0,0,0,0
0.165566,0,0,0,0,0,0
0.167126,0,0,0,0,0,0
0.168578,0,0,0,0,0,0
0.170112,0,0,0,0,0,0
0.171672,0,0,0,0,0,0
0.173276,0,0,0,0,0,0
0.174836,0,0,0,0,0,0
0.176461,0,0,0,0,0,0
0.177976,0,0,0,0,0,0
0.179546,0,0,0,0,0,0
0.181152,0,0,0,0,0,0
0.182712,0,0,0,0,0,0
0.184271,0,0,0,0,0,0
0.185830,0,0,0,0,0,0
0.187380,0,0,0,0,0,0
0.188934,0,0,0,0,0,0
0.190478,0,0,0,0,0,0
0.192037,0,0,0,0,0,0
0.193649,0,0,0,0,0,0
0.195208,0,0,0,0,0,0
0.196849,0,0,0,0,0,0
0.198412,0,0,0,0,0,0
0.199971,0,0,0,0,0,0
0.201544,0,0,0,0,0,0
0.203104,0,0,0,0,0,0
0.204665,0,0,0,0,0,0
0.206271,0,0,0,0,0,0
0.207829,0,0,0,0,0,0
0.209389,0,0,0,0,0,0
0.210950,0,0,0,0,0,0
0.212524,0,0,0,0,0,0
0.214128,0,0,0,0,0,0
0.215685,0,0,0,0,0,0
0.217244,0,0,0,0,0,0
0.218804,0,0,0,0,0,0
0.220362,0,0,0,0,0,0
0.221968,0,0,0,0,0,0
0.223540,0,0,0,0,0,0
0.225102,0,0,0,0,0,0
0.226663,0,0,0,0,0,0
0.228221,0,0,0,0,0,0
0.229752,0,0,0,0,0,0
0.231155,0,0,0,0,0,0
0.232684,0,0,0,0,0,0
0.234257,0,0,0,0,0,0
0.235817,0,0,0,0,0,0
0.237422,0,0,0,0,0,0
0.238983,0,0,0,0,0,0
0.240545,0,0,0,0,0,0
0.242107,0,0,0,0,0,0
0.243665,0,0,0,0,0,0
0.245282,0,0,0,0,0,0
0.246842,0,0,0,0,0,0
0.248467,0,0,0,0,0,0
0.250094,0,0,0,0,0,0
0.251653,0,0,0,0,0,0
0.253258,0,0,0,0,0,0
0.254819,0,0,0,0,0,0
0.256458,0,0,0,0,0,0
0.258087,0,0,0,0,0,0
0.259636,0,0,0,0,0,0
0.261109,0,0,0,0,0,0
0.262641,0,0,0,0,0,0
0.264199,0,0,0,0,0,0
0.265763,0,0,0,0,0,0
0.267336,0,0,0,0,0,0
0.268942,0,0,0,0,0,0
0.270503,0,0,0,0,0,0
0.272061,0,0,0,0,0,0
0.273570,0,0,0,0,0,0
0.275101,0,0,0,0,0,0
0.276663,0,0,0,0,0,0
0.278283,0,0,0,0,0,0
0.279842,0,0,0,0,0,0
0.281402,0,0,0,0,0,0
0.282963,0,0,0,0,0,0
0.284525,0,0,0,0,0,0
0.286130,0,0,0,0,0,0
0.287738,0,0,0,0,0,0
0.289182,0,0,0,0,0,0
0.290706,0,0,0,0,0,0
0.292255,0,0,0,0,0,0
0.293879,0,0,0,0,0,0
0.295437,0,0,0,0,0,0
0.296997,0,0,0,0,0,0
0.298557,0,0,0,0,0,0
0.300128,0,0,0,0,0,0
0.301692,0,0,0,0,0,0
0.303250,0,0,0,0,0,0
0.304811,0,0,0,0,0,0
0.306370,0,0,0,0,0,0
0.307927,0,0,0,0,0,0
0.309530,0,0,0,0,0,0
0.311102,0,0,0,0,0,0
0.312662,0,0,0,0,0,0
0.314222,0,0,0,0,0,0
0.315779,0,0,0,0,0,0
0.317380,0,0,0,0,0,0
0.318939,0,0,0,0,0,0
0.320500,0,0,0,0,0,0
0.322074,0,0,0,0,0,0
0.323632,0,0,0,0,0,0
0.325235,0,0,0,0,0,0
0.326795,0,0,0,0,0,0
0.328353,0,0,0,0,0,0
0.329847,0,0,0,0,0,0
0.331247,0,0,0,0,0,0
0.332783,0,0,0,0,0,0
0.334343,0,0,0,0,0,0
0.335900,0,0,0,0,0,0
0.337459,0,0,0,0,0,0
0.339018,0,0,0,0,0,0
0.340579,0,0,0,0,0,0
0.342181,0,0,0,0,0,0
0.343752,0,0,0,0,0,0
0.345311,0,0,0,0,0,0
0.346870,0,0,0,0,0,0
0.348430,0,0,0,0,0,0
0.349990,0,0,0,0,0,0
0.351547,0,0,0,0,0,0
0.353107,0,0,0,0,0,0
0.354598,0,0,0,0,0,0
0.356135,0,0,0,0,0,0
0.357701,0,0,0,0,0,0
0.359259,0,0,0,0,0,0
0.360822,0,0,0,0,0,0
0.362382,0,0,0,0,0,0
0.363940,0,0,0,0,0,0
0.365557,0,0,0,0,0,0
0.367117,0,0,0,0,0,0
0.368679,0,0,0,0,0,0
0.370240,0,0,0,0,0,0
0.371798,0,0,0,0,0,0
0.373401,0,0,0,0,0,0
0.374962,0,0,0,0,0,0
0.376538,0,0,0,0,0,0
0.378099,0,0,0,0,0,0
0.379659,0,0,0,0,0,0
0.381263,0,0,0,0,0,0
0.382823,0,0,0,0,0,0
0.384381,0,0,0,0,0,0
0.385874,0,0,0,0,0,0
0.387286,0,0,0,0,0,0
0.388858,0,0,0,0,0,0
0.390419,0,0,0,0,0,0
0.391978,0,0,0,0,0,0
0.393538,0,0,0,0,0,0
0.395089,0,0,0,0,0,0
0.396641,0,0,0,0,0,0
0.398251,0,0,0,0,0,0
0.399707,0,0,0,0,0,0
0.401112,0,0,0,0,0,0
0.402640,0,0,0,0,0,0
0.404198,0,0,0,0,0,0
0.405763,0,0,0,0,0,0
0.407323,0,0,0,0,0,0
0.408898,0,0,0,0,0,0
0.410458,0,0,0,0,0,0
0.412017,0,0,0,0,0,0
0.413621,0,0,0,0,0,0
0.415181,0,0,0,0,0,0
0.416741,0,0,0,0,0,0
0.418301,0,0,0,0,0,0
0.419873,0,0,0,0,0,0
0.421476,0,0,0,0,0,0
0.423035,0,0,0,0,0,0
0.424596,0,0,0,0,0,0
0.426155,0,0,0,0,0,0
0.427713,0,0,0,0,0,0
0.429313,0,0,0,0,0,0
0.430886,0,0,0,0,0,0
0.432446,0,0,0,0,0,0
0.434005,0,0,0,0,0,0
0.435563,0,0,0,0,0,0
0.437168,0,0,0,0,0,0
0.438727,0,0,0,0,0,0
0.440285,0,0,0,0,0,0
0.441862,0,0,0,0,0,0
0.443421,0,0,0,0,0,0
0.445026,0,0,0,0,0,0
0.446586,0,0,0,0,0,0
0.448143,0,0,0,0,0,0
0.449705,0,0,0,0,0,0
0.451263,0,0,0,0,0,0
0.452882,0,0,0,0,0,0
0.454441,0,0,0,0,0,0
0.455999,0,0,0,0,0,0
0.457557,0,0,0,0,0,0
0.459117,0,0,0,0,0,0
0.460678,0,0,0,0,0,0
0.462283,0,0,0,0,0,0
0.463855,0,0,0,0,0,0
0.465414,0,0,0,0,0,0
0.466974,0,0,0,0,0,0
0.468534,0,0,0,0,0,0
0.470137,0,0,0,0,0,0
0.471694,0,0,0,0,0,0
0.473253,0,0,0,0,0,0
0.474827,0,0,0,0,0,0
0.476384,0,0,0,0,0,0
0.477888,0,0,0,0,0,0
0.479288,0,0,0,0,0,0
0.480817,0,0,0,0,0,0
0.482376,0,0,0,0,0,0
0.484741,0,0,0,0,0,0
0.486321,0,0,0,0,0,0
0.487727,0,0,0,0,0,0
0.489125,0,0,0,0,0,0
0.490524,0,0,0,0,0,0
0.491920,0,0,0,0,0,0
0.493357,0,0,0,0,0,0
0.494790,0,0,0,0,0,0
0.496338,0,0,0,0,0,0
0.497969,0,0,0,0,0,0
0.499518,0,0,0,0,0,0
0.500990,0,0,0,0,0,0
0.502520,0,0,0,0,0,0
0.504076,0,0,0,0,0,0
0.505696,0,0,0,0,0,0
0.507252,0,0,0,0,0,0
0.508867,0,0,0,0,0,0
0.510427,0,0,0,0,0,0
0.511984,0,0,0,0,0,0
0.513542,0,0,0,0,0,0
0.515099,0,0,0,0,0,0
0.516660,0,0,0,0,0,0
0.518263,0,0,0,0,0,0
0.519833,0,0,0,0,0,0
0.521392,0,0,0,0,0,0
0.522950,0,0,0,0,0,0
0.524510,0,0,0,0,0,0
0.526112,0,0,0,0,0,0
0.527669,0,0,0,0,0,0
0.529229,0,0,0,0,0,0
0.530801,0,0,0,0,0,0
0.532358,0,0,0,0,0,0
0.533791,0,0,0,0,0,0
0.535194,0,0,0,0,0,0
0.536721,0,0,0,0,0,0
0.538280,0,0,0,0,0,0
0.539837,0,0,0,0,0,0
0.541450,0,0,0,0,0,0
0.543008,0,0,0,0,0,0
0.544568,0,0,0,0,0,0
0.546127,0,0,0,0,0,0
0.547683,0,0,0,0,0,0
0.549287,0,0,0,0,0,0
0.550846,0,0,0,0,0,0
0.552418,0,0,0,0,0,0
0.553985,0,0,0,0,0,0
0.555480,0,0,0,0,0,0
0.556936,0,0,0,0,0,0
0.558464,0,0,0,0,0,0
0.560021,0,0,0,0,0,0
0.561579,0,0,0,0,0,0
0.563600,0,0,0,0,0,0
0.565087,0,0,0,0,0,0
0.566534,0,0,0,0,0,0
0.567977,0,0,0,0,0,0
0.569437,0,0,0,0,0,0
0.572725,0,0,0,0,0,0
0.574241,0,0,0,0,0,0
0.575641,0,0,0,0,0,0
0.577037,0,0,0,0,0,0
0.578428,0,0,0,0,0,0
0.579819,0,0,0,0,0,0
0.581245,0,0,0,0,0,0
0.582643,0,0,0,0,0,0
0.584039,0,0,0,0,0,0
0.585447,0,0,0,0,0,0
0.586844,0,0,0,0,0,0
0.588241,0,0,0,0,0,0
0.589790,0,0,0,0,0,0
0.591386,0,0,0,0,0,0
0.592947,0,0,0,0,0,0
0.594508,0,0,0,0,0,0
0.596081,0,0,0,0,0,0
0.597700,0,0,0,0,0,0
0.599260,0,0,0,0,0,0
0.600822,0,0,0,0,0,0
0.602374,0,0,0,0,0,0
0.603924,0,0,0,0,0,0
0.605395,0,0,0,0,0,0
0.606938,0,0,0,0,0,0
0.608500,0,0,0,0,0,0
0.610052,0,0,0,0,0,0
0.611602,0,0,0,0,0,0
0.613034,0,0,0,0,0,0
0.614851,0,0,0,0,0,0
0.616371,0,0,0,0,0,0
0.617793,0,0,0,0,0,0
