elapsed_s,TSE_BE_EARLY_CULL_CLIPPED_PRIM,TSE_BE_BR_STALLS_DUETO_BV_CLIP,TSE_BE_BR_STALLS_DUETO_BV_POLY,TSE_BE_BV_STALLS_DUETO_BR_CLIP
0.001614,0,0,0,0
0.003073,0,0,0,0
0.004492,0,0,0,0
0.006048,0,0,0,0
0.007465,0,0,0,0
0.008908,0,0,0,0
0.010384,0,0,0,0
0.011800,0,0,0,0
0.013215,0,0,0,0
0.014629,0,0,0,0
0.016043,0,0,0,0
0.017482,0,0,0,0
0.018911,0,0,0,0
0.020290,0,0,0,0
0.021694,0,0,0,0
0.023063,0,0,0,0
0.024429,0,0,0,0
0.025892,0,0,0,0
0.027275,0,0,0,0
0.028648,0,0,0,0
0.030083,0,0,0,0
0.031453,0,0,0,0
0.032840,0,0,0,0
0.034431,0,0,0,0
0.035829,0,0,0,0
0.037206,0,0,0,0
0.038579,0,0,0,0
0.039951,0,0,0,0
0.041391,0,0,0,0
0.042742,0,0,0,0
0.044099,0,0,0,0
0.045447,0,0,0,0
0.046795,0,0,0,0
0.048142,0,0,0,0
0.049492,0,0,0,0
0.050839,0,0,0,0
0.052186,0,0,0,0
0.053598,0,0,0,0
0.055067,0,0,0,0
0.056427,0,0,0,0
0.057810,0,0,0,0
0.059211,0,0,0,0
0.060501,0,0,0,0
0.061826,0,0,0,0
0.063264,0,0,0,0
0.064569,0,0,0,0
0.065895,0,0,0,0
0.067199,0,0,0,0
0.068492,0,0,0,0
0.069779,0,0,0,0
0.071032,0,0,0,0
0.072295,0,0,0,0
0.073627,0,0,0,0
0.074968,0,0,0,0
0.076314,0,0,0,0
0.077673,0,0,0,0
0.079010,0,0,0,0
0.080346,0,0,0,0
0.081737,0,0,0,0
0.083079,0,0,0,0
0.084422,0,0,0,0
0.085765,0,0,0,0
0.087161,0,0,0,0
0.088722,0,0,0,0
0.090161,0,0,0,0
0.091613,0,0,0,0
0.093040,0,0,0,0
0.094461,0,0,0,0
0.095882,0,0,0,0
0.098804,0,0,0,0
0.100231,0,0,0,0
0.101602,0,0,0,0
0.102842,0,0,0,0
0.104082,0,0,0,0
0.106743,0,0,0,0
0.107985,0,0,0,0
0.109224,0,0,0,0
0.110464,0,0,0,0
0.111712,0,0,0,0
0.112952,0,0,0,0
0.114197,0,0,0,0
0.115440,0,0,0,0
0.116682,0,0,0,0
0.117980,0,0,0,0
0.119522,0,0,0,0
0.121288,0,0,0,0
0.122756,0,0,0,0
0.124138,0,0,0,0
0.125523,0,0,0,0
0.126908,0,0,0,0
0.128289,0,0,0,0
0.129679,0,0,0,0
0.131062,0,0,0,0
0.132444,0,0,0,0
0.133828,0,0,0,0
0.135211,0,0,0,0
0.136592,0,0,0,0
0.138033,0,0,0,0
0.139416,0,0,0,0
0.140872,0,0,0,0
0.142398,0,0,0,0
0.143778,0,0,0,0
0.147233,0,0,0,0
0.150013,0,0,0,0
0.151406,0,0,0,0
0.153841,0,0,0,0
0.155222,0,0,0,0
0.156602,0,0,0,0
0.157967,0,0,0,0
0.159350,0,0,0,0
0.160733,0,0,0,0
0.162250,0,0,0,0
0.163610,0,0,0,0
0.164952,0,0,0,0
0.166293,0,0,0,0
0.167632,0,0,0,0
0.168968,0,0,0,0
0.170501,0,0,0,0
0.172557,0,0,0,0
0.174053,0,0,0,0
0.175446,0,0,0,0
0.176837,0,0,0,0
0.178222,0,0,0,0
0.179607,0,0,0,0
0.180994,0,0,0,0
0.182378,0,0,0,0
0.183889,0,0,0,0
0.185496,0,0,0,0
0.187046,0,0,0,0
0.188594,0,0,0,0
0.190147,0,0,0,0
0.191694,0,0,0,0
0.193243,0,0,0,0
0.194789,0,0,0,0
0.196226,0,0,0,0
0.197619,0,0,0,0
0.199136,0,0,0,0
0.200684,0,0,0,0
0.202240,0,0,0,0
0.203788,0,0,0,0
0.205338,0,0,0,0
0.206901,0,0,0,0
0.208446,0,0,0,0
0.210047,0,0,0,0
0.211596,0,0,0,0
0.213146,0,0,0,0
0.214696,0,0,0,0
0.216243,0,0,0,0
0.217849,0,0,0,0
0.219399,0,0,0,0
0.220950,0,0,0,0
0.222500,0,0,0,0
0.224048,0,0,0,0
0.225600,0,0,0,0
0.227150,0,0,0,0
0.228712,0,0,0,0
0.230266,0,0,0,0
0.231815,0,0,0,0
0.233410,0,0,0,0
0.234960,0,0,0,0
0.236507,0,0,0,0
0.238061,0,0,0,0
0.239623,0,0,0,0
0.241175,0,0,0,0
0.242725,0,0,0,0
0.244273,0,0,0,0
0.245823,0,0,0,0
0.247372,0,0,0,0
0.248923,0,0,0,0
0.250409,0,0,0,0
0.251928,0,0,0,0
