elapsed_s,TP_RESERVED_96,TP_RESERVED_97,TP_RESERVED_98,TP_RESERVED_99,TP_RESERVED_100,TP_RESERVED_101,TP_RESERVED_102,TP_RESERVED_103,TP_RESERVED_104,TP_RESERVED_105,TP_RESERVED_106,TP_RESERVED_107
0.001103,0,0,0,0,0,0,0,0,0,0,0,0
0.002744,0,0,0,0,0,0,0,0,0,0,0,0
0.004353,0,0,0,0,0,0,0,0,0,0,0,0
0.006048,0,0,0,0,0,0,0,0,0,0,0,0
0.007726,0,0,0,0,0,0,0,0,0,0,0,0
0.009337,0,0,0,0,0,0,0,0,0,0,0,0
0.010997,0,0,0,0,0,0,0,0,0,0,0,0
0.012601,0,0,0,0,0,0,0,0,0,0,0,0
0.014203,0,0,0,0,0,0,0,0,0,0,0,0
0.015807,0,0,0,0,0,0,0,0,0,0,0,0
0.017608,0,0,0,0,0,0,0,0,0,0,0,0
0.019616,0,0,0,0,0,0,0,0,0,0,0,0
0.021245,0,0,0,0,0,0,0,0,0,0,0,0
0.022820,0,0,0,0,0,0,0,0,0,0,0,0
0.024414,0,0,0,0,0,0,0,0,0,0,0,0
0.025979,0,0,0,0,0,0,0,0,0,0,0,0
0.027545,0,0,0,0,0,0,0,0,0,0,0,0
0.029107,0,0,0,0,0,0,0,0,0,0,0,0
0.030720,0,0,0,0,0,0,0,0,0,0,0,0
0.032314,0,0,0,0,0,0,0,0,0,0,0,0
0.033882,0,0,0,0,0,0,0,0,0,0,0,0
0.035466,0,0,0,0,0,0,0,0,0,0,0,0
0.037027,0,0,0,0,0,0,0,0,0,0,0,0
0.038625,0,0,0,0,0,0,0,0,0,0,0,0
0.040179,0,0,0,0,0,0,0,0,0,0,0,0
0.041711,0,0,0,0,0,0,0,0,0,0,0,0
0.043277,0,0,0,0,0,0,0,0,0,0,0,0
0.044804,0,0,0,0,0,0,0,0,0,0,0,0
0.046377,0,0,0,0,0,0,0,0,0,0,0,0
0.047918,0,0,0,0,0,0,0,0,0,0,0,0
0.049447,0,0,0,0,0,0,0,0,0,0,0,0
0.051057,0,0,0,0,0,0,0,0,0,0,0,0
0.052589,0,0,0,0,0,0,0,0,0,0,0,0
0.054186,0,0,0,0,0,0,0,0,0,0,0,0
0.055767,0,0,0,0,0,0,0,0,0,0,0,0
0.057237,0,0,0,0,0,0,0,0,0,0,0,0
0.058872,0,0,0,0,0,0,0,0,0,0,0,0
0.060457,0,0,0,0,0,0,0,0,0,0,0,0
0.062112,0,0,0,0,0,0,0,0,0,0,0,0
0.063419,0,0,0,0,0,0,0,0,0,0,0,0
0.064871,0,0,0,0,0,0,0,0,0,0,0,0
0.066290,0,0,0,0,0,0,0,0,0,0,0,0
0.067689,0,0,0,0,0,0,0,0,0,0,0,0
0.069086,0,0,0,0,0,0,0,0,0,0,0,0
0.070550,0,0,0,0,0,0,0,0,0,0,0,0
0.071957,0,0,0,0,0,0,0,0,0,0,0,0
0.073433,0,0,0,0,0,0,0,0,0,0,0,0
0.074829,0,0,0,0,0,0,0,0,0,0,0,0
0.076304,0,0,0,0,0,0,0,0,0,0,0,0
0.077709,0,0,0,0,0,0,0,0,0,0,0,0
0.079181,0,0,0,0,0,0,0,0,0,0,0,0
0.080606,0,0,0,0,0,0,0,0,0,0,0,0
0.082004,0,0,0,0,0,0,0,0,0,0,0,0
0.083392,0,0,0,0,0,0,0,0,0,0,0,0
0.084778,0,0,0,0,0,0,0,0,0,0,0,0
0.086195,0,0,0,0,0,0,0,0,0,0,0,0
0.087682,0,0,0,0,0,0,0,0,0,0,0,0
0.089117,0,0,0,0,0,0,0,0,0,0,0,0
0.090507,0,0,0,0,0,0,0,0,0,0,0,0
0.091894,0,0,0,0,0,0,0,0,0,0,0,0
0.093280,0,0,0,0,0,0,0,0,0,0,0,0
0.094668,0,0,0,0,0,0,0,0,0,0,0,0
0.096051,0,0,0,0,0,0,0,0,0,0,0,0
0.097434,0,0,0,0,0,0,0,0,0,0,0,0
0.098877,0,0,0,0,0,0,0,0,0,0,0,0
0.100449,0,0,0,0,0,0,0,0,0,0,0,0
0.101743,0,0,0,0,0,0,0,0,0,0,0,0
0.103059,0,0,0,0,0,0,0,0,0,0,0,0
0.104346,0,0,0,0,0,0,0,0,0,0,0,0
0.105632,0,0,0,0,0,0,0,0,0,0,0,0
0.107088,0,0,0,0,0,0,0,0,0,0,0,0
0.108379,0,0,0,0,0,0,0,0,0,0,0,0
0.109624,0,0,0,0,0,0,0,0,0,0,0,0
0.110866,0,0,0,0,0,0,0,0,0,0,0,0
0.112104,0,0,0,0,0,0,0,0,0,0,0,0
0.113343,0,0,0,0,0,0,0,0,0,0,0,0
0.114581,0,0,0,0,0,0,0,0,0,0,0,0
0.115819,0,0,0,0,0,0,0,0,0,0,0,0
0.117056,0,0,0,0,0,0,0,0,0,0,0,0
0.118574,0,0,0,0,0,0,0,0,0,0,0,0
0.119976,0,0,0,0,0,0,0,0,0,0,0,0
0.121367,0,0,0,0,0,0,0,0,0,0,0,0
0.122758,0,0,0,0,0,0,0,0,0,0,0,0
0.124146,0,0,0,0,0,0,0,0,0,0,0,0
0.125534,0,0,0,0,0,0,0,0,0,0,0,0
0.127030,0,0,0,0,0,0,0,0,0,0,0,0
0.128440,0,0,0,0,0,0,0,0,0,0,0,0
0.129828,0,0,0,0,0,0,0,0,0,0,0,0
0.131209,0,0,0,0,0,0,0,0,0,0,0,0
0.132658,0,0,0,0,0,0,0,0,0,0,0,0
0.134140,0,0,0,0,0,0,0,0,0,0,0,0
0.139128,0,0,0,0,0,0,0,0,0,0,0,0
0.140560,0,0,0,0,0,0,0,0,0,0,0,0
0.142017,0,0,0,0,0,0,0,0,0,0,0,0
0.143458,0,0,0,0,0,0,0,0,0,0,0,0
0.144881,0,0,0,0,0,0,0,0,0,0,0,0
0.146305,0,0,0,0,0,0,0,0,0,0,0,0
0.147731,0,0,0,0,0,0,0,0,0,0,0,0
0.149164,0,0,0,0,0,0,0,0,0,0,0,0
0.150720,0,0,0,0,0,0,0,0,0,0,0,0
0.152163,0,0,0,0,0,0,0,0,0,0,0,0
0.153556,0,0,0,0,0,0,0,0,0,0,0,0
0.155029,0,0,0,0,0,0,0,0,0,0,0,0
0.156414,0,0,0,0,0,0,0,0,0,0,0,0
0.157797,0,0,0,0,0,0,0,0,0,0,0,0
0.159194,0,0,0,0,0,0,0,0,0,0,0,0
0.160579,0,0,0,0,0,0,0,0,0,0,0,0
0.161961,0,0,0,0,0,0,0,0,0,0,0,0
0.163344,0,0,0,0,0,0,0,0,0,0,0,0
0.164727,0,0,0,0,0,0,0,0,0,0,0,0
0.166107,0,0,0,0,0,0,0,0,0,0,0,0
0.167599,0,0,0,0,0,0,0,0,0,0,0,0
0.169041,0,0,0,0,0,0,0,0,0,0,0,0
0.170493,0,0,0,0,0,0,0,0,0,0,0,0
0.171926,0,0,0,0,0,0,0,0,0,0,0,0
0.173354,0,0,0,0,0,0,0,0,0,0,0,0
0.174783,0,0,0,0,0,0,0,0,0,0,0,0
0.176339,0,0,0,0,0,0,0,0,0,0,0,0
0.177933,0,0,0,0,0,0,0,0,0,0,0,0
0.179526,0,0,0,0,0,0,0,0,0,0,0,0
0.181005,0,0,0,0,0,0,0,0,0,0,0,0
0.182616,0,0,0,0,0,0,0,0,0,0,0,0
0.184209,0,0,0,0,0,0,0,0,0,0,0,0
0.185799,0,0,0,0,0,0,0,0,0,0,0,0
0.187436,0,0,0,0,0,0,0,0,0,0,0,0
0.189073,0,0,0,0,0,0,0,0,0,0,0,0
0.190667,0,0,0,0,0,0,0,0,0,0,0,0
0.192272,0,0,0,0,0,0,0,0,0,0,0,0
0.193867,0,0,0,0,0,0,0,0,0,0,0,0
0.195461,0,0,0,0,0,0,0,0,0,0,0,0
0.197053,0,0,0,0,0,0,0,0,0,0,0,0
0.198692,0,0,0,0,0,0,0,0,0,0,0,0
0.200285,0,0,0,0,0,0,0,0,0,0,0,0
0.201879,0,0,0,0,0,0,0,0,0,0,0,0
0.203479,0,0,0,0,0,0,0,0,0,0,0,0
0.205064,0,0,0,0,0,0,0,0,0,0,0,0
0.206533,0,0,0,0,0,0,0,0,0,0,0,0
0.208098,0,0,0,0,0,0,0,0,0,0,0,0
0.209689,0,0,0,0,0,0,0,0,0,0,0,0
0.211335,0,0,0,0,0,0,0,0,0,0,0,0
0.212927,0,0,0,0,0,0,0,0,0,0,0,0
0.214579,0,0,0,0,0,0,0,0,0,0,0,0
0.216172,0,0,0,0,0,0,0,0,0,0,0,0
0.217763,0,0,0,0,0,0,0,0,0,0,0,0
0.219359,0,0,0,0,0,0,0,0,0,0,0,0
0.220951,0,0,0,0,0,0,0,0,0,0,0,0
0.222546,0,0,0,0,0,0,0,0,0,0,0,0
