elapsed_s,SP_TTU_GPR_WR_REQ,SP_GPR_CACHE_SRC0_GPR_RDCNT,SP_GPR_CACHE_SRC0_GPR_CACHE_HIT_RDCNT,SP_GPR_CACHE_SRC0_GPR_CACHE_HINT_RDCNT,SP_GPR_CACHE_SRC1_RDCNT,SP_GPR_CACHE_SRC1_GPR_CACHE_HIT_RDCNT,SP_GPR_CACHE_SRC1_GPR_CACHE_HINT_RDCNT,SP_GPR_CACHE_SRC2_RDCNT,SP_GPR_CACHE_SRC2_GPR_CACHE_HIT_RDCNT,SP_GPR_CACHE_SRC2_GPR_CACHE_HINT_RDCNT,SP_UCHE_READ_BURST,SP_UCHE_WRITE_BURST,SP_LDST_GMEM_REQ_NUM
0.001073,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002778,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004433,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006015,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007596,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009405,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011611,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013072,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014618,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016102,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017566,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019079,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020633,0,0,0,0,0,0,0,0,0,0,0,0,0
0.022083,0,0,0,0,0,0,0,0,0,0,0,0,0
0.023606,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025102,0,0,0,0,0,0,0,0,0,0,0,0,0
0.026561,0,0,0,0,0,0,0,0,0,0,0,0,0
0.028021,0,0,0,0,0,0,0,0,0,0,0,0,0
0.029479,0,0,0,0,0,0,0,0,0,0,0,0,0
0.030957,0,0,0,0,0,0,0,0,0,0,0,0,0
0.032560,0,0,0,0,0,0,0,0,0,0,0,0,0
0.034016,0,0,0,0,0,0,0,0,0,0,0,0,0
0.035518,0,0,0,0,0,0,0,0,0,0,0,0,0
0.036971,0,0,0,0,0,0,0,0,0,0,0,0,0
0.038425,0,0,0,0,0,0,0,0,0,0,0,0,0
0.039920,0,0,0,0,0,0,0,0,0,0,0,0,0
0.041355,0,0,0,0,0,0,0,0,0,0,0,0,0
0.042780,0,0,0,0,0,0,0,0,0,0,0,0,0
0.044206,0,0,0,0,0,0,0,0,0,0,0,0,0
0.045631,0,0,0,0,0,0,0,0,0,0,0,0,0
0.047056,0,0,0,0,0,0,0,0,0,0,0,0,0
0.048514,0,0,0,0,0,0,0,0,0,0,0,0,0
0.049949,0,0,0,0,0,0,0,0,0,0,0,0,0
0.051389,0,0,0,0,0,0,0,0,0,0,0,0,0
0.052943,0,0,0,0,0,0,0,0,0,0,0,0,0
0.054492,0,0,0,0,0,0,0,0,0,0,0,0,0
0.056108,0,0,0,0,0,0,0,0,0,0,0,0,0
0.057717,0,0,0,0,0,0,0,0,0,0,0,0,0
0.059198,0,0,0,0,0,0,0,0,0,0,0,0,0
0.060796,0,0,0,0,0,0,0,0,0,0,0,0,0
0.062428,0,0,0,0,0,0,0,0,0,0,0,0,0
0.063910,0,0,0,0,0,0,0,0,0,0,0,0,0
0.065315,0,0,0,0,0,0,0,0,0,0,0,0,0
0.066719,0,0,0,0,0,0,0,0,0,0,0,0,0
0.068124,0,0,0,0,0,0,0,0,0,0,0,0,0
0.069526,0,0,0,0,0,0,0,0,0,0,0,0,0
0.070942,0,0,0,0,0,0,0,0,0,0,0,0,0
0.072364,0,0,0,0,0,0,0,0,0,0,0,0,0
0.073744,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075138,0,0,0,0,0,0,0,0,0,0,0,0,0
0.076526,0,0,0,0,0,0,0,0,0,0,0,0,0
0.077891,0,0,0,0,0,0,0,0,0,0,0,0,0
0.079260,0,0,0,0,0,0,0,0,0,0,0,0,0
0.080628,0,0,0,0,0,0,0,0,0,0,0,0,0
0.081993,0,0,0,0,0,0,0,0,0,0,0,0,0
0.083508,0,0,0,0,0,0,0,0,0,0,0,0,0
0.084936,0,0,0,0,0,0,0,0,0,0,0,0,0
