elapsed_s,CP_PM4_DATA,CP_PM4_HEADERS,CP_VBIF_READ_BEATS,CP_VBIF_WRITE_BEATS,CP_SQE_INSTR_COUNTER,CP_CLUSTER_FE_US_FULL,CP_CLUSTER_FE_S_FULL,CP_CLUSTER_SP_VS_FULL,CP_CLUSTER_VPC_US_FULL,CP_CLUSTER_VPC_VS_FULL,CP_CLUSTER_GRAS_FULL,CP_CLUSTER_SP_PS_FULL,CP_CLUSTER_VPC_PS_FULL,CP_CLUSTER_PS_FULL
0.001098,0,0,34,1,281,0,0,0,0,0,0,0,0,0
0.002647,0,0,34,1,279,0,0,0,0,0,0,0,0,0
0.004098,0,0,34,1,265,0,0,0,0,0,0,0,0,0
0.005572,0,0,34,1,279,0,0,0,0,0,0,0,0,0
0.007197,0,0,34,1,273,0,0,0,0,0,0,0,0,0
0.008672,0,0,34,1,279,0,0,0,0,0,0,0,0,0
0.010142,0,0,34,1,279,0,0,0,0,0,0,0,0,0
0.011627,0,0,34,1,279,0,0,0,0,0,0,0,0,0
0.013107,0,0,34,1,275,0,0,0,0,0,0,0,0,0
0.014584,0,0,34,1,285,0,0,0,0,0,0,0,0,0
0.016062,0,0,34,1,279,0,0,0,0,0,0,0,0,0
0.017537,0,0,34,1,271,0,0,0,0,0,0,0,0,0
0.019100,0,0,34,1,279,0,0,0,0,0,0,0,0,0
0.020560,0,0,34,1,279,0,0,0,0,0,0,0,0,0
0.022052,0,0,34,1,279,0,0,0,0,0,0,0,0,0
0.023520,0,0,34,1,277,0,0,0,0,0,0,0,0,0
0.024990,0,0,34,1,275,0,0,0,0,0,0,0,0,0
0.026446,0,0,34,1,275,0,0,0,0,0,0,0,0,0
0.027859,0,0,34,1,265,0,0,0,0,0,0,0,0,0
0.029281,0,0,34,1,259,0,0,0,0,0,0,0,0,0
0.030693,0,0,34,1,237,0,0,0,0,0,0,0,0,0
0.032040,0,0,34,1,277,0,0,0,0,0,0,0,0,0
0.033495,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.034876,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.036316,0,0,34,1,241,0,0,0,0,0,0,0,0,0
0.037754,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.039251,0,0,34,1,275,0,0,0,0,0,0,0,0,0
0.040853,0,0,34,1,271,0,0,0,0,0,0,0,0,0
0.042379,0,0,34,1,251,0,0,0,0,0,0,0,0,0
0.043893,0,0,34,1,291,0,0,0,0,0,0,0,0,0
0.045397,0,0,34,1,275,0,0,0,0,0,0,0,0,0
0.047040,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.048495,0,0,36,1,225,0,0,0,0,0,0,0,0,0
0.050011,0,0,36,1,229,0,0,0,0,0,0,0,0,0
0.051631,0,0,36,1,225,0,0,0,0,0,0,0,0,0
0.053062,0,0,36,1,225,0,0,0,0,0,0,0,0,0
0.054467,0,0,36,1,225,0,0,0,0,0,0,0,0,0
0.055868,0,0,36,1,225,0,0,0,0,0,0,0,0,0
0.057265,0,0,36,1,225,0,0,0,0,0,0,0,0,0
0.058744,32,41,391,26,3832,0,0,0,0,0,0,0,0,0
0.060423,0,0,36,1,221,0,0,0,0,0,0,0,0,0
0.061893,0,0,36,1,225,0,0,0,0,0,0,0,0,0
0.063365,0,0,36,1,227,0,0,0,0,0,0,0,0,0
0.064800,0,0,36,1,227,0,0,0,0,0,0,0,0,0
0.066236,0,0,36,1,227,0,0,0,0,0,0,0,0,0
0.067673,0,0,36,1,229,0,0,0,0,0,0,0,0,0
0.069113,176,192,598,12,148701,0,0,0,0,0,0,0,0,0
0.070407,39,52,77,13,313659,0,0,0,0,0,0,0,0,0
0.071842,0,0,36,1,259,0,0,0,0,0,0,0,0,0
0.073301,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.074742,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.076181,0,0,36,1,243,0,0,0,0,0,0,0,0,0
0.077621,0,0,36,1,239,0,0,0,0,0,0,0,0,0
0.081218,0,0,36,1,259,0,0,0,0,0,0,0,0,0
0.082659,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.084119,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.085550,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.086984,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.088421,0,0,36,1,259,0,0,0,0,0,0,0,0,0
0.089899,0,0,34,1,249,0,0,0,0,0,0,0,0,0
0.091391,0,0,36,1,243,0,0,0,0,0,0,0,0,0
0.092821,0,0,36,1,271,0,0,0,0,0,0,0,0,0
0.094259,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.095695,0,0,34,1,243,0,0,0,0,0,0,0,0,0
0.097129,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.098637,0,0,34,1,245,0,0,0,0,0,0,0,0,0
0.100411,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.101845,0,0,36,1,257,0,0,0,0,0,0,0,0,0
0.103280,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.104769,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.106202,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.107636,0,0,34,1,245,0,0,0,0,0,0,0,0,0
