elapsed_s,CP_ICACHE_MISSES,CP_ICACHE_HITS,CP_ICACHE_STALL,CP_DCACHE_MISSES,CP_DCACHE_HITS,CP_DCACHE_STALLS,CP_AQE_SQE_STALL,CP_SQE_AQE_STARVE,CP_ISR_CYCLES,CP_SQE_MD8_STALL_CYCLES,CP_SQE_MESH_EXEC_CYCLES,CP_AQE_NUM_AS_CHUNKS,CP_AQE_NUM_MS_CHUNKS,CP_S_SKEW_BUFFER_FULL
0.001099,17,268,2345,0,0,0,0,0,0,0,0,0,0,0
0.002652,17,282,2321,0,0,0,0,0,0,0,0,0,0,0
0.004206,17,268,2269,0,0,0,0,0,0,0,0,0,0,0
0.005811,17,266,2234,0,0,0,0,0,0,0,0,0,0,0
0.007323,17,272,2298,0,0,0,0,0,0,0,0,0,0,0
0.008832,17,248,2276,0,0,0,0,0,0,0,0,0,0,0
0.010349,17,262,2295,0,0,0,0,0,0,0,0,0,0,0
0.011853,17,272,2308,0,0,0,0,0,0,0,0,0,0,0
0.013336,17,264,2274,0,0,0,0,0,0,0,0,0,0,0
0.014815,17,248,2233,0,0,0,0,0,0,0,0,0,0,0
0.016365,17,246,2291,0,0,0,0,0,0,0,0,0,0,0
0.017857,17,272,2266,0,0,0,0,0,0,0,0,0,0,0
0.019333,17,272,2278,0,0,0,0,0,0,0,0,0,0,0
0.020806,17,248,6282,0,0,0,0,0,0,0,0,0,0,0
0.022220,17,274,2285,0,0,0,0,0,0,0,0,0,0,0
0.023632,17,264,2111,0,0,0,0,0,0,0,0,0,0,0
0.025045,17,272,2438,0,0,0,0,0,0,0,0,0,0,0
0.026460,17,272,2253,0,0,0,0,0,0,0,0,0,0,0
0.027872,17,272,2263,0,0,0,0,0,0,0,0,0,0,0
0.029319,17,230,1753,0,0,0,0,0,0,0,0,0,0,0
0.030762,17,230,1713,0,0,0,0,0,0,0,0,0,0,0
0.032213,18,231,1661,0,0,0,0,0,0,0,0,0,0,0
0.033798,17,241,1626,0,0,0,0,0,0,0,0,0,0,0
0.035210,17,235,1751,0,0,0,0,0,0,0,0,0,0,0
0.036599,17,213,1319,0,0,0,0,0,0,0,0,0,0,0
0.038005,18,217,1311,0,0,0,0,0,0,0,0,0,0,0
0.039399,18,217,1282,0,0,0,0,0,0,0,0,0,0,0
0.040859,18,213,1431,0,0,0,0,0,0,0,0,0,0,0
0.042314,18,217,1309,0,0,0,0,0,0,0,0,0,0,0
0.043736,18,217,1316,0,0,0,0,0,0,0,0,0,0,0
0.045837,18,213,1306,0,0,0,0,0,0,0,0,0,0,0
0.047294,18,209,1239,0,0,0,0,0,0,0,0,0,0,0
0.048734,18,213,1274,0,0,0,0,0,0,0,0,0,0,0
0.050235,17,206,1271,0,0,0,0,0,0,0,0,0,0,0
0.051665,18,213,1242,0,0,0,0,0,0,0,0,0,0,0
0.053154,166,3858,13827,0,0,0,0,0,0,0,0,0,0,0
0.054557,18,217,1313,0,0,0,0,0,0,0,0,0,0,0
0.055951,18,221,1347,0,0,0,0,0,0,0,0,0,0,0
0.057405,18,217,1312,0,0,0,0,0,0,0,0,0,0,0
0.058798,18,217,1311,0,0,0,0,0,0,0,0,0,0,0
0.060194,18,217,1318,0,0,0,0,0,0,0,0,0,0,0
0.061602,18,213,1275,0,0,0,0,0,0,0,0,0,0,0
0.063002,169,276513,18253,0,0,0,0,0,0,0,0,0,0,0
0.064256,25,186281,2741,0,0,0,0,0,0,0,0,0,0,0
0.065795,18,235,1816,0,0,0,0,0,0,0,0,0,0,0
0.067227,17,232,1796,0,0,0,0,0,0,0,0,0,0,0
0.068649,18,233,1652,0,0,0,0,0,0,0,0,0,0,0
0.070113,18,239,1644,0,0,0,0,0,0,0,0,0,0,0
0.071556,18,239,1644,0,0,0,0,0,0,0,0,0,0,0
0.073938,18,239,1642,0,0,0,0,0,0,0,0,0,0,0
0.075392,18,239,1653,0,0,0,0,0,0,0,0,0,0,0
0.076838,18,233,1646,0,0,0,0,0,0,0,0,0,0,0
0.078279,18,237,1744,0,0,0,0,0,0,0,0,0,0,0
0.079713,18,239,1645,0,0,0,0,0,0,0,0,0,0,0
0.081782,18,239,1649,0,0,0,0,0,0,0,0,0,0,0
0.083217,17,230,1654,0,0,0,0,0,0,0,0,0,0,0
0.084650,17,230,1661,0,0,0,0,0,0,0,0,0,0,0
0.086090,18,239,1803,0,0,0,0,0,0,0,0,0,0,0
0.087521,18,235,1650,0,0,0,0,0,0,0,0,0,0,0
0.088952,18,237,1645,0,0,0,0,0,0,0,0,0,0,0
0.090390,18,237,1653,0,0,0,0,0,0,0,0,0,0,0
0.091825,18,239,1654,0,0,0,0,0,0,0,0,0,0,0
0.093303,18,239,1654,0,0,0,0,0,0,0,0,0,0,0
0.094735,18,235,1651,0,0,0,0,0,0,0,0,0,0,0
0.096176,18,239,1643,0,0,0,0,0,0,0,0,0,0,0
0.097685,18,233,1646,0,0,0,0,0,0,0,0,0,0,0
0.099127,17,232,1658,0,0,0,0,0,0,0,0,0,0,0
0.100606,17,232,1653,0,0,0,0,0,0,0,0,0,0,0
0.102040,17,226,1658,0,0,0,0,0,0,0,0,0,0,0
0.103474,17,226,1660,0,0,0,0,0,0,0,0,0,0,0
0.104908,17,226,1653,0,0,0,0,0,0,0,0,0,0,0
0.106351,18,239,1657,0,0,0,0,0,0,0,0,0,0,0
0.107911,17,232,1664,0,0,0,0,0,0,0,0,0,0,0
0.109689,18,237,1649,0,0,0,0,0,0,0,0,0,0,0
0.111284,18,291,1651,0,0,0,0,0,0,0,0,0,0,0
0.112759,18,239,1643,0,0,0,0,0,0,0,0,0,0,0
0.114336,17,232,1658,0,0,0,0,0,0,0,0,0,0,0
0.115816,17,232,1660,0,0,0,0,0,0,0,0,0,0,0
0.117449,17,220,1658,0,0,0,0,0,0,0,0,0,0,0
0.119055,18,239,1647,0,0,0,0,0,0,0,0,0,0,0
0.120663,18,227,1642,0,0,0,0,0,0,0,0,0,0,0
0.122260,18,239,1647,0,0,0,0,0,0,0,0,0,0,0
0.123854,17,230,1718,0,0,0,0,0,0,0,0,0,0,0
0.125557,17,232,1706,0,0,0,0,0,0,0,0,0,0,0
0.127137,17,232,1658,0,0,0,0,0,0,0,0,0,0,0
0.128755,18,233,1642,0,0,0,0,0,0,0,0,0,0,0
0.130359,18,223,1650,0,0,0,0,0,0,0,0,0,0,0
0.131961,17,230,1651,0,0,0,0,0,0,0,0,0,0,0
0.133614,17,220,1662,0,0,0,0,0,0,0,0,0,0,0
0.135217,17,232,1775,0,0,0,0,0,0,0,0,0,0,0
0.136822,17,216,1664,0,0,0,0,0,0,0,0,0,0,0
0.138426,17,226,1667,0,0,0,0,0,0,0,0,0,0,0
0.140084,18,239,1648,0,0,0,0,0,0,0,0,0,0,0
0.141694,18,239,1647,0,0,0,0,0,0,0,0,0,0,0
0.143296,18,237,1654,0,0,0,0,0,0,0,0,0,0,0
0.144902,17,230,1659,0,0,0,0,0,0,0,0,0,0,0
0.146549,17,230,1661,0,0,0,0,0,0,0,0,0,0,0
0.148195,17,232,1665,0,0,0,0,0,0,0,0,0,0,0
0.149804,17,232,1662,0,0,0,0,0,0,0,0,0,0,0
0.151420,17,232,1662,0,0,0,0,0,0,0,0,0,0,0
0.153026,17,230,1658,0,0,0,0,0,0,0,0,0,0,0
0.154629,18,237,1640,0,0,0,0,0,0,0,0,0,0,0
0.156274,17,232,1645,0,0,0,0,0,0,0,0,0,0,0
0.157948,17,216,1663,0,0,0,0,0,0,0,0,0,0,0
0.159394,17,232,1662,0,0,0,0,0,0,0,0,0,0,0
0.160967,18,235,1649,0,0,0,0,0,0,0,0,0,0,0
0.162459,18,233,1657,0,0,0,0,0,0,0,0,0,0,0
0.164076,17,232,1647,0,0,0,0,0,0,0,0,0,0,0
0.165684,17,228,1652,0,0,0,0,0,0,0,0,0,0,0
0.167287,18,237,1651,0,0,0,0,0,0,0,0,0,0,0
0.168893,18,239,1656,0,0,0,0,0,0,0,0,0,0,0
0.170497,17,230,1659,0,0,0,0,0,0,0,0,0,0,0
0.172141,17,232,1657,0,0,0,0,0,0,0,0,0,0,0
