elapsed_s,CP_S_SKEW_BUFFER_ABOVE_THRESH,CP_ECACHE_HITS,CP_ECACHE_KILLS,CP_ECACHE_REQS,CP_ECACHE_EVEN_REQS,CP_ECACHE_STALLS_RAP,CP_ECACHE_BUSY
0.001113,0,0,0,0,0,0,0
0.002810,0,0,0,0,0,0,0
0.004239,0,0,0,0,0,0,0
0.005643,0,0,0,0,0,0,0
0.007086,0,0,0,0,0,0,0
0.008460,0,0,0,0,0,0,0
0.009853,0,0,0,0,0,0,0
0.011280,0,0,0,0,0,0,0
0.012649,0,0,0,0,0,0,0
0.014018,0,0,0,0,0,0,0
0.015432,0,0,0,0,0,0,0
0.016786,0,0,0,0,0,0,0
0.018139,0,0,0,0,0,0,0
0.019541,0,0,0,0,0,0,0
0.020901,0,0,0,0,0,0,0
0.022252,0,0,0,0,0,0,0
0.023681,0,0,0,0,0,0,0
0.025000,0,0,0,0,0,0,0
0.026311,0,0,0,0,0,0,0
0.027669,0,0,0,0,0,0,0
0.028944,0,0,0,0,0,0,0
0.030213,0,0,0,0,0,0,0
0.031565,0,0,0,0,0,0,0
0.032919,0,0,0,0,0,0,0
0.034271,0,0,0,0,0,0,0
0.035633,0,0,0,0,0,0,0
0.037001,0,0,0,0,0,0,0
0.038364,0,0,0,0,0,0,0
0.039929,0,0,0,0,0,0,0
0.041341,0,0,0,0,0,0,0
0.042831,0,0,0,0,0,0,0
0.044975,0,0,0,0,0,0,0
0.046436,0,0,0,0,0,0,0
0.047932,0,0,0,0,0,0,0
0.049343,0,0,0,0,0,0,0
0.050838,0,0,0,0,0,0,0
0.052246,0,0,0,0,0,0,0
0.053666,0,0,0,0,0,0,0
0.055116,0,0,0,0,0,0,0
0.056517,0,0,0,0,0,0,0
0.057915,0,0,0,0,0,0,0
0.059396,0,0,0,0,0,0,0
0.060794,0,0,0,0,0,0,0
0.062193,0,0,0,0,0,0,0
0.063631,0,0,0,0,0,0,0
0.065048,0,0,0,0,0,0,0
0.066380,0,0,0,0,0,0,0
0.067806,0,0,0,0,0,0,0
0.069209,0,0,0,0,0,0,0
0.070655,0,0,0,0,0,0,0
0.072059,0,0,0,0,0,0,0
0.073459,0,0,0,0,0,0,0
0.074954,0,0,0,0,0,0,0
0.076965,0,0,0,0,0,0,0
0.078577,0,0,0,0,0,0,0
0.080063,0,0,0,0,0,0,0
0.081460,0,0,0,0,0,0,0
0.083059,0,0,0,0,0,0,0
0.085508,0,0,0,0,0,0,0
0.087045,0,0,0,0,0,0,0
0.088454,0,0,0,0,0,0,0
0.089813,0,0,0,0,0,0,0
0.091355,0,0,0,0,0,0,0
0.092819,0,0,0,0,0,0,0
0.094193,0,0,0,0,0,0,0
0.095650,0,0,0,0,0,0,0
0.097208,0,0,0,0,0,0,0
0.098943,0,0,0,0,0,0,0
0.100477,0,0,0,0,0,0,0
0.101862,0,0,0,0,0,0,0
0.103236,0,0,0,0,0,0,0
0.104607,0,0,0,0,0,0,0
0.105978,0,0,0,0,0,0,0
0.107473,0,0,0,0,0,0,0
0.108817,0,0,0,0,0,0,0
0.110148,0,0,0,0,0,0,0
0.111495,0,0,0,0,0,0,0
0.112895,0,0,0,0,0,0,0
0.114292,0,0,0,0,0,0,0
0.115688,0,0,0,0,0,0,0
0.117210,0,0,0,0,0,0,0
0.118940,0,0,0,0,0,0,0
0.120509,0,0,0,0,0,0,0
0.122072,0,0,0,0,0,0,0
0.123637,0,0,0,0,0,0,0
0.125204,0,0,0,0,0,0,0
0.126815,0,0,0,0,0,0,0
0.128405,0,0,0,0,0,0,0
0.129981,0,0,0,0,0,0,0
0.131423,0,0,0,0,0,0,0
0.133122,0,0,0,0,0,0,0
0.135248,0,0,0,0,0,0,0
0.136672,0,0,0,0,0,0,0
0.138078,0,0,0,0,0,0,0
0.139483,0,0,0,0,0,0,0
0.140896,0,0,0,0,0,0,0
0.142297,0,0,0,0,0,0,0
0.143742,0,0,0,0,0,0,0
0.145143,0,0,0,0,0,0,0
0.146543,0,0,0,0,0,0,0
0.147947,0,0,0,0,0,0,0
0.149477,0,0,0,0,0,0,0
0.151100,0,0,0,0,0,0,0
0.152666,0,0,0,0,0,0,0
0.154229,0,0,0,0,0,0,0
0.155795,0,0,0,0,0,0,0
0.157357,0,0,0,0,0,0,0
0.158965,0,0,0,0,0,0,0
0.160528,0,0,0,0,0,0,0
0.161979,0,0,0,0,0,0,0
0.163518,0,0,0,0,0,0,0
0.165082,0,0,0,0,0,0,0
0.166687,0,0,0,0,0,0,0
0.168110,0,0,0,0,0,0,0
0.169517,0,0,0,0,0,0,0
0.171051,0,0,0,0,0,0,0
0.172626,0,0,0,0,0,0,0
0.174189,0,0,0,0,0,0,0
0.175800,0,0,0,0,0,0,0
0.177364,0,0,0,0,0,0,0
0.179157,0,0,0,0,0,0,0
0.180718,0,0,0,0,0,0,0
0.182281,0,0,0,0,0,0,0
0.183903,0,0,0,0,0,0,0
0.185466,0,0,0,0,0,0,0
0.187033,0,0,0,0,0,0,0
0.188597,0,0,0,0,0,0,0
0.190159,0,0,0,0,0,0,0
0.191721,0,0,0,0,0,0,0
0.193224,0,0,0,0,0,0,0
0.194649,0,0,0,0,0,0,0
0.196185,0,0,0,0,0,0,0
0.197749,0,0,0,0,0,0,0
0.199317,0,0,0,0,0,0,0
0.200874,0,0,0,0,0,0,0
0.202319,0,0,0,0,0,0,0
0.203731,0,0,0,0,0,0,0
0.205276,0,0,0,0,0,0,0
0.206887,0,0,0,0,0,0,0
0.208453,0,0,0,0,0,0,0
0.210018,0,0,0,0,0,0,0
0.211586,0,0,0,0,0,0,0
0.213152,0,0,0,0,0,0,0
0.214760,0,0,0,0,0,0,0
0.216341,0,0,0,0,0,0,0
0.217905,0,0,0,0,0,0,0
0.219471,0,0,0,0,0,0,0
0.221036,0,0,0,0,0,0,0
0.222641,0,0,0,0,0,0,0
0.224211,0,0,0,0,0,0,0
0.225776,0,0,0,0,0,0,0
0.227356,0,0,0,0,0,0,0
0.228920,0,0,0,0,0,0,0
0.230527,0,0,0,0,0,0,0
0.232096,0,0,0,0,0,0,0
0.233659,0,0,0,0,0,0,0
0.235225,0,0,0,0,0,0,0
0.236789,0,0,0,0,0,0,0
0.238366,0,0,0,0,0,0,0
0.239946,0,0,0,0,0,0,0
0.241482,0,0,0,0,0,0,0
0.243048,0,0,0,0,0,0,0
0.244613,0,0,0,0,0,0,0
0.246176,0,0,0,0,0,0,0
0.247787,0,0,0,0,0,0,0
0.249366,0,0,0,0,0,0,0
0.250933,0,0,0,0,0,0,0
0.252498,0,0,0,0,0,0,0
0.254061,0,0,0,0,0,0,0
0.255627,0,0,0,0,0,0,0
0.257192,0,0,0,0,0,0,0
0.258759,0,0,0,0,0,0,0
0.260337,0,0,0,0,0,0,0
0.261901,0,0,0,0,0,0,0
0.263469,0,0,0,0,0,0,0
0.265034,0,0,0,0,0,0,0
0.266597,0,0,0,0,0,0,0
0.268168,0,0,0,0,0,0,0
0.269730,0,0,0,0,0,0,0
0.271231,0,0,0,0,0,0,0
0.272769,0,0,0,0,0,0,0
0.274332,0,0,0,0,0,0,0
0.275898,0,0,0,0,0,0,0
0.277461,0,0,0,0,0,0,0
0.279070,0,0,0,0,0,0,0
0.280635,0,0,0,0,0,0,0
0.282086,0,0,0,0,0,0,0
0.283534,0,0,0,0,0,0,0
0.284934,0,0,0,0,0,0,0
0.286329,0,0,0,0,0,0,0
0.287767,0,0,0,0,0,0,0
0.289161,0,0,0,0,0,0,0
0.290561,0,0,0,0,0,0,0
0.292009,0,0,0,0,0,0,0
0.293416,0,0,0,0,0,0,0
0.294877,0,0,0,0,0,0,0
0.296247,0,0,0,0,0,0,0
0.297616,0,0,0,0,0,0,0
0.298985,0,0,0,0,0,0,0
0.300353,0,0,0,0,0,0,0
