elapsed_s,HLSQ_SPTROC_STCHE_MISS_INC_VS,HLSQ_SPTROC_STCHE_MISS_INC_FS,HLSQ_SPTROC_STCHE_MISS_INC_BV,HLSQ_SPTROC_STCHE_MISS_INC_LPAC,HLSQ_VSBR_S2W_CYCLES_SP,HLSQ_FS_S2W_CYCLES_SP
0.001094,0,0,0,0,0,0
0.002822,0,0,0,0,0,0
0.004358,0,0,0,0,0,0
0.005773,0,0,0,0,0,0
0.007214,0,0,0,0,0,0
0.008609,0,0,0,0,0,0
0.010012,0,0,0,0,0,0
0.011403,0,0,0,0,0,0
0.012796,0,0,0,0,0,0
0.014187,0,0,0,0,0,0
0.015576,0,0,0,0,0,0
0.016966,0,0,0,0,0,0
0.018360,0,0,0,0,0,0
0.020364,0,0,0,0,0,0
0.021895,0,0,0,0,0,0
0.023342,0,0,0,0,0,0
0.024777,0,0,0,0,0,0
0.026208,0,0,0,0,0,0
0.027701,0,0,0,0,0,0
0.029113,0,0,0,0,0,0
0.030521,0,0,0,0,0,0
0.031980,0,0,0,0,0,0
0.033391,0,0,0,0,0,0
0.034801,0,0,0,0,0,0
0.036273,0,0,0,0,0,0
0.037681,0,0,0,0,0,0
0.039122,0,0,0,0,0,0
0.040530,0,0,0,0,0,0
0.041938,0,0,0,0,0,0
0.043342,0,0,0,0,0,0
0.044697,0,0,0,0,0,0
0.046051,0,0,0,0,0,0
0.047406,0,0,0,0,0,0
0.048760,0,0,0,0,0,0
0.050115,0,0,0,0,0,0
0.051467,0,0,0,0,0,0
0.052782,0,0,0,0,0,0
0.054103,0,0,0,0,0,0
0.055419,0,0,0,0,0,0
0.056733,0,0,0,0,0,0
0.058047,0,0,0,0,0,0
0.059493,0,0,0,0,0,0
0.060895,0,0,0,0,0,0
0.062426,0,0,0,0,0,0
0.063846,0,0,0,0,0,0
0.065236,0,0,0,0,0,0
0.066649,0,0,0,0,0,0
0.068098,0,0,0,0,0,0
0.069495,0,0,0,0,0,0
0.070894,0,0,0,0,0,0
0.072283,0,0,0,0,0,0
0.073680,0,0,0,0,0,0
0.075155,0,0,0,0,0,0
0.076628,0,0,0,0,0,0
0.078067,0,0,0,0,0,0
0.079503,0,0,0,0,0,0
0.080937,0,0,0,0,0,0
0.082372,0,0,0,0,0,0
0.083938,0,0,0,0,0,0
0.085331,0,0,0,0,0,0
0.086774,0,0,0,0,0,2172
0.088045,0,0,0,0,0,2820
0.089465,0,0,0,0,0,0
0.090872,0,0,0,0,0,0
0.092268,0,0,0,0,0,0
0.093661,0,0,0,0,0,0
0.095056,0,0,0,0,0,0
0.096669,0,0,0,0,0,0
0.098151,0,0,0,0,0,0
0.099747,0,0,0,0,0,0
0.101187,0,0,0,0,0,0
