elapsed_s,VPC_NEVER_COUNT,VPC_FE_BUSY_CYCLES,VPC_FE_WORKING_CYCLES,VPC_FE_STALL_CYCLES_VFD_WACK,VPC_FE_STARVE_CYCLES_SP,VPC_FE_PC_PRIMITIVES
0.001093,0,0,0,0,0,0
0.002727,0,0,0,0,0,0
0.004101,0,0,0,0,0,0
0.005457,0,0,0,0,0,0
0.006811,0,0,0,0,0,0
0.008161,0,0,0,0,0,0
0.009663,0,0,0,0,0,0
0.011021,0,0,0,0,0,0
0.012434,0,0,0,0,0,0
0.013757,0,0,0,0,0,0
0.015078,0,0,0,0,0,0
0.016398,0,0,0,0,0,0
0.017742,0,0,0,0,0,0
0.019067,0,0,0,0,0,0
0.020400,0,0,0,0,0,0
0.021727,0,0,0,0,0,0
0.023050,0,0,0,0,0,0
0.024374,0,0,0,0,0,0
0.025710,0,0,0,0,0,0
0.027035,0,0,0,0,0,0
0.028395,0,0,0,0,0,0
0.029685,0,0,0,0,0,0
0.030952,0,0,0,0,0,0
0.032214,0,0,0,0,0,0
0.033509,0,0,0,0,0,0
0.034772,0,0,0,0,0,0
0.036034,0,0,0,0,0,0
0.037347,0,0,0,0,0,0
0.038617,0,0,0,0,0,0
0.039881,0,0,0,0,0,0
0.041197,0,0,0,0,0,0
0.042458,0,0,0,0,0,0
0.043726,0,0,0,0,0,0
0.045058,0,0,0,0,0,0
0.046402,0,0,0,0,0,0
0.047745,0,0,0,0,0,0
0.049139,0,0,0,0,0,0
0.050550,0,0,0,0,0,0
0.051939,0,0,0,0,0,0
0.053359,0,0,0,0,0,0
0.054783,0,0,0,0,0,0
0.056181,0,0,0,0,0,0
0.057662,0,0,0,0,0,0
0.059086,0,3366,1296,0,0,0
0.060557,0,0,0,0,0,0
0.061909,0,0,0,0,0,0
0.063718,0,0,0,0,0,0
0.065117,0,0,0,0,0,0
0.066516,0,0,0,0,0,0
0.067911,0,0,0,0,0,0
0.069310,0,7134,3894,0,0,0
0.070562,0,4773,3825,0,0,0
0.071968,0,0,0,0,0,0
0.073374,0,0,0,0,0,0
0.074770,0,0,0,0,0,0
0.076167,0,0,0,0,0,0
0.079432,0,0,0,0,0,0
0.080827,0,0,0,0,0,0
0.082218,0,0,0,0,0,0
0.083703,0,0,0,0,0,0
0.085242,0,0,0,0,0,0
0.086633,0,0,0,0,0,0
