elapsed_s,TSE_BE_INPUT_NULL_PRIM,TSE_BE_TRIVAL_REJ_PRIM,TSE_BE_CLIPPED_PRIM,TSE_BE_ZERO_AREA_PRIM
0.001099,0,0,0,0
0.002562,0,0,0,0
0.003980,0,0,0,0
0.005397,0,0,0,0
0.006811,0,0,0,0
0.008250,0,0,0,0
0.009654,0,0,0,0
0.011064,0,0,0,0
0.012552,0,0,0,0
0.013984,0,0,0,0
0.015366,0,0,0,0
0.016734,0,0,0,0
0.018085,0,0,0,0
0.019433,0,0,0,0
0.020990,0,0,0,0
0.022752,0,0,0,0
0.024156,0,0,0,0
0.025614,0,0,0,0
0.027006,0,0,0,0
0.028397,0,0,0,0
0.029788,0,0,0,0
0.031178,0,0,0,0
0.032581,0,0,0,0
0.034923,0,0,0,0
0.036304,0,0,0,0
0.037680,0,0,0,0
0.039056,0,0,0,0
0.040449,0,0,0,0
0.041826,0,0,0,0
0.043203,0,0,0,0
0.044585,0,0,0,0
0.045965,0,0,0,0
0.047342,0,0,0,0
0.048710,0,0,0,0
0.050049,0,0,0,0
0.051387,0,0,0,0
0.052725,0,0,0,0
0.054064,0,0,0,0
0.055413,0,0,0,0
0.056749,0,0,0,0
0.058055,0,0,0,0
0.059361,0,0,0,0
0.060666,0,0,0,0
0.061971,0,0,0,0
0.063282,0,0,0,0
0.064582,0,0,0,0
0.066002,0,0,0,0
0.067350,0,0,0,0
0.068932,0,0,0,0
0.070306,0,0,0,0
0.071658,0,0,0,0
0.073004,0,0,0,0
0.074379,0,0,0,0
0.075752,0,0,0,0
0.077140,0,0,0,0
0.078930,0,0,0,0
0.080473,0,0,0,0
0.081907,0,0,0,0
0.083327,0,0,0,0
0.084744,0,0,0,0
0.086160,0,0,0,0
0.087589,0,0,0,0
0.089003,0,0,0,0
0.090388,0,0,0,0
0.091631,0,0,0,0
0.094121,0,0,0,0
0.095507,0,0,0,0
0.096899,0,0,0,0
0.098302,0,0,0,0
0.099687,0,0,0,0
0.101882,0,0,0,0
0.103852,0,0,0,0
0.105235,0,0,0,0
0.106616,0,0,0,0
0.107996,0,0,0,0
0.109424,0,0,0,0
0.110806,0,0,0,0
0.112252,0,0,0,0
0.113632,0,0,0,0
0.115008,0,0,0,0
0.116387,0,0,0,0
0.117767,0,0,0,0
0.119154,0,0,0,0
0.120564,0,0,0,0
0.121944,0,0,0,0
0.123321,0,0,0,0
0.124701,0,0,0,0
0.126086,0,0,0,0
0.127469,0,0,0,0
0.128857,0,0,0,0
0.130370,0,0,0,0
0.131930,0,0,0,0
0.133483,0,0,0,0
0.135030,0,0,0,0
0.136577,0,0,0,0
0.138122,0,0,0,0
0.139528,0,0,0,0
0.140924,0,0,0,0
0.142318,0,0,0,0
0.143700,0,0,0,0
0.145128,0,0,0,0
0.146515,0,0,0,0
0.147900,0,0,0,0
0.149456,0,0,0,0
0.150994,0,0,0,0
0.152423,0,0,0,0
0.153942,0,0,0,0
0.155489,0,0,0,0
0.157036,0,0,0,0
0.158584,0,0,0,0
0.160240,0,0,0,0
0.161749,0,0,0,0
0.163159,0,0,0,0
0.164681,0,0,0,0
0.166231,0,0,0,0
0.167778,0,0,0,0
0.169327,0,0,0,0
0.170876,0,0,0,0
0.172426,0,0,0,0
0.173988,0,0,0,0
0.175536,0,0,0,0
0.177086,0,0,0,0
0.178635,0,0,0,0
0.180261,0,0,0,0
0.181789,0,0,0,0
0.183173,0,0,0,0
0.184566,0,0,0,0
0.186082,0,0,0,0
0.187629,0,0,0,0
0.189178,0,0,0,0
0.190727,0,0,0,0
0.192320,0,0,0,0
0.193870,0,0,0,0
0.195430,0,0,0,0
0.196981,0,0,0,0
0.198528,0,0,0,0
0.200075,0,0,0,0
0.201628,0,0,0,0
0.203175,0,0,0,0
0.204726,0,0,0,0
0.206289,0,0,0,0
0.207837,0,0,0,0
0.209534,0,0,0,0
0.211081,0,0,0,0
0.212632,0,0,0,0
0.214181,0,0,0,0
0.215729,0,0,0,0
0.217290,0,0,0,0
0.218840,0,0,0,0
0.220390,0,0,0,0
0.221939,0,0,0,0
0.223486,0,0,0,0
0.225037,0,0,0,0
0.226586,0,0,0,0
0.228147,0,0,0,0
0.229648,0,0,0,0
0.231040,0,0,0,0
0.232560,0,0,0,0
0.234109,0,0,0,0
0.235656,0,0,0,0
0.237205,0,0,0,0
0.238767,0,0,0,0
0.240360,0,0,0,0
0.241911,0,0,0,0
0.243458,0,0,0,0
0.245009,0,0,0,0
0.246550,0,0,0,0
0.248088,0,0,0,0
0.249673,0,0,0,0
0.251219,0,0,0,0
0.252768,0,0,0,0
0.254316,0,0,0,0
0.256524,0,0,0,0
0.258078,0,0,0,0
0.259615,0,0,0,0
0.261044,0,0,0,0
0.262563,0,0,0,0
0.264109,0,0,0,0
0.265661,0,0,0,0
0.267207,0,0,0,0
0.268755,0,0,0,0
0.270302,0,0,0,0
0.271859,0,0,0,0
0.273456,0,0,0,0
0.275001,0,0,0,0
0.276550,0,0,0,0
0.278096,0,0,0,0
0.279642,0,0,0,0
0.281189,0,0,0,0
0.282750,0,0,0,0
0.284300,0,0,0,0
0.285848,0,0,0,0
0.287393,0,0,0,0
0.288942,0,0,0,0
0.290490,0,0,0,0
0.292035,0,0,0,0
0.293600,0,0,0,0
0.295260,0,0,0,0
0.296810,0,0,0,0
0.298358,0,0,0,0
0.299905,0,0,0,0
0.301455,0,0,0,0
0.303001,0,0,0,0
0.304469,0,0,0,0
0.305902,0,0,0,0
0.307239,0,0,0,0
0.308619,0,0,0,0
0.309948,0,0,0,0
0.311276,0,0,0,0
0.312656,0,0,0,0
0.313992,0,0,0,0
0.315339,0,0,0,0
0.316675,0,0,0,0
0.318011,0,0,0,0
0.319344,0,0,0,0
0.320721,0,0,0,0
0.322030,0,0,0,0
0.323339,0,0,0,0
0.324648,0,0,0,0
0.325962,0,0,0,0
0.327266,0,0,0,0
0.328619,0,0,0,0
0.329928,0,0,0,0
0.331236,0,0,0,0
0.332544,0,0,0,0
0.333848,0,0,0,0
0.335152,0,0,0,0
0.336511,0,0,0,0
0.337804,0,0,0,0
0.339147,0,0,0,0
0.340449,0,0,0,0
0.341741,0,0,0,0
0.343030,0,0,0,0
0.344369,0,0,0,0
0.345663,0,0,0,0
0.346964,0,0,0,0
0.348257,0,0,0,0
0.349546,0,0,0,0
0.350836,0,0,0,0
0.352156,0,0,0,0
0.353517,0,0,0,0
0.354890,0,0,0,0
0.356250,0,0,0,0
0.357613,0,0,0,0
0.358972,0,0,0,0
0.360381,0,0,0,0
0.361741,0,0,0,0
0.363101,0,0,0,0
0.364411,0,0,0,0
0.365780,0,0,0,0
0.367144,0,0,0,0
0.368595,0,0,0,0
0.370009,0,0,0,0
0.371396,0,0,0,0
0.373201,0,0,0,0
0.375595,0,0,0,0
0.376980,0,0,0,0
0.378371,0,0,0,0
0.379767,0,0,0,0
0.381151,0,0,0,0
0.382532,0,0,0,0
0.383958,0,0,0,0
0.385357,0,0,0,0
0.386599,0,0,0,0
0.388125,0,0,0,0
0.389826,0,0,0,0
0.391213,0,0,0,0
0.392598,0,0,0,0
0.393983,0,0,0,0
0.395368,0,0,0,0
0.396755,0,0,0,0
0.398144,0,0,0,0
0.400016,0,0,0,0
0.401465,0,0,0,0
0.402844,0,0,0,0
0.404271,0,0,0,0
0.409356,0,0,0,0
0.410737,0,0,0,0
0.412129,0,0,0,0
0.413514,0,0,0,0
0.414903,0,0,0,0
0.416343,0,0,0,0
0.417723,0,0,0,0
0.419102,0,0,0,0
0.420614,0,0,0,0
0.422009,0,0,0,0
0.423370,0,0,0,0
0.424712,0,0,0,0
0.426054,0,0,0,0
0.427393,0,0,0,0
0.428736,0,0,0,0
0.430076,0,0,0,0
0.431414,0,0,0,0
0.432884,0,0,0,0
0.434460,0,0,0,0
0.436007,0,0,0,0
0.437580,0,0,0,0
0.439129,0,0,0,0
0.440680,0,0,0,0
0.442230,0,0,0,0
0.443777,0,0,0,0
0.445337,0,0,0,0
0.446886,0,0,0,0
0.448480,0,0,0,0
0.450031,0,0,0,0
0.451579,0,0,0,0
0.453129,0,0,0,0
0.454678,0,0,0,0
0.456244,0,0,0,0
0.457811,0,0,0,0
0.459358,0,0,0,0
0.460910,0,0,0,0
0.462459,0,0,0,0
0.464051,0,0,0,0
0.465605,0,0,0,0
0.467166,0,0,0,0
0.468717,0,0,0,0
0.470267,0,0,0,0
0.471814,0,0,0,0
0.473236,0,0,0,0
0.474756,0,0,0,0
0.476306,0,0,0,0
0.477869,0,0,0,0
0.479417,0,0,0,0
0.480969,0,0,0,0
0.482519,0,0,0,0
0.484067,0,0,0,0
0.485621,0,0,0,0
0.487169,0,0,0,0
0.488610,0,0,0,0
0.490133,0,0,0,0
0.491680,0,0,0,0
0.493229,0,0,0,0
0.494778,0,0,0,0
0.496372,0,0,0,0
0.497923,0,0,0,0
0.499484,0,0,0,0
0.501034,0,0,0,0
0.502574,0,0,0,0
0.504113,0,0,0,0
0.505631,0,0,0,0
0.507159,0,0,0,0
0.508711,0,0,0,0
0.510273,0,0,0,0
0.511814,0,0,0,0
0.513921,0,0,0,0
0.515450,0,0,0,0
0.516872,0,0,0,0
0.518393,0,0,0,0
0.519942,0,0,0,0
0.521509,0,0,0,0
0.522929,0,0,0,0
0.524450,0,0,0,0
0.526000,0,0,0,0
0.527548,0,0,0,0
0.529098,0,0,0,0
0.530648,0,0,0,0
0.532083,0,0,0,0
0.533793,0,0,0,0
0.535269,0,0,0,0
0.536877,0,0,0,0
0.538271,0,0,0,0
0.539682,0,0,0,0
0.541132,0,0,0,0
0.542528,0,0,0,0
0.545720,0,0,0,0
0.547993,0,0,0,0
0.549381,0,0,0,0
0.550767,0,0,0,0
0.552153,0,0,0,0
0.553516,0,0,0,0
0.554899,0,0,0,0
0.556286,0,0,0,0
0.557794,0,0,0,0
0.559333,0,0,0,0
0.560756,0,0,0,0
0.562276,0,0,0,0
0.563713,0,0,0,0
0.565109,0,0,0,0
0.566498,0,0,0,0
0.567885,0,0,0,0
0.569342,0,0,0,0
0.570728,0,0,0,0
0.572113,0,0,0,0
0.573628,0,0,0,0
0.575063,0,0,0,0
0.576503,0,0,0,0
0.577893,0,0,0,0
0.579280,0,0,0,0
0.580668,0,0,0,0
0.582055,0,0,0,0
0.583440,0,0,0,0
0.584958,0,0,0,0
0.586521,0,0,0,0
0.588067,0,0,0,0
0.589619,0,0,0,0
0.591166,0,0,0,0
0.592759,0,0,0,0
0.594310,0,0,0,0
0.595857,0,0,0,0
0.597365,0,0,0,0
0.598887,0,0,0,0
0.600333,0,0,0,0
0.601709,0,0,0,0
0.603052,0,0,0,0
0.604390,0,0,0,0
0.605727,0,0,0,0
0.607062,0,0,0,0
0.608468,0,0,0,0
0.609805,0,0,0,0
0.611141,0,0,0,0
0.612478,0,0,0,0
0.613810,0,0,0,0
0.615138,0,0,0,0
0.616516,0,0,0,0
0.617850,0,0,0,0
0.619196,0,0,0,0
0.620531,0,0,0,0
0.621860,0,0,0,0
0.623188,0,0,0,0
0.624559,0,0,0,0
0.625870,0,0,0,0
0.627179,0,0,0,0
0.628488,0,0,0,0
0.629801,0,0,0,0
0.631105,0,0,0,0
0.632460,0,0,0,0
0.633770,0,0,0,0
0.635079,0,0,0,0
0.636436,0,0,0,0
0.637746,0,0,0,0
0.639055,0,0,0,0
0.640371,0,0,0,0
0.641662,0,0,0,0
0.642952,0,0,0,0
0.644322,0,0,0,0
0.645788,0,0,0,0
0.647141,0,0,0,0
0.648484,0,0,0,0
0.649823,0,0,0,0
0.651175,0,0,0,0
0.652648,0,0,0,0
0.653988,0,0,0,0
0.655326,0,0,0,0
0.656663,0,0,0,0
0.657988,0,0,0,0
0.659311,0,0,0,0
0.660635,0,0,0,0
0.661964,0,0,0,0
0.663288,0,0,0,0
0.664612,0,0,0,0
0.665937,0,0,0,0
0.667261,0,0,0,0
0.668756,0,0,0,0
0.670080,0,0,0,0
0.671403,0,0,0,0
0.672725,0,0,0,0
0.674135,0,0,0,0
0.675551,0,0,0,0
0.676968,0,0,0,0
0.678333,0,0,0,0
0.679694,0,0,0,0
0.681104,0,0,0,0
0.682356,0,0,0,0
0.683611,0,0,0,0
0.685022,0,0,0,0
0.686437,0,0,0,0
0.687589,0,0,0,0
0.689017,0,0,0,0
0.690377,0,0,0,0
0.691737,0,0,0,0
0.693147,0,0,0,0
0.694561,0,0,0,0
0.695815,0,0,0,0
0.697068,0,0,0,0
