elapsed_s,TSE_FE_BR_STALLS_DUETO_BV_CLIP,TSE_FE_BR_STALLS_DUETO_BV_POLY,TSE_FE_BV_STALLS_DUETO_BR_CLIP,TSE_FE_BV_STALLS_DUETO_BR_POLY
0.001091,0,0,0,0
0.002555,0,0,0,0
0.004076,0,0,0,0
0.005457,0,0,0,0
0.006836,0,0,0,0
0.008275,0,0,0,0
0.009665,0,0,0,0
0.011047,0,0,0,0
0.012403,0,0,0,0
0.013787,0,0,0,0
0.015267,0,0,0,0
0.016829,0,0,0,0
0.018559,0,0,0,0
0.020368,0,0,0,0
0.021750,0,0,0,0
0.023240,0,0,0,0
0.024665,0,0,0,0
0.026046,0,0,0,0
0.027420,0,0,0,0
0.028778,0,0,0,0
0.030135,0,0,0,0
0.031499,0,0,0,0
0.032856,0,0,0,0
0.034212,0,0,0,0
0.035569,0,0,0,0
0.036926,0,0,0,0
0.038283,0,0,0,0
0.039639,0,0,0,0
0.040997,0,0,0,0
0.042360,0,0,0,0
0.043750,0,0,0,0
0.045095,0,0,0,0
0.046439,0,0,0,0
0.047782,0,0,0,0
0.049126,0,0,0,0
0.050469,0,0,0,0
0.052010,0,0,0,0
0.053360,0,0,0,0
0.054702,0,0,0,0
0.056030,0,0,0,0
0.057372,0,0,0,0
0.058744,0,0,0,0
0.060031,0,0,0,0
0.061293,0,0,0,0
0.062550,0,0,0,0
0.063811,0,0,0,0
0.065067,0,0,0,0
0.066322,0,0,0,0
0.067637,0,0,0,0
0.068950,0,0,0,0
0.070263,0,0,0,0
0.071583,0,0,0,0
0.072890,0,0,0,0
0.074199,0,0,0,0
0.075507,0,0,0,0
0.076814,0,0,0,0
0.078122,0,0,0,0
0.079429,0,0,0,0
0.080733,0,0,0,0
0.082046,0,0,0,0
0.083242,0,0,0,0
0.084551,0,0,0,0
0.085855,0,0,0,0
0.087160,0,0,0,0
0.088467,0,0,0,0
0.089774,0,0,0,0
0.091100,0,0,0,0
0.092484,0,0,0,0
0.094343,0,0,0,0
0.095897,0,0,0,0
0.097425,0,0,0,0
0.098686,0,0,0,0
0.100071,0,0,0,0
0.101455,0,0,0,0
0.102839,0,0,0,0
0.105632,0,0,0,0
0.107030,0,0,0,0
0.108407,0,0,0,0
0.109787,0,0,0,0
0.111397,0,0,0,0
0.112776,0,0,0,0
0.114155,0,0,0,0
0.115534,0,0,0,0
0.116911,0,0,0,0
0.118295,0,0,0,0
0.119672,0,0,0,0
0.121048,0,0,0,0
0.122425,0,0,0,0
0.123858,0,0,0,0
0.125245,0,0,0,0
0.126631,0,0,0,0
0.128017,0,0,0,0
0.129405,0,0,0,0
0.130784,0,0,0,0
0.132198,0,0,0,0
0.133704,0,0,0,0
0.135493,0,0,0,0
0.137013,0,0,0,0
0.138559,0,0,0,0
0.140172,0,0,0,0
0.141719,0,0,0,0
0.143268,0,0,0,0
0.144816,0,0,0,0
0.146362,0,0,0,0
0.147910,0,0,0,0
0.149457,0,0,0,0
0.151019,0,0,0,0
0.152566,0,0,0,0
0.154110,0,0,0,0
0.155601,0,0,0,0
0.156995,0,0,0,0
0.158377,0,0,0,0
0.159761,0,0,0,0
0.161161,0,0,0,0
0.162547,0,0,0,0
0.163932,0,0,0,0
0.165446,0,0,0,0
0.166996,0,0,0,0
0.168544,0,0,0,0
0.170091,0,0,0,0
0.171529,0,0,0,0
0.173049,0,0,0,0
0.174595,0,0,0,0
0.176107,0,0,0,0
0.177625,0,0,0,0
0.179176,0,0,0,0
0.180724,0,0,0,0
0.182282,0,0,0,0
0.183833,0,0,0,0
0.185381,0,0,0,0
0.186973,0,0,0,0
0.188523,0,0,0,0
0.190070,0,0,0,0
0.191620,0,0,0,0
0.193182,0,0,0,0
0.194728,0,0,0,0
0.196282,0,0,0,0
0.197828,0,0,0,0
0.199379,0,0,0,0
0.200928,0,0,0,0
0.202474,0,0,0,0
0.204142,0,0,0,0
0.205691,0,0,0,0
0.207243,0,0,0,0
0.208792,0,0,0,0
0.210339,0,0,0,0
0.211887,0,0,0,0
0.213435,0,0,0,0
0.214997,0,0,0,0
0.216546,0,0,0,0
0.218093,0,0,0,0
0.219644,0,0,0,0
0.221194,0,0,0,0
0.222742,0,0,0,0
0.224295,0,0,0,0
0.225856,0,0,0,0
0.227407,0,0,0,0
0.228956,0,0,0,0
0.230503,0,0,0,0
0.232051,0,0,0,0
0.233599,0,0,0,0
0.235191,0,0,0,0
0.236751,0,0,0,0
0.238173,0,0,0,0
0.239568,0,0,0,0
0.241084,0,0,0,0
0.242630,0,0,0,0
0.244183,0,0,0,0
0.245729,0,0,0,0
0.247291,0,0,0,0
0.248839,0,0,0,0
0.250386,0,0,0,0
0.251978,0,0,0,0
0.253527,0,0,0,0
0.255077,0,0,0,0
0.256625,0,0,0,0
0.258185,0,0,0,0
