elapsed_s,TSE_CLIP_VP_FMUL_0_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_1_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_2_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_3_WORKING_CYCLE_L3
0.001095,0,0,0,0
0.002581,0,0,0,0
0.003945,0,0,0,0
0.005289,0,0,0,0
0.006679,0,0,0,0
0.008089,0,0,0,0
0.009517,0,0,0,0
0.010882,0,0,0,0
0.012229,0,0,0,0
0.013573,0,0,0,0
0.014916,0,0,0,0
0.016257,0,0,0,0
0.017590,0,0,0,0
0.018907,0,0,0,0
0.020230,0,0,0,0
0.021592,0,0,0,0
0.022908,0,0,0,0
0.024223,0,0,0,0
0.025537,0,0,0,0
0.026852,0,0,0,0
0.028166,0,0,0,0
0.029544,0,0,0,0
0.030906,0,0,0,0
0.032222,0,0,0,0
0.033582,0,0,0,0
0.034879,0,0,0,0
0.036174,0,0,0,0
0.037517,0,0,0,0
0.038812,0,0,0,0
0.040106,0,0,0,0
0.041455,0,0,0,0
0.042752,0,0,0,0
0.044048,0,0,0,0
0.045392,0,0,0,0
0.046686,0,0,0,0
0.047978,0,0,0,0
0.049310,0,0,0,0
0.050565,0,0,0,0
0.051872,0,0,0,0
0.053155,0,0,0,0
0.054410,0,0,0,0
0.055666,0,0,0,0
0.056921,0,0,0,0
0.058238,0,0,0,0
0.059495,0,0,0,0
0.060808,0,0,0,0
0.062074,0,0,0,0
0.063393,0,0,0,0
0.064703,0,0,0,0
0.066045,0,0,0,0
0.067298,0,0,0,0
0.068553,0,0,0,0
0.069809,0,0,0,0
0.071063,0,0,0,0
0.072323,0,0,0,0
0.073639,0,0,0,0
0.074970,0,0,0,0
0.076225,0,0,0,0
0.077480,0,0,0,0
0.078735,0,0,0,0
0.079990,0,0,0,0
0.081340,0,0,0,0
0.082864,0,0,0,0
0.084271,0,0,0,0
0.085666,0,0,0,0
0.087054,0,0,0,0
0.088441,0,0,0,0
0.090724,0,0,0,0
0.092112,0,0,0,0
0.093514,0,0,0,0
0.094898,0,0,0,0
0.096284,0,0,0,0
0.097673,0,0,0,0
0.099072,0,0,0,0
0.100460,0,0,0,0
0.101877,0,0,0,0
0.103258,0,0,0,0
0.104648,0,0,0,0
0.109221,0,0,0,0
0.110787,0,0,0,0
0.112672,0,0,0,0
0.114105,0,0,0,0
0.115497,0,0,0,0
0.116875,0,0,0,0
0.118319,0,0,0,0
0.119703,0,0,0,0
0.121085,0,0,0,0
0.122571,0,0,0,0
0.123929,0,0,0,0
0.125270,0,0,0,0
0.126659,0,0,0,0
0.127999,0,0,0,0
0.129350,0,0,0,0
0.130738,0,0,0,0
0.132123,0,0,0,0
0.133508,0,0,0,0
0.134916,0,0,0,0
0.136523,0,0,0,0
0.137955,0,0,0,0
0.139474,0,0,0,0
0.141019,0,0,0,0
0.142571,0,0,0,0
0.144116,0,0,0,0
0.145706,0,0,0,0
0.147253,0,0,0,0
0.148811,0,0,0,0
0.150427,0,0,0,0
0.151973,0,0,0,0
0.153522,0,0,0,0
0.155067,0,0,0,0
0.156623,0,0,0,0
0.158202,0,0,0,0
0.159618,0,0,0,0
0.161052,0,0,0,0
0.162440,0,0,0,0
0.163820,0,0,0,0
0.165232,0,0,0,0
0.166740,0,0,0,0
0.168278,0,0,0,0
0.169707,0,0,0,0
0.171227,0,0,0,0
0.172774,0,0,0,0
0.174321,0,0,0,0
0.175869,0,0,0,0
0.177460,0,0,0,0
0.179008,0,0,0,0
0.180567,0,0,0,0
0.182114,0,0,0,0
0.183663,0,0,0,0
0.185213,0,0,0,0
0.186762,0,0,0,0
0.188308,0,0,0,0
0.189857,0,0,0,0
0.191416,0,0,0,0
0.192839,0,0,0,0
0.194411,0,0,0,0
0.195957,0,0,0,0
0.197507,0,0,0,0
0.199056,0,0,0,0
0.200601,0,0,0,0
0.202163,0,0,0,0
0.203711,0,0,0,0
0.205260,0,0,0,0
0.206805,0,0,0,0
0.208349,0,0,0,0
0.209897,0,0,0,0
0.211445,0,0,0,0
0.213003,0,0,0,0
0.214554,0,0,0,0
0.216098,0,0,0,0
0.217646,0,0,0,0
0.219194,0,0,0,0
0.220739,0,0,0,0
0.222290,0,0,0,0
0.223703,0,0,0,0
0.225088,0,0,0,0
0.226436,0,0,0,0
0.227796,0,0,0,0
0.229198,0,0,0,0
0.230601,0,0,0,0
0.231982,0,0,0,0
0.233362,0,0,0,0
0.234760,0,0,0,0
0.236139,0,0,0,0
0.237517,0,0,0,0
0.239024,0,0,0,0
0.240562,0,0,0,0
0.241978,0,0,0,0
0.243495,0,0,0,0
0.245054,0,0,0,0
0.246606,0,0,0,0
0.248151,0,0,0,0
0.249631,0,0,0,0
0.251079,0,0,0,0
0.252595,0,0,0,0
0.254043,0,0,0,0
0.255484,0,0,0,0
