elapsed_s,TSE_DET_WORKING_CYCLE_L1,TSE_BBOX_WORKING_CYCLE_L1,TSE_CULLING_WORKING_CYCLE_L1,TSE_SETUP_WORKING_CYCLE_L1
0.001347,0,0,0,0
0.002839,0,0,0,0
0.004232,0,0,0,0
0.005614,0,0,0,0
0.007008,0,0,0,0
0.008389,0,0,0,0
0.009888,0,0,0,0
0.011247,0,0,0,0
0.012755,0,0,0,0
0.014135,0,0,0,0
0.015515,0,0,0,0
0.016895,0,0,0,0
0.018277,0,0,0,0
0.019657,0,0,0,0
0.021046,0,0,0,0
0.022427,0,0,0,0
0.023808,0,0,0,0
0.025187,0,0,0,0
0.026562,0,0,0,0
0.027919,0,0,0,0
0.029275,0,0,0,0
0.030632,0,0,0,0
0.032000,0,0,0,0
0.033356,0,0,0,0
0.034713,0,0,0,0
0.036071,0,0,0,0
0.037427,0,0,0,0
0.038808,0,0,0,0
0.040157,0,0,0,0
0.041477,0,0,0,0
0.042940,0,0,0,0
0.044242,0,0,0,0
0.045540,0,0,0,0
0.046849,0,0,0,0
0.048148,0,0,0,0
0.049447,0,0,0,0
0.050793,0,0,0,0
0.052092,0,0,0,0
0.053445,0,0,0,0
0.054744,0,0,0,0
0.056041,0,0,0,0
0.057337,0,0,0,0
0.058705,0,0,0,0
0.059966,0,0,0,0
0.061223,0,0,0,0
0.062479,0,0,0,0
0.063739,0,0,0,0
0.064994,0,0,0,0
0.066249,0,0,0,0
0.067556,0,0,0,0
0.068840,0,0,0,0
0.070168,0,0,0,0
0.071434,0,0,0,0
0.072692,0,0,0,0
0.073991,0,0,0,0
0.075408,0,0,0,0
0.076795,0,0,0,0
0.078214,0,0,0,0
0.079610,0,0,0,0
0.081168,0,0,171,171
0.082915,0,0,0,0
0.084326,0,0,0,0
0.085746,0,0,0,0
0.087109,0,0,0,0
0.088498,0,0,0,0
0.089963,0,0,0,0
0.095101,0,0,2514,2514
0.096347,0,0,450,450
0.097734,0,0,0,0
0.099209,0,0,0,0
0.100593,0,0,0,0
0.101978,0,0,0,0
0.103363,0,0,0,0
0.104747,0,0,0,0
0.106142,0,0,0,0
0.107522,0,0,0,0
0.108942,0,0,0,0
0.110448,0,0,0,0
0.111837,0,0,0,0
0.113178,0,0,0,0
0.114517,0,0,0,0
0.115855,0,0,0,0
0.117208,0,0,0,0
0.118544,0,0,0,0
0.119879,0,0,0,0
0.121215,0,0,0,0
0.122613,0,0,0,0
0.124001,0,0,0,0
0.125381,0,0,0,0
0.126760,0,0,0,0
