elapsed_s,RAS_NEVER_COUNT,RAS_BUSY_CYCLES,RAS_SUPERTILE_ACTIVE_CYCLES,RAS_STALL_CYCLES_LRZ
0.001097,0,0,0,0
0.002562,0,0,0,0
0.003981,0,0,0,0
0.005396,0,0,0,0
0.006811,0,0,0,0
0.008224,0,0,0,0
0.009649,0,0,0,0
0.011063,0,0,0,0
0.012477,0,0,0,0
0.013891,0,0,0,0
0.015305,0,0,0,0
0.016825,0,0,0,0
0.018246,0,0,0,0
0.019675,0,0,0,0
0.021088,0,0,0,0
0.022500,0,0,0,0
0.023909,0,0,0,0
0.025301,0,0,0,0
0.026693,0,0,0,0
0.028083,0,0,0,0
0.029473,0,0,0,0
0.030871,0,0,0,0
0.032263,0,0,0,0
0.033653,0,0,0,0
0.035042,0,0,0,0
0.036432,0,0,0,0
0.037818,0,0,0,0
0.039249,0,0,0,0
0.040716,0,0,0,0
0.042099,0,0,0,0
0.043451,0,0,0,0
0.044829,0,0,0,0
0.046205,0,0,0,0
0.047620,0,0,0,0
0.049025,0,0,0,0
0.050401,0,0,0,0
0.051776,0,0,0,0
0.053157,0,0,0,0
0.054533,0,0,0,0
0.055898,0,0,0,0
0.057348,0,0,0,0
0.058686,0,0,0,0
0.060026,0,0,0,0
0.061366,0,0,0,0
0.062705,0,0,0,0
0.064053,0,0,0,0
0.065393,0,0,0,0
0.066732,0,0,0,0
0.068069,0,0,0,0
0.069384,0,0,0,0
0.070696,0,0,0,0
0.072004,0,0,0,0
0.073259,0,0,0,0
0.074520,0,0,0,0
0.075823,0,0,0,0
0.077079,0,0,0,0
0.078334,0,0,0,0
0.079639,0,0,0,0
0.080893,0,0,0,0
0.082196,0,252,0,0
0.083341,0,0,0,0
0.084729,0,0,0,0
0.086019,0,0,0,0
0.087332,0,0,0,0
0.088849,0,0,0,0
0.090312,0,0,0,0
0.091730,0,0,0,0
0.093438,0,0,0,0
0.094868,0,0,0,0
0.096479,0,0,0,0
0.097931,0,3228,0,0
0.099180,0,1512,0,0
0.100648,0,0,0,0
0.102041,0,0,0,0
0.103487,0,0,0,0
0.105412,0,0,0,0
0.106799,0,0,0,0
0.108182,0,0,0,0
