elapsed_s,RAS_SAMPLE_MASK_GEN_LANE_3_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_4_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_5_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_6_WORKING_CC_L2
0.001229,0,0,0,0
0.002730,0,0,0,0
0.004287,0,0,0,0
0.005705,0,0,0,0
0.007120,0,0,0,0
0.008535,0,0,0,0
0.009960,0,0,0,0
0.011374,0,0,0,0
0.012788,0,0,0,0
0.014204,0,0,0,0
0.015615,0,0,0,0
0.017030,0,0,0,0
0.018463,0,0,0,0
0.019874,0,0,0,0
0.021434,0,0,0,0
0.022826,0,0,0,0
0.024305,0,0,0,0
0.025696,0,0,0,0
0.027087,0,0,0,0
0.028583,0,0,0,0
0.030007,0,0,0,0
0.031405,0,0,0,0
0.032803,0,0,0,0
0.034193,0,0,0,0
0.035582,0,0,0,0
0.036960,0,0,0,0
0.038300,0,0,0,0
0.039640,0,0,0,0
0.040978,0,0,0,0
0.042318,0,0,0,0
0.043662,0,0,0,0
0.045001,0,0,0,0
0.046357,0,0,0,0
0.047697,0,0,0,0
0.049034,0,0,0,0
0.050346,0,0,0,0
0.051651,0,0,0,0
0.052985,0,0,0,0
0.054435,0,0,0,0
0.055815,0,0,0,0
0.057215,0,0,0,0
0.058560,0,0,0,0
0.059905,0,0,0,0
0.061376,0,0,0,0
0.062769,0,0,0,0
0.064127,0,0,0,0
0.065492,0,0,0,0
0.066837,0,0,0,0
0.068383,0,0,0,0
0.069925,0,0,0,0
0.071311,0,0,0,0
0.072692,0,0,0,0
0.074077,0,0,0,0
0.075460,0,0,0,0
0.076971,0,0,0,0
0.078360,0,0,0,0
0.080093,0,0,0,0
0.081665,0,0,0,0
0.083060,0,0,0,0
0.084472,0,0,0,0
0.087138,0,0,0,0
0.088522,0,0,0,0
0.089905,0,0,0,0
0.091286,0,0,0,0
0.093754,0,0,0,0
0.095135,0,0,0,0
0.100298,0,0,0,0
0.101707,0,0,0,0
0.103065,0,0,0,0
0.104409,0,0,0,0
0.105746,0,0,0,0
0.107085,0,0,0,0
0.108421,0,0,0,0
0.109757,0,0,0,0
0.111092,0,0,0,0
0.112448,0,0,0,0
0.113797,0,0,0,0
0.115135,0,0,0,0
0.116573,0,0,0,0
0.117978,0,0,0,0
0.119356,0,0,0,0
0.120734,0,0,0,0
0.122113,0,0,0,0
0.123500,0,0,0,0
0.124882,0,0,0,0
0.126267,0,0,0,0
0.127653,0,0,0,0
0.129041,0,0,0,0
0.130427,0,0,0,0
0.131812,0,0,0,0
0.133365,0,0,0,0
0.134929,0,0,0,0
0.136481,0,0,0,0
0.138031,0,0,0,0
0.139579,0,0,0,0
0.141025,0,0,0,0
0.142572,0,0,0,0
0.144117,0,0,0,0
0.145681,0,0,0,0
0.147228,0,0,0,0
0.148780,0,0,0,0
0.150330,0,0,0,0
0.151877,0,0,0,0
0.153484,0,0,0,0
0.155032,0,0,0,0
0.156597,0,0,0,0
0.158183,0,0,0,0
0.159659,0,0,0,0
0.161044,0,0,0,0
0.162498,0,0,0,0
0.164510,0,0,0,0
0.166407,0,0,0,0
0.167827,0,0,0,0
0.169272,0,0,0,0
0.170735,0,0,0,0
0.172116,0,0,0,0
0.173569,0,0,0,0
0.174948,0,0,0,0
0.176328,0,0,0,0
0.177708,0,0,0,0
0.179221,0,0,0,0
0.180640,0,0,0,0
0.182160,0,0,0,0
0.183707,0,0,0,0
0.185256,0,0,0,0
0.186805,0,0,0,0
0.188354,0,0,0,0
0.189916,0,0,0,0
0.191464,0,0,0,0
