elapsed_s,TP_FILTER_POINT_FP32,TP_LATENCY_FIFO_FULL,TP_RESERVED_62,TP_RESERVED_63,TP_RESERVED_64,TP_RESERVED_65,TP_RESERVED_66,TP_RESERVED_67,TP_RESERVED_68,TP_RESERVED_69,TP_RESERVED_70,TP_RESERVED_71
0.001096,0,0,0,0,0,0,0,0,0,0,0,0
0.002615,0,0,0,0,0,0,0,0,0,0,0,0
0.004197,0,0,0,0,0,0,0,0,0,0,0,0
0.005641,0,0,0,0,0,0,0,0,0,0,0,0
0.007602,0,0,0,0,0,0,0,0,0,0,0,0
0.009057,0,0,0,0,0,0,0,0,0,0,0,0
0.010492,0,0,0,0,0,0,0,0,0,0,0,0
0.011929,0,0,0,0,0,0,0,0,0,0,0,0
0.013358,0,0,0,0,0,0,0,0,0,0,0,0
0.014784,0,0,0,0,0,0,0,0,0,0,0,0
0.016213,0,0,0,0,0,0,0,0,0,0,0,0
0.017639,0,0,0,0,0,0,0,0,0,0,0,0
0.019086,0,0,0,0,0,0,0,0,0,0,0,0
0.020512,0,0,0,0,0,0,0,0,0,0,0,0
0.022069,0,0,0,0,0,0,0,0,0,0,0,0
0.023502,0,0,0,0,0,0,0,0,0,0,0,0
0.025020,0,0,0,0,0,0,0,0,0,0,0,0
0.026407,0,0,0,0,0,0,0,0,0,0,0,0
0.027796,0,0,0,0,0,0,0,0,0,0,0,0
0.029212,0,0,0,0,0,0,0,0,0,0,0,0
0.030611,0,0,0,0,0,0,0,0,0,0,0,0
0.032013,0,0,0,0,0,0,0,0,0,0,0,0
0.033411,0,0,0,0,0,0,0,0,0,0,0,0
0.034808,0,0,0,0,0,0,0,0,0,0,0,0
0.036207,0,0,0,0,0,0,0,0,0,0,0,0
0.037630,0,0,0,0,0,0,0,0,0,0,0,0
0.039032,0,0,0,0,0,0,0,0,0,0,0,0
0.040438,0,0,0,0,0,0,0,0,0,0,0,0
0.041838,0,0,0,0,0,0,0,0,0,0,0,0
0.043277,0,0,0,0,0,0,0,0,0,0,0,0
0.044696,0,0,0,0,0,0,0,0,0,0,0,0
0.046078,0,0,0,0,0,0,0,0,0,0,0,0
0.047461,0,0,0,0,0,0,0,0,0,0,0,0
0.048987,0,0,0,0,0,0,0,0,0,0,0,0
