elapsed_s,SP_TTU_GPR_WR_REQ,SP_GPR_CACHE_SRC0_GPR_RDCNT,SP_GPR_CACHE_SRC0_GPR_CACHE_HIT_RDCNT,SP_GPR_CACHE_SRC0_GPR_CACHE_HINT_RDCNT,SP_GPR_CACHE_SRC1_RDCNT,SP_GPR_CACHE_SRC1_GPR_CACHE_HIT_RDCNT,SP_GPR_CACHE_SRC1_GPR_CACHE_HINT_RDCNT,SP_GPR_CACHE_SRC2_RDCNT,SP_GPR_CACHE_SRC2_GPR_CACHE_HIT_RDCNT,SP_GPR_CACHE_SRC2_GPR_CACHE_HINT_RDCNT,SP_UCHE_READ_BURST,SP_UCHE_WRITE_BURST,SP_LDST_GMEM_REQ_NUM
0.001094,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002651,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004198,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005705,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007206,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008716,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010235,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011732,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013222,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014691,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016194,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017640,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019106,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020568,0,0,0,0,0,0,0,0,0,0,0,0,0
0.021975,0,0,0,0,0,0,0,0,0,0,0,0,0
0.023381,0,0,0,0,0,0,0,0,0,0,0,0,0
0.024786,0,0,0,0,0,0,0,0,0,0,0,0,0
0.026194,0,0,0,0,0,0,0,0,0,0,0,0,0
0.027600,0,0,0,0,0,0,0,0,0,0,0,0,0
0.029023,0,0,0,0,0,0,0,0,0,0,0,0,0
0.030617,0,0,0,0,0,0,0,0,0,0,0,0,0
0.032099,0,0,0,0,0,0,0,0,0,0,0,0,0
0.033661,0,0,0,0,0,0,0,0,0,0,0,0,0
0.035027,0,0,0,0,0,0,0,0,0,0,0,0,0
0.036429,0,0,0,0,0,0,0,0,0,0,0,0,0
0.037835,0,0,0,0,0,0,0,0,0,0,0,0,0
0.039236,0,0,0,0,0,0,0,0,0,0,0,0,0
0.040635,0,0,0,0,0,0,0,0,0,0,0,0,0
0.042021,0,0,0,0,0,0,0,0,0,0,0,0,0
0.043469,0,0,0,0,0,0,0,0,0,0,0,0,0
0.044870,0,0,0,0,0,0,0,0,0,0,0,0,0
0.046270,0,0,0,0,0,0,0,0,0,0,0,0,0
0.047667,0,0,0,0,0,0,0,0,0,0,0,0,0
0.049128,0,0,0,0,0,0,0,0,0,0,0,0,0
0.050572,0,0,0,0,0,0,0,0,0,0,0,0,0
0.051966,0,0,0,0,0,0,0,0,0,0,0,0,0
0.053669,0,0,0,1902,0,0,0,0,0,0,0,0,0
0.055283,0,0,0,0,0,0,0,0,0,0,0,0,0
0.057630,0,0,0,0,0,0,0,0,0,0,0,0,0
0.060613,0,0,0,0,0,0,0,0,0,0,0,0,0
0.062063,0,0,0,0,0,0,0,0,0,0,0,0,0
0.063462,9655,32984,0,167982,105362,102396,193992,321516,276505,331309,276698,24,24
0.064777,726220,1707509,0,3977412,800607,3165573,1742782,4947753,4086178,4937936,4085985,0,0
0.066207,0,0,0,0,0,0,0,0,0,0,0,0,0
0.067602,0,0,0,0,0,0,0,0,0,0,0,0,0
0.069014,0,0,0,0,0,0,0,0,0,0,0,0,0
0.070455,0,0,0,0,0,0,0,0,0,0,0,0,0
0.071890,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075482,0,0,0,0,0,0,0,0,0,0,0,0,0
0.076939,0,0,0,0,0,0,0,0,0,0,0,0,0
0.078376,0,0,0,0,0,0,0,0,0,0,0,0,0
0.079805,0,0,0,0,0,0,0,0,0,0,0,0,0
0.081235,0,0,0,0,0,0,0,0,0,0,0,0,0
0.082712,0,0,0,0,0,0,0,0,0,0,0,0,0
0.084187,0,0,0,0,0,0,0,0,0,0,0,0,0
0.085642,0,0,0,0,0,0,0,0,0,0,0,0,0
0.087084,0,0,0,0,0,0,0,0,0,0,0,0,0
0.088567,0,0,0,0,0,0,0,0,0,0,0,0,0
0.090010,0,0,0,0,0,0,0,0,0,0,0,0,0
0.091476,0,0,0,0,0,0,0,0,0,0,0,0,0
0.092900,0,0,0,0,0,0,0,0,0,0,0,0,0
0.094302,0,0,0,0,0,0,0,0,0,0,0,0,0
0.095708,0,0,0,0,0,0,0,0,0,0,0,0,0
0.097124,0,0,0,0,0,0,0,0,0,0,0,0,0
0.098525,0,0,0,0,0,0,0,0,0,0,0,0,0
0.099926,0,0,0,0,0,0,0,0,0,0,0,0,0
0.101379,0,0,0,0,0,0,0,0,0,0,0,0,0
0.102929,0,0,0,0,0,0,0,0,0,0,0,0,0
0.104430,0,0,0,0,0,0,0,0,0,0,0,0,0
0.105865,0,0,0,0,0,0,0,0,0,0,0,0,0
0.107307,0,0,0,0,0,0,0,0,0,0,0,0,0
0.108741,0,0,0,0,0,0,0,0,0,0,0,0,0
0.110174,0,0,0,0,0,0,0,0,0,0,0,0,0
0.111607,0,0,0,0,0,0,0,0,0,0,0,0,0
0.113040,0,0,0,0,0,0,0,0,0,0,0,0,0
0.114473,0,0,0,0,0,0,0,0,0,0,0,0,0
0.116035,0,0,0,0,0,0,0,0,0,0,0,0,0
0.117698,0,0,0,0,0,0,0,0,0,0,0,0,0
0.119295,0,0,0,0,0,0,0,0,0,0,0,0,0
0.120895,0,0,0,0,0,0,0,0,0,0,0,0,0
0.122495,0,0,0,0,0,0,0,0,0,0,0,0,0
0.124092,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125696,0,0,0,0,0,0,0,0,0,0,0,0,0
0.127293,0,0,0,0,0,0,0,0,0,0,0,0,0
0.128905,0,0,0,0,0,0,0,0,0,0,0,0,0
0.130504,0,0,0,0,0,0,0,0,0,0,0,0,0
0.132143,0,0,0,0,0,0,0,0,0,0,0,0,0
0.133746,0,0,0,0,0,0,0,0,0,0,0,0,0
0.135343,0,0,0,0,0,0,0,0,0,0,0,0,0
0.136943,0,0,0,0,0,0,0,0,0,0,0,0,0
0.138541,0,0,0,0,0,0,0,0,0,0,0,0,0
0.140193,0,0,0,0,0,0,0,0,0,0,0,0,0
0.141818,0,0,0,0,0,0,0,0,0,0,0,0,0
0.143416,0,0,0,0,0,0,0,0,0,0,0,0,0
0.145016,0,0,0,0,0,0,0,0,0,0,0,0,0
0.146614,0,0,0,0,0,0,0,0,0,0,0,0,0
0.148265,0,0,0,0,0,0,0,0,0,0,0,0,0
0.149704,0,0,0,0,0,0,0,0,0,0,0,0,0
0.151153,0,0,0,0,0,0,0,0,0,0,0,0,0
0.152722,0,0,0,0,0,0,0,0,0,0,0,0,0
0.154321,0,0,0,0,0,0,0,0,0,0,0,0,0
0.155918,0,0,0,0,0,0,0,0,0,0,0,0,0
0.157517,0,0,0,0,0,0,0,0,0,0,0,0,0
0.159115,0,0,0,0,0,0,0,0,0,0,0,0,0
0.160715,0,0,0,0,0,0,0,0,0,0,0,0,0
0.162203,0,0,0,0,0,0,0,0,0,0,0,0,0
0.163771,0,0,0,0,0,0,0,0,0,0,0,0,0
0.165404,0,0,0,0,0,0,0,0,0,0,0,0,0
0.167006,0,0,0,0,0,0,0,0,0,0,0,0,0
0.168608,0,0,0,0,0,0,0,0,0,0,0,0,0
0.170209,0,0,0,0,0,0,0,0,0,0,0,0,0
0.171808,0,0,0,0,0,0,0,0,0,0,0,0,0
0.173470,0,0,0,0,0,0,0,0,0,0,0,0,0
0.175070,0,0,0,0,0,0,0,0,0,0,0,0,0
0.176715,0,0,0,0,0,0,0,0,0,0,0,0,0
0.178316,0,0,0,0,0,0,0,0,0,0,0,0,0
0.179915,0,0,0,0,0,0,0,0,0,0,0,0,0
0.181518,0,0,0,0,0,0,0,0,0,0,0,0,0
0.183120,0,0,0,0,0,0,0,0,0,0,0,0,0
0.184736,0,0,0,0,0,0,0,0,0,0,0,0,0
0.186337,0,0,0,0,0,0,0,0,0,0,0,0,0
0.187942,0,0,0,0,0,0,0,0,0,0,0,0,0
0.189516,0,0,0,0,0,0,0,0,0,0,0,0,0
0.191085,0,0,0,0,0,0,0,0,0,0,0,0,0
0.192688,0,0,0,0,0,0,0,0,0,0,0,0,0
0.194289,0,0,0,0,0,0,0,0,0,0,0,0,0
0.195900,0,0,0,0,0,0,0,0,0,0,0,0,0
0.197546,0,0,0,0,0,0,0,0,0,0,0,0,0
0.199146,0,0,0,0,0,0,0,0,0,0,0,0,0
0.200749,0,0,0,0,0,0,0,0,0,0,0,0,0
0.202342,0,0,0,0,0,0,0,0,0,0,0,0,0
0.203932,0,0,0,0,0,0,0,0,0,0,0,0,0
0.205654,0,0,0,0,0,0,0,0,0,0,0,0,0
0.207295,0,0,0,0,0,0,0,0,0,0,0,0,0
0.208896,0,0,0,0,0,0,0,0,0,0,0,0,0
0.210494,0,0,0,0,0,0,0,0,0,0,0,0,0
0.212092,0,0,0,0,0,0,0,0,0,0,0,0,0
0.213693,0,0,0,0,0,0,0,0,0,0,0,0,0
0.215289,0,0,0,0,0,0,0,0,0,0,0,0,0
0.216762,0,0,0,0,0,0,0,0,0,0,0,0,0
0.218342,0,0,0,0,0,0,0,0,0,0,0,0,0
0.219933,0,0,0,0,0,0,0,0,0,0,0,0,0
0.221753,0,0,0,0,0,0,0,0,0,0,0,0,0
0.223259,0,0,0,0,0,0,0,0,0,0,0,0,0
0.224706,0,0,0,0,0,0,0,0,0,0,0,0,0
0.226146,0,0,0,0,0,0,0,0,0,0,0,0,0
0.227582,0,0,0,0,0,0,0,0,0,0,0,0,0
0.229076,0,0,0,0,0,0,0,0,0,0,0,0,0
0.230513,0,0,0,0,0,0,0,0,0,0,0,0,0
0.232077,0,0,0,0,0,0,0,0,0,0,0,0,0
0.233682,0,0,0,0,0,0,0,0,0,0,0,0,0
0.235281,0,0,0,0,0,0,0,0,0,0,0,0,0
0.236925,0,0,0,0,0,0,0,0,0,0,0,0,0
0.238526,0,0,0,0,0,0,0,0,0,0,0,0,0
0.240138,0,0,0,0,0,0,0,0,0,0,0,0,0
0.241743,0,0,0,0,0,0,0,0,0,0,0,0,0
0.243341,0,0,0,0,0,0,0,0,0,0,0,0,0
0.244944,0,0,0,0,0,0,0,0,0,0,0,0,0
0.246545,0,0,0,0,0,0,0,0,0,0,0,0,0
0.248143,0,0,0,0,0,0,0,0,0,0,0,0,0
0.249748,0,0,0,0,0,0,0,0,0,0,0,0,0
0.251360,0,0,0,0,0,0,0,0,0,0,0,0,0
0.252964,0,0,0,0,0,0,0,0,0,0,0,0,0
0.254566,0,0,0,0,0,0,0,0,0,0,0,0,0
0.256165,0,0,0,0,0,0,0,0,0,0,0,0,0
0.258579,0,0,0,0,0,0,0,0,0,0,0,0,0
0.260181,0,0,0,0,0,0,0,0,0,0,0,0,0
0.261644,0,0,0,0,0,0,0,0,0,0,0,0,0
0.263083,0,0,0,0,0,0,0,0,0,0,0,0,0
0.264522,0,0,0,0,0,0,0,0,0,0,0,0,0
0.265958,0,0,0,0,0,0,0,0,0,0,0,0,0
0.267394,0,0,0,0,0,0,0,0,0,0,0,0,0
0.268830,0,0,0,0,0,0,0,0,0,0,0,0,0
0.270394,0,0,0,0,0,0,0,0,0,0,0,0,0
0.272007,0,0,0,0,0,0,0,0,0,0,0,0,0
0.273572,0,0,0,0,0,0,0,0,0,0,0,0,0
0.275142,0,0,0,0,0,0,0,0,0,0,0,0,0
0.276788,0,0,0,0,0,0,0,0,0,0,0,0,0
0.278389,0,0,0,0,0,0,0,0,0,0,0,0,0
0.279988,0,0,0,0,0,0,0,0,0,0,0,0,0
