elapsed_s,RB_C_WRITE,RB_TOTAL_PASS,RB_Z_PASS,RB_Z_FAIL,RB_S_FAIL,RB_BLENDED_FXP_COMPONENTS,RB_BLENDED_FP16_COMPONENTS,RB_PS_INVOCATIONS
0.001091,0,0,0,0,0,0,0,0
0.002533,0,0,0,0,0,0,0,0
0.004033,0,0,0,0,0,0,0,0
0.005443,0,0,0,0,0,0,0,0
0.006847,0,0,0,0,0,0,0,0
0.008250,0,0,0,0,0,0,0,0
0.009662,0,0,0,0,0,0,0,0
0.011065,0,0,0,0,0,0,0,0
0.012456,0,0,0,0,0,0,0,0
0.014182,0,0,0,0,0,0,0,0
0.015592,0,0,0,0,0,0,0,0
0.017003,0,0,0,0,0,0,0,0
0.018407,0,0,0,0,0,0,0,0
0.019819,0,0,0,0,0,0,0,0
0.021310,0,0,0,0,0,0,0,0
0.022714,0,0,0,0,0,0,0,0
0.024116,0,0,0,0,0,0,0,0
0.025519,0,0,0,0,0,0,0,0
0.026922,0,0,0,0,0,0,0,0
0.028323,0,0,0,0,0,0,0,0
0.029721,0,0,0,0,0,0,0,0
0.031109,0,0,0,0,0,0,0,0
0.032491,0,0,0,0,0,0,0,0
0.033868,0,0,0,0,0,0,0,0
0.035246,0,0,0,0,0,0,0,0
0.036627,0,0,0,0,0,0,0,0
0.038089,0,0,0,0,0,0,0,0
0.039466,0,0,0,0,0,0,0,0
0.040843,0,0,0,0,0,0,0,0
0.042318,0,0,0,0,0,0,0,0
0.043696,0,0,0,0,0,0,0,0
0.045072,0,0,0,0,0,0,0,0
0.046394,0,0,0,0,0,0,0,0
0.047716,0,0,0,0,0,0,0,0
0.049044,0,0,0,0,0,0,0,0
0.050366,0,0,0,0,0,0,0,0
0.051688,0,0,0,0,0,0,0,0
0.053018,0,0,0,0,0,0,0,0
0.054341,0,0,0,0,0,0,0,0
0.055663,0,0,0,0,0,0,0,0
0.056984,0,0,0,0,0,0,0,0
0.058306,0,0,0,0,0,0,0,0
0.059628,0,0,0,0,0,0,0,0
0.060979,0,0,0,0,0,0,0,0
0.062400,0,0,0,0,0,0,0,0
0.063811,0,0,0,0,0,0,0,0
0.065197,0,0,0,0,0,0,0,0
0.066568,0,0,0,0,0,0,0,0
0.067928,0,0,0,0,0,0,0,0
0.069338,0,0,0,0,0,0,0,0
0.070699,0,0,0,0,0,0,0,0
0.072075,0,0,0,0,0,0,0,0
0.073469,0,0,0,0,0,0,0,0
0.074842,0,0,0,0,0,0,0,0
0.076195,0,0,0,0,0,0,0,0
0.077550,0,0,0,0,0,0,0,0
0.079480,0,0,0,0,0,0,0,0
0.080960,0,0,0,0,0,0,0,0
0.082398,0,0,0,0,0,0,0,0
0.083662,0,0,0,0,0,0,0,0
0.085218,0,0,0,0,0,0,0,0
0.086626,0,0,0,0,0,0,0,0
0.088032,0,0,0,0,0,0,0,0
0.089440,0,0,0,0,0,0,0,0
0.090849,0,0,0,0,0,0,0,0
0.092254,0,0,0,0,0,0,0,0
0.093663,0,0,0,0,0,0,0,0
0.095064,0,0,0,0,0,0,0,0
0.096473,0,0,0,0,0,0,0,0
0.097966,0,0,0,0,0,0,0,0
0.099368,0,0,0,0,0,0,0,0
0.100769,0,0,0,0,0,0,0,0
0.102146,0,0,0,0,0,0,0,0
0.103550,0,0,0,0,0,0,0,0
0.104959,0,0,0,0,0,0,0,0
0.106366,0,0,0,0,0,0,0,0
0.107779,0,0,0,0,0,0,0,0
0.109182,0,0,0,0,0,0,0,0
0.110587,0,0,0,0,0,0,0,0
0.112454,0,0,0,0,0,0,0,0
0.113866,0,0,0,0,0,0,0,0
0.115268,0,0,0,0,0,0,0,0
0.116670,0,0,0,0,0,0,0,0
0.118141,0,0,0,0,0,0,0,0
0.119764,0,0,0,0,0,0,0,0
0.121203,0,0,0,0,0,0,0,0
0.122743,0,0,0,0,0,0,0,0
0.124310,0,0,0,0,0,0,0,0
0.125880,0,0,0,0,0,0,0,0
0.127449,0,0,0,0,0,0,0,0
0.129034,0,0,0,0,0,0,0,0
0.130604,0,0,0,0,0,0,0,0
0.132172,0,0,0,0,0,0,0,0
0.133743,0,0,0,0,0,0,0,0
0.136537,0,0,0,0,0,0,0,0
0.138097,0,0,0,0,0,0,0,0
0.139569,0,0,0,0,0,0,0,0
0.141045,0,0,0,0,0,0,0,0
0.142458,0,0,0,0,0,0,0,0
0.143867,0,0,0,0,0,0,0,0
0.145278,0,0,0,0,0,0,0,0
0.146687,0,0,0,0,0,0,0,0
0.148224,0,0,0,0,0,0,0,0
0.149693,0,0,0,0,0,0,0,0
0.151109,0,0,0,0,0,0,0,0
