elapsed_s,CP_MEMORY_POOL_BELOW_THRESH,CP_AHB_WR_STALL_PRE_DRAWS,CP_AHB_STALL_SQE_GMU,CP_AHB_STALL_SQE_WR_OTHER,CP_AHB_STALL_SQE_RD_OTHER,CP_CLUSTER_FE_U_EMPTY,CP_CLUSTER_FE_S_EMPTY,CP_CLUSTER_SP_VS_EMPTY,CP_CLUSTER_VPC_US_EMPTY,CP_CLUSTER_VPC_VS_EMPTY,CP_CLUSTER_GRAS_EMPTY,CP_CLUSTER_SP_PS_EMPTY,CP_CLUSTER_VPC_PS_EMPTY,CP_CLUSTER_PS_EMPTY
0.001128,0,0,0,0,0,112560,112902,113100,114290,114489,116364,116363,116370,116369
0.003032,0,0,0,0,0,110511,110200,110025,108858,108673,106838,106862,106903,106911
0.004773,0,0,0,0,0,92387,92353,92327,92301,92275,92233,92215,92172,92171
0.006393,0,0,0,0,0,91346,91346,91345,91344,91352,91350,91341,91348,91347
0.007998,0,0,0,0,0,91914,91912,91919,91918,91909,91909,91899,91882,91872
0.009624,0,0,0,0,0,91495,91503,91502,91509,91532,91531,91547,91563,91570
0.011227,0,0,0,0,0,91620,91611,91610,91609,91583,91582,91572,91554,91937
0.012835,0,0,0,0,0,92609,92608,92607,92597,92597,92604,92604,92603,92218
0.014434,0,0,0,0,0,99420,99444,99435,99451,99458,99473,99489,99496,99513
0.016135,0,0,0,0,0,103448,103431,103462,103453,103444,103419,103417,103441,103440
0.017888,0,0,0,0,0,102608,105540,106173,107964,108704,109578,109569,109543,109508
0.019664,0,0,0,0,0,97484,94481,93756,91888,91087,90135,90068,90000,89949
0.021250,0,0,0,0,0,112985,113427,113917,115432,116998,117264,120472,123146,125928
0.023074,0,0,0,0,0,101863,101420,101336,101810,100243,99984,97089,94872,92888
0.024672,0,0,0,0,0,92272,92272,91863,89870,89860,89868,89551,89091,88290
0.026241,0,0,0,0,0,88532,88530,88528,88537,88536,88534,88534,88533,88523
0.027811,0,0,0,0,0,88827,88826,88825,88824,88831,88822,88812,88811,88819
0.029379,0,0,0,0,0,90521,90945,96232,97185,97175,97183,97190,97198,97197
0.031114,0,0,0,0,0,96976,96549,91261,90305,90314,90304,90294,90276,90276
0.032688,0,0,0,0,0,88283,88275,88273,88264,88262,88269,88261,88252,88249
0.034255,0,0,0,0,0,88347,88363,88353,88361,88352,88351,88367,88365,88366
0.035888,0,0,0,0,0,102220,102068,101952,101817,101691,101557,101422,101363,101253
0.037513,0,0,0,0,0,117951,116935,115905,114880,113854,112833,111813,110717,109666
0.039169,0,0,0,0,0,85750,85851,86503,86497,86497,86496,86490,86502,86510
0.040672,0,0,0,0,0,84857,84758,84100,84099,84102,84097,84096,84095,84093
0.042163,0,0,0,0,0,84518,84513,84507,84511,84510,84500,84495,84494,84485
0.043651,0,0,0,0,0,83936,83926,83925,83924,83910,83909,83907,83906,83922
0.045135,0,0,0,0,0,86818,87774,88524,90221,90770,91085,91289,91621,92042
0.046696,0,0,0,0,0,90450,89492,88745,87041,86490,86174,85976,85638,85211
0.048182,0,0,0,0,0,83795,83807,83806,83805,83813,83824,83820,83822,83817
0.049667,0,0,0,0,0,83843,83837,83836,83840,83839,83834,83832,83832,83835
0.051176,0,0,0,0,0,84075,84075,84070,84064,84062,84053,84044,84034,84020
0.052665,0,0,0,0,0,83523,83522,83516,83511,83507,83514,83513,83512,83511
0.054217,0,0,0,0,0,69794,69411,69038,68663,68282,67901,67524,67148,66769
0.055615,0,0,0,0,0,66323,66321,66317,66317,66320,66319,66317,66313,66313
0.057007,0,0,0,0,0,66333,66331,66366,66392,66406,66424,66451,66473,66497
0.058460,0,0,0,0,0,67546,67551,67516,67488,67474,67454,67425,67408,67383
0.059870,0,0,0,0,0,66881,66878,66877,66878,66875,66874,66876,66867,66866
0.061275,0,0,0,0,0,68630,68654,68758,68789,68811,68838,68957,68994,69243
0.062695,0,0,0,0,0,68017,68020,67948,67950,67932,67905,67811,67773,67549
0.064112,0,0,0,0,0,66880,66850,66813,66777,66770,66767,66738,66739,66708
0.065557,0,0,0,0,0,66710,66709,66707,66702,66701,66696,66694,66696,66699
0.066958,0,0,0,0,0,69522,69523,69523,69526,69538,69537,69534,69529,69527
0.068419,0,0,0,0,0,69005,69079,69479,69493,69479,69484,69488,69491,69492
0.069917,0,0,480,4,0,182136,182862,181056,180894,182500,182504,180282,182574,179788
0.071354,0,0,0,0,0,68132,68111,68078,68077,68053,68041,68001,67962,67940
0.072764,0,0,0,0,0,67646,67641,67638,67635,67631,67630,67629,67626,67623
0.074190,0,0,0,0,0,67591,67594,67593,67594,67596,67595,67594,67591,67593
0.075602,0,0,0,0,0,67896,67904,67927,67961,67975,67987,67989,67993,67989
0.077011,0,0,0,0,0,67849,67835,67808,67774,67756,67742,67736,67736,67741
0.078417,0,0,0,0,0,67737,67774,67800,67806,67832,67857,67884,67906,67929
0.079824,0,0,0,0,0,450061,522023,458094,462396,535837,540417,427452,549609,431139
0.081096,0,0,0,0,0,476031,476034,476029,476028,476060,476072,476054,476058,476057
0.082489,0,0,0,0,0,472486,472479,472483,472482,472550,472536,472537,472531,472513
0.083891,0,0,0,0,0,482994,483082,483137,483141,483093,483153,483238,483341,483550
0.085358,0,0,0,0,0,481772,481968,482054,486303,483196,487523,486972,487471,487365
0.086768,0,0,0,0,0,485476,485486,485558,481378,484659,480436,481161,480764,480730
0.088170,0,0,0,0,0,489486,489425,489438,489669,489630,489726,489698,489653,489767
0.089572,0,0,0,0,0,478086,478013,477925,477675,477674,477647,477419,477508,477409
0.090971,0,0,0,0,0,480447,480386,480287,480297,480366,480172,480266,480193,480130
0.092372,0,0,0,0,0,489838,489958,490126,490276,490292,490527,490652,490712,490977
0.093771,0,0,0,0,0,484067,483862,483658,483436,483156,482891,482669,482429,482135
0.095162,0,0,0,0,0,471289,471270,471240,471239,471254,471248,471254,471255,471264
0.096565,0,0,0,0,0,474152,474153,474155,474153,474152,474151,474222,474219,474225
0.097956,0,0,0,0,0,474616,474609,474623,474623,474632,474652,474561,474556,474527
0.099397,0,0,0,0,0,456275,456291,456283,456289,456359,456342,456370,456374,456384
0.100791,0,0,0,0,0,472869,472867,472873,472865,472794,472793,472780,472774,472774
0.102182,0,0,0,0,0,479525,479513,479496,479521,479569,479520,479475,479447,479433
0.103622,0,0,0,0,0,472264,472246,472213,472141,472035,472051,472050,472037,472016
0.105037,0,0,0,0,0,478946,480865,485713,483701,483771,489510,486936,487430,488192
0.106446,0,0,0,0,0,482884,480975,476139,478138,478079,472370,474954,474474,473698
0.107862,0,0,0,0,0,472503,472475,472491,472518,472515,472469,472451,472462,472461
0.109254,0,0,0,0,0,478536,478551,478533,478532,478531,478531,478531,478503,478518
0.110654,0,0,0,0,0,472194,472181,472183,472183,472182,472225,472239,472249,472233
0.112047,0,0,0,0,0,472755,472766,472746,472733,472716,472699,472686,472674,472673
0.113441,0,0,0,0,0,489838,489836,489880,489874,489939,489938,490081,494186,492039
0.114840,0,0,0,0,0,537015,537014,536968,536954,536887,536873,536724,532616,534760
0.116290,0,0,0,0,0,483400,483401,483405,483402,483407,483399,483404,483405,483404
0.117683,0,0,0,0,0,621088,621130,621157,621216,622018,622051,622095,626226,624460
0.119287,0,0,0,0,0,485221,485209,485219,485217,484457,484457,484846,483422,485773
0.120706,0,0,0,0,0,477827,477827,477844,477841,477839,477833,477441,474772,474317
0.122104,0,0,0,0,0,471349,471419,471399,471389,471384,471389,471387,471382,471308
0.123500,0,0,0,0,0,464365,464287,464291,464285,464288,464287,464357,464356,464339
0.124895,0,0,0,0,0,474373,474443,474445,474443,474514,474514,474442,474441,474440
0.126293,0,0,0,0,0,475580,475513,475521,475538,475465,475458,475457,475444,475531
0.127687,0,0,0,0,0,472746,472740,472723,472726,472719,472723,472725,472736,472646
0.129080,0,0,0,0,0,472271,472275,472291,472267,472273,472271,472263,472251,472250
0.130485,0,0,0,0,0,471246,471257,471256,471272,471270,471271,471269,471268,471267
0.132009,0,0,0,0,0,500985,500938,500877,500821,500773,500727,500687,500641,500598
0.133632,0,0,0,0,0,486019,486020,486019,486019,486033,486031,486030,486013,486012
0.135238,0,0,0,0,0,484115,484097,484112,484095,484081,484075,484074,484091,484088
0.136842,0,0,0,0,0,484874,484872,484871,484870,484871,484876,484869,484856,484856
0.138448,0,0,0,0,0,483799,483816,483797,483811,483810,483792,483782,483774,483790
0.140053,0,0,0,0,0,483614,483611,483585,483567,483549,483558,483557,483662,483645
0.141678,0,0,0,0,0,492525,492513,492512,492555,492555,492631,492640,492540,492521
0.143288,0,0,0,0,0,510047,510059,510091,510058,510073,509986,510063,510055,510087
0.144917,0,0,0,0,0,485173,485171,485136,485136,485151,485160,485087,485105,485088
0.146399,0,0,0,0,0,473239,473226,473226,473213,473179,473178,473176,473261,473244
0.147976,0,0,0,0,0,483813,483807,483822,483832,483831,483835,483817,483817,483832
0.149586,0,0,0,0,0,489198,489214,489224,489212,489227,489225,489238,489149,489148
0.151196,0,0,0,0,0,485778,485766,485764,485780,485850,485862,485864,485874,485863
0.152817,0,0,0,0,0,486926,486934,486934,486916,486915,486888,486871,486858,486867
0.154426,0,0,0,0,0,487585,487584,487571,487581,487493,487506,487490,487489,487487
