elapsed_s,RBBM_US_VSC_BUSY,RBBM_US_UCHE_BUSY,RBBM_US_HLSQ_BUSY,RBBM_S_HLSQ_BUSY
0.001099,0,0,104,0
0.002664,0,0,104,0
0.004427,0,0,104,0
0.006410,0,0,104,0
0.007958,0,0,104,0
0.009405,0,0,104,0
0.010867,0,0,104,0
0.012305,0,0,104,0
0.013744,0,0,104,0
0.015183,0,0,104,0
0.016670,0,0,104,0
0.018124,0,0,104,0
0.019560,0,0,104,0
0.021017,0,0,104,0
0.022650,0,0,104,0
0.024144,0,0,104,0
0.025603,0,0,104,0
0.027065,0,0,104,0
0.028524,0,0,104,0
0.029988,0,0,104,0
0.031487,0,0,104,0
0.033011,0,0,104,0
0.034490,0,0,104,0
0.035974,0,0,104,0
0.037497,0,0,104,0
0.039022,0,0,104,0
0.040551,0,0,104,0
0.042172,0,0,104,0
0.043694,0,0,104,0
0.045220,0,0,104,0
0.046745,0,0,104,0
0.048281,0,0,104,0
0.049869,0,0,104,0
0.051396,0,0,104,0
0.052992,0,0,104,0
0.054378,0,0,104,0
0.055759,0,0,104,0
0.057188,0,0,104,0
0.058501,0,0,104,0
0.059817,0,0,104,0
0.061281,0,0,104,0
0.062782,0,0,104,0
0.064135,0,0,104,0
0.065526,0,0,104,0
0.066913,0,0,104,0
0.068283,0,0,104,0
0.069646,0,0,101,0
0.071021,0,0,101,0
0.072408,0,0,101,0
0.073945,111,1854,1494,0
0.075658,0,0,101,0
0.077016,0,0,101,0
0.078432,0,0,101,0
0.079818,0,0,101,0
0.081204,0,0,101,0
0.082589,0,0,101,0
0.083976,0,0,101,0
0.085434,344,64549,66678,0
0.086713,0,0,104,0
0.088102,0,0,104,0
0.089488,0,0,104,0
0.090875,0,0,104,0
0.092261,0,0,104,0
0.094359,0,0,104,0
0.095761,0,0,104,0
0.097138,0,0,104,0
0.098543,0,0,104,0
0.099922,0,0,104,0
0.101338,0,0,104,0
0.102826,0,0,104,0
0.104206,0,0,104,0
0.108976,0,0,104,0
0.110374,0,0,104,0
0.111758,0,0,104,0
0.113174,0,0,104,0
0.114637,0,0,104,0
0.116016,0,0,104,0
0.117396,0,0,104,0
0.118823,0,0,104,0
0.120203,0,0,104,0
0.121600,0,0,104,0
0.122981,0,0,104,0
0.124361,0,0,104,0
0.125740,0,0,104,0
0.127124,0,0,104,0
0.128507,0,0,104,0
0.129894,0,0,104,0
0.131278,0,0,104,0
0.132678,0,0,104,0
0.134065,0,0,104,0
0.135483,0,0,104,0
0.136867,0,0,104,0
0.138254,0,0,104,0
0.139638,0,0,104,0
0.141023,0,0,104,0
0.142413,0,0,104,0
0.143947,0,0,104,0
0.145499,0,0,104,0
