elapsed_s,PC_S_STALL_CYCLES_TESS,PC_S_STALL_CYCLES_VFD_ONLY,PC_S_STALL_CYCLES_VPC_ONLY,PC_S_VPC_PRIMITIVES,PC_S_VERTEX_HITS,PC_S_IA_VERTICES,PC_S_IA_PRIMITIVES,PC_S_HS_INVOCATIONS
0.001710,0,0,0,0,0,0,0,0
0.004279,0,0,0,0,0,0,0,0
0.006052,0,0,0,0,0,0,0,0
0.007686,0,0,0,0,0,0,0,0
0.009249,0,0,0,0,0,0,0,0
0.010790,0,0,0,0,0,0,0,0
0.012276,0,0,0,0,0,0,0,0
0.014003,0,0,0,0,0,0,0,0
0.015635,0,0,0,0,0,0,0,0
0.017117,0,0,0,0,0,0,0,0
0.018620,0,0,0,0,0,0,0,0
0.020010,0,0,0,0,0,0,0,0
0.021514,0,0,0,0,0,0,0,0
0.023112,0,0,0,0,0,0,0,0
0.024610,0,0,0,0,0,0,0,0
0.026185,0,0,0,0,0,0,0,0
0.027918,0,0,0,0,0,0,0,0
0.029612,0,0,0,0,0,0,0,0
0.031192,0,0,0,0,0,0,0,0
0.032998,0,0,0,0,0,0,0,0
0.034541,0,0,0,0,0,0,0,0
0.036063,0,0,0,0,0,0,0,0
0.037587,0,0,0,0,0,0,0,0
0.039109,0,0,0,0,0,0,0,0
0.040630,0,0,0,0,0,0,0,0
0.042245,0,0,0,0,0,0,0,0
0.043768,0,0,0,0,0,0,0,0
0.045288,0,0,0,0,0,0,0,0
0.046883,0,0,0,0,0,0,0,0
0.048470,0,0,0,0,0,0,0,0
0.050133,0,0,0,0,0,0,0,0
0.051674,0,0,0,0,0,0,0,0
0.053216,0,0,0,0,0,0,0,0
0.054752,0,0,0,0,0,0,0,0
0.056286,0,0,0,0,0,0,0,0
0.057980,0,0,0,0,0,0,0,0
0.059510,0,0,0,0,0,0,0,0
0.061036,0,0,0,0,0,0,0,0
0.062435,0,0,0,0,0,0,0,0
0.063821,0,0,0,0,0,0,0,0
0.065218,0,0,0,0,0,0,0,0
0.066678,0,0,0,0,0,0,0,0
0.068137,0,0,0,0,0,0,0,0
0.069475,0,0,0,0,0,0,0,0
0.070941,0,0,0,0,0,0,0,0
0.072289,0,0,0,0,0,0,0,0
0.073631,0,0,0,0,0,0,0,0
0.074986,0,0,0,0,0,0,0,0
0.076448,0,0,0,0,0,0,0,0
0.077917,0,0,0,0,0,0,0,0
0.079267,0,0,0,0,0,0,0,0
0.080634,0,0,0,0,0,0,0,0
0.082004,0,0,0,0,0,0,0,0
0.083370,0,0,0,0,0,0,0,0
0.084735,0,0,0,0,0,0,0,0
0.086115,0,0,0,0,0,0,0,0
0.087485,0,0,0,0,0,0,0,0
0.088852,0,0,0,0,0,0,0,0
0.090217,0,3,0,0,0,0,0,0
0.091647,0,9,0,0,0,0,0,0
0.093016,0,0,0,0,0,0,0,0
0.094425,0,0,0,0,0,0,0,0
0.095792,0,0,0,0,0,0,0,0
0.097171,0,0,0,0,0,0,0,0
0.098536,0,0,0,0,0,0,0,0
0.099903,0,0,0,0,0,0,0,0
0.101268,0,0,0,0,0,0,0,0
0.102625,0,0,0,0,0,0,0,0
0.103986,0,0,0,0,0,0,0,0
0.105344,0,0,0,0,0,0,0,0
0.106774,0,0,0,0,0,0,0,0
0.108200,0,0,0,0,0,0,0,0
0.109733,0,0,0,0,0,0,0,0
0.111211,0,0,0,0,0,0,0,0
0.112577,0,0,0,0,0,0,0,0
0.113945,0,0,0,0,0,0,0,0
0.115304,0,0,0,0,0,0,0,0
0.116670,0,0,0,0,0,0,0,0
0.118030,0,0,0,0,0,0,0,0
0.119412,0,0,0,0,0,0,0,0
0.120904,0,0,0,0,0,0,0,0
0.122321,0,0,0,0,0,0,0,0
0.123687,0,0,0,0,0,0,0,0
0.125051,0,0,0,0,0,0,0,0
0.126483,0,0,0,0,0,0,0,0
0.127846,0,0,0,0,0,0,0,0
0.129204,0,0,0,0,0,0,0,0
0.130580,0,0,0,0,0,0,0,0
0.131938,0,0,0,0,0,0,0,0
0.133296,0,0,0,0,0,0,0,0
0.134656,0,0,0,0,0,0,0,0
0.136014,0,0,0,0,0,0,0,0
0.137375,0,0,0,0,0,0,0,0
0.138734,0,0,0,0,0,0,0,0
0.140092,0,0,0,0,0,0,0,0
0.141463,0,0,0,0,0,0,0,0
0.142958,0,0,0,0,0,0,0,0
0.144543,0,0,0,0,0,0,0,0
0.146121,0,0,0,0,0,0,0,0
0.147693,0,0,0,0,0,0,0,0
0.149263,0,0,0,0,0,0,0,0
0.150834,0,0,0,0,0,0,0,0
0.152296,0,0,0,0,0,0,0,0
0.153843,0,0,0,0,0,0,0,0
