elapsed_s,VFD_NEVER_COUNT,VFD_BUSY_CYCLES,VFD_STALL_CYCLES_UCHE,VFD_STALL_CYCLES_VPC_ALLOC,VFD_STALL_CYCLES_SP_INFO,VFD_STALL_CYCLES_SP_ATTR,VFD_STARVE_CYCLES_UCHE,VFD_RBUFFER_FULL
0.001172,0,0,0,0,0,0,0,0
0.002995,0,0,0,0,0,0,0,0
0.004525,0,0,0,0,0,0,0,0
0.006033,0,0,0,0,0,0,0,0
0.007602,0,0,0,0,0,0,0,0
0.009140,0,0,0,0,0,0,0,0
0.010698,0,0,0,0,0,0,0,0
0.012202,0,0,0,0,0,0,0,0
0.013707,0,0,0,0,0,0,0,0
0.015238,0,0,0,0,0,0,0,0
0.016733,0,0,0,0,0,0,0,0
0.018281,0,0,0,0,0,0,0,0
0.019798,0,0,0,0,0,0,0,0
0.021324,0,0,0,0,0,0,0,0
0.022874,0,0,0,0,0,0,0,0
0.024395,0,0,0,0,0,0,0,0
0.025870,0,0,0,0,0,0,0,0
0.027350,0,0,0,0,0,0,0,0
0.028822,0,0,0,0,0,0,0,0
0.030354,0,0,0,0,0,0,0,0
0.031828,0,0,0,0,0,0,0,0
0.033304,0,0,0,0,0,0,0,0
0.034779,0,0,0,0,0,0,0,0
0.036270,0,0,0,0,0,0,0,0
0.037741,0,0,0,0,0,0,0,0
0.039294,0,0,0,0,0,0,0,0
0.040875,0,0,0,0,0,0,0,0
0.042414,0,0,0,0,0,0,0,0
0.043947,0,0,0,0,0,0,0,0
0.045480,0,0,0,0,0,0,0,0
0.047106,0,0,0,0,0,0,0,0
0.048489,0,0,0,0,0,0,0,0
0.049875,0,0,0,0,0,0,0,0
0.051264,0,0,0,0,0,0,0,0
0.052650,0,0,0,0,0,0,0,0
0.054036,0,0,0,0,0,0,0,0
0.055422,0,0,0,0,0,0,0,0
0.056822,0,0,0,0,0,0,0,0
0.058230,0,0,0,0,0,0,0,0
0.059598,0,0,0,0,0,0,0,0
0.060965,0,0,0,0,0,0,0,0
0.062400,0,0,0,0,0,0,0,0
0.063825,0,0,0,0,0,0,0,0
0.065542,0,0,0,0,0,0,0,0
0.066935,0,0,0,0,0,0,0,0
0.068305,0,0,0,0,0,0,0,0
0.069676,0,0,0,0,0,0,0,0
0.071095,0,0,0,0,0,0,0,0
0.072481,0,342,0,0,0,0,0,0
0.074018,0,0,0,0,0,0,0,0
0.075388,0,0,0,0,0,0,0,0
0.076752,0,0,0,0,0,0,0,0
0.078115,0,0,0,0,0,0,0,0
0.079482,0,0,0,0,0,0,0,0
0.080847,0,0,0,0,0,0,0,0
0.082215,0,0,0,0,0,0,0,0
