elapsed_s,HLSQ_DUAL_FS_PROG_ACTIVE,HLSQ_DUAL_VS_PROG_ACTIVE,HLSQ_FS_BATCH_COUNT_ZERO,HLSQ_VS_BATCH_COUNT_ZERO,HLSQ_WAVE_PENDING_NO_QUAD,HLSQ_WAVE_PENDING_NO_PRIM_BASE
0.001102,0,0,429840,429894,0,0
0.002679,0,0,428598,428634,0,0
0.004259,0,0,429654,429702,0,0
0.005773,0,0,425406,425406,0,0
0.007288,0,0,427770,427656,0,0
0.008803,0,0,426372,426468,0,0
0.010339,0,0,427380,427374,0,0
0.011853,0,0,427446,427488,0,0
0.013365,0,0,428058,428010,0,0
0.014879,0,0,430554,430542,0,0
0.016395,0,0,428526,428466,0,0
0.017908,0,0,427812,427806,0,0
0.019521,0,0,601146,600792,0,0
0.021117,0,0,431766,431718,0,0
0.022628,0,0,416976,417018,0,0
0.024124,0,0,414432,414420,0,0
0.025613,0,0,409494,409440,0,0
0.027103,0,0,413328,413364,0,0
0.028593,0,0,415206,415206,0,0
0.030081,0,0,542712,542706,0,0
0.031740,0,0,416736,416736,0,0
0.033228,0,0,414492,414384,0,0
0.034716,0,0,412470,412512,0,0
0.036191,0,0,500712,500052,0,0
0.037745,0,0,497586,497526,0,0
0.039299,0,0,492450,492450,0,0
0.040876,0,0,516396,516438,0,0
0.042439,0,0,494256,494154,0,0
0.043991,0,0,494706,494700,0,0
0.045544,0,0,494136,494232,0,0
0.047090,0,0,451806,442296,0,0
0.048516,0,0,415386,415356,0,0
0.049943,0,0,414000,414648,0,0
0.051378,0,0,415548,414870,0,0
0.052806,0,0,414006,413994,0,0
0.054240,0,0,406098,407268,0,0
0.055673,0,0,366390,367806,0,0
0.057061,0,0,365058,363720,0,0
0.058420,0,0,362460,362370,0,0
0.059781,0,0,372450,372426,0,0
0.061157,0,0,368532,368556,0,0
0.062542,0,0,377880,381288,0,0
0.064009,0,0,397806,397722,0,0
0.065419,0,0,384222,384168,0,0
0.066820,0,0,383610,383556,0,0
