elapsed_s,HLSQ_BV_STALL_CYCLES,HLSQ_VSBR_DEREF_CYCLES,HLSQ_FS_DEREF_CYCLES,HLSQ_LPAC_DEREF_CYCLES,HLSQ_BV_DEREF_CYCLES,HLSQ_VSBR_S2W_CYCLES
0.001774,0,0,0,0,0,0
0.003613,0,0,0,0,0,0
0.005243,0,0,0,0,0,0
0.006857,0,0,0,0,0,0
0.008413,0,0,0,0,0,0
0.009959,0,0,0,0,0,0
0.011474,0,0,0,0,0,0
0.012987,0,0,0,0,0,0
0.014621,0,0,0,0,0,0
0.016132,0,0,0,0,0,0
0.017985,0,0,0,0,0,0
0.019664,0,0,0,0,0,0
0.021191,0,0,0,0,0,0
0.022711,0,0,0,0,0,0
0.024201,0,0,0,0,0,0
0.025691,0,0,0,0,0,0
0.027182,0,0,0,0,0,0
0.028671,0,0,0,0,0,0
0.030179,0,0,0,0,0,0
0.031666,0,0,0,0,0,0
0.033240,0,0,0,0,0,0
0.034814,0,0,0,0,0,0
0.036387,0,0,0,0,0,0
0.037938,0,0,0,0,0,0
0.039562,0,0,0,0,0,0
0.041076,0,0,0,0,0,0
0.042574,0,0,0,0,0,0
0.044077,0,0,0,0,0,0
0.045589,0,0,0,0,0,0
0.046965,0,0,0,0,0,0
0.048342,0,0,0,0,0,0
0.049720,0,0,0,0,0,0
0.051115,0,0,0,0,0,0
0.052491,0,0,0,0,0,0
0.053890,0,0,0,0,0,0
0.055245,0,0,0,0,0,0
0.056598,0,0,0,0,0,0
0.057952,0,0,0,0,0,0
0.059542,0,0,0,0,0,0
0.060927,0,0,0,0,0,0
0.062314,0,0,0,0,0,0
0.063683,0,0,0,0,0,0
0.065044,0,0,0,0,0,0
0.066412,0,0,0,0,0,0
0.067838,0,0,0,0,0,0
0.069200,0,0,0,0,0,0
0.070636,2,44,53,0,8,0
0.072053,0,0,0,0,0,0
0.073468,0,0,0,0,0,0
0.074869,0,0,0,0,0,0
0.076269,0,0,0,0,0,0
0.077801,0,0,0,0,0,0
0.079222,0,0,0,0,0,0
0.080589,9,40,296,0,36,0
0.082321,3,67,63,0,0,0
0.083715,0,0,0,0,0,0
0.085116,0,0,0,0,0,0
0.087162,0,0,0,0,0,0
0.088560,0,0,0,0,0,0
0.089956,0,0,0,0,0,0
0.091442,0,0,0,0,0,0
0.092830,0,0,0,0,0,0
0.094291,0,0,0,0,0,0
0.095863,0,0,0,0,0,0
0.097252,0,0,0,0,0,0
0.098636,0,0,0,0,0,0
0.100079,0,0,0,0,0,0
0.101496,0,0,0,0,0,0
0.102886,0,0,0,0,0,0
0.104292,0,0,0,0,0,0
0.105680,0,0,0,0,0,0
0.107069,0,0,0,0,0,0
0.108458,0,0,0,0,0,0
0.109858,0,0,0,0,0,0
0.111253,0,0,0,0,0,0
0.112641,0,0,0,0,0,0
0.114031,0,0,0,0,0,0
0.115489,0,0,0,0,0,0
0.116881,0,0,0,0,0,0
0.118274,0,0,0,0,0,0
0.119672,0,0,0,0,0,0
0.121068,0,0,0,0,0,0
0.122466,0,0,0,0,0,0
0.123992,0,0,0,0,0,0
0.125557,0,0,0,0,0,0
0.127006,0,0,0,0,0,0
0.128408,0,0,0,0,0,0
0.129825,0,0,0,0,0,0
