elapsed_s,HLSQ_FS_S2W_CYCLES,HLSQ_LPAC_S2W_CYCLES,HLSQ_BV_S2W_CYCLES,HLSQ_VSBR_WAIT_FS_S2W,HLSQ_FS_WAIT_VS_S2W,HLSQ_LPAC_WAIT_VS_S2W
0.001102,0,0,0,0,0,0
0.002708,0,0,0,0,0,0
0.004224,0,0,0,0,0,0
0.005818,0,0,0,0,0,0
0.007285,0,0,0,0,0,0
0.008797,0,0,0,0,0,0
0.010356,0,0,0,0,0,0
0.011850,0,0,0,0,0,0
0.013368,0,0,0,0,0,0
0.014842,0,0,0,0,0,0
0.016313,0,0,0,0,0,0
0.017849,0,0,0,0,0,0
0.019319,0,0,0,0,0,0
0.020805,0,0,0,0,0,0
0.022353,0,0,0,0,0,0
0.023864,0,0,0,0,0,0
0.025340,0,0,0,0,0,0
0.026860,0,0,0,0,0,0
0.028309,0,0,0,0,0,0
0.029803,0,0,0,0,0,0
0.031284,0,0,0,0,0,0
0.032753,0,0,0,0,0,0
0.034275,0,0,0,0,0,0
0.035722,0,0,0,0,0,0
0.037167,0,0,0,0,0,0
0.038607,0,0,0,0,0,0
0.040048,0,0,0,0,0,0
0.041550,0,0,0,0,0,0
0.043077,0,0,0,0,0,0
0.044590,0,0,0,0,0,0
0.046114,0,0,0,0,0,0
0.047642,0,0,0,0,0,0
0.049190,0,0,0,0,0,0
0.050611,0,0,0,0,0,0
0.052034,0,0,0,0,0,0
0.053455,0,0,0,0,0,0
0.054874,0,0,0,0,0,0
0.056294,0,0,0,0,0,0
0.057731,0,0,0,0,0,0
0.059154,0,0,0,0,0,0
0.060573,0,0,0,0,0,0
0.061992,0,0,0,0,0,0
0.063466,0,0,0,0,0,0
0.064890,0,0,0,0,0,0
0.066266,0,0,0,0,0,0
0.067639,0,0,0,0,0,0
0.069012,0,0,0,0,0,0
0.070386,0,0,0,0,0,0
0.071761,0,0,0,0,0,0
0.073135,0,0,0,0,0,0
0.074527,0,0,0,0,0,0
0.075900,0,0,0,0,0,0
0.077296,0,0,0,0,0,0
0.078651,0,0,0,0,0,0
0.080022,0,0,0,0,0,0
0.081512,0,0,0,0,0,0
0.082912,0,0,0,0,0,0
0.084307,0,0,0,0,0,0
0.085774,0,0,0,0,0,0
0.087170,0,0,0,0,0,0
0.088624,0,0,0,0,0,0
0.090021,0,0,0,0,0,0
0.091464,0,0,0,0,0,0
0.092873,1128,0,0,0,23,0
0.094107,0,0,0,0,0,0
0.095461,0,0,0,0,0,0
0.096835,0,0,0,0,0,0
0.098189,0,0,0,0,0,0
0.099543,0,0,0,0,0,0
0.100898,0,0,0,0,0,0
0.102252,0,0,0,0,0,0
0.103604,0,0,0,0,0,0
0.104949,0,0,0,0,0,0
0.106298,0,0,0,0,0,0
0.107657,0,0,0,0,0,0
0.109006,0,0,0,0,0,0
0.110354,0,0,0,0,0,0
