elapsed_s,VPC_FE_POSRAM_FULL_CYCLES,VPC_FE_GMEM_NOP_FULL_CYCLES,VPC_FE_GMEM_POS_FULL_CYCLES,VPC_FE_BOTTLENECK,VPC_US_BUSY_CYCLES,VPC_US_WORKING_CYCLES
0.001102,0,0,0,0,0,0
0.002890,0,0,0,0,0,0
0.004424,0,0,0,0,0,0
0.005903,0,0,0,0,0,0
0.007498,0,0,0,0,0,0
0.009005,0,0,0,0,0,0
0.010480,0,0,0,0,0,0
0.012049,0,0,0,0,0,0
0.013509,0,0,0,0,0,0
0.015004,0,0,0,0,0,0
0.016465,0,0,0,0,0,0
0.017906,0,0,0,0,0,0
0.019459,0,0,0,0,0,0
0.020927,0,0,0,0,0,0
0.022376,0,0,0,0,0,0
0.023822,0,0,0,0,0,0
0.025267,0,0,0,0,0,0
0.026761,0,0,0,0,0,0
0.028273,0,0,0,0,0,0
0.029790,0,0,0,0,0,0
0.031426,0,0,0,0,0,0
0.032945,0,0,0,0,0,0
0.034452,0,0,0,0,0,0
0.035957,0,0,0,0,0,0
0.037460,0,0,0,0,0,0
0.038882,0,0,0,0,0,0
0.040338,0,0,0,0,0,0
0.041848,0,0,0,0,0,0
0.043358,0,0,0,0,0,0
0.044898,0,0,0,0,0,0
0.046423,0,0,0,0,0,0
0.047784,0,0,0,0,0,0
0.049115,0,0,0,0,0,0
0.050619,0,0,0,0,0,0
0.052066,0,0,0,0,0,0
0.053515,0,0,0,0,0,0
0.054978,0,0,0,0,0,0
0.056448,0,0,0,0,0,0
0.057793,0,0,0,0,0,0
0.059124,0,0,0,0,0,0
0.060607,0,0,0,0,0,0
0.061960,0,0,0,0,0,0
0.063541,0,0,0,6,441,423
0.065274,0,0,0,0,0,0
0.066643,0,0,0,0,0,0
0.068006,0,0,0,0,0,0
0.069365,0,0,0,0,0,0
0.070790,0,0,0,0,0,0
0.072146,0,0,0,0,0,0
0.073501,0,0,0,0,0,0
0.074869,0,0,0,36,884,908
0.076158,0,0,0,0,0,0
0.077515,0,0,0,0,0,0
0.078917,0,0,0,0,0,0
0.080274,0,0,0,0,0,0
0.081649,0,0,0,0,0,0
0.083005,0,0,0,0,0,0
0.084362,0,0,0,0,0,0
0.085716,0,0,0,0,0,0
0.087065,0,0,0,0,0,0
0.088413,0,0,0,0,0,0
0.089763,0,0,0,0,0,0
0.091111,0,0,0,0,0,0
0.092515,0,0,0,0,0,0
0.093864,0,0,0,0,0,0
0.095220,0,0,0,0,0,0
0.096566,0,0,0,0,0,0
0.097911,0,0,0,0,0,0
0.099331,0,0,0,0,0,0
0.100723,0,0,0,0,0,0
0.102072,0,0,0,0,0,0
0.103436,0,0,0,0,0,0
0.104783,0,0,0,0,0,0
0.106135,0,0,0,0,0,0
0.107527,0,0,0,0,0,0
0.108979,0,0,0,0,0,0
0.110596,0,0,0,0,0,0
0.112045,0,0,0,0,0,0
0.113438,0,0,0,0,0,0
0.115291,0,0,0,0,0,0
0.116690,0,0,0,0,0,0
0.118080,0,0,0,0,0,0
0.119461,0,0,0,0,0,0
0.120859,0,0,0,0,0,0
0.122258,0,0,0,0,0,0
0.123697,0,0,0,0,0,0
0.125527,0,0,0,0,0,0
0.126917,0,0,0,0,0,0
0.128318,0,0,0,0,0,0
0.129998,0,0,0,0,0,0
0.132262,0,0,0,0,0,0
