elapsed_s,TSE_NEVER_COUNT,TSE_BE_BUSY_CYCLES,TSE_BE_CLIPPING_CYCLES,TSE_BE_STALL_CYCLES_RAS
0.001168,0,0,0,0
0.002726,0,0,0,0
0.004218,0,0,0,0
0.005703,0,0,0,0
0.007185,0,0,0,0
0.008674,0,0,0,0
0.010169,0,0,0,0
0.011651,0,0,0,0
0.013132,0,0,0,0
0.014613,0,0,0,0
0.016098,0,0,0,0
0.017666,0,0,0,0
0.019122,0,0,0,0
0.020608,0,0,0,0
0.022067,0,0,0,0
0.023544,0,0,0,0
0.025003,0,0,0,0
0.026460,0,0,0,0
0.027918,0,0,0,0
0.029376,0,0,0,0
0.030843,0,0,0,0
0.032300,0,0,0,0
0.033815,0,0,0,0
0.035412,0,0,0,0
0.036900,0,0,0,0
0.038471,0,0,0,0
0.040043,0,0,0,0
0.041622,0,0,0,0
0.043196,0,0,0,0
0.044716,0,0,0,0
0.046290,0,0,0,0
0.047866,0,0,0,0
0.049492,0,0,0,0
0.051018,0,0,0,0
0.052708,0,0,0,0
0.054185,0,0,0,0
0.055723,0,0,0,0
0.057248,0,0,0,0
0.058777,0,0,0,0
0.060303,0,0,0,0
0.061825,0,0,0,0
0.063376,0,0,0,0
0.064786,0,0,0,0
0.066192,0,0,0,0
0.067535,0,0,0,0
0.068878,0,0,0,0
0.070219,0,0,0,0
0.071579,0,0,0,0
0.072928,0,0,0,0
0.074287,0,0,0,0
0.075630,0,0,0,0
0.076975,0,0,0,0
0.078319,0,0,0,0
0.079674,0,543,0,30
0.081404,0,0,0,0
0.082806,0,0,0,0
0.084193,0,0,0,0
0.085595,0,0,0,0
0.086981,0,0,0,0
0.088367,0,0,0,0
0.089839,0,1800,0,78
0.091601,0,1269,0,42
0.092989,0,0,0,0
0.094372,0,0,0,0
0.096920,0,0,0,0
0.098307,0,0,0,0
0.099693,0,0,0,0
0.101078,0,0,0,0
0.102453,0,0,0,0
0.104957,0,0,0,0
0.106465,0,0,0,0
0.111411,0,0,0,0
0.113110,0,0,0,0
0.114617,0,0,0,0
0.116061,0,0,0,0
0.117508,0,0,0,0
0.118898,0,0,0,0
0.120244,0,0,0,0
0.121587,0,0,0,0
0.122927,0,0,0,0
0.124267,0,0,0,0
0.125607,0,0,0,0
0.126944,0,0,0,0
0.128306,0,0,0,0
0.129647,0,0,0,0
0.130985,0,0,0,0
0.132324,0,0,0,0
0.133663,0,0,0,0
0.135000,0,0,0,0
0.136341,0,0,0,0
0.137680,0,0,0,0
0.139029,0,0,0,0
0.140426,0,0,0,0
0.141765,0,0,0,0
0.143102,0,0,0,0
0.144443,0,0,0,0
0.145913,0,0,0,0
0.147480,0,0,0,0
0.149031,0,0,0,0
0.150594,0,0,0,0
0.152148,0,0,0,0
0.153697,0,0,0,0
0.155149,0,0,0,0
0.156559,0,0,0,0
0.157947,0,0,0,0
0.159387,0,0,0,0
0.160786,0,0,0,0
0.164503,0,0,0,0
0.166532,0,0,0,0
0.167921,0,0,0,0
0.169306,0,0,0,0
0.170686,0,0,0,0
0.172077,0,0,0,0
0.173458,0,0,0,0
0.174870,0,0,0,0
0.176297,0,0,0,0
0.177849,0,0,0,0
0.179267,0,0,0,0
0.180670,0,0,0,0
0.182059,0,0,0,0
0.183467,0,0,0,0
0.184849,0,0,0,0
0.186210,0,0,0,0
0.187552,0,0,0,0
0.188893,0,0,0,0
0.190232,0,0,0,0
0.191570,0,0,0,0
0.193043,0,0,0,0
0.194493,0,0,0,0
0.196017,0,0,0,0
0.197569,0,0,0,0
0.199119,0,0,0,0
0.200560,0,0,0,0
0.202086,0,0,0,0
0.203588,0,0,0,0
0.205066,0,0,0,0
0.206425,0,0,0,0
0.207766,0,0,0,0
0.209147,0,0,0,0
0.210486,0,0,0,0
0.211870,0,0,0,0
0.213206,0,0,0,0
0.214542,0,0,0,0
0.215889,0,0,0,0
0.217225,0,0,0,0
0.218559,0,0,0,0
0.219943,0,0,0,0
0.221278,0,0,0,0
0.222613,0,0,0,0
0.223948,0,0,0,0
0.225331,0,0,0,0
0.226650,0,0,0,0
0.228008,0,0,0,0
0.229318,0,0,0,0
0.230628,0,0,0,0
0.231938,0,0,0,0
0.233248,0,0,0,0
0.234557,0,0,0,0
0.235914,0,0,0,0
0.237233,0,0,0,0
0.238542,0,0,0,0
0.239852,0,0,0,0
0.241196,0,0,0,0
0.242491,0,0,0,0
0.243786,0,0,0,0
0.245080,0,0,0,0
0.246374,0,0,0,0
0.247677,0,0,0,0
0.248972,0,0,0,0
0.250266,0,0,0,0
0.251560,0,0,0,0
0.252854,0,0,0,0
0.254147,0,0,0,0
0.255440,0,0,0,0
0.256734,0,0,0,0
0.258031,0,0,0,0
0.259392,0,0,0,0
0.260754,0,0,0,0
0.262115,0,0,0,0
0.263475,0,0,0,0
0.264733,0,0,0,0
0.266145,0,0,0,0
0.267562,0,0,0,0
0.268933,0,0,0,0
0.270295,0,0,0,0
0.271657,0,0,0,0
0.273031,0,0,0,0
0.274392,0,0,0,0
0.275840,0,0,0,0
0.277252,0,0,0,0
0.278636,0,0,0,0
0.280038,0,0,0,0
0.281664,0,483,0,24
0.283056,0,0,0,0
0.284586,0,0,0,0
0.285968,0,0,0,0
0.287389,0,0,0,0
0.288772,0,0,0,0
0.290209,0,1800,0,78
0.291585,0,1269,0,42
0.293116,0,0,0,0
0.294504,0,0,0,0
0.295890,0,0,0,0
0.297276,0,0,0,0
0.298660,0,0,0,0
0.300045,0,0,0,0
0.301439,0,0,0,0
0.302824,0,0,0,0
0.304550,0,0,0,0
0.305932,0,0,0,0
0.307312,0,0,0,0
0.308707,0,0,0,0
0.312176,0,0,0,0
0.313573,0,0,0,0
0.314962,0,0,0,0
0.316664,0,0,0,0
0.318136,0,0,0,0
0.319552,0,0,0,0
0.320983,0,0,0,0
0.322363,0,0,0,0
0.323845,0,0,0,0
0.325225,0,0,0,0
0.326605,0,0,0,0
0.327984,0,0,0,0
0.329366,0,0,0,0
0.330745,0,0,0,0
0.332128,0,0,0,0
0.333631,0,0,0,0
0.335066,0,0,0,0
0.336517,0,0,0,0
0.337948,0,0,0,0
0.339368,0,0,0,0
0.340755,0,0,0,0
0.342138,0,0,0,0
0.343655,0,0,0,0
0.345220,0,0,0,0
0.346768,0,0,0,0
0.348318,0,0,0,0
0.349868,0,0,0,0
0.351420,0,0,0,0
0.353059,0,0,0,0
0.354620,0,0,0,0
0.357293,0,0,0,0
