elapsed_s,TSE_BE_CINVOCATION,TSE_BE_CPRIMITIVES,TSE_BE_2D_INPUT_PRIM,TSE_BE_2D_ALIVE_CYCLES
0.001096,0,0,0,0
0.002771,0,0,0,0
0.004174,0,0,0,0
0.005603,0,0,0,0
0.006981,0,0,0,0
0.008410,0,0,0,0
0.009810,0,0,0,0
0.011187,0,0,0,0
0.012559,0,0,0,0
0.013927,0,0,0,0
0.015359,0,0,0,0
0.016735,0,0,0,0
0.018109,0,0,0,0
0.019530,0,0,0,0
0.020978,0,0,0,0
0.022328,0,0,0,0
0.023805,0,0,0,0
0.025150,0,0,0,0
0.026621,0,0,0,0
0.028016,0,0,0,0
0.029366,0,0,0,0
0.030715,0,0,0,0
0.032249,0,0,0,0
0.033717,0,0,0,0
0.035194,0,0,0,0
0.036560,0,0,0,0
0.037916,0,0,0,0
0.039321,0,0,0,0
0.040725,0,0,0,0
0.042131,0,0,0,0
0.043537,0,0,0,0
0.044941,0,0,0,0
0.046345,0,0,0,0
0.047746,0,0,0,0
0.049113,0,0,0,0
0.050479,0,0,0,0
0.051854,0,0,0,0
0.053243,0,0,0,0
0.054613,0,0,0,0
0.056151,0,0,0,0
0.057501,0,0,0,0
0.058843,0,0,0,0
0.060185,0,0,0,0
0.061591,0,0,0,0
0.062965,0,0,0,0
0.064384,0,0,0,0
0.065803,0,0,0,0
0.067154,0,0,0,0
0.068506,0,0,0,0
0.069946,0,0,0,0
0.071308,0,0,0,0
0.072736,0,0,0,0
0.074128,0,0,0,0
0.075516,0,0,0,0
0.076931,0,0,0,0
0.078320,0,0,0,0
0.079708,0,0,0,0
0.081141,0,0,0,0
0.082514,0,0,0,0
0.083902,0,0,0,0
0.085347,0,0,0,0
0.086733,0,0,0,0
0.088379,0,0,0,0
0.089767,0,0,0,0
0.091153,0,0,0,0
0.092535,0,0,0,0
0.093918,0,0,0,0
0.095406,0,0,0,0
0.097410,0,0,0,0
0.098804,0,0,0,0
0.100182,0,0,0,0
0.102286,0,0,0,0
0.103798,0,0,0,0
0.105288,0,0,0,0
0.106738,0,0,0,0
0.108386,0,0,0,0
0.111449,0,0,0,0
0.112952,0,0,0,0
0.114337,0,0,0,0
0.115726,0,0,0,0
0.117165,0,0,0,0
0.118546,0,0,0,0
0.119927,0,0,0,0
0.121324,0,0,0,0
0.122703,0,0,0,0
0.124083,0,0,0,0
0.125462,0,0,0,0
0.126842,0,0,0,0
0.128222,0,0,0,0
0.129607,0,0,0,0
0.130991,0,0,0,0
0.132395,0,0,0,0
0.133780,0,0,0,0
0.135163,0,0,0,0
0.136592,0,0,0,0
0.137976,0,0,0,0
0.139361,0,0,0,0
0.140742,0,0,0,0
0.142121,0,0,0,0
0.143525,0,0,0,0
0.145048,0,0,0,0
0.146604,0,0,0,0
0.148010,0,0,0,0
0.149445,0,0,0,0
0.150833,0,0,0,0
0.152221,0,0,0,0
0.153622,0,0,0,0
0.155139,0,0,0,0
0.156752,0,0,0,0
0.158291,0,0,0,0
0.159708,0,0,0,0
0.161220,0,0,0,0
0.162759,0,0,0,0
0.164321,0,0,0,0
0.165875,0,0,0,0
0.167427,0,0,0,0
0.168977,0,0,0,0
0.170528,0,0,0,0
0.172079,0,0,0,0
0.173631,0,0,0,0
0.175198,0,0,0,0
0.176750,0,0,0,0
0.178299,0,0,0,0
0.179852,0,0,0,0
0.181517,0,0,0,0
0.183064,0,0,0,0
0.184621,0,0,0,0
0.186183,0,0,0,0
0.187735,0,0,0,0
0.189286,0,0,0,0
0.190834,0,0,0,0
0.192449,0,0,0,0
0.193999,0,0,0,0
0.195551,0,0,0,0
0.197023,0,0,0,0
0.198369,0,0,0,0
0.199752,0,0,0,0
0.201085,0,0,0,0
0.202415,0,0,0,0
0.203795,0,0,0,0
0.205132,0,0,0,0
0.206468,0,0,0,0
0.207814,0,0,0,0
0.209151,0,0,0,0
0.210486,0,0,0,0
0.211822,0,0,0,0
0.213152,0,0,0,0
0.214461,0,0,0,0
0.215820,0,0,0,0
0.217130,0,0,0,0
0.218450,0,0,0,0
0.219760,0,0,0,0
0.221069,0,0,0,0
0.222378,0,0,0,0
0.223688,0,0,0,0
0.224997,0,0,0,0
0.226306,0,0,0,0
0.227663,0,0,0,0
0.229019,0,0,0,0
0.230383,0,0,0,0
0.231636,0,0,0,0
0.232997,0,0,0,0
0.234358,0,0,0,0
0.235768,0,0,0,0
0.237130,0,0,0,0
0.238382,0,0,0,0
0.239746,0,0,0,0
0.241107,0,0,0,0
0.242468,0,0,0,0
0.243882,0,0,0,0
0.245281,0,0,0,0
0.246644,0,0,0,0
0.248101,0,0,0,0
0.249526,0,0,0,0
0.250940,0,0,0,0
0.252588,0,0,0,0
0.254048,0,0,0,0
0.255506,0,0,0,0
0.256894,0,0,0,0
0.258281,0,0,0,0
0.260419,0,0,0,0
0.261856,0,0,0,0
0.263231,0,0,0,0
0.264615,0,0,0,0
0.266006,0,0,0,0
0.267394,0,0,0,0
0.268780,0,0,0,0
0.270168,0,0,0,0
0.272255,0,0,0,0
0.273709,0,0,0,0
0.275100,0,0,0,0
0.276504,0,0,0,0
0.277930,0,0,0,0
0.279743,0,0,0,0
0.282932,0,0,0,0
0.284440,0,0,0,0
0.285824,0,0,0,0
0.287251,0,0,0,0
0.288665,0,0,0,0
0.290047,0,0,0,0
0.291804,0,0,0,0
0.293402,0,0,0,0
0.294804,0,0,0,0
0.296189,0,0,0,0
0.297574,0,0,0,0
0.298958,0,0,0,0
0.300342,0,0,0,0
0.301722,0,0,0,0
0.303102,0,0,0,0
0.304555,0,0,0,0
0.305926,0,0,0,0
0.307270,0,0,0,0
0.308608,0,0,0,0
0.310012,0,0,0,0
0.311412,0,0,0,0
0.312945,0,0,0,0
0.314365,0,0,0,0
0.315758,0,0,0,0
0.317150,0,0,0,0
0.318530,0,0,0,0
0.319911,0,0,0,0
0.321296,0,0,0,0
0.322680,0,0,0,0
0.324194,0,0,0,0
0.325746,0,0,0,0
0.327311,0,0,0,0
0.328861,0,0,0,0
0.330408,0,0,0,0
0.331962,0,0,0,0
0.333512,0,0,0,0
0.335058,0,0,0,0
0.336613,0,0,0,0
0.338048,0,0,0,0
0.339569,0,0,0,0
0.341162,0,0,0,0
0.342708,0,0,0,0
0.344255,0,0,0,0
0.345889,0,0,0,0
0.347275,0,0,0,0
0.348692,0,0,0,0
0.350080,0,0,0,0
0.351514,0,0,0,0
0.352900,0,0,0,0
0.354285,0,0,0,0
0.355802,0,0,0,0
0.357397,0,0,0,0
0.358959,0,0,0,0
0.360388,0,0,0,0
0.361906,0,0,0,0
0.363457,0,0,0,0
0.365007,0,0,0,0
0.366555,0,0,0,0
0.368106,0,0,0,0
0.369668,0,0,0,0
0.371220,0,0,0,0
0.372814,0,0,0,0
0.374363,0,0,0,0
0.375915,0,0,0,0
0.377466,0,0,0,0
0.378919,0,0,0,0
0.380335,0,0,0,0
0.381677,0,0,0,0
0.383014,0,0,0,0
0.384403,0,0,0,0
0.385739,0,0,0,0
0.387073,0,0,0,0
0.388407,0,0,0,0
0.389738,0,0,0,0
0.391080,0,0,0,0
