elapsed_s,TSE_BE_CLIP_PLANES,TSE_BE_EMPTY_BBOX_KILLED_PRIM,TSE_BE_ST1_VP_PARAMS_CACHE_MISS,TSE_BE_ST2_VPORT_VP_PARAMS_CACHE_MISS
0.001113,0,0,0,0
0.002667,0,0,0,0
0.004163,0,0,0,0
0.005646,0,0,0,0
0.007127,0,0,0,0
0.008609,0,0,0,0
0.010103,0,0,0,0
0.011584,0,0,0,0
0.013141,0,0,0,0
0.014692,0,0,0,0
0.016171,0,0,0,0
0.017650,0,0,0,0
0.019131,0,0,0,0
0.020642,0,0,0,0
0.022124,0,0,0,0
0.023604,0,0,0,0
0.025111,0,0,0,0
0.026591,0,0,0,0
0.028230,0,0,0,0
0.029755,0,0,0,0
0.031242,0,0,0,0
0.032700,0,0,0,0
0.034160,0,0,0,0
0.035617,0,0,0,0
0.037233,0,0,0,0
0.038691,0,0,0,0
0.040149,0,0,0,0
0.041613,0,0,0,0
0.043068,0,0,0,0
0.045201,0,0,0,0
0.046703,0,0,0,0
0.048210,0,0,0,0
0.049783,0,0,0,0
0.051357,0,0,0,0
0.052970,0,0,0,0
0.054544,0,0,0,0
0.056116,0,0,0,0
0.057561,0,0,0,0
0.059126,0,0,0,0
0.060696,0,0,0,0
0.062227,0,0,0,0
0.063757,0,0,0,0
0.065287,0,0,0,0
0.066814,0,0,0,0
0.068339,0,0,0,0
0.069865,0,0,0,0
0.071390,0,0,0,0
0.072936,0,0,0,0
0.074468,0,0,0,0
0.075995,0,0,0,0
0.077442,0,0,0,0
0.078821,0,0,0,0
0.080256,0,0,0,0
0.081629,0,0,0,0
0.082996,0,0,0,0
0.084364,0,0,0,0
0.085734,0,0,0,0
0.087100,0,0,0,0
0.088515,0,0,0,0
0.089881,0,0,0,0
0.091297,0,0,0,0
0.092666,0,0,0,0
0.094092,0,0,0,0
0.095497,0,0,0,0
0.096986,0,0,0,0
0.098443,0,0,0,0
0.099896,0,0,0,0
0.101350,0,0,0,0
0.102806,0,0,0,0
0.104259,0,0,0,0
0.105709,0,0,0,0
0.106901,0,0,0,0
0.108310,0,0,0,0
0.109735,0,0,0,0
0.111038,0,0,0,0
0.112468,0,0,0,0
0.113855,0,0,0,0
