elapsed_s,TSE_VP0_TRANSFORM_WORKING_CYCLE_L2,TSE_VP1_TRANSFORM_WORKING_CYCLE_L2,TSE_VP2_TRANSFORM_WORKING_CYCLE_L2,TSE_VERTEX_GEN_WORKING_CYCLE_L1
0.001105,0,0,0,0
0.002681,0,0,0,0
0.004165,0,0,0,0
0.005678,0,0,0,0
0.007166,0,0,0,0
0.008613,0,0,0,0
0.010202,0,0,0,0
0.011645,0,0,0,0
0.013090,0,0,0,0
0.014565,0,0,0,0
0.016004,0,0,0,0
0.017444,0,0,0,0
0.018887,0,0,0,0
0.020357,0,0,0,0
0.021796,0,0,0,0
0.023256,0,0,0,0
0.024694,0,0,0,0
0.026229,0,0,0,0
0.027676,0,0,0,0
0.029088,0,0,0,0
0.030529,0,0,0,0
0.031940,0,0,0,0
0.033400,0,0,0,0
0.034813,0,0,0,0
0.036228,0,0,0,0
0.037642,0,0,0,0
0.039051,0,0,0,0
0.040462,0,0,0,0
0.041929,0,0,0,0
0.043350,0,0,0,0
0.044827,0,0,0,0
0.046384,0,0,0,0
0.047788,0,0,0,0
0.049240,0,0,0,0
0.050642,0,0,0,0
0.052051,0,0,0,0
0.053538,0,0,0,0
0.054943,0,0,0,0
0.056349,0,0,0,0
0.057753,0,0,0,0
0.059182,0,0,0,0
0.060585,0,0,0,0
0.062056,0,0,0,0
0.063466,0,0,0,0
0.064843,0,0,0,0
0.066348,0,0,0,0
0.067879,0,0,0,0
0.069256,0,0,0,0
0.070619,0,0,0,0
0.071961,0,0,0,0
0.073310,0,0,0,0
0.074732,0,0,0,0
0.076158,0,0,0,0
0.077553,0,0,0,0
0.078939,0,0,0,0
0.080322,0,0,0,0
0.081705,0,0,0,0
0.083092,0,0,0,0
0.084476,0,0,0,0
0.086059,0,0,0,0
0.087361,0,0,0,0
0.088747,0,0,0,0
0.090173,0,0,0,0
0.091607,0,0,0,0
0.093120,0,0,0,0
0.094505,0,0,0,0
0.095900,0,0,0,0
0.097278,0,0,0,0
0.098658,0,0,0,0
0.100037,0,0,0,0
0.101416,0,0,0,0
0.102793,0,0,0,0
0.104175,0,0,0,0
0.105558,0,0,0,0
0.106994,0,0,0,0
0.108370,0,0,0,0
0.109746,0,0,0,0
0.111123,0,0,0,0
0.112499,0,0,0,0
0.113878,0,0,0,0
0.115256,0,0,0,0
0.116635,0,0,0,0
0.118346,0,0,0,0
0.119733,0,0,0,0
0.121119,0,0,0,0
0.122606,0,0,0,0
0.123987,0,0,0,0
0.125417,0,0,0,0
0.126809,0,0,0,0
0.128192,0,0,0,0
0.129589,0,0,0,0
0.131164,0,0,0,0
0.132713,0,0,0,0
0.134267,0,0,0,0
0.135816,0,0,0,0
0.137369,0,0,0,0
0.138963,0,0,0,0
0.140526,0,0,0,0
0.142077,0,0,0,0
0.143628,0,0,0,0
0.145180,0,0,0,0
0.146723,0,0,0,0
0.148262,0,0,0,0
0.149681,0,0,0,0
0.151214,0,0,0,0
0.152761,0,0,0,0
0.154313,0,0,0,0
0.155906,0,0,0,0
0.157455,0,0,0,0
0.159004,0,0,0,0
0.160551,0,0,0,0
0.162112,0,0,0,0
0.163661,0,0,0,0
0.165212,0,0,0,0
0.166761,0,0,0,0
0.168309,0,0,0,0
0.169858,0,0,0,0
0.171613,0,0,0,0
0.173328,0,0,0,0
0.174813,0,0,0,0
0.176204,0,0,0,0
0.177591,0,0,0,0
0.178979,0,0,0,0
0.180365,0,0,0,0
0.181753,0,0,0,0
0.183277,0,0,0,0
0.184826,0,0,0,0
0.186376,0,0,0,0
0.187980,0,0,0,0
0.189530,0,0,0,0
0.191079,0,0,0,0
0.192626,0,0,0,0
0.194059,0,0,0,0
0.195578,0,0,0,0
0.197131,0,0,0,0
0.198678,0,0,0,0
0.200126,0,0,0,0
0.201552,0,0,0,0
0.202940,0,0,0,0
0.204299,0,0,0,0
0.205652,0,0,0,0
0.207058,0,0,0,0
0.208444,0,0,0,0
0.209830,0,0,0,0
0.211211,0,0,0,0
0.212590,0,0,0,0
0.213992,0,0,0,0
0.215389,0,0,0,0
0.216767,0,0,0,0
0.218246,0,0,0,0
