elapsed_s,TSE_NON_CLIP_WORKING_CYCLES,TSE_NULL_WORKING_CYCLES,TSE_OUT_PRIM_WORKING_CYCLES,TSE_INPUT_VERTEX_WORKING_CYCLES
0.001595,0,0,0,0
0.003925,0,0,0,0
0.005681,0,0,0,0
0.007243,0,0,0,0
0.008703,0,0,0,0
0.010165,0,0,0,0
0.011609,0,0,0,0
0.013049,0,0,0,0
0.014488,0,0,0,0
0.015928,0,0,0,0
0.017371,0,0,0,0
0.018812,0,0,0,0
0.020269,0,0,0,0
0.021740,0,0,0,0
0.023218,0,0,0,0
0.024747,0,0,0,0
0.026207,0,0,0,0
0.027666,0,0,0,0
0.029544,0,0,0,0
0.031498,0,0,0,0
0.033272,0,0,0,0
0.034732,0,0,0,0
0.036190,0,0,0,0
0.037808,0,0,0,0
0.039254,0,0,0,0
0.040912,0,0,0,0
0.042348,0,0,0,0
0.043754,0,0,0,0
0.045286,0,0,0,0
0.046686,0,0,0,0
0.048216,0,0,0,0
0.049647,0,0,0,0
0.051046,0,0,0,0
0.052489,0,0,0,0
0.053927,0,0,0,0
0.055452,0,0,0,0
0.056881,0,0,0,0
0.058387,0,0,0,0
0.059865,0,0,0,0
0.061339,0,0,0,0
0.062825,0,0,0,0
0.064342,0,0,0,0
0.065715,0,0,0,0
0.067079,0,0,0,0
0.068443,0,0,0,0
0.069834,0,0,0,0
0.071170,0,0,0,0
0.072572,0,0,0,0
0.074047,0,0,0,0
0.075457,0,0,0,0
0.076810,0,0,0,0
0.078156,0,0,0,0
0.079684,0,0,0,0
0.081172,0,0,0,0
0.082565,0,0,0,0
0.084139,0,0,0,0
0.085548,0,0,0,0
0.086989,0,0,0,0
0.088522,0,0,0,0
0.089942,0,0,0,0
0.091379,0,0,0,0
0.092802,0,0,0,0
0.094233,0,0,0,0
0.095702,0,0,0,0
0.096983,0,0,0,0
0.098362,0,0,0,0
0.099927,0,0,0,0
0.101363,0,0,0,0
0.102749,0,0,0,0
0.106042,0,0,0,0
0.107406,0,0,0,0
0.108789,0,0,0,0
0.110165,0,0,0,0
0.111550,0,0,0,0
0.112935,0,0,0,0
0.114314,0,0,0,0
0.115823,0,0,0,0
0.117274,0,0,0,0
0.118641,0,0,0,0
0.119993,0,0,0,0
0.121377,0,0,0,0
0.122758,0,0,0,0
0.124140,0,0,0,0
0.125520,0,0,0,0
0.126900,0,0,0,0
0.128280,0,0,0,0
0.129689,0,0,0,0
0.131068,0,0,0,0
0.132537,0,0,0,0
0.133923,0,0,0,0
0.135356,0,0,0,0
0.136800,0,0,0,0
0.138187,0,0,0,0
0.139571,0,0,0,0
0.140965,0,0,0,0
0.142349,0,0,0,0
0.143735,0,0,0,0
0.145118,0,0,0,0
0.146633,0,0,0,0
0.148217,0,0,0,0
0.149768,0,0,0,0
0.151334,0,0,0,0
0.152883,0,0,0,0
0.154433,0,0,0,0
0.155985,0,0,0,0
0.157536,0,0,0,0
0.159085,0,0,0,0
0.160640,0,0,0,0
0.162202,0,0,0,0
0.163755,0,0,0,0
0.165349,0,0,0,0
0.166898,0,0,0,0
0.168449,0,0,0,0
0.170000,0,0,0,0
0.171552,0,0,0,0
0.173117,0,0,0,0
0.174667,0,0,0,0
0.176219,0,0,0,0
0.177769,0,0,0,0
0.179386,0,0,0,0
0.181044,0,0,0,0
0.182593,0,0,0,0
0.184052,0,0,0,0
0.185597,0,0,0,0
0.187147,0,0,0,0
0.188647,0,0,0,0
0.190037,0,0,0,0
0.191556,0,0,0,0
0.193108,0,0,0,0
0.194669,0,0,0,0
0.196521,0,0,0,0
0.198077,0,0,0,0
0.199633,0,0,0,0
0.201186,0,0,0,0
0.202737,0,0,0,0
0.204291,0,0,0,0
0.205848,0,0,0,0
0.207506,0,0,0,0
0.209192,0,0,0,0
0.210586,0,0,0,0
0.211979,0,0,0,0
0.213367,0,0,0,0
0.214756,0,0,0,0
0.216400,0,0,0,0
0.219207,0,0,0,0
0.220628,0,0,0,0
0.222006,0,0,0,0
0.223441,0,0,0,0
0.224838,0,0,0,0
0.226226,0,0,0,0
0.227666,0,0,0,0
0.229112,0,0,0,0
0.230467,0,0,0,0
0.231830,0,0,0,0
0.233203,0,0,0,0
0.234561,0,0,0,0
0.235915,0,0,0,0
0.237277,0,0,0,0
0.238631,0,0,0,0
0.239985,0,0,0,0
0.241338,0,0,0,0
0.242691,0,0,0,0
0.244044,0,0,0,0
0.245435,0,0,0,0
0.246848,0,0,0,0
0.248264,0,0,0,0
0.249674,0,0,0,0
0.251083,0,0,0,0
0.252493,0,0,0,0
0.253903,0,0,0,0
0.255334,0,0,0,0
0.256745,0,0,0,0
0.258156,0,0,0,0
0.259569,0,0,0,0
0.260995,0,0,0,0
0.262364,0,0,0,0
0.263752,0,0,0,0
0.265229,0,0,0,0
0.266620,0,0,0,0
0.268029,0,0,0,0
0.269422,0,0,0,0
0.270844,0,0,0,0
0.272314,0,0,0,0
0.273700,0,0,0,0
0.275083,0,0,0,0
0.276567,0,0,0,0
0.277991,0,0,0,0
0.279374,0,0,0,0
0.280759,0,0,0,0
0.282181,0,0,0,0
0.283758,0,0,0,0
0.286052,0,0,0,0
0.287497,0,0,0,0
0.288887,0,0,0,0
0.290274,0,0,0,0
0.291661,0,0,0,0
0.293093,0,0,0,0
0.294472,0,0,0,0
0.296148,0,0,0,0
0.298408,0,0,0,0
0.303386,0,0,0,0
0.304805,0,0,0,0
0.306188,0,0,0,0
0.308001,0,0,0,0
0.309387,0,0,0,0
0.310767,0,0,0,0
0.312148,0,0,0,0
0.313528,0,0,0,0
0.314926,0,0,0,0
0.316308,0,0,0,0
0.317693,0,0,0,0
0.319077,0,0,0,0
0.320465,0,0,0,0
0.321849,0,0,0,0
0.323233,0,0,0,0
0.324620,0,0,0,0
0.326060,0,0,0,0
0.327447,0,0,0,0
0.328832,0,0,0,0
0.330798,0,0,0,0
0.332201,0,0,0,0
0.333593,0,0,0,0
0.334978,0,0,0,0
0.336372,0,0,0,0
0.337757,0,0,0,0
0.339141,0,0,0,0
0.340529,0,0,0,0
0.342043,0,0,0,0
0.343598,0,0,0,0
0.345148,0,0,0,0
0.346711,0,0,0,0
0.348262,0,0,0,0
0.349813,0,0,0,0
0.351364,0,0,0,0
0.352915,0,0,0,0
0.354464,0,0,0,0
0.356016,0,0,0,0
0.357623,0,0,0,0
0.359174,0,0,0,0
0.360728,0,0,0,0
0.362276,0,0,0,0
0.363875,0,0,0,0
0.365425,0,0,0,0
0.366974,0,0,0,0
0.368476,0,0,0,0
0.369997,0,0,0,0
0.371549,0,0,0,0
0.373140,0,0,0,0
0.374698,0,0,0,0
0.376250,0,0,0,0
0.377803,0,0,0,0
0.379371,0,0,0,0
0.380924,0,0,0,0
0.382476,0,0,0,0
0.384031,0,0,0,0
0.385584,0,0,0,0
0.387136,0,0,0,0
0.388707,0,0,0,0
0.390184,0,0,0,0
0.391574,0,0,0,0
0.393093,0,0,0,0
0.394643,0,0,0,0
0.396070,0,0,0,0
0.397464,0,0,0,0
0.398851,0,0,0,0
0.400246,0,0,0,0
0.401626,0,0,0,0
0.403004,0,0,0,0
0.404382,0,0,0,0
0.405802,0,0,0,0
0.407180,0,0,0,0
0.408563,0,0,0,0
0.409941,0,0,0,0
0.411363,0,0,0,0
0.412741,0,0,0,0
0.414117,0,0,0,0
0.415495,0,0,0,0
0.416872,0,0,0,0
0.418249,0,0,0,0
0.419640,0,0,0,0
0.421072,0,0,0,0
0.422435,0,0,0,0
0.423790,0,0,0,0
0.425146,0,0,0,0
0.426499,0,0,0,0
0.427852,0,0,0,0
0.429206,0,0,0,0
0.430559,0,0,0,0
0.431917,0,0,0,0
0.433283,0,0,0,0
0.434637,0,0,0,0
0.435992,0,0,0,0
0.437383,0,0,0,0
0.438798,0,0,0,0
0.440205,0,0,0,0
0.441613,0,0,0,0
0.443023,0,0,0,0
0.444421,0,0,0,0
0.445833,0,0,0,0
0.447243,0,0,0,0
0.448545,0,0,0,0
0.449956,0,0,0,0
0.451385,0,0,0,0
0.452707,0,0,0,0
0.454038,0,0,0,0
0.455404,0,0,0,0
0.456765,0,0,0,0
0.458018,0,0,0,0
0.459380,0,0,0,0
0.460741,0,0,0,0
0.462152,0,0,0,0
0.463564,0,0,0,0
0.464926,0,0,0,0
0.466289,0,0,0,0
0.467700,0,0,0,0
0.469061,0,0,0,0
0.470421,0,0,0,0
0.471818,0,0,0,0
0.473207,0,0,0,0
0.474587,0,0,0,0
0.476092,0,0,0,0
0.477817,0,0,0,0
0.479208,0,0,0,0
0.480660,0,0,0,0
0.482045,0,0,0,0
0.485100,0,0,0,0
0.486488,0,0,0,0
0.487875,0,0,0,0
0.489260,0,0,0,0
0.490643,0,0,0,0
0.492022,0,0,0,0
0.493400,0,0,0,0
0.494779,0,0,0,0
0.496157,0,0,0,0
0.497533,0,0,0,0
0.498918,0,0,0,0
0.500293,0,0,0,0
0.501672,0,0,0,0
0.503052,0,0,0,0
0.504530,0,0,0,0
0.505915,0,0,0,0
0.507299,0,0,0,0
0.508720,0,0,0,0
0.510179,0,0,0,0
0.511559,0,0,0,0
0.513170,0,0,0,0
0.514678,0,0,0,0
0.516098,0,0,0,0
0.517546,0,0,0,0
0.518933,0,0,0,0
0.520332,0,0,0,0
0.521718,0,0,0,0
0.523102,0,0,0,0
0.524488,0,0,0,0
0.526002,0,0,0,0
0.527555,0,0,0,0
0.529108,0,0,0,0
0.530669,0,0,0,0
0.532221,0,0,0,0
0.533775,0,0,0,0
0.535444,0,0,0,0
0.536842,0,0,0,0
0.538233,0,0,0,0
0.539752,0,0,0,0
0.541189,0,0,0,0
0.542710,0,0,0,0
0.544262,0,0,0,0
0.545814,0,0,0,0
0.547367,0,0,0,0
0.548963,0,0,0,0
0.550512,0,0,0,0
0.552079,0,0,0,0
0.553631,0,0,0,0
0.555182,0,0,0,0
0.556738,0,0,0,0
0.558288,0,0,0,0
0.559748,0,0,0,0
0.561300,0,0,0,0
0.562861,0,0,0,0
0.564412,0,0,0,0
0.565965,0,0,0,0
0.567519,0,0,0,0
0.569072,0,0,0,0
0.570622,0,0,0,0
0.572175,0,0,0,0
0.573740,0,0,0,0
0.575289,0,0,0,0
0.576906,0,0,0,0
0.578296,0,0,0,0
0.579816,0,0,0,0
0.581411,0,0,0,0
0.582960,0,0,0,0
0.584577,0,0,0,0
0.586127,0,0,0,0
0.587680,0,0,0,0
0.589452,0,0,0,0
0.590848,0,0,0,0
0.592230,0,0,0,0
0.593610,0,0,0,0
0.594997,0,0,0,0
0.596375,0,0,0,0
