elapsed_s,TSE_MVC_STALL_VPC,TSE_VPC_STARVE_TSE,TSE_WORKING_CYCLE_L0
0.001103,0,0,0
0.002704,0,0,0
0.004178,0,0,0
0.005678,0,0,0
0.007152,0,0,0
0.008631,0,0,0
0.010104,0,0,0
0.011548,0,0,0
0.012974,0,0,0
0.014466,0,0,0
0.015972,0,0,0
0.017372,0,0,0
0.018775,0,0,0
0.020190,0,0,0
0.021587,0,0,0
0.022985,0,0,0
0.024385,0,0,0
0.025784,0,0,0
0.027182,0,0,0
0.028581,0,0,0
0.030028,0,0,0
0.031498,0,0,0
0.032970,0,0,0
0.034537,0,0,0
0.035999,0,0,0
0.037461,0,0,0
0.038928,0,0,0
0.040390,0,0,0
0.041857,0,0,0
0.043334,0,0,0
0.044796,0,0,0
0.046329,0,0,0
0.047704,0,0,0
0.049064,0,0,0
0.050505,0,0,0
0.051841,0,0,0
0.053193,0,0,0
0.054616,0,0,0
0.056145,0,0,0
0.057531,0,0,0
0.058883,0,0,0
0.060230,0,0,0
0.061628,0,0,0
0.063083,0,0,0
0.064484,0,0,0
0.065988,1428,1890,0
0.067501,0,0,0
0.068885,0,0,0
0.071417,0,0,0
0.072798,0,0,0
0.074180,0,0,0
0.075573,0,0,0
0.076953,0,0,0
0.078189,2679,4248,0
0.079563,0,0,0
0.080945,0,0,0
0.082412,0,0,0
0.083790,0,0,0
0.085169,0,0,0
0.086588,0,0,0
0.087964,0,0,0
0.089340,0,0,0
0.090718,0,0,0
0.092091,0,0,0
0.093594,0,0,0
0.095119,0,0,0
0.096493,0,0,0
0.097881,0,0,0
0.099251,0,0,0
0.100621,0,0,0
0.101992,0,0,0
0.103394,0,0,0
0.104766,0,0,0
0.106140,0,0,0
0.107515,0,0,0
0.108898,0,0,0
0.110271,0,0,0
0.111647,0,0,0
0.113021,0,0,0
0.114432,0,0,0
0.115806,0,0,0
0.117180,0,0,0
0.118556,0,0,0
0.119939,0,0,0
0.121336,0,0,0
0.122751,0,0,0
0.124129,0,0,0
0.125642,0,0,0
0.127232,0,0,0
0.128777,0,0,0
