elapsed_s,TP_DIVERGENT_QUADS_RECEIVED,TP_PRT_NON_RESIDENT_EVENTS,TP_OUTPUT_PIXELS_POINT,TP_OUTPUT_PIXELS_BILINEAR,TP_OUTPUT_PIXELS_MIP,TP_OUTPUT_PIXELS_ANISO,TP_OUTPUT_PIXELS_ZERO_LOD,TP_FLAG_CACHE_REQUESTS,TP_FLAG_CACHE_MISSES,TP_L1_5_L2_REQUESTS,TP_2D_OUTPUT_PIXELS,TP_2D_OUTPUT_PIXELS_POINT
0.001099,0,0,0,0,0,0,0,0,0,0,0,0
0.002955,0,0,0,0,0,0,0,0,0,0,0,0
0.004573,0,0,0,0,0,0,0,0,0,0,0,0
0.006183,0,0,0,0,0,0,0,0,0,0,0,0
0.007878,0,0,0,0,0,0,0,0,0,0,0,0
0.009499,0,0,0,0,0,0,0,0,0,0,0,0
0.011107,0,0,0,0,0,0,0,0,0,0,0,0
0.012779,0,0,0,0,0,0,0,0,0,0,0,0
0.014390,0,0,0,0,0,0,0,0,0,0,0,0
0.016075,0,0,0,0,0,0,0,0,0,0,0,0
0.017687,0,0,0,0,0,0,0,0,0,0,0,0
0.019297,0,0,0,0,0,0,0,0,0,0,0,0
0.020925,0,0,0,0,0,0,0,0,0,0,0,0
0.022641,0,0,0,0,0,0,0,0,0,0,0,0
0.024293,0,0,0,0,0,0,0,0,0,0,0,0
0.025922,0,0,0,0,0,0,0,0,0,0,0,0
0.027495,0,0,0,0,0,0,0,0,0,0,0,0
0.029094,0,0,0,0,0,0,0,0,0,0,0,0
0.030832,0,0,0,0,0,0,0,0,0,0,0,0
0.032425,0,0,0,0,0,0,0,0,0,0,0,0
0.034009,0,0,0,0,0,0,0,0,0,0,0,0
0.035796,0,0,0,0,0,0,0,0,0,0,0,0
0.037376,0,0,0,0,0,0,0,0,0,0,0,0
0.038974,0,0,0,0,0,0,0,0,0,0,0,0
0.040688,0,0,0,0,0,0,0,0,0,0,0,0
0.042402,0,0,0,0,0,0,0,0,0,0,0,0
0.044127,0,0,0,0,0,0,0,0,0,0,0,0
