elapsed_s,LRZ_NEVER_COUNT,LRZ_BUSY_CYCLES,LRZ_STARVE_CYCLES_RAS
0.001097,0,0,913818
0.002676,0,0,560537
0.004141,0,0,510043
0.005607,0,0,528548
0.007099,0,0,498302
0.008521,0,0,519249
0.010095,0,0,536804
0.011544,0,0,499819
0.012973,0,0,499835
0.014399,0,0,498576
0.015824,0,0,497705
0.017246,0,0,498779
0.018671,0,0,498230
0.020110,0,0,509242
0.021563,0,0,501934
0.022981,0,0,490905
0.024388,0,0,497701
0.025808,0,0,489955
0.027202,0,0,489173
0.028598,0,0,487605
0.029995,0,0,488843
0.031405,0,0,494164
0.032815,0,0,492510
0.034213,0,0,491451
0.035616,0,0,488404
0.037014,0,0,488477
0.038468,0,0,540324
0.039933,0,0,511066
0.041489,0,0,547028
0.042957,0,0,511153
0.044422,0,0,512470
0.045883,0,0,510993
0.047345,0,0,510790
0.048796,0,0,667866
0.050158,0,0,1097437
0.051522,0,0,1098899
0.052883,0,0,1097678
0.054260,0,0,1109231
0.055622,0,0,1103315
0.057014,0,0,1069473
0.058352,0,0,1075866
0.059684,0,0,1074000
0.061021,0,0,1078710
0.062474,0,0,1186343
0.063839,0,0,1098392
0.065266,0,0,1154421
0.066689,0,0,1132420
0.068081,0,0,1169682
0.069562,0,0,1221629
0.071033,0,0,1107185
0.072513,0,0,1250961
0.074028,0,0,1162670
0.075421,0,0,1122919
0.076809,0,0,1114459
0.078194,0,0,1113755
0.079573,0,0,1112452
0.080952,0,0,1258277
0.082332,0,0,1469368
0.083718,0,0,1480420
0.085209,4338,4326,1603591
0.086518,0,0,1740267
0.087898,0,0,1670473
0.090294,0,0,2901905
0.091675,0,0,1671509
0.093054,0,0,1669361
0.094446,0,0,1686734
0.095824,0,0,1666983
0.097657,0,0,2220384
0.099374,0,0,2077440
0.102505,0,0,3793227
0.103881,0,0,1665384
0.105264,0,0,1671831
0.106636,0,0,1660833
0.108007,0,0,1659960
0.109379,0,0,1665501
0.110754,0,0,1806025
0.112246,0,0,1646877
0.113610,0,0,1670263
0.114984,0,0,1664321
0.116418,0,0,1749464
0.117807,0,0,1729971
0.119233,0,0,1671203
0.120616,12,0,1669234
0.121990,0,0,1664418
0.123366,0,0,1667340
0.124782,0,0,1714463
0.126157,0,0,1662951
0.127666,0,0,1856682
0.129076,0,0,1681427
0.131285,0,0,2702025
0.132697,0,0,1684236
0.134249,0,0,1905862
0.135786,0,0,1859130
0.137199,0,0,1691911
0.138728,0,0,1875754
0.140270,0,0,1873377
0.141818,0,0,1870174
0.143362,0,0,1869062
0.144908,0,0,1873419
0.146453,0,0,1869455
0.147996,0,0,1868581
0.149780,0,0,2191194
0.151214,0,0,1679103
0.152598,0,0,1675246
0.153978,0,0,1671364
0.155358,0,0,1670960
0.156739,0,0,1671970
0.158247,0,0,1854871
0.159803,0,0,1885643
0.161348,0,0,1871132
0.162893,0,0,1868675
0.164438,0,0,1874730
0.166028,0,0,1923021
0.167571,4,0,1868400
0.169116,0,0,1872553
0.170674,0,0,1885146
0.172216,0,0,1873906
0.173765,0,0,1869351
0.175307,0,0,1868292
0.176853,0,0,1873090
0.178398,0,0,1869789
0.179940,0,0,1868674
0.181498,0,0,1885758
0.183043,0,0,1872326
0.184590,0,0,1870515
0.186132,0,0,1868148
0.187580,0,0,1803805
0.189038,0,0,1691842
0.190424,0,0,1675460
0.191818,0,0,1687988
0.193201,0,0,1673645
0.194581,0,0,1670512
0.195960,0,0,1669911
0.197472,0,0,1861607
0.199018,0,0,1888872
0.200405,0,0,1638965
0.201748,0,0,1621924
0.203097,0,0,1631931
0.204430,0,0,1686029
0.205842,0,0,1648155
0.207183,0,0,1610050
0.208559,0,0,1666258
0.209887,0,0,1605453
0.211211,0,0,1603571
0.212586,0,0,1672123
0.213991,0,0,1683072
0.215298,0,0,1580180
0.216602,0,0,1579841
0.217907,0,0,1579461
0.219211,0,0,1579776
