elapsed_s,CP_LONG_PREEMPTIONS,CP_SQE_I_CACHE_STARVE,CP_SQE_IDLE,CP_SQE_PM4_STARVE_RB,CP_SQE_PM4_STARVE_IB1,CP_SQE_PM4_STARVE_IB2,CP_SQE_PM4_STARVE_IB3,CP_SQE_PM4_STARVE_FSDT,CP_SQE_PM4_STARVE_SDS,CP_SQE_MRB_STARVE,CP_SQE_RRB_STARVE,CP_SQE_VSD_STARVE,CP_VSD_DECODE_STARVE,CP_SQE_PIPE_OUT_STALL
0.001107,0,823,99708,1,0,0,0,0,0,0,52,0,0,0
0.002869,0,921,97012,48,0,0,0,0,0,0,52,0,0,0
0.004681,0,1129,114830,48,0,0,0,0,0,0,52,0,0,0
0.006481,0,1084,98387,47,0,0,0,0,0,0,52,0,0,0
0.008143,0,917,90813,47,0,0,0,0,0,0,52,0,0,0
0.009814,0,1126,88841,47,0,0,0,0,0,0,52,0,0,0
0.011498,0,1027,89725,47,0,0,0,0,0,0,52,0,0,0
0.013142,0,1004,89729,47,0,0,0,0,0,0,52,0,0,0
0.014874,0,986,87795,47,0,0,0,0,0,0,52,0,0,0
0.016492,0,1003,86838,47,0,0,0,0,0,0,52,0,0,0
0.018477,0,950,139765,47,0,0,0,0,0,0,52,0,0,0
0.020163,0,1134,90499,47,0,0,0,0,0,0,52,0,0,0
0.021773,0,1124,90958,47,0,0,0,0,0,0,52,0,0,0
0.023486,0,883,88870,47,0,0,0,0,0,0,51,0,0,0
0.025140,0,1007,92699,47,0,0,0,0,0,0,52,0,0,0
0.026705,0,904,85773,47,0,0,0,0,0,0,52,0,0,0
0.028260,0,1078,106085,47,0,0,0,0,0,0,52,0,0,0
0.029942,0,898,105706,47,0,0,0,0,0,0,52,0,0,0
0.031721,0,768,96167,47,0,0,0,0,0,0,52,0,0,0
0.033205,0,857,82160,47,0,0,0,0,0,0,51,0,0,0
0.034687,0,878,82006,47,0,0,0,0,0,0,52,0,0,0
0.036219,0,733,85779,47,0,0,0,0,0,0,52,0,0,0
0.037742,0,939,85119,47,0,0,0,0,0,0,51,0,0,0
0.039245,0,906,84185,47,0,0,0,0,0,0,52,0,0,0
0.040747,0,650,84268,47,0,0,0,0,0,0,52,0,0,0
0.042257,0,636,63880,47,0,0,0,0,0,0,52,0,0,0
0.043632,0,596,82296,46,0,0,0,0,0,0,51,0,0,0
0.045130,0,586,63304,47,0,0,0,0,0,0,52,0,0,0
0.046554,0,565,65279,47,0,0,0,0,0,0,51,0,0,0
0.047957,0,498,65871,47,0,0,0,0,0,0,51,0,0,0
0.049354,0,485,65907,39,0,0,0,0,0,0,52,0,0,0
0.050754,0,487,66525,40,0,0,0,0,0,0,51,0,0,0
0.052159,0,493,67285,41,0,0,0,0,0,0,51,0,0,0
0.053643,0,486,67292,40,0,0,0,0,0,0,52,0,0,0
0.055105,0,485,67715,40,0,0,0,0,0,0,52,0,0,0
0.056647,0,483,80458,47,0,0,0,0,0,0,51,0,0,0
0.058105,0,473,66692,39,0,0,0,0,0,0,52,0,0,0
0.059516,0,476,66895,40,0,0,0,0,0,0,52,0,0,0
0.060926,0,465,67773,39,0,0,0,0,0,0,52,0,0,0
0.062411,1,10298,109370,77,62,0,0,0,0,199,7135,0,0,0
0.063779,0,518,70757,1,0,0,0,0,0,0,52,0,0,0
0.065242,0,488,67069,47,0,0,0,0,0,0,51,0,0,0
0.066654,0,482,67088,40,0,0,0,0,0,0,52,0,0,0
0.068060,0,477,66883,40,0,0,0,0,0,0,52,0,0,0
0.069467,0,479,66723,40,0,0,0,0,0,0,52,0,0,0
0.070920,0,479,66521,40,0,0,0,0,0,0,52,0,0,0
0.072324,0,15616,82359,40,8,235,120,0,0,0,114,0,0,0
0.073799,0,4965,421932,377,0,0,0,0,0,111,120,0,0,0
0.075202,0,1680,478867,160,0,0,0,0,0,0,88,0,0,0
0.076606,0,1756,469873,137,0,0,0,0,0,0,87,0,0,0
0.078005,0,1657,483491,137,0,0,0,0,0,0,85,0,0,0
0.079561,0,1715,477674,138,0,0,0,0,0,0,85,0,0,0
0.081025,0,1650,470682,139,0,0,0,0,0,0,88,0,0,0
0.082471,0,1673,452543,173,0,0,0,0,0,0,90,0,0,0
0.083917,0,1732,453026,138,0,0,0,0,0,0,89,0,0,0
0.085359,0,22146,474572,220,0,0,0,0,0,0,86,0,0,0
0.087261,0,1663,501489,138,0,0,0,0,0,0,86,0,0,0
0.088733,0,1656,450950,138,0,0,0,0,0,0,86,0,0,0
0.090168,0,1653,444991,138,0,0,0,0,0,0,86,0,0,0
0.091602,0,1655,4552922,138,0,0,0,0,0,0,88,0,0,0
0.096764,0,1649,469968,138,0,0,0,0,0,0,88,0,0,0
0.098245,0,1654,458070,137,0,0,0,0,0,0,89,0,0,0
0.099821,0,1717,495983,139,0,0,0,0,0,0,86,0,0,0
0.101276,0,1725,463027,137,0,0,0,0,0,0,85,0,0,0
0.102679,0,1654,471625,137,0,0,0,0,0,0,88,0,0,0
0.104133,0,1650,469756,137,0,0,0,0,0,0,88,0,0,0
0.105577,0,1650,461343,137,0,0,0,0,0,0,85,0,0,0
0.107042,0,1651,465535,137,0,0,0,0,0,0,89,0,0,0
0.108479,0,1653,459744,137,0,0,0,0,0,0,85,0,0,0
0.109913,0,1653,446703,137,0,0,0,0,0,0,90,0,0,0
0.111386,0,1659,507223,137,0,0,0,0,0,0,88,0,0,0
0.112870,0,1654,451180,137,0,0,0,0,0,0,88,0,0,0
0.114311,0,1658,449291,136,0,0,0,0,0,0,86,0,0,0
0.115748,0,1658,446633,136,0,0,0,0,0,0,88,0,0,0
0.117193,0,1664,452561,137,0,0,0,0,0,0,89,0,0,0
0.118664,0,1659,472717,136,0,0,0,0,0,0,90,0,0,0
0.120101,0,1661,537444,136,0,0,0,0,0,0,85,0,0,0
0.121749,0,1656,477624,137,0,0,0,0,0,0,87,0,0,0
0.123352,0,1659,494397,137,0,0,0,0,0,0,87,0,0,0
0.124962,0,1868,478581,137,0,0,0,0,0,0,89,0,0,0
0.126608,0,1654,479139,136,0,0,0,0,0,0,87,0,0,0
0.128104,0,1652,469172,137,0,0,0,0,0,0,86,0,0,0
0.129683,0,1659,478130,136,0,0,0,0,0,0,88,0,0,0
0.131286,0,1655,483701,136,0,0,0,0,0,0,89,0,0,0
0.134128,0,1651,1168948,137,0,0,0,0,0,0,90,0,0,0
0.135622,0,1759,455238,138,0,0,0,0,0,0,90,0,0,0
0.137068,0,1660,456032,137,0,0,0,0,0,0,88,0,0,0
0.138531,0,1653,462223,137,0,0,0,0,0,0,85,0,0,0
0.140012,0,1655,460723,137,0,0,0,0,0,0,87,0,0,0
