elapsed_s,CP_SQE_SYNC_STALL,CP_SQE_PM4_WFI_STALL,CP_SQE_SYS_WFI_STALL,CP_WAIT_ON_OTHER_PIPE,CP_OUTPUT_BLOCKED,CP_SQE_T4_EXEC,CP_SQE_LOAD_STATE_EXEC,CP_SQE_SAVE_SDS_STATE,CP_SQE_DRAW_EXEC,CP_SQE_CTXT_REG_BUNCH_EXEC,CP_SQE_EXEC_PROFILED,CP_MEMORY_POOL_EMPTY,CP_MEMORY_POOL_SYNC_STALL,CP_MEMORY_POOL_ABOVE_THRESH
0.001103,0,0,0,0,0,0,0,0,0,0,93752,93619,0,0
0.002892,0,0,0,0,0,0,0,0,0,0,92398,92236,0,0
0.004534,0,0,0,0,0,0,0,0,0,0,78948,77770,0,0
0.006093,0,0,0,0,0,0,0,0,0,0,88516,89411,0,0
0.007748,0,0,0,0,0,0,0,0,0,0,91825,91680,0,0
0.009409,0,0,0,0,0,0,0,0,0,0,91717,91588,0,0
0.011051,0,0,0,0,0,0,0,0,0,0,90571,90434,0,0
0.012688,0,0,0,0,0,0,0,0,0,0,103031,102808,0,0
0.014392,0,0,0,0,0,0,0,0,0,0,88342,88165,0,0
0.016001,0,0,0,0,0,0,0,0,0,0,87916,87787,0,0
0.017615,0,0,0,0,0,0,0,0,0,0,104090,104720,0,0
0.019350,0,0,0,0,0,0,0,0,0,0,89913,88957,0,0
0.021035,0,0,0,0,0,0,0,0,0,0,101340,101024,0,0
0.022711,0,0,0,0,0,0,0,0,0,0,103187,103184,0,0
0.024436,0,0,0,0,0,0,0,0,0,0,105438,105167,0,0
0.026210,0,0,0,0,0,0,0,0,0,0,101608,101471,0,0
0.027844,0,0,0,0,0,0,0,0,0,0,100939,100784,0,0
0.029503,0,0,0,0,0,0,0,0,0,0,114502,116674,0,0
0.031350,0,0,0,0,0,0,0,0,0,0,95455,91757,0,0
0.032849,0,0,0,0,0,0,0,0,0,0,81507,81078,0,0
0.034321,0,0,0,0,0,0,0,0,0,0,80921,80768,0,0
0.035791,0,0,0,0,0,0,0,0,0,0,81104,80996,0,0
0.037309,0,0,0,0,0,0,0,0,0,0,67121,67086,0,0
0.038718,0,0,0,0,0,0,0,0,0,0,67687,67549,0,0
0.040124,0,0,0,0,0,0,0,0,0,0,67472,67302,0,0
0.041537,0,0,0,0,0,0,0,0,0,0,66866,66728,0,0
0.042936,0,0,0,0,0,0,0,0,0,0,67381,67247,0,0
0.044340,0,0,0,0,0,0,0,0,0,0,68416,68278,0,0
