elapsed_s,PC_RESERVED_56,PC_RESERVED_57,PC_RESERVED_58,PC_RESERVED_59,PC_S_BUSY_CYCLES,PC_S_WORKING_CYCLES,PC_S_STALL_CYCLES_VFD,PC_S_STALL_CYCLES_VPC_FE
0.001103,0,0,0,0,0,0,0,0
0.002706,0,0,0,0,0,0,0,0
0.004274,0,0,0,0,0,0,0,0
0.006619,0,0,0,0,0,0,0,0
0.008338,0,0,0,0,0,0,0,0
0.010056,0,0,0,0,0,0,0,0
0.011573,0,0,0,0,0,0,0,0
0.013080,0,0,0,0,0,0,0,0
0.014608,0,0,0,0,0,0,0,0
0.016160,0,0,0,0,0,0,0,0
0.017847,0,0,0,0,0,0,0,0
0.019416,0,0,0,0,0,0,0,0
0.020951,0,0,0,0,0,0,0,0
0.022455,0,0,0,0,0,0,0,0
0.023984,0,0,0,0,0,0,0,0
0.025526,0,0,0,0,0,0,0,0
0.027047,0,0,0,0,0,0,0,0
0.028651,0,0,0,0,0,0,0,0
0.030174,0,0,0,0,0,0,0,0
0.031705,0,0,0,0,0,0,0,0
0.033603,0,0,0,0,0,0,0,0
0.035162,0,0,0,0,0,0,0,0
0.036677,0,0,0,0,0,0,0,0
0.038195,0,0,0,0,0,0,0,0
0.039931,0,0,0,0,0,0,0,0
0.041744,0,0,0,0,0,0,0,0
0.043388,0,0,0,0,0,0,0,0
0.045026,0,0,0,0,0,0,0,0
0.046663,0,0,0,0,0,0,0,0
0.048295,0,0,0,0,0,0,0,0
0.050076,0,0,0,0,0,0,0,0
0.051711,0,0,0,0,0,0,0,0
0.053347,0,0,0,0,0,0,0,0
0.054870,0,0,0,0,0,0,0,0
0.056558,0,0,0,0,0,0,0,0
0.058241,0,0,0,0,0,0,0,0
0.059853,0,0,0,0,0,0,0,0
0.061437,0,0,0,0,0,0,0,0
0.063027,0,0,0,0,0,0,0,0
0.064654,0,0,0,0,0,0,0,0
0.066015,0,0,0,0,0,0,0,0
0.067403,0,0,0,0,0,0,0,0
0.068838,0,0,0,0,0,0,0,0
0.070224,0,0,0,0,0,0,0,0
0.071627,0,0,0,0,0,0,0,0
0.073070,0,0,0,0,0,0,0,0
0.074466,0,0,0,0,0,0,0,0
0.075912,0,0,0,0,0,0,0,0
0.077305,0,0,0,0,0,0,0,0
0.078692,0,0,0,0,0,0,0,0
0.080079,0,0,0,0,0,0,0,0
0.081518,0,0,0,0,0,0,0,0
0.082956,0,0,0,0,0,0,0,0
0.084400,0,0,0,0,327,405,0,0
0.086013,0,0,0,0,0,0,0,0
0.087451,0,0,0,0,0,0,0,0
0.088959,0,0,0,0,0,0,0,0
0.090395,0,0,0,0,0,0,0,0
0.091829,0,0,0,0,0,0,0,0
0.093313,0,0,0,0,0,0,0,0
0.094750,0,0,0,0,0,0,0,0
0.096185,0,0,0,0,0,0,0,0
0.097752,0,0,0,0,0,0,0,0
0.099191,0,0,0,0,1026,1308,12,0
0.101027,0,0,0,0,597,714,12,0
0.102412,0,0,0,0,0,0,0,0
0.103804,0,0,0,0,0,0,0,0
0.105143,0,0,0,0,0,0,0,0
0.106498,0,0,0,0,0,0,0,0
0.107881,0,0,0,0,0,0,0,0
0.109245,0,0,0,0,0,0,0,0
0.110614,0,0,0,0,0,0,0,0
0.111984,0,0,0,0,0,0,0,0
0.113342,0,0,0,0,0,0,0,0
0.114702,0,0,0,0,0,0,0,0
0.116066,0,0,0,0,0,0,0,0
0.117487,0,0,0,0,0,0,0,0
0.118926,0,0,0,0,0,0,0,0
0.120329,0,0,0,0,0,0,0,0
0.121775,0,0,0,0,0,0,0,0
0.123176,0,0,0,0,0,0,0,0
0.124610,0,0,0,0,0,0,0,0
0.126144,0,0,0,0,0,0,0,0
0.127526,0,0,0,0,0,0,0,0
0.128922,0,0,0,0,0,0,0,0
0.130284,0,0,0,0,0,0,0,0
0.131647,0,0,0,0,0,0,0,0
0.133013,0,0,0,0,0,0,0,0
0.134378,0,0,0,0,0,0,0,0
0.135791,0,0,0,0,0,0,0,0
0.137154,0,0,0,0,0,0,0,0
0.138516,0,0,0,0,0,0,0,0
0.139889,0,0,0,0,0,0,0,0
0.141251,0,0,0,0,0,0,0,0
0.142613,0,0,0,0,0,0,0,0
0.143974,0,0,0,0,0,0,0,0
0.145337,0,0,0,0,0,0,0,0
0.146699,0,0,0,0,0,0,0,0
0.148060,0,0,0,0,0,0,0,0
0.149423,0,0,0,0,0,0,0,0
0.150796,0,0,0,0,0,0,0,0
0.152288,0,0,0,0,0,0,0,0
0.153879,0,0,0,0,0,0,0,0
0.155449,0,0,0,0,0,0,0,0
0.157022,0,0,0,0,0,0,0,0
0.158594,0,0,0,0,0,0,0,0
0.160164,0,0,0,0,0,0,0,0
0.161620,0,0,0,0,0,0,0,0
0.163035,0,0,0,0,0,0,0,0
0.164444,0,0,0,0,0,0,0,0
0.165853,0,0,0,0,0,0,0,0
0.167259,0,0,0,0,0,0,0,0
0.168709,0,0,0,0,0,0,0,0
0.170244,0,0,0,0,0,0,0,0
0.171827,0,0,0,0,0,0,0,0
0.173294,0,0,0,0,0,0,0,0
0.174859,0,0,0,0,0,0,0,0
0.176427,0,0,0,0,0,0,0,0
0.178012,0,0,0,0,0,0,0,0
0.179582,0,0,0,0,0,0,0,0
0.181155,0,0,0,0,0,0,0,0
0.182739,0,0,0,0,0,0,0,0
0.184351,0,0,0,0,0,0,0,0
0.185927,0,0,0,0,0,0,0,0
0.187496,0,0,0,0,0,0,0,0
0.189071,0,0,0,0,0,0,0,0
0.190643,0,0,0,0,0,0,0,0
0.192215,0,0,0,0,0,0,0,0
0.193739,0,0,0,0,0,0,0,0
0.195280,0,0,0,0,0,0,0,0
0.196854,0,0,0,0,0,0,0,0
0.198463,0,0,0,0,0,0,0,0
0.199966,0,0,0,0,0,0,0,0
0.201394,0,0,0,0,0,0,0,0
0.202805,0,0,0,0,0,0,0,0
0.204227,0,0,0,0,0,0,0,0
0.205637,0,0,0,0,0,0,0,0
0.207475,0,0,0,0,0,0,0,0
0.209303,0,0,0,0,0,0,0,0
0.211430,0,0,0,0,0,0,0,0
0.212872,0,0,0,0,0,0,0,0
0.214287,0,0,0,0,0,0,0,0
0.215689,0,0,0,0,0,0,0,0
0.217090,0,0,0,0,0,0,0,0
0.218490,0,0,0,0,0,0,0,0
