elapsed_s,VFD_MODE_3_FIBERS,VFD_MODE_4_FIBERS,VFD_TOTAL_VERTICES,VFDP_STALL_CYCLES_VFD,VFDP_STALL_CYCLES_VFD_INDEX,VFDP_STALL_CYCLES_VFD_PROG,VFDP_STARVE_CYCLES_PC,VFDP_VS_STAGE_WAVES
0.001105,0,0,0,0,0,0,0,0
0.002709,0,0,0,0,0,0,0,0
0.004259,0,0,0,0,0,0,0,0
0.005807,0,0,0,0,0,0,0,0
0.007507,0,0,0,0,0,0,0,0
0.009066,0,0,0,0,0,0,0,0
0.010611,0,0,0,0,0,0,0,0
0.012158,0,0,0,0,0,0,0,0
0.013707,0,0,0,0,0,0,0,0
0.015310,0,0,0,0,0,0,0,0
0.016916,0,0,0,0,0,0,0,0
0.018449,0,0,0,0,0,0,0,0
0.019979,0,0,0,0,0,0,0,0
0.021487,0,0,0,0,0,0,0,0
0.022992,0,0,0,0,0,0,0,0
0.024581,0,0,0,0,0,0,0,0
0.026085,0,0,0,0,0,0,0,0
0.027585,0,0,0,0,0,0,0,0
0.029087,0,0,0,0,0,0,0,0
0.030633,0,0,0,0,0,0,0,0
0.032168,0,0,0,0,0,0,0,0
0.033688,0,0,0,0,0,0,0,0
0.035210,0,0,0,0,0,0,0,0
0.036770,0,0,0,0,0,0,0,0
0.038655,0,0,0,0,0,0,0,0
0.040181,0,0,0,0,0,0,0,0
0.041711,0,0,0,0,0,0,0,0
0.043233,0,0,0,0,0,0,0,0
0.044782,0,0,0,0,0,0,0,0
0.046366,0,0,0,0,0,0,0,0
0.047874,0,0,0,0,0,0,0,0
0.049507,0,0,0,0,0,0,0,0
0.051141,0,0,0,0,0,0,0,0
0.052712,0,0,0,0,0,0,0,0
0.054306,0,0,0,0,0,0,0,0
0.055941,0,0,0,0,0,0,0,0
0.057576,0,0,0,0,0,0,0,0
0.059079,0,0,0,0,0,0,0,0
0.060592,0,0,0,0,0,0,0,0
0.062095,0,0,0,0,0,0,0,0
0.063649,0,0,0,0,0,0,0,0
0.065146,0,0,0,0,0,0,0,0
0.066630,0,0,0,0,0,0,0,0
0.068116,0,0,0,0,0,0,0,0
0.069603,0,0,0,0,0,0,0,0
0.071087,0,0,0,0,0,0,0,0
0.072573,0,0,0,0,0,0,0,0
0.074027,0,0,0,0,0,0,0,0
0.075470,0,0,0,0,0,0,0,0
0.076908,0,0,0,0,0,0,0,0
0.078420,0,0,0,0,0,0,0,0
0.079930,0,0,0,0,0,0,0,0
0.081293,0,0,0,0,0,0,0,0
0.082714,0,0,0,0,0,0,0,0
0.084137,0,0,0,0,0,0,0,0
0.085556,0,0,0,0,0,0,0,0
0.086921,0,0,0,0,0,0,0,0
0.088350,0,0,0,0,0,0,0,0
0.089792,0,0,0,30,30,0,612,0
0.091170,0,0,0,0,0,0,0,0
0.092547,0,0,0,0,0,0,0,0
0.093916,0,0,0,0,0,0,0,0
0.095301,0,0,0,0,0,0,0,0
0.096891,0,0,0,0,0,0,0,0
0.098285,0,0,0,0,0,0,0,0
0.099662,0,0,0,54,54,0,60261,0
0.101264,0,0,0,60,60,0,130500,0
0.102638,0,0,0,0,0,0,0,0
0.104004,0,0,0,0,0,0,0,0
